date,symbol,year,quarter,net_income,total_assets,source,book_value
31-03-2018,360ONE,2018,FY,380,9567,screener_html,1863
31-03-2019,360ONE,2019,FY,375,9763,screener_html,2911
31-03-2020,360ONE,2020,FY,201,13021,screener_html,2991
31-03-2021,360ONE,2021,FY,369,8739,screener_html,2828
31-03-2022,360ONE,2022,FY,578,10734,screener_html,3024
31-03-2023,360ONE,2023,FY,658,11191,screener_html,3122
31-03-2024,360ONE,2024,FY,804,15114,screener_html,3450
31-03-2025,360ONE,2025,FY,1015,19768,screener_html,7065
31-03-2026,360ONE,2026,FY,1216,27201,screener_html,9836
31-03-2018,3MINDIA,2018,FY,333,2311,screener_html,1066
31-03-2019,3MINDIA,2019,FY,366,2118,screener_html,1433
31-03-2020,3MINDIA,2020,FY,322,2371,screener_html,1751
31-03-2021,3MINDIA,2021,FY,162,2652,screener_html,1910
31-03-2022,3MINDIA,2022,FY,272,3006,screener_html,2183
31-03-2023,3MINDIA,2023,FY,451,2714,screener_html,1677
31-03-2024,3MINDIA,2024,FY,583,3248,screener_html,2147
31-03-2019,AADHARHFC,2019,FY,162,9480,screener_html,859
31-03-2020,AADHARHFC,2020,FY,189,12366,screener_html,2347
31-03-2021,AADHARHFC,2021,FY,340,13630,screener_html,2693
31-03-2022,AADHARHFC,2022,FY,445,14376,screener_html,3147
31-03-2023,AADHARHFC,2023,FY,545,16618,screener_html,3698
31-03-2024,AADHARHFC,2024,FY,750,19093,screener_html,4450
31-03-2025,AADHARHFC,2025,FY,912,23224,screener_html,6372
31-03-2026,AADHARHFC,2026,FY,1096,27399,screener_html,7541
31-03-2015,AARTIIND,2015,FY,208,2938,screener_html,1016
31-03-2016,AARTIIND,2016,FY,268,2966,screener_html,1138
31-03-2017,AARTIIND,2017,FY,328,3499,screener_html,1362
31-03-2018,AARTIIND,2018,FY,346,4391,screener_html,1579
31-03-2019,AARTIIND,2019,FY,504,5858,screener_html,2630
31-03-2020,AARTIIND,2020,FY,547,6332,screener_html,2979
31-03-2021,AARTIIND,2021,FY,535,7642,screener_html,3503
31-03-2022,AARTIIND,2022,FY,1186,7851,screener_html,4516
31-03-2023,AARTIIND,2023,FY,545,8581,screener_html,4920
31-03-2024,AARTIIND,2024,FY,416,10115,screener_html,5290
31-03-2025,AARTIIND,2025,FY,331,11114,screener_html,5605
31-03-2026,AARTIIND,2026,FY,419,13299,screener_html,5955
31-03-2018,AAVAS,2018,FY,93,4040,screener_html,1190
31-03-2019,AAVAS,2019,FY,176,5627,screener_html,1837
31-03-2020,AAVAS,2020,FY,249,7657,screener_html,2098
31-03-2021,AAVAS,2021,FY,289,8959,screener_html,2400
31-03-2022,AAVAS,2022,FY,355,11017,screener_html,2807
31-03-2023,AAVAS,2023,FY,430,13410,screener_html,3270
31-03-2024,AAVAS,2024,FY,491,16519,screener_html,3773
31-03-2011,ABB,2011,FY,185,6319,screener_html,2534
31-03-2012,ABB,2012,FY,141,6504,screener_html,2601
31-03-2024,ABB,2024,FY,1872,12391,screener_html,7075
31-03-2025,ABB,2025,FY,1668,13638,screener_html,7836
31-03-2014,ABBOTINDIA,2014,FY,198,1139,screener_html,788
31-03-2015,ABBOTINDIA,2015,FY,229,1374,screener_html,937
31-03-2016,ABBOTINDIA,2016,FY,255,1616,screener_html,1195
31-03-2017,ABBOTINDIA,2017,FY,277,2066,screener_html,1387
31-03-2018,ABBOTINDIA,2018,FY,401,2416,screener_html,1693
31-03-2019,ABBOTINDIA,2019,FY,450,2941,screener_html,2008
31-03-2020,ABBOTINDIA,2020,FY,593,3547,screener_html,2431
31-03-2021,ABBOTINDIA,2021,FY,691,3840,screener_html,2602
31-03-2022,ABBOTINDIA,2022,FY,799,4224,screener_html,2820
31-03-2023,ABBOTINDIA,2023,FY,949,4556,screener_html,3188
31-03-2024,ABBOTINDIA,2024,FY,1201,5193,screener_html,3699
31-03-2025,ABBOTINDIA,2025,FY,1414,5694,screener_html,4011
31-03-2015,ABCAPITAL,2015,FY,309,19642,screener_html,1813
31-03-2016,ABCAPITAL,2016,FY,524,30042,screener_html,2717
31-03-2017,ABCAPITAL,2017,FY,691,78141,screener_html,6610
31-03-2018,ABCAPITAL,2018,FY,693,93556,screener_html,8538
31-03-2019,ABCAPITAL,2019,FY,811,109470,screener_html,9512
31-03-2020,ABCAPITAL,2020,FY,866,113520,screener_html,12576
31-03-2021,ABCAPITAL,2021,FY,1106,124485,screener_html,13742
31-03-2022,ABCAPITAL,2022,FY,1660,140815,screener_html,15492
31-03-2023,ABCAPITAL,2023,FY,4824,180353,screener_html,20311
31-03-2024,ABCAPITAL,2024,FY,3439,231623,screener_html,26817
31-03-2025,ABCAPITAL,2025,FY,3410,278643,screener_html,30389
31-03-2026,ABCAPITAL,2026,FY,3864,335393,screener_html,34424
