"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
3MINDIA,EQ,30-Dec-11,"3,650.00","3,640.00","3,643.00","3,456.05","3,511.25","3,544.05","3,574.70",141,504033.2,33,114,80.85
3MINDIA,EQ,29-Dec-11,"3,670.00","3,650.05","3,650.05","3,650.00","3,650.00","3,650.00","3,650.01",100,365000.5,8,90,90
3MINDIA,EQ,28-Dec-11,"3,626.00","3,659.00","3,670.00","3,650.00","3,670.00","3,670.00","3,653.63",24,87687,9,23,95.83
3MINDIA,EQ,27-Dec-11,"3,680.00","3,678.95","3,678.95","3,626.00","3,626.00","3,626.00","3,649.48",4,14597.9,4,2,50
3MINDIA,EQ,26-Dec-11,"3,626.00","3,747.90","3,747.90","3,650.00","3,680.00","3,680.00","3,680.67",60,220840.3,29,35,58.33
3MINDIA,EQ,23-Dec-11,"3,522.80","3,642.65","3,642.65","3,525.00","3,626.00","3,626.00","3,598.05",209,751991.75,32,163,77.99
3MINDIA,EQ,22-Dec-11,"3,480.20","3,548.00","3,548.00","3,510.00","3,522.80","3,522.80","3,515.81",34,119537.5,7,32,94.12
3MINDIA,EQ,21-Dec-11,"3,494.20","3,550.00","3,550.00","3,430.00","3,462.05","3,480.20","3,460.93",238,823701.15,72,134,56.3
3MINDIA,EQ,20-Dec-11,"3,463.30","3,584.25","3,595.00","3,401.00","3,500.00","3,494.20","3,471.86",189,656181.05,53,168,88.89
3MINDIA,EQ,19-Dec-11,"3,532.25","3,647.15","3,869.70","3,410.10","3,425.20","3,463.30","3,492.06",141,492380.9,70,69,48.94
3MINDIA,EQ,16-Dec-11,"3,590.40","3,562.10","3,598.60","3,490.25","3,550.00","3,532.25","3,557.41",238,846662.5,96,95,39.92
3MINDIA,EQ,15-Dec-11,"3,590.40","3,544.30","3,600.00","3,544.30","3,600.00","3,590.40","3,570.55",79,282073.45,34,44,55.7
3MINDIA,EQ,14-Dec-11,"3,627.75","3,583.00","3,650.00","3,566.30","3,590.00","3,590.40","3,614.66",83,300016.45,35,46,55.42
3MINDIA,EQ,13-Dec-11,"3,604.30","3,650.00","3,673.60","3,601.60","3,625.00","3,627.75","3,630.09",103,373899.45,60,52,50.49
3MINDIA,EQ,12-Dec-11,"3,646.90","3,575.00","3,739.90","3,575.00","3,687.95","3,604.30","3,615.48",147,531475.85,34,122,82.99
3MINDIA,EQ,09-Dec-11,"3,640.00","3,698.75","3,698.75","3,600.00","3,638.00","3,646.90","3,625.37",330,1196371.3,84,211,63.94
3MINDIA,EQ,08-Dec-11,"3,694.10","3,700.00","3,710.00","3,636.00","3,637.00","3,640.00","3,662.57",197,721526.45,44,159,80.71
3MINDIA,EQ,07-Dec-11,"3,705.60","3,685.00","3,738.00","3,580.00","3,700.00","3,694.10","3,662.33",1028,3764873.6,180,719,69.94
3MINDIA,EQ,05-Dec-11,"3,835.65","3,836.00","3,840.00","3,690.00","3,690.00","3,705.60","3,741.72",615,2301159.55,106,537,87.32
3MINDIA,EQ,02-Dec-11,"3,797.60","3,849.00","3,849.00","3,784.10","3,840.00","3,835.65","3,818.97",34,129844.9,12,27,79.41
3MINDIA,EQ,01-Dec-11,"3,814.60","3,849.90","3,875.00","3,780.00","3,780.00","3,797.60","3,812.84",320,1220109.1,58,188,58.75
3MINDIA,EQ,30-Nov-11,"3,814.80","3,751.10","3,850.00","3,751.10","3,800.00","3,814.60","3,827.04",25,95676.1,12,20,80
3MINDIA,EQ,29-Nov-11,"3,812.65","3,810.00","3,886.00","3,750.00","3,782.00","3,814.80","3,814.56",188,717137.45,73,157,83.51
3MINDIA,EQ,28-Nov-11,"3,796.95","3,885.00","3,885.00","3,799.95","3,825.00","3,812.65","3,837.64",121,464354.2,39,83,68.6
3MINDIA,EQ,25-Nov-11,"3,774.70","3,802.00","3,860.00","3,750.00","3,750.00","3,796.95","3,807.17",374,1423880.8,68,347,92.78
3MINDIA,EQ,24-Nov-11,"3,753.60","3,894.95","3,895.00","3,750.00","3,780.00","3,774.70","3,780.87",725,2741132.05,87,592,81.66
