"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ABDL,EQ,27-Dec-2024,422.4,421.0,426.5,415.45,422.0,422.4,421.93,876744,369922643.2,14315,456125,52.02
ABDL,EQ,26-Dec-2024,417.45,417.45,426.6,417.45,422.5,422.4,422.04,735167,310269577.0,14632,356261,48.46
ABDL,EQ,24-Dec-2024,406.8,408.0,422.4,407.15,417.0,417.45,414.6,2943311,1220306255.9,37209,1850463,62.87
ABDL,EQ,23-Dec-2024,386.6,390.0,411.0,387.2,405.45,406.8,401.46,1431233,574584864.2,21174,718876,50.23
ABDL,EQ,20-Dec-2024,390.25,390.95,399.0,385.2,386.0,386.6,393.01,803032,315596695.7,14179,420030,52.31
ABDL,EQ,19-Dec-2024,393.9,386.45,401.7,382.5,391.4,390.25,392.64,737739,289662668.3,12079,278178,37.71
ABDL,EQ,18-Dec-2024,394.75,395.0,399.75,390.3,392.0,393.9,394.52,728654,287471591.55,15853,291937,40.07
ABDL,EQ,17-Dec-2024,378.6,378.5,406.5,378.05,393.35,394.75,396.33,2827334,1120553442.45,38287,1294587,45.79
ABDL,EQ,16-Dec-2024,372.45,375.0,383.4,370.6,381.25,378.6,375.85,519970,195429007.95,11159,322871,62.09
ABDL,EQ,13-Dec-2024,371.85,365.6,375.0,363.2,372.5,372.45,368.82,746698,275399417.6,10957,372200,49.85
ABDL,EQ,12-Dec-2024,373.9,374.95,381.1,369.55,371.85,371.85,374.69,747082,279921632.95,9278,419841,56.2
ABDL,EQ,11-Dec-2024,376.6,377.85,379.85,373.0,374.9,373.9,375.92,393992,148108036.95,7522,205129,52.06
ABDL,EQ,10-Dec-2024,378.4,384.3,385.0,374.25,376.1,376.6,379.3,927223,351696038.35,14181,518243,55.89
ABDL,EQ,09-Dec-2024,368.15,374.4,382.0,369.6,377.95,378.4,376.17,2031495,764194363.9,28378,1060547,52.21
ABDL,EQ,06-Dec-2024,350.6,351.2,370.0,348.9,367.0,368.15,362.22,1793305,649573862.45,23705,1058390,59.02
ABDL,EQ,05-Dec-2024,352.6,354.0,356.35,346.45,350.45,350.6,350.52,818267,286817665.65,9521,471737,57.65
ABDL,EQ,04-Dec-2024,345.35,345.7,360.4,338.9,352.0,352.6,351.27,1059220,372075506.55,14979,582071,54.95
ABDL,EQ,03-Dec-2024,345.5,346.45,352.0,342.6,345.0,345.35,347.67,669090,232619540.2,10785,351789,52.58
ABDL,EQ,02-Dec-2024,336.75,338.5,349.95,333.05,345.1,345.5,343.07,1207202,414152427.65,18598,707714,58.62
