"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ABSLAMC,EQ,28-Dec-2021,503.6,505.5,525.0,503.1,524.95,523.8,512.94,459489,235689461.95,19084,267268,58.17
ABSLAMC,EQ,27-Dec-2021,511.4,513.9,513.9,499.25,503.5,503.6,503.05,465096,233965217.3,22551,296664,63.79
ABSLAMC,EQ,24-Dec-2021,523.8,527.0,528.0,509.9,510.0,511.4,514.57,356275,183327302.85,16073,234017,65.68
ABSLAMC,EQ,23-Dec-2021,527.55,530.0,535.0,518.0,521.4,523.8,522.57,475702,248588318.25,17385,293835,61.77
ABSLAMC,EQ,22-Dec-2021,528.1,534.95,534.95,526.0,527.95,527.55,529.19,266721,141147075.1,10195,195729,73.38
ABSLAMC,EQ,21-Dec-2021,531.85,542.0,544.55,525.0,528.5,528.1,533.25,153588,81900487.95,9503,77253,50.3
ABSLAMC,EQ,20-Dec-2021,550.95,550.95,552.0,505.1,550.0,531.85,518.79,796915,413432778.7,49865,439857,55.19
ABSLAMC,EQ,17-Dec-2021,572.2,579.0,579.0,545.1,552.95,550.95,553.81,525443,290997756.1,29776,359180,68.36
ABSLAMC,EQ,16-Dec-2021,576.4,577.0,580.25,568.8,572.2,572.2,571.96,155670,89037067.5,9283,107191,68.86
ABSLAMC,EQ,15-Dec-2021,580.65,582.05,585.15,575.0,575.8,576.4,577.11,161586,93253653.4,7236,114156,70.65
ABSLAMC,EQ,14-Dec-2021,585.6,585.0,587.65,579.5,580.9,580.65,581.89,76250,44369363.4,5714,38290,50.22
ABSLAMC,EQ,13-Dec-2021,589.45,596.0,598.0,583.7,584.9,585.6,590.91,221403,130829149.4,6453,175607,79.32
ABSLAMC,EQ,10-Dec-2021,593.55,593.55,597.0,587.0,588.15,589.45,591.16,109805,64912065.7,6007,57800,52.64
ABSLAMC,EQ,09-Dec-2021,582.5,584.95,595.0,583.7,595.0,593.55,591.07,198486,117318320.55,10161,88028,44.35
ABSLAMC,EQ,08-Dec-2021,577.0,578.0,585.9,578.0,582.8,582.5,581.58,119154,69297224.4,7524,52735,44.26
ABSLAMC,EQ,07-Dec-2021,577.15,578.0,583.75,575.0,577.0,577.0,578.21,86643,50097711.7,5728,36037,41.59
ABSLAMC,EQ,06-Dec-2021,581.45,581.45,587.75,576.0,577.25,577.15,581.25,140344,81575019.35,7554,61496,43.82
ABSLAMC,EQ,03-Dec-2021,577.95,579.45,584.8,576.3,580.55,581.45,581.32,123164,71598092.35,6415,51429,41.76
ABSLAMC,EQ,02-Dec-2021,574.5,575.0,579.8,574.0,578.05,577.95,576.8,118834,68543651.05,8670,57826,48.66
ABSLAMC,EQ,01-Dec-2021,577.15,582.0,586.15,573.0,575.0,574.5,576.31,169375,97612281.0,12499,96502,56.98
ABSLAMC,EQ,30-Nov-2021,575.9,572.0,595.0,572.0,578.05,577.15,580.93,307291,178515899.2,14834,177816,57.87
ABSLAMC,EQ,29-Nov-2021,593.45,582.05,587.95,570.0,575.0,575.9,575.54,193867,111578433.95,12079,103107,53.18
ABSLAMC,EQ,26-Nov-2021,595.05,590.0,599.55,588.8,592.8,593.45,594.63,654445,389152608.45,20277,548229,83.77
ABSLAMC,EQ,25-Nov-2021,598.55,589.0,599.4,589.0,595.0,595.05,595.3,75456,44919045.6,4713,44493,58.97
ABSLAMC,EQ,24-Nov-2021,597.8,599.9,605.5,596.5,597.2,598.55,601.67,153716,92486509.0,15129,84460,54.95
ABSLAMC,EQ,23-Nov-2021,594.7,594.0,600.0,587.2,597.05,597.8,593.5,168137,99788539.25,9857,80268,47.74
ABSLAMC,EQ,22-Nov-2021,584.9,585.0,598.25,578.05,596.0,594.7,586.11,341218,199989943.95,19095,200385,58.73
ABSLAMC,EQ,18-Nov-2021,603.8,602.0,604.35,583.8,584.0,584.9,587.45,628805,369393243.85,43663,433271,68.9
ABSLAMC,EQ,17-Nov-2021,609.35,609.35,611.55,598.2,602.15,603.8,602.7,528097,318282965.85,50951,352331,66.72
ABSLAMC,EQ,16-Nov-2021,617.6,617.5,619.95,608.0,608.05,609.35,610.12,394924,240949841.85,27186,286919,72.65
ABSLAMC,EQ,15-Nov-2021,619.7,618.5,623.4,617.0,617.95,617.6,619.38,338667,209762863.1,18850,234868,69.35
ABSLAMC,EQ,12-Nov-2021,624.45,629.85,629.85,619.05,619.8,619.7,620.68,352841,219000500.4,16463,292460,82.89
ABSLAMC,EQ,11-Nov-2021,626.0,627.2,632.4,623.1,624.2,624.45,626.93,196212,123011631.2,8953,128223,65.35
ABSLAMC,EQ,10-Nov-2021,631.15,630.1,635.65,624.2,626.0,626.0,626.34,345759,216562795.05,18751,247394,71.55
ABSLAMC,EQ,09-Nov-2021,632.4,632.45,638.0,630.55,631.0,631.15,633.63,302366,191586826.45,12241,220347,72.87
ABSLAMC,EQ,08-Nov-2021,646.35,645.65,645.65,631.1,632.45,632.4,635.86,309066,196523657.05,12568,216023,69.9
ABSLAMC,EQ,04-Nov-2021,640.6,642.0,648.9,638.0,648.0,646.35,646.81,59104,38228872.1,4791,38738,65.54
ABSLAMC,EQ,03-Nov-2021,648.7,650.0,651.65,639.0,639.5,640.6,644.96,89927,57999215.5,6078,52755,58.66
ABSLAMC,EQ,02-Nov-2021,652.35,652.35,662.1,645.35,649.95,648.7,652.76,206419,134742225.55,11070,109098,52.85
ABSLAMC,EQ,01-Nov-2021,649.1,651.0,665.0,646.15,650.5,652.35,657.7,235406,154827232.65,13848,147468,62.64
ABSLAMC,EQ,29-Oct-2021,630.05,627.0,651.0,622.3,649.65,649.1,642.79,424720,273005916.05,24764,227458,53.55
ABSLAMC,EQ,28-Oct-2021,623.35,621.1,649.8,616.15,628.8,630.05,622.31,1491570,928224047.65,33553,780117,52.3
ABSLAMC,EQ,27-Oct-2021,639.2,640.95,642.0,620.5,623.45,623.35,624.36,1043401,651458205.7,61672,764329,73.25
ABSLAMC,EQ,26-Oct-2021,651.25,660.0,665.0,637.8,638.7,639.2,646.49,545362,352571402.55,35227,379721,69.63
ABSLAMC,EQ,25-Oct-2021,658.65,658.65,662.0,635.75,649.5,651.25,649.01,395106,256427322.9,26046,180720,45.74
ABSLAMC,EQ,22-Oct-2021,658.7,659.0,667.4,654.65,657.05,658.65,660.1,216987,143233174.5,13730,102356,47.17
ABSLAMC,EQ,21-Oct-2021,662.15,667.5,671.9,657.0,658.0,658.7,662.18,266001,176141684.5,17547,144673,54.39
ABSLAMC,EQ,20-Oct-2021,678.9,681.55,683.15,661.2,662.55,662.15,668.74,391114,261555319.8,25328,270593,69.19
ABSLAMC,EQ,19-Oct-2021,683.95,683.0,692.95,675.0,678.0,678.9,683.78,372408,254646402.1,26790,204242,54.84
ABSLAMC,EQ,18-Oct-2021,697.15,698.25,701.95,680.0,682.7,683.95,688.95,435065,299739193.1,24261,291587,67.02
ABSLAMC,EQ,14-Oct-2021,678.2,676.05,703.0,672.8,693.5,697.15,691.32,1009332,697771421.6,44475,555334,55.02
ABSLAMC,EQ,13-Oct-2021,682.3,681.1,681.95,672.0,676.9,678.2,677.04,1050858,711473551.95,52613,741001,70.51
ABSLAMC,EQ,12-Oct-2021,699.45,700.0,700.0,678.3,681.1,682.3,684.02,1649958,1128604571.9,148135,1235152,74.86
ABSLAMC,EQ,11-Oct-2021,712.0,715.0,722.9,695.35,698.0,699.45,708.16,7876940,5578128846.15,263223,5371314,68.19
ABSLAMC,EQ,28-Dec-2022,450.0,450.95,452.5,446.3,451.0,451.05,450.39,24898,11213803.45,1498,14261,57.28
ABSLAMC,EQ,27-Dec-2022,443.3,443.25,451.0,441.0,451.0,450.0,446.3,38537,17199200.75,1984,21817,56.61
ABSLAMC,EQ,26-Dec-2022,436.5,432.0,444.9,432.0,443.2,443.3,440.48,42100,18544331.95,2621,17511,41.59
ABSLAMC,EQ,23-Dec-2022,450.55,442.0,446.9,429.25,440.05,436.5,432.81,278206,120410105.85,7805,188542,67.77
ABSLAMC,EQ,22-Dec-2022,459.05,455.7,459.6,444.0,451.0,450.55,449.72,96245,43282876.4,5615,47116,48.95
ABSLAMC,EQ,21-Dec-2022,455.8,457.8,460.5,454.0,459.0,459.05,458.24,111646,51161196.75,3537,70389,63.05
ABSLAMC,EQ,20-Dec-2022,462.25,466.0,467.95,455.0,455.0,455.8,458.71,52019,23861771.2,5030,26255,50.47
ABSLAMC,EQ,19-Dec-2022,453.25,455.0,467.5,449.1,463.0,462.25,461.39,96283,44424465.05,4933,43100,44.76
ABSLAMC,EQ,16-Dec-2022,451.05,451.05,456.05,444.5,455.1,453.25,450.39,55014,24777955.65,2860,24712,44.92
ABSLAMC,EQ,15-Dec-2022,460.2,471.0,471.9,450.0,450.95,451.05,460.2,160571,73894522.2,5129,54615,34.01
ABSLAMC,EQ,14-Dec-2022,454.8,456.0,462.5,453.0,461.9,460.2,458.22,136322,62465285.9,5313,98098,71.96
ABSLAMC,EQ,13-Dec-2022,451.2,451.7,462.0,448.8,455.45,454.8,456.47,122220,55789732.9,4770,77048,63.04
ABSLAMC,EQ,12-Dec-2022,449.55,449.95,456.8,443.55,450.0,451.2,450.55,92865,41840669.8,5224,45861,49.38
ABSLAMC,EQ,09-Dec-2022,442.75,442.75,451.5,442.5,450.0,449.55,447.66,167318,74902228.1,4841,118077,70.57
ABSLAMC,EQ,08-Dec-2022,436.05,438.4,444.4,436.05,442.0,442.75,441.44,70625,31176393.3,3263,46824,66.3
ABSLAMC,EQ,07-Dec-2022,432.05,433.35,437.05,430.2,436.55,436.05,432.86,266581,115392576.95,3474,227397,85.3
ABSLAMC,EQ,06-Dec-2022,438.6,439.0,441.95,430.1,432.05,432.05,433.21,85974,37244725.9,4150,57380,66.74
ABSLAMC,EQ,05-Dec-2022,433.95,437.45,442.65,435.35,438.25,438.6,439.06,113461,49816469.6,5386,82265,72.51
ABSLAMC,EQ,02-Dec-2022,434.85,434.5,441.0,432.45,433.75,433.95,434.28,112319,48777376.85,3574,85615,76.22
ABSLAMC,EQ,01-Dec-2022,434.2,434.2,437.35,432.5,434.75,434.85,433.75,151607,65759724.95,4425,128443,84.72
ABSLAMC,EQ,30-Nov-2022,429.45,434.4,436.0,431.0,434.0,434.2,434.41,155073,67365334.15,3322,125171,80.72
ABSLAMC,EQ,29-Nov-2022,432.9,435.0,435.0,422.8,429.5,429.45,429.41,287825,123595820.95,5593,242512,84.26
ABSLAMC,EQ,28-Nov-2022,418.05,418.05,440.5,418.0,432.8,432.9,429.83,190822,82020486.4,5748,84167,44.11
ABSLAMC,EQ,25-Nov-2022,417.9,419.9,420.0,416.4,417.95,418.05,418.1,213907,89433708.2,2675,190040,88.84
ABSLAMC,EQ,24-Nov-2022,418.1,419.0,419.5,417.05,417.8,417.9,418.0,138401,57850929.1,1545,125892,90.96
ABSLAMC,EQ,23-Nov-2022,420.95,420.95,420.95,417.6,418.3,418.1,419.76,92228,38713305.7,2024,80888,87.7
ABSLAMC,EQ,22-Nov-2022,421.6,421.0,422.5,418.0,420.65,420.95,420.81,123495,51968280.45,2022,109081,88.33
ABSLAMC,EQ,21-Nov-2022,427.4,427.4,429.45,421.0,421.5,421.6,424.38,163489,69382041.2,2207,144389,88.32
ABSLAMC,EQ,18-Nov-2022,430.8,434.4,434.4,425.5,427.0,427.4,429.77,183269,78764309.0,2076,171964,93.83
ABSLAMC,EQ,17-Nov-2022,430.3,426.05,432.55,426.05,431.4,430.8,429.9,35109,15093200.8,1736,18443,52.53
ABSLAMC,EQ,16-Nov-2022,427.0,430.0,432.5,426.05,430.0,430.3,429.28,34298,14723405.4,1773,23576,68.74
ABSLAMC,EQ,15-Nov-2022,426.35,426.0,429.5,423.15,429.0,427.0,426.05,55213,23523471.7,2049,30211,54.72
ABSLAMC,EQ,14-Nov-2022,429.25,430.0,432.6,425.0,426.5,426.35,428.57,43533,18656838.55,2828,24083,55.32
ABSLAMC,EQ,11-Nov-2022,419.75,422.1,431.0,419.55,431.0,429.25,423.82,169642,71896842.25,3213,145285,85.64
ABSLAMC,EQ,10-Nov-2022,422.15,422.1,422.1,416.0,421.0,419.75,418.84,43322,18144902.3,2689,25444,58.73
ABSLAMC,EQ,09-Nov-2022,423.45,417.05,425.15,417.05,422.05,422.15,421.87,48288,20371475.55,2650,23132,47.9
ABSLAMC,EQ,07-Nov-2022,415.45,417.45,424.15,415.65,423.8,423.45,421.88,53163,22428429.85,3342,27645,52.0
ABSLAMC,EQ,04-Nov-2022,420.9,420.05,423.85,415.0,415.95,415.45,417.51,51422,21469362.0,2588,33462,65.07
ABSLAMC,EQ,03-Nov-2022,425.7,425.9,425.9,420.5,421.1,420.9,422.44,37580,15875141.1,2463,24885,66.22
ABSLAMC,EQ,02-Nov-2022,413.1,416.0,426.3,413.25,423.0,425.7,422.68,124720,52716402.6,3628,86406,69.28
ABSLAMC,EQ,01-Nov-2022,407.8,408.0,415.0,408.0,413.45,413.1,411.56,54492,22426778.05,2930,31726,58.22
ABSLAMC,EQ,31-Oct-2022,412.5,419.0,420.0,406.0,407.7,407.8,411.53,99599,40987615.8,6066,67876,68.15
ABSLAMC,EQ,28-Oct-2022,433.75,430.0,434.0,400.0,414.75,412.5,410.84,347702,142849679.1,17685,150178,43.19
ABSLAMC,EQ,27-Oct-2022,427.6,428.0,435.8,428.0,434.0,433.75,433.42,38033,16484162.05,2653,25505,67.06
ABSLAMC,EQ,25-Oct-2022,435.2,435.0,435.35,425.0,427.15,427.6,430.13,47876,20592914.9,3310,29542,61.71
ABSLAMC,EQ,24-Oct-2022,426.6,436.0,438.0,431.0,436.2,435.2,434.83,16625,7229009.9,1235,13172,79.23
ABSLAMC,EQ,21-Oct-2022,433.05,433.05,436.95,421.5,426.0,426.6,431.71,44758,19322384.5,2526,31204,69.72
ABSLAMC,EQ,20-Oct-2022,435.05,435.0,435.0,432.45,433.5,433.05,433.14,34979,15150830.85,1318,27340,78.16
ABSLAMC,EQ,19-Oct-2022,435.4,438.4,438.4,432.55,435.0,435.05,434.9,44607,19399395.3,2045,34103,76.45
ABSLAMC,EQ,18-Oct-2022,435.1,435.25,440.2,434.2,435.95,435.4,435.41,58695,25556151.45,2183,47734,81.33
ABSLAMC,EQ,17-Oct-2022,435.4,431.0,439.15,430.65,435.65,435.1,435.75,28708,12509507.3,1980,15696,54.67
ABSLAMC,EQ,14-Oct-2022,437.05,441.05,441.3,434.5,434.95,435.4,436.84,33329,14559577.4,2107,21862,65.59
ABSLAMC,EQ,13-Oct-2022,437.05,439.0,440.95,435.3,436.25,437.05,437.77,18236,7983108.7,1579,8964,49.16
ABSLAMC,EQ,12-Oct-2022,440.5,442.0,443.2,432.05,443.0,437.05,437.55,28015,12257944.0,1663,14185,50.63
ABSLAMC,EQ,11-Oct-2022,445.55,440.0,445.1,438.15,440.0,440.5,441.61,33579,14828930.25,2417,17883,53.26
ABSLAMC,EQ,10-Oct-2022,449.8,449.0,449.0,443.85,446.45,445.55,446.26,17416,7772054.1,1551,10160,58.34
ABSLAMC,EQ,07-Oct-2022,448.5,449.4,451.3,448.0,450.2,449.8,449.63,49838,22408704.1,1667,37540,75.32
ABSLAMC,EQ,06-Oct-2022,451.15,452.15,454.95,447.5,448.3,448.5,450.64,58552,26385687.15,2648,38206,65.25
ABSLAMC,EQ,04-Oct-2022,452.65,454.0,456.4,450.5,450.95,451.15,452.19,33465,15132575.45,2044,20990,62.72
ABSLAMC,EQ,03-Oct-2022,455.0,455.0,456.6,450.5,452.75,452.65,452.39,30124,13627761.1,2158,16270,54.01
ABSLAMC,EQ,30-Sep-2022,453.75,452.0,455.9,450.05,455.0,455.0,454.02,140530,63803836.65,1941,127970,91.06
ABSLAMC,EQ,29-Sep-2022,454.8,458.9,458.95,452.5,453.3,453.75,454.93,29996,13646202.5,1886,16813,56.05
ABSLAMC,EQ,28-Sep-2022,459.3,452.05,459.5,452.05,455.3,454.8,455.66,26155,11917859.2,1785,11616,44.41
ABSLAMC,EQ,27-Sep-2022,459.2,457.7,461.3,452.5,459.95,459.3,457.52,39427,18038552.3,2595,18111,45.94
ABSLAMC,EQ,26-Sep-2022,468.2,462.0,463.95,456.1,458.5,459.2,459.79,212820,97852390.6,2926,186316,87.55
ABSLAMC,EQ,23-Sep-2022,474.85,477.4,489.0,467.0,467.5,468.2,474.26,305892,145073692.75,3249,270051,88.28
ABSLAMC,EQ,22-Sep-2022,470.05,470.05,476.75,464.0,475.0,474.85,467.27,954466,445995276.4,8853,898586,94.15
ABSLAMC,EQ,21-Sep-2022,474.55,472.0,474.5,469.25,469.7,470.05,470.94,21582,10163856.95,1485,13894,64.38
ABSLAMC,EQ,20-Sep-2022,473.45,475.0,482.05,471.05,474.65,474.55,475.01,33509,15917074.6,2386,16153,48.2
ABSLAMC,EQ,19-Sep-2022,475.1,476.25,476.25,466.55,474.25,473.45,472.48,217454,102743142.3,9355,179154,82.39
ABSLAMC,EQ,16-Sep-2022,481.85,486.0,486.0,473.5,475.0,475.1,475.8,90640,43126723.35,8325,64833,71.53
ABSLAMC,EQ,15-Sep-2022,489.15,495.0,495.0,481.0,482.75,481.85,484.49,59933,29036866.75,6393,33037,55.12
ABSLAMC,EQ,14-Sep-2022,495.1,490.0,491.9,487.6,490.0,489.15,489.84,54058,26479710.95,2939,33168,61.36
ABSLAMC,EQ,13-Sep-2022,494.8,500.0,501.0,494.3,495.0,495.1,497.85,84082,41860385.55,4000,56174,66.81
ABSLAMC,EQ,12-Sep-2022,473.9,490.3,503.0,490.0,495.0,494.8,495.84,252634,125265917.9,10085,119197,47.18
ABSLAMC,EQ,09-Sep-2022,474.15,474.3,476.65,470.75,474.9,473.9,473.65,55527,26300498.2,2315,31864,57.38
ABSLAMC,EQ,08-Sep-2022,473.3,470.7,476.7,470.7,474.0,474.15,474.63,59633,28303851.3,2028,33522,56.21
ABSLAMC,EQ,07-Sep-2022,473.9,470.0,476.0,468.8,474.0,473.3,473.56,64813,30692942.75,2192,28926,44.63
