"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
AFFLE,EQ,27-Dec-2019,"1,594.30","1,594.85","1,598.00","1,550.00","1,557.00","1,557.20","1,565.89",92565,144946900.85,6484,23310.0,25.18
AFFLE,EQ,26-Dec-2019,"1,547.65","1,548.20","1,609.60","1,548.20","1,588.00","1,594.30","1,584.92",299769,475109671.8,22806,66562.0,22.2
AFFLE,EQ,24-Dec-2019,"1,419.55","1,424.00","1,564.90","1,417.00","1,548.10","1,547.65","1,514.16",494544,748820338.35,34479,89210.0,18.04
AFFLE,EQ,23-Dec-2019,"1,438.60","1,444.00","1,444.90","1,415.00","1,421.00","1,419.55","1,425.15",33514,47762594.9,2722,13126.0,39.17
AFFLE,EQ,20-Dec-2019,"1,456.05","1,456.05","1,464.80","1,432.10","1,433.00","1,438.60","1,441.51",34124,49190072.15,3842,12679.0,37.16
AFFLE,EQ,19-Dec-2019,"1,425.75","1,430.00","1,472.60","1,420.05","1,459.95","1,456.05","1,448.30",79338,114905355.55,5127,16538.0,20.84
AFFLE,EQ,18-Dec-2019,"1,461.65","1,467.00","1,467.00","1,410.00","1,434.80","1,425.75","1,435.36",65858,94529723.65,5132,19603.0,29.77
AFFLE,EQ,17-Dec-2019,"1,443.45","1,446.70","1,485.00","1,444.15","1,463.00","1,461.65","1,463.88",63681,93221543.25,4259,15210.0,23.88
AFFLE,EQ,16-Dec-2019,"1,491.95","1,502.95","1,502.95","1,440.00","1,444.00","1,443.45","1,456.39",63296,92183915.25,5116,22340.0,35.29
AFFLE,EQ,13-Dec-2019,"1,474.75","1,497.80","1,512.00","1,480.00","1,490.10","1,491.95","1,493.50",85171,127203208.1,5416,19861.0,23.32
AFFLE,EQ,12-Dec-2019,"1,441.95","1,460.05","1,517.85","1,450.00","1,482.00","1,474.75","1,493.75",258027,385426729.1,20760,70903.0,27.48
AFFLE,EQ,11-Dec-2019,"1,341.20","1,354.10","1,450.00","1,350.05","1,449.90","1,441.95","1,417.49",298960,423774082.6,24798,84772.0,28.36
AFFLE,EQ,10-Dec-2019,"1,404.15","1,407.95","1,423.20","1,304.35","1,368.00","1,341.20","1,362.56",140263,191116387.35,15202,56710.0,40.43
AFFLE,EQ,09-Dec-2019,"1,469.05","1,470.00","1,470.30","1,388.05","1,401.75","1,404.15","1,427.31",74592,106465672.9,5904,34893.0,46.78
AFFLE,EQ,06-Dec-2019,"1,497.75","1,507.80","1,508.00","1,456.00","1,470.00","1,469.05","1,480.49",69960,103575078.35,5534,21892.0,31.29
AFFLE,EQ,05-Dec-2019,"1,470.50","1,482.50","1,538.00","1,475.00","1,499.00","1,497.75","1,507.71",137910,207928926.75,11729,36979.0,26.81
AFFLE,EQ,04-Dec-2019,"1,479.65","1,475.00","1,490.00","1,435.00","1,488.50","1,470.50","1,458.80",87210,127222088.35,6428,28712.0,32.92
AFFLE,EQ,03-Dec-2019,"1,490.20","1,485.55","1,512.65","1,470.00","1,483.35","1,479.65","1,485.24",98514,146317354.0,7083,27767.0,28.19
