"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
AMBER,EQ,28-Dec-2018,912.55,910.05,917.95,899.00,911.95,910.30,904.54,11983,10839151.4,823,6182.0,51.59
AMBER,EQ,27-Dec-2018,898.05,898.00,929.00,895.00,917.05,912.55,912.80,4265,3893108.8,726,2536.0,59.46
AMBER,EQ,26-Dec-2018,920.90,912.15,926.55,888.00,889.00,898.05,904.48,24318,21995138.2,1298,18985.0,78.07
AMBER,EQ,24-Dec-2018,926.25,915.05,924.00,903.65,922.45,920.90,919.46,7460,6859191.8,2288,6386.0,85.6
AMBER,EQ,21-Dec-2018,920.20,920.85,934.45,912.10,925.00,926.25,922.53,5256,4848809.25,968,4053.0,77.11
AMBER,EQ,20-Dec-2018,927.35,930.00,935.95,915.00,915.05,920.20,922.09,5219,4812373.7,458,2632.0,50.43
AMBER,EQ,19-Dec-2018,880.45,875.00,945.15,875.00,930.00,927.35,916.59,47214,43275648.65,4255,20574.0,43.58
AMBER,EQ,18-Dec-2018,885.00,886.05,892.95,877.20,881.00,880.45,883.74,2668,2357825.85,193,2345.0,87.89
AMBER,EQ,17-Dec-2018,878.95,889.00,890.00,881.05,885.00,885.00,885.48,3827,3388712.95,165,3297.0,86.15
AMBER,EQ,14-Dec-2018,878.45,882.05,887.00,874.00,880.05,878.95,880.80,1742,1534347.45,147,1345.0,77.21
AMBER,EQ,13-Dec-2018,877.80,885.00,893.00,875.00,877.10,878.45,883.21,1316,1162301.1,201,884.0,67.17
AMBER,EQ,12-Dec-2018,880.40,883.45,899.90,875.00,876.50,877.80,883.62,1112,982580.1,209,727.0,65.38
AMBER,EQ,11-Dec-2018,870.20,845.10,883.95,845.10,880.00,880.40,871.91,2868,2500628.45,390,2145.0,74.79
AMBER,EQ,10-Dec-2018,870.55,870.00,874.95,848.75,872.70,870.20,866.18,6578,5697748.1,1420,4601.0,69.95
AMBER,EQ,07-Dec-2018,868.10,878.00,880.00,868.00,868.00,870.55,874.74,1476,1291119.35,178,858.0,58.13
AMBER,EQ,06-Dec-2018,901.45,896.70,901.05,855.70,855.70,868.10,870.52,19836,17267574.85,4776,14354.0,72.36
AMBER,EQ,05-Dec-2018,914.45,901.50,920.00,890.00,890.00,901.45,909.02,2142,1947123.55,239,1673.0,78.1
AMBER,EQ,04-Dec-2018,928.15,921.55,935.05,913.95,917.00,914.45,917.67,1485,1362737.65,168,1141.0,76.84
AMBER,EQ,03-Dec-2018,919.50,919.50,950.95,914.50,930.00,928.15,935.79,6666,6237999.05,770,4669.0,70.04
AMBER,EQ,30-Nov-2018,915.45,925.00,925.00,901.25,922.00,919.50,917.37,2308,2117292.65,436,1758.0,76.17
AMBER,EQ,29-Nov-2018,915.10,925.00,925.00,907.00,918.00,915.45,914.09,2006,1833673.45,718,1732.0,86.34
AMBER,EQ,28-Nov-2018,915.00,900.60,917.70,900.60,917.00,915.10,914.63,3044,2784126.65,844,2578.0,84.69
AMBER,EQ,27-Nov-2018,910.00,901.00,921.95,895.00,920.00,915.00,903.70,10530,9515976.85,764,9149.0,86.89
AMBER,EQ,26-Nov-2018,913.45,910.00,920.80,896.00,910.00,910.00,906.84,5515,5001207.75,1013,4757.0,86.26
AMBER,EQ,22-Nov-2018,909.45,924.95,924.95,898.00,916.65,913.45,910.54,5056,4603682.45,1109,1817.0,35.94
AMBER,EQ,21-Nov-2018,904.85,889.05,917.00,889.05,915.00,909.45,902.73,2970,2681103.65,735,2644.0,89.02
AMBER,EQ,20-Nov-2018,900.45,890.00,908.05,875.00,905.00,904.85,898.34,4386,3940124.15,1124,3143.0,71.66
AMBER,EQ,19-Nov-2018,864.65,863.75,906.00,855.00,900.00,900.45,886.75,7916,7019536.25,1032,5623.0,71.03
