"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
AMBUJACEM,EQ,30-Dec-2011,157.15,157.95,159.0,154.35,156.2,155.35,156.78,1094764,171634231.55,13208.0,497934.0,45.48
AMBUJACEM,EQ,29-Dec-2011,162.5,161.1,161.85,156.1,156.55,157.15,158.8,1213591,192724030.85,10721.0,635764.0,52.39
AMBUJACEM,EQ,28-Dec-2011,163.05,163.0,164.75,161.15,162.2,162.5,163.67,2642949,432576309.35,13690.0,1761256.0,66.64
AMBUJACEM,EQ,27-Dec-2011,160.05,160.3,163.7,160.3,163.25,163.05,162.91,2842405,463047093.5,17670.0,1831109.0,64.42
AMBUJACEM,EQ,26-Dec-2011,156.0,156.0,160.5,155.05,160.0,160.05,158.32,1600811,253438657.0,15264.0,982815.0,61.39
AMBUJACEM,EQ,23-Dec-2011,155.65,155.3,158.0,154.6,156.0,156.0,156.14,1024938,160038521.25,16260.0,532061.0,51.91
AMBUJACEM,EQ,22-Dec-2011,155.8,155.5,158.75,154.65,155.5,155.65,156.33,1245268,194671036.2,17359.0,496954.0,39.91
AMBUJACEM,EQ,21-Dec-2011,149.35,152.95,157.0,151.0,156.9,155.8,153.69,1085211,166783420.15,22398.0,528844.0,48.73
AMBUJACEM,EQ,20-Dec-2011,154.1,154.0,154.85,147.75,149.05,149.35,150.25,1505653,226218999.5,20389.0,760255.0,50.49
AMBUJACEM,EQ,19-Dec-2011,152.95,151.05,156.75,151.05,154.5,154.1,154.51,2141397,330860799.1,25495.0,1194228.0,55.77
AMBUJACEM,EQ,16-Dec-2011,153.5,153.5,158.9,151.1,154.05,152.95,155.63,1694749,263747414.45,22832.0,771186.0,45.5
AMBUJACEM,EQ,15-Dec-2011,150.85,149.05,154.5,148.05,154.0,153.5,151.08,1213320,183314301.9,15791.0,442674.0,36.48
AMBUJACEM,EQ,14-Dec-2011,150.6,151.0,153.0,148.5,151.9,150.85,150.89,1387088,209298640.6,28436.0,584350.0,42.13
AMBUJACEM,EQ,13-Dec-2011,152.9,151.5,155.4,148.4,151.65,150.6,151.12,1872049,282900368.9,20204.0,829689.0,44.32
AMBUJACEM,EQ,12-Dec-2011,159.6,161.7,161.7,151.5,153.0,152.9,155.66,1886681,293689958.9,19186.0,904200.0,47.93
AMBUJACEM,EQ,09-Dec-2011,160.9,159.85,160.95,156.7,160.0,159.6,158.43,1800138,285199814.35,15770.0,1016742.0,56.48
AMBUJACEM,EQ,08-Dec-2011,161.25,160.1,161.5,159.3,161.0,160.9,160.55,1724124,276807322.7,13908.0,1110289.0,64.4
AMBUJACEM,EQ,07-Dec-2011,162.35,162.4,165.45,160.3,160.3,161.25,163.06,2469103,402614627.45,30300.0,1237999.0,50.14
AMBUJACEM,EQ,05-Dec-2011,160.6,159.05,163.0,158.75,161.05,162.35,161.36,2575818,415621120.95,26106.0,1249996.0,48.53
AMBUJACEM,EQ,02-Dec-2011,148.85,150.6,161.8,150.15,160.9,160.6,157.4,4385194,690213263.25,36153.0,1874308.0,42.74
AMBUJACEM,EQ,01-Dec-2011,148.5,152.15,154.0,147.7,148.5,148.85,150.59,1972268,297009481.85,21636.0,1054156.0,53.45
AMBUJACEM,EQ,30-Nov-2011,146.8,145.0,150.15,144.3,149.05,148.5,147.03,1758583,258561706.4,16880.0,798875.0,45.43
AMBUJACEM,EQ,29-Nov-2011,149.6,150.75,151.9,145.25,146.7,146.8,148.84,1078969,160590025.8,11630.0,346864.0,32.15
AMBUJACEM,EQ,28-Nov-2011,146.5,148.0,150.8,145.85,149.85,149.6,148.4,2141015,317719374.3,13992.0,1053942.0,49.23
AMBUJACEM,EQ,25-Nov-2011,150.75,149.05,150.4,145.0,146.5,146.5,147.49,1248073,184075218.8,13503.0,567429.0,45.46
AMBUJACEM,EQ,24-Nov-2011,146.55,146.5,152.4,141.15,151.6,150.75,147.96,4060068,600739374.35,19411.0,2334344.0,57.5
AMBUJACEM,EQ,23-Nov-2011,148.2,145.5,148.3,144.75,146.4,146.55,146.27,1296678,189664203.6,22608.0,636485.0,49.09
AMBUJACEM,EQ,22-Nov-2011,149.35,150.8,150.8,145.5,147.65,148.2,147.09,2746055,403915953.3,26493.0,1772581.0,64.55
AMBUJACEM,EQ,21-Nov-2011,152.8,150.25,152.2,148.55,150.1,149.35,150.28,1391087,209054465.35,17109.0,903113.0,64.92
AMBUJACEM,EQ,18-Nov-2011,153.6,153.0,153.2,150.9,152.5,152.8,152.18,1385630,210858624.55,13829.0,871195.0,62.87
AMBUJACEM,EQ,17-Nov-2011,157.75,157.75,158.05,153.05,153.9,153.6,155.81,2090094,325660745.3,11614.0,1476532.0,70.64
AMBUJACEM,EQ,16-Nov-2011,160.55,159.55,160.9,156.55,157.8,157.75,158.56,1069124,169519186.6,9632.0,346234.0,32.38
AMBUJACEM,EQ,15-Nov-2011,162.9,162.35,163.75,159.3,160.75,160.55,160.63,1954491,313957744.75,9830.0,1354977.0,69.33
AMBUJACEM,EQ,14-Nov-2011,163.3,164.2,164.9,161.85,163.0,162.9,163.07,1640618,267532014.8,13831.0,990198.0,60.36
AMBUJACEM,EQ,11-Nov-2011,160.95,159.15,163.6,158.8,163.25,163.3,161.89,2121093,343373189.25,13357.0,1340487.0,63.2
AMBUJACEM,EQ,09-Nov-2011,162.9,162.0,162.9,160.0,160.0,160.95,161.67,1306052,211149970.75,14855.0,639632.0,48.97
AMBUJACEM,EQ,08-Nov-2011,161.2,161.25,164.4,160.0,162.55,162.9,163.01,2650149,431995045.25,18865.0,1340344.0,50.58
AMBUJACEM,EQ,04-Nov-2011,157.05,157.05,161.6,157.05,161.4,161.2,160.38,3673094,589080841.5,25916.0,2510513.0,68.35
AMBUJACEM,EQ,03-Nov-2011,156.45,155.9,158.2,154.55,158.2,157.05,156.72,2796668,438292563.45,20339.0,1573163.0,56.25
AMBUJACEM,EQ,02-Nov-2011,154.85,153.0,157.8,151.55,156.25,156.45,155.47,4251569,660973545.1,52013.0,2951949.0,69.43
AMBUJACEM,EQ,01-Nov-2011,155.3,156.0,157.6,150.6,154.95,154.85,153.32,3839235,588648897.7,32563.0,2135413.0,55.62
AMBUJACEM,EQ,31-Oct-2011,160.45,160.0,160.95,153.2,155.25,155.3,155.8,3155787,491679198.0,26087.0,1748733.0,55.41
AMBUJACEM,EQ,28-Oct-2011,154.3,155.3,161.25,155.3,160.4,160.45,159.53,4477260,714268223.25,33097.0,3213525.0,71.77
AMBUJACEM,EQ,26-Oct-2011,153.7,153.8,154.8,153.5,154.1,154.3,154.33,133101,20541577.85,1659.0,47966.0,36.04
AMBUJACEM,EQ,25-Oct-2011,151.1,151.1,155.0,150.6,154.35,153.7,152.98,2802442,428709126.0,24009.0,1594810.0,56.91
AMBUJACEM,EQ,24-Oct-2011,150.3,152.35,154.5,150.25,150.8,151.1,151.84,1707830,259313726.1,10540.0,1043721.0,61.11
AMBUJACEM,EQ,24-Oct-2011,150.3,152.35,154.5,150.25,150.8,151.1,151.84,1707830,259313726.1,10540.0,1043721.0,61.11
AMBUJACEM,EQ,21-Oct-2011,153.9,153.9,154.8,149.55,150.5,150.3,151.74,993505,150754979.6,15413.0,462930.0,46.6
AMBUJACEM,EQ,20-Oct-2011,155.45,154.65,156.1,153.1,153.6,153.9,154.17,1585656,244456554.55,12529.0,883255.0,55.7
AMBUJACEM,EQ,19-Oct-2011,152.25,152.7,156.25,152.7,155.6,155.45,155.14,2311875,358665510.65,14389.0,1415858.0,61.24
AMBUJACEM,EQ,18-Oct-2011,152.85,150.55,154.3,149.75,152.7,152.25,151.29,1489839,225399691.7,10140.0,866410.0,58.15
AMBUJACEM,EQ,17-Oct-2011,149.15,149.15,153.7,147.9,153.1,152.85,150.78,1842415,277801279.55,17508.0,1094089.0,59.38
AMBUJACEM,EQ,14-Oct-2011,147.7,147.0,149.7,146.7,149.0,149.15,148.84,1403504,208890545.5,12407.0,943383.0,67.22
AMBUJACEM,EQ,13-Oct-2011,149.35,149.35,149.8,146.5,147.7,147.7,148.12,1909053,282775845.1,14661.0,1220501.0,63.93
AMBUJACEM,EQ,12-Oct-2011,144.85,143.55,150.0,143.55,148.9,149.35,146.77,3848255,564816623.95,20188.0,2621538.0,68.12
AMBUJACEM,EQ,11-Oct-2011,144.55,146.3,146.3,143.15,145.0,144.85,144.58,1895675,274072997.05,17044.0,1172347.0,61.84
AMBUJACEM,EQ,10-Oct-2011,145.15,144.0,145.0,142.55,144.6,144.55,144.22,2242891,323473508.4,27426.0,1528217.0,68.14
AMBUJACEM,EQ,07-Oct-2011,149.05,150.5,152.0,144.55,144.9,145.15,147.63,2661579,392933021.8,34467.0,1651603.0,62.05
AMBUJACEM,EQ,05-Oct-2011,148.8,148.8,151.3,146.45,148.3,149.05,149.08,2256940,336469620.55,17845.0,1187764.0,52.63
AMBUJACEM,EQ,04-Oct-2011,149.1,148.3,150.5,147.0,148.9,148.8,149.05,1828735,272568104.0,16190.0,936571.0,51.21
AMBUJACEM,EQ,03-Oct-2011,148.9,146.55,149.95,144.1,149.25,149.1,146.8,1010751,148373866.1,10508.0,535338.0,52.96
AMBUJACEM,EQ,30-Sep-2011,147.1,147.05,150.9,145.85,148.8,148.9,149.24,1882592,280955429.3,17332.0,949332.0,50.43
AMBUJACEM,EQ,29-Sep-2011,146.85,147.9,149.0,145.15,147.0,147.1,146.7,2304400,338052559.7,20728.0,1512482.0,65.63
AMBUJACEM,EQ,28-Sep-2011,148.0,148.1,149.75,146.05,146.75,146.85,147.64,1653241,244082869.95,19785.0,1003226.0,60.68
AMBUJACEM,EQ,27-Sep-2011,147.2,148.55,149.6,146.8,148.0,148.0,148.32,1822274,270278995.6,15286.0,1143502.0,62.75
AMBUJACEM,EQ,26-Sep-2011,144.8,144.55,148.9,141.0,147.4,147.2,145.07,1359086,197168020.05,12246.0,791392.0,58.23
AMBUJACEM,EQ,23-Sep-2011,143.45,141.5,147.45,141.5,144.0,144.8,144.21,1583141,228310356.2,15308.0,708919.0,44.78
AMBUJACEM,EQ,22-Sep-2011,149.85,144.7,147.3,142.3,143.7,143.45,145.35,1284915,186765798.35,10809.0,448470.0,34.9
AMBUJACEM,EQ,21-Sep-2011,146.65,146.3,150.0,146.25,149.2,149.85,148.65,1420719,211189934.65,14404.0,859995.0,60.53
AMBUJACEM,EQ,20-Sep-2011,144.35,145.2,147.65,144.9,146.2,146.65,146.54,1687374,247267989.6,13332.0,907974.0,53.81
AMBUJACEM,EQ,19-Sep-2011,143.7,144.3,145.7,142.15,143.65,144.35,144.11,1328261,191410678.8,12337.0,722571.0,54.4
AMBUJACEM,EQ,16-Sep-2011,150.25,150.05,152.4,141.05,142.8,143.7,146.74,4464428,655113810.85,26177.0,2659684.0,59.58
AMBUJACEM,EQ,15-Sep-2011,145.9,147.95,151.7,146.7,151.1,150.25,149.3,2215652,330786512.95,22317.0,1065208.0,48.08
AMBUJACEM,EQ,14-Sep-2011,145.6,146.0,147.95,144.15,146.3,145.9,145.76,1507077,219677746.65,15446.0,651795.0,43.25
AMBUJACEM,EQ,13-Sep-2011,144.7,145.5,147.9,145.0,145.7,145.6,146.49,1830964,268221240.35,16801.0,769033.0,42.0
AMBUJACEM,EQ,12-Sep-2011,138.7,136.8,148.0,135.0,147.0,144.7,141.33,2808162,396871269.2,22640.0,1320382.0,47.02
AMBUJACEM,EQ,09-Sep-2011,147.7,146.15,147.8,137.5,138.25,138.7,141.54,2798398,396093524.5,19762.0,1454711.0,51.98
AMBUJACEM,EQ,08-Sep-2011,147.35,148.15,149.5,143.7,149.5,147.7,146.66,2318338,339999288.0,18440.0,1295913.0,55.9
AMBUJACEM,EQ,07-Sep-2011,139.3,139.0,149.5,138.55,148.1,147.35,145.09,4725985,685692226.8,31532.0,2667039.0,56.43
AMBUJACEM,EQ,06-Sep-2011,132.6,132.0,140.45,131.1,139.5,139.3,137.09,3276291,449156769.15,23926.0,2203808.0,67.27
AMBUJACEM,EQ,05-Sep-2011,135.65,133.9,138.3,131.4,132.05,132.6,134.87,2247161,303077538.6,13151.0,1458204.0,64.89
AMBUJACEM,EQ,02-Sep-2011,133.05,137.0,139.5,134.95,135.9,135.65,136.7,4122021,563476731.65,48519.0,2672499.0,64.83
AMBUJACEM,EQ,30-Aug-2011,133.15,133.6,135.4,132.05,133.0,133.05,132.9,1887955,250912527.15,11158.0,1380917.0,73.14
AMBUJACEM,EQ,29-Aug-2011,132.25,132.25,134.0,131.25,133.0,133.15,132.68,1360679,180531717.0,9360.0,760110.0,55.86
AMBUJACEM,EQ,26-Aug-2011,136.4,136.0,136.7,130.5,130.8,132.25,133.79,1343954,179810736.2,13208.0,710001.0,52.83
AMBUJACEM,EQ,25-Aug-2011,132.55,133.0,138.35,131.2,135.8,136.4,135.67,3295892,447165497.8,20536.0,1732896.0,52.58
AMBUJACEM,EQ,24-Aug-2011,133.15,131.9,133.4,130.8,132.05,132.55,131.93,2322743,306446786.85,12073.0,1733809.0,74.64
AMBUJACEM,EQ,23-Aug-2011,132.0,132.1,134.35,130.6,133.1,133.15,132.69,2193616,291069332.35,7184.0,1678829.0,76.53
