"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ANANTRAJ,EQ,30-Dec-2011,40.9,41.0,41.55,39.0,39.8,39.65,40.14,197120,7912436.55,4207.0,101288.0,51.38
ANANTRAJ,EQ,29-Dec-2011,42.5,41.9,42.3,40.5,41.0,40.9,41.35,240376,9939806.2,3421.0,98570.0,41.01
ANANTRAJ,EQ,28-Dec-2011,44.9,44.9,46.1,41.55,41.8,42.5,43.3,1073732,46490922.9,7701.0,722130.0,67.25
ANANTRAJ,EQ,27-Dec-2011,45.3,45.4,46.5,44.1,44.75,44.9,45.34,299131,13563787.65,3477.0,44941.0,15.02
ANANTRAJ,EQ,26-Dec-2011,42.4,42.9,46.6,42.25,45.4,45.3,44.48,467064,20774180.2,5037.0,79314.0,16.98
ANANTRAJ,EQ,23-Dec-2011,36.25,36.55,43.0,35.6,42.7,42.4,40.54,1042593,42269743.5,10706.0,282448.0,27.09
ANANTRAJ,EQ,22-Dec-2011,38.85,38.9,38.95,35.35,36.35,36.25,36.43,504226,18370159.6,6097.0,266933.0,52.94
ANANTRAJ,EQ,21-Dec-2011,39.55,41.0,41.0,38.4,38.85,38.85,38.94,227456,8857425.5,1159.0,156605.0,68.85
ANANTRAJ,EQ,20-Dec-2011,39.95,39.75,40.2,39.2,39.7,39.55,39.71,108723,4317851.45,1160.0,50969.0,46.88
ANANTRAJ,EQ,19-Dec-2011,44.8,42.4,44.8,39.3,39.6,39.95,40.1,1147500,46017151.25,7264.0,805740.0,70.22
ANANTRAJ,EQ,16-Dec-2011,46.85,47.2,47.5,44.5,45.0,44.8,45.89,94089,4317480.45,1287.0,50912.0,54.11
ANANTRAJ,EQ,15-Dec-2011,47.7,46.7,47.65,45.6,46.5,46.85,46.64,123512,5760484.85,1395.0,70275.0,56.9
ANANTRAJ,EQ,14-Dec-2011,47.25,47.5,48.25,46.7,47.0,47.7,47.9,451838,21641862.35,3752.0,319510.0,70.71
ANANTRAJ,EQ,13-Dec-2011,48.15,47.55,48.05,46.9,47.5,47.25,47.59,101032,4808363.8,1158.0,60308.0,59.69
ANANTRAJ,EQ,12-Dec-2011,48.65,49.4,49.75,47.1,47.9,48.15,48.63,966301,46995108.3,6845.0,639446.0,66.17
ANANTRAJ,EQ,09-Dec-2011,47.05,47.0,49.85,44.7,48.05,48.65,47.46,1451042,68873455.35,10488.0,890872.0,61.4
ANANTRAJ,EQ,08-Dec-2011,49.3,51.05,51.8,45.8,48.1,47.05,49.3,979267,48275168.9,11101.0,493656.0,50.41
ANANTRAJ,EQ,07-Dec-2011,45.95,46.15,50.4,45.9,48.8,49.3,47.2,1375095,64910528.0,5409.0,1187089.0,86.33
ANANTRAJ,EQ,05-Dec-2011,46.3,46.95,47.0,45.5,45.75,45.95,46.04,739882,34066143.5,14605.0,606993.0,82.04
ANANTRAJ,EQ,02-Dec-2011,46.75,46.35,47.0,45.65,46.2,46.3,46.29,92755,4293700.1,1162.0,59727.0,64.39
ANANTRAJ,EQ,01-Dec-2011,45.35,46.1,47.35,45.6,46.45,46.75,46.85,643654,30153493.7,8965.0,553154.0,85.94
ANANTRAJ,EQ,30-Nov-2011,45.45,45.6,46.0,42.2,45.55,45.35,45.29,113424,5136612.5,1309.0,90165.0,79.49
ANANTRAJ,EQ,29-Nov-2011,46.45,46.75,46.9,45.15,45.6,45.45,45.94,65555,3011272.1,859.0,33776.0,51.52
ANANTRAJ,EQ,28-Nov-2011,45.95,47.0,47.5,46.1,46.6,46.45,46.67,96803,4517582.6,1392.0,61781.0,63.82
ANANTRAJ,EQ,25-Nov-2011,45.45,45.9,47.45,45.15,46.0,45.95,46.54,238585,11103424.6,1176.0,198014.0,83.0
ANANTRAJ,EQ,24-Nov-2011,44.0,44.1,46.0,43.0,45.65,45.45,44.94,95015,4269535.45,1373.0,34460.0,36.27
ANANTRAJ,EQ,23-Nov-2011,44.35,45.0,45.3,43.0,44.05,44.0,44.11,371783,16400461.85,1489.0,311627.0,83.82
ANANTRAJ,EQ,22-Nov-2011,43.35,44.35,45.75,42.5,43.9,44.35,44.11,178473,7872670.95,3009.0,113183.0,63.42
ANANTRAJ,EQ,21-Nov-2011,47.1,48.5,49.0,42.0,44.5,43.35,44.79,343124,15366928.5,3415.0,264481.0,77.08
ANANTRAJ,EQ,18-Nov-2011,49.25,49.25,49.25,46.75,47.0,47.1,47.48,176716,8390598.5,1801.0,107825.0,61.02
ANANTRAJ,EQ,17-Nov-2011,48.95,49.1,50.7,48.65,49.3,49.25,50.14,294981,14790360.25,1173.0,227070.0,76.98
ANANTRAJ,EQ,16-Nov-2011,48.8,49.0,50.0,47.6,49.45,48.95,48.51,348059,16886008.6,2305.0,227761.0,65.44
ANANTRAJ,EQ,15-Nov-2011,50.45,50.05,50.85,48.5,48.5,48.8,49.64,172499,8562502.55,1598.0,119628.0,69.35
ANANTRAJ,EQ,14-Nov-2011,51.15,51.15,54.35,49.7,50.5,50.45,51.34,767840,39422405.15,4458.0,551888.0,71.88
ANANTRAJ,EQ,11-Nov-2011,55.35,55.0,55.35,50.3,51.5,51.15,52.29,343338,17952294.8,6037.0,240136.0,69.94
ANANTRAJ,EQ,09-Nov-2011,57.9,59.0,59.0,55.05,55.4,55.35,56.84,126988,7218137.3,1941.0,58760.0,46.27
ANANTRAJ,EQ,08-Nov-2011,58.3,57.9,59.0,56.1,57.5,57.9,57.62,429359,24740722.15,3093.0,345075.0,80.37
ANANTRAJ,EQ,04-Nov-2011,56.8,56.5,58.8,56.2,58.25,58.3,58.11,206306,11988958.0,2384.0,102214.0,49.54
ANANTRAJ,EQ,03-Nov-2011,56.4,55.8,57.9,55.2,56.6,56.8,56.32,363128,20451958.15,2467.0,260022.0,71.61
ANANTRAJ,EQ,02-Nov-2011,53.7,52.7,57.3,52.3,56.3,56.4,55.33,445365,24642880.85,4139.0,270587.0,60.76
ANANTRAJ,EQ,01-Nov-2011,54.2,54.0,54.9,52.4,53.6,53.7,53.57,99547,5332256.25,1478.0,55010.0,55.26
ANANTRAJ,EQ,31-Oct-2011,54.55,54.9,54.9,53.05,53.7,54.2,54.29,368463,20003348.55,1283.0,321713.0,87.31
ANANTRAJ,EQ,28-Oct-2011,51.05,52.0,54.8,51.55,54.55,54.55,53.39,491051,26218800.55,3941.0,363118.0,73.95
ANANTRAJ,EQ,26-Oct-2011,49.85,51.8,52.0,50.45,51.0,51.05,51.01,32681,1667112.2,361.0,20302.0,62.12
ANANTRAJ,EQ,25-Oct-2011,50.15,50.05,50.05,49.55,49.95,49.85,49.89,182370,9099322.15,971.0,135759.0,74.44
ANANTRAJ,EQ,24-Oct-2011,50.5,51.2,52.0,50.0,50.2,50.15,50.6,361025,18267278.95,5307.0,282271.0,78.19
ANANTRAJ,EQ,24-Oct-2011,50.5,51.2,52.0,50.0,50.2,50.15,50.6,361025,18267278.95,5307.0,282271.0,78.19
ANANTRAJ,EQ,21-Oct-2011,52.2,51.5,52.05,50.35,50.6,50.5,50.98,219674,11198718.9,4798.0,149898.0,68.24
ANANTRAJ,EQ,20-Oct-2011,53.35,52.9,52.9,51.5,52.1,52.2,52.17,141640,7389357.8,1353.0,51892.0,36.64
ANANTRAJ,EQ,19-Oct-2011,49.15,50.1,54.0,49.55,53.5,53.35,51.98,744209,38683534.4,5340.0,539861.0,72.54
ANANTRAJ,EQ,18-Oct-2011,49.9,49.7,49.75,48.15,49.2,49.15,49.51,277037,13717023.7,1232.0,219021.0,79.06
ANANTRAJ,EQ,17-Oct-2011,51.9,53.4,53.4,49.7,49.85,49.9,50.16,881747,44225703.55,3656.0,686626.0,77.87
ANANTRAJ,EQ,14-Oct-2011,51.9,52.0,52.85,51.5,51.9,51.9,52.1,109099,5684048.55,1153.0,56528.0,51.81
ANANTRAJ,EQ,13-Oct-2011,50.9,51.0,53.75,50.8,52.2,51.9,52.24,1603563,83775209.35,8204.0,1183999.0,73.84
ANANTRAJ,EQ,12-Oct-2011,49.95,50.0,51.7,49.05,51.0,50.9,50.2,819333,41128021.4,3067.0,630563.0,76.96
ANANTRAJ,EQ,11-Oct-2011,51.3,52.8,52.8,49.7,49.75,49.95,50.81,576587,29298869.25,2954.0,430579.0,74.68
ANANTRAJ,EQ,10-Oct-2011,54.35,54.0,54.0,51.1,51.4,51.3,52.14,420616,21929358.6,5253.0,297993.0,70.85
ANANTRAJ,EQ,07-Oct-2011,54.95,55.95,57.0,51.15,51.8,54.35,54.83,868605,47627679.85,6389.0,624549.0,71.9
ANANTRAJ,EQ,05-Oct-2011,52.9,53.0,55.9,52.6,54.15,54.95,54.78,447501,24515574.05,1867.0,371633.0,83.05
ANANTRAJ,EQ,04-Oct-2011,53.5,53.55,55.4,52.3,53.15,52.9,53.73,189389,10175280.2,3049.0,123314.0,65.11
ANANTRAJ,EQ,03-Oct-2011,57.6,58.0,58.0,53.1,53.3,53.5,54.88,113632,6236688.05,2356.0,76044.0,66.92
ANANTRAJ,EQ,30-Sep-2011,58.0,58.0,58.0,56.1,56.1,57.6,57.7,229640,13250698.85,4911.0,139708.0,60.84
ANANTRAJ,EQ,29-Sep-2011,58.0,58.0,58.95,56.5,58.05,58.0,57.9,684678,39639594.05,1536.0,587442.0,85.8
ANANTRAJ,EQ,28-Sep-2011,58.2,59.0,59.0,57.5,58.05,58.0,58.11,94832,5510773.9,895.0,68750.0,72.5
ANANTRAJ,EQ,27-Sep-2011,58.7,58.2,59.0,58.0,58.2,58.2,58.81,135889,7991869.25,1332.0,95138.0,70.01
ANANTRAJ,EQ,26-Sep-2011,59.15,58.0,60.2,57.35,58.85,58.7,58.42,84545,4939166.3,1172.0,57176.0,67.63
ANANTRAJ,EQ,23-Sep-2011,58.6,58.05,59.95,57.2,59.1,59.15,58.72,108588,6375886.75,2622.0,60137.0,55.38
ANANTRAJ,EQ,22-Sep-2011,61.8,60.6,60.6,58.05,58.05,58.6,59.5,201910,12013243.4,2571.0,124051.0,61.44
ANANTRAJ,EQ,21-Sep-2011,61.8,62.25,62.3,61.65,61.7,61.8,61.95,131178,8126651.6,2388.0,90780.0,69.2
ANANTRAJ,EQ,20-Sep-2011,62.35,61.2,62.5,61.2,61.8,61.8,62.07,229781,14261784.3,2446.0,171130.0,74.48
ANANTRAJ,EQ,19-Sep-2011,62.05,62.1,63.95,60.6,62.05,62.35,62.7,45894,2877638.8,1194.0,16530.0,36.02
ANANTRAJ,EQ,16-Sep-2011,64.55,64.5,64.5,61.3,62.1,62.05,63.4,471313,29879622.4,6470.0,392993.0,83.38
ANANTRAJ,EQ,15-Sep-2011,63.75,63.8,65.45,63.1,64.75,64.55,64.06,397752,25478509.45,3297.0,338362.0,85.07
ANANTRAJ,EQ,14-Sep-2011,63.8,63.75,64.05,63.05,64.0,63.75,63.91,113628,7261720.65,1702.0,85321.0,75.09
ANANTRAJ,EQ,13-Sep-2011,64.1,64.2,65.0,62.8,63.1,63.8,64.11,177338,11369200.7,1138.0,141063.0,79.54
ANANTRAJ,EQ,12-Sep-2011,63.95,65.0,65.0,62.0,64.4,64.1,64.07,301896,19341785.95,3680.0,222531.0,73.71
ANANTRAJ,EQ,09-Sep-2011,65.65,65.65,65.65,63.2,63.5,63.95,64.73,169637,10980350.45,2246.0,99065.0,58.4
ANANTRAJ,EQ,08-Sep-2011,68.55,68.85,69.1,65.15,65.65,65.65,66.64,549378,36610421.15,6231.0,308038.0,56.07
ANANTRAJ,EQ,07-Sep-2011,66.4,66.4,70.0,64.65,68.65,68.55,66.62,856993,57092390.45,5543.0,608969.0,71.06
ANANTRAJ,EQ,06-Sep-2011,63.75,63.7,67.15,61.95,66.35,66.4,64.86,169901,11019862.7,2523.0,62921.0,37.03
ANANTRAJ,EQ,05-Sep-2011,63.7,63.2,64.55,61.95,63.7,63.75,63.44,144205,9147874.4,1602.0,32434.0,22.49
ANANTRAJ,EQ,02-Sep-2011,65.3,65.3,65.9,62.2,63.55,63.7,63.25,230406,14573906.8,2217.0,122795.0,53.3
ANANTRAJ,EQ,30-Aug-2011,64.0,66.2,66.4,64.0,65.5,65.3,65.41,204457,13372670.2,3045.0,69110.0,33.8
