"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ANURAS,EQ,28-Dec-2021,911.9,916.0,923.0,900.0,909.0,909.85,911.2,130241,118675955.5,7402,62197,47.76
ANURAS,EQ,27-Dec-2021,904.95,914.0,926.0,890.05,914.0,911.9,912.38,322192,293960640.95,16150,117237,36.39
ANURAS,EQ,24-Dec-2021,884.4,889.95,915.0,870.95,910.0,904.95,895.79,217600,194924830.3,10431,87259,40.1
ANURAS,EQ,23-Dec-2021,869.1,872.8,890.0,870.0,884.0,884.4,880.19,75121,66121119.1,5049,38760,51.6
ANURAS,EQ,22-Dec-2021,849.0,854.0,900.0,845.05,874.0,869.1,871.16,377183,328585227.25,18897,117765,31.22
ANURAS,EQ,21-Dec-2021,830.25,835.0,872.0,835.0,848.5,849.0,846.59,40591,34364066.0,3098,22082,54.4
ANURAS,EQ,20-Dec-2021,843.4,838.8,838.8,804.15,830.05,830.25,827.9,118759,98320833.95,5281,48106,40.51
ANURAS,EQ,17-Dec-2021,849.9,855.0,856.0,829.5,840.0,843.4,838.71,46876,39315237.15,2630,29017,61.9
ANURAS,EQ,16-Dec-2021,839.45,860.0,870.0,845.45,849.0,849.9,853.02,81252,69309852.8,4140,37546,46.21
ANURAS,EQ,15-Dec-2021,841.6,857.0,875.0,830.05,854.0,839.45,856.87,213551,182985185.7,12070,67193,31.46
ANURAS,EQ,14-Dec-2021,831.5,831.5,848.0,824.45,842.0,841.6,835.76,67589,56488335.75,3475,44917,66.46
ANURAS,EQ,13-Dec-2021,823.05,824.0,834.8,823.1,829.5,831.5,829.08,201622,167160991.5,3300,159775,79.24
ANURAS,EQ,10-Dec-2021,822.55,824.5,829.95,817.8,822.95,823.05,823.37,63394,52196630.5,2968,45046,71.06
ANURAS,EQ,09-Dec-2021,839.3,848.5,848.5,816.4,820.0,822.55,829.54,505335,419197079.45,4390,357352,70.72
ANURAS,EQ,08-Dec-2021,819.5,825.8,845.0,812.9,843.0,839.3,830.84,81528,67736688.1,6044,43162,52.94
ANURAS,EQ,07-Dec-2021,796.65,800.0,821.0,789.55,818.9,819.5,810.81,64962,52671987.65,3206,31272,48.14
ANURAS,EQ,06-Dec-2021,800.55,804.75,804.75,785.1,796.0,796.65,794.71,35825,28470386.25,2682,20169,56.3
ANURAS,EQ,03-Dec-2021,792.7,794.5,808.5,788.0,800.0,800.55,799.02,42010,33566930.35,4246,21803,51.9
ANURAS,EQ,02-Dec-2021,786.5,790.0,795.1,785.0,795.1,792.7,790.75,15468,12231250.3,1436,9101,58.84
ANURAS,EQ,01-Dec-2021,789.15,790.0,795.0,783.1,790.0,786.5,786.62,21852,17189179.25,1278,15265,69.86
ANURAS,EQ,30-Nov-2021,795.9,799.9,806.0,781.6,791.0,789.15,792.01,42737,33847981.8,2643,20746,48.54
ANURAS,EQ,29-Nov-2021,790.8,792.0,803.2,774.0,795.0,795.9,792.82,75892,60168670.85,4581,46439,61.19
ANURAS,EQ,26-Nov-2021,802.3,803.0,804.0,785.05,791.0,790.8,793.25,44044,34937962.35,2897,23959,54.4
ANURAS,EQ,25-Nov-2021,800.6,802.5,808.9,795.05,799.6,802.3,802.3,43961,35270126.8,2724,26516,60.32
ANURAS,EQ,24-Nov-2021,810.75,813.8,818.1,800.0,800.0,800.6,805.4,44078,35500566.95,5081,18547,42.08
ANURAS,EQ,23-Nov-2021,798.05,802.0,814.05,791.1,811.0,810.75,803.63,48248,38773386.7,4064,26107,54.11
ANURAS,EQ,22-Nov-2021,815.05,829.8,829.8,796.0,799.85,798.05,806.04,91523,73771060.75,3788,64238,70.19
ANURAS,EQ,18-Nov-2021,823.75,824.0,829.8,784.8,815.0,815.05,812.99,74198,60322158.1,4375,36364,49.01
ANURAS,EQ,17-Nov-2021,823.1,827.65,877.8,818.0,823.0,823.75,843.36,173941,146694716.9,12617,69392,39.89
ANURAS,EQ,16-Nov-2021,827.15,825.0,829.9,816.1,824.0,823.1,823.77,60940,50200795.45,3793,37382,61.34
ANURAS,EQ,15-Nov-2021,820.35,825.0,832.95,815.0,827.0,827.15,823.02,68332,56238896.3,3567,39771,58.2
ANURAS,EQ,12-Nov-2021,826.15,826.15,835.15,815.0,820.0,820.35,820.72,89284,73277356.85,4786,61616,69.01
ANURAS,EQ,11-Nov-2021,828.1,830.0,839.0,821.1,828.0,826.15,829.62,63391,52590226.95,3295,33965,53.58
ANURAS,EQ,10-Nov-2021,825.95,826.0,850.0,822.95,826.1,828.1,837.7,245746,205861283.0,14479,40771,16.59
