"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
APTUS,EQ,28-Dec-2021,332.95,332.95,337.95,330.0,334.2,333.45,334.48,88323,29542175.75,4878,47094.0,53.32
APTUS,EQ,27-Dec-2021,336.2,339.15,341.85,325.2,334.55,332.95,336.53,134823,45372657.0,4611,60891.0,45.16
APTUS,EQ,24-Dec-2021,334.1,337.95,345.45,334.0,334.0,336.2,338.39,69452,23501955.35,2788,29409.0,42.34
APTUS,EQ,23-Dec-2021,348.4,349.8,349.8,332.95,333.85,334.1,339.56,136173,46239469.4,4616,58450.0,42.92
APTUS,EQ,22-Dec-2021,344.7,341.95,351.3,341.95,348.35,348.4,348.39,145805,50797403.4,13610,73812.0,50.62
APTUS,EQ,21-Dec-2021,348.55,346.0,351.45,340.05,346.0,344.7,347.95,199340,69359966.6,11870,114505.0,57.44
APTUS,EQ,20-Dec-2021,351.25,337.25,351.7,331.4,345.15,348.55,349.14,723690,252665574.5,40501,522011.0,72.13
APTUS,EQ,17-Dec-2021,350.05,346.0,355.0,344.8,351.05,351.25,351.23,862094,302797052.3,58587,523924.0,60.77
APTUS,EQ,16-Dec-2021,343.75,343.75,353.0,343.75,350.05,350.05,350.12,499123,174754832.15,44389,364249.0,72.98
APTUS,EQ,15-Dec-2021,342.6,347.2,347.2,341.0,345.0,343.75,344.54,278055,95801621.65,9395,225028.0,80.93
APTUS,EQ,14-Dec-2021,337.7,334.1,344.0,331.45,343.0,342.6,341.52,187608,64071442.8,12014,91993.0,49.03
APTUS,EQ,13-Dec-2021,336.9,335.55,340.35,335.55,339.0,337.7,337.49,237904,80290835.9,6462,135994.0,57.16
APTUS,EQ,10-Dec-2021,336.8,338.8,338.8,333.85,336.6,336.9,336.62,108659,36576278.85,6083,53562.0,49.29
APTUS,EQ,09-Dec-2021,318.9,322.0,338.0,319.25,336.1,336.8,331.86,392553,130270892.1,17837,212475.0,54.13
APTUS,EQ,08-Dec-2021,311.05,312.7,323.0,311.7,318.25,318.9,315.48,712489,224775897.95,24395,606482.0,85.12
APTUS,EQ,07-Dec-2021,309.85,314.75,314.75,309.7,311.0,311.05,311.11,97981,30482603.95,3542,56373.0,57.53
APTUS,EQ,06-Dec-2021,312.8,313.0,318.2,306.55,311.0,309.85,312.62,883814,276300939.4,10168,795843.0,90.05
APTUS,EQ,03-Dec-2021,317.7,317.7,321.0,310.25,313.0,312.8,314.78,152960,48148675.6,5857,110442.0,72.2
APTUS,EQ,02-Dec-2021,308.95,306.5,319.6,306.4,316.5,317.7,313.89,70316,22071174.1,3558,34274.0,48.74
APTUS,EQ,01-Dec-2021,312.9,314.5,318.0,307.8,309.8,308.95,311.07,153651,47796438.65,3226,115142.0,74.94
APTUS,EQ,30-Nov-2021,308.85,305.55,319.2,305.55,314.45,312.9,313.69,238513,74820329.3,9350,153434.0,64.33
APTUS,EQ,29-Nov-2021,302.55,301.9,309.8,296.05,308.05,308.85,306.75,733796,225089663.1,16816,619779.0,84.46
APTUS,EQ,26-Nov-2021,327.15,324.05,324.05,297.0,300.0,302.55,309.45,474123,146719254.15,24934,308266.0,65.02
APTUS,EQ,25-Nov-2021,333.75,333.8,336.1,318.65,326.0,327.15,325.09,380936,123838098.45,20838,226312.0,59.41
APTUS,EQ,24-Nov-2021,348.4,350.0,350.0,330.9,331.9,333.75,340.35,418619,142475089.95,10434,332173.0,79.35
APTUS,EQ,23-Nov-2021,343.95,343.65,354.95,342.4,347.2,348.4,347.31,454617,157894047.4,20116,356998.0,78.53
APTUS,EQ,22-Nov-2021,350.1,348.0,349.9,341.1,344.45,343.95,345.28,687083,237234309.2,31697,545950.0,79.46
APTUS,EQ,18-Nov-2021,354.0,354.0,355.0,347.1,350.0,350.1,350.34,752145,263502907.1,23231,626542.0,83.3
APTUS,EQ,17-Nov-2021,359.85,361.0,361.0,349.8,352.5,354.0,355.44,616579,219156233.95,25936,478727.0,77.64
APTUS,EQ,16-Nov-2021,351.15,349.1,366.4,349.1,357.95,359.85,354.75,3639847,1291242678.5,34301,2690680.0,73.92
APTUS,EQ,15-Nov-2021,358.7,362.0,363.0,350.25,350.5,351.15,356.42,391383,139496908.4,12268,269299.0,68.81
APTUS,EQ,12-Nov-2021,350.1,346.1,360.0,345.5,358.1,358.7,354.73,747044,265002065.5,30759,558946.0,74.82
APTUS,EQ,11-Nov-2021,349.75,349.05,354.0,347.1,350.15,350.1,350.61,208519,73108448.55,7100,128995.0,61.86
APTUS,EQ,10-Nov-2021,358.4,357.5,358.85,345.15,349.05,349.75,352.11,418817,147470938.1,32523,287791.0,68.72
APTUS,EQ,09-Nov-2021,358.15,355.0,364.4,351.1,357.5,358.4,359.15,604489,217100853.1,32531,408767.0,67.62
APTUS,EQ,08-Nov-2021,347.35,349.7,360.35,347.3,355.8,358.15,355.09,1012267,359446969.8,36708,759247.0,75.0
APTUS,EQ,04-Nov-2021,343.55,345.0,350.0,345.0,346.1,347.35,347.75,218028,75818301.0,7994,158101.0,72.51
APTUS,EQ,03-Nov-2021,338.7,340.1,348.0,336.95,341.95,343.55,342.98,419616,143919174.95,11391,268200.0,63.92
APTUS,EQ,02-Nov-2021,334.9,335.7,342.0,332.5,341.0,338.7,337.12,291524,98279152.6,7656,212424.0,72.87
APTUS,EQ,01-Nov-2021,330.0,339.95,339.95,329.7,334.0,334.9,334.97,334492,112044646.45,12198,201358.0,60.2
APTUS,EQ,29-Oct-2021,324.8,322.25,331.0,322.05,330.0,330.0,327.18,260522,85238421.75,7153,169695.0,65.14
APTUS,EQ,28-Oct-2021,325.2,320.1,329.8,320.1,325.05,324.8,325.08,480804,156302130.95,9924,386375.0,80.36
APTUS,EQ,27-Oct-2021,322.2,324.45,329.0,320.5,325.05,325.2,324.94,463968,150760195.25,10893,332249.0,71.61
APTUS,EQ,26-Oct-2021,311.55,315.0,324.7,307.35,322.45,322.2,318.15,756645,240728099.0,12902,524433.0,69.31
APTUS,EQ,25-Oct-2021,313.65,312.1,318.7,296.0,311.65,311.55,305.73,455881,139376530.3,17512,270997.0,59.44
APTUS,EQ,22-Oct-2021,312.95,312.1,323.0,312.1,314.4,313.65,318.24,219950,69997756.7,7929,113978.0,51.82
APTUS,EQ,21-Oct-2021,311.95,313.8,317.45,310.45,312.0,312.95,313.5,126720,39726224.4,5961,57945.0,45.73
APTUS,EQ,20-Oct-2021,319.95,320.0,322.5,307.0,313.7,311.95,315.71,236500,74664300.6,11522,134537.0,56.89
APTUS,EQ,19-Oct-2021,321.55,322.0,336.0,319.2,320.4,319.95,324.02,391991,127012128.85,14097,208626.0,53.22
APTUS,EQ,18-Oct-2021,326.0,325.05,331.5,320.65,321.5,321.55,325.1,320672,104249711.35,19306,203929.0,63.59
APTUS,EQ,14-Oct-2021,326.8,327.0,333.4,324.35,324.95,326.0,328.17,475899,156176143.3,18349,270865.0,56.92
APTUS,EQ,13-Oct-2021,331.0,332.0,334.7,325.0,326.95,326.8,328.75,421703,138636863.5,16739,270076.0,64.04
APTUS,EQ,12-Oct-2021,324.7,324.7,334.9,321.0,331.65,331.0,328.3,580331,190521849.0,20542,349598.0,60.24
APTUS,EQ,11-Oct-2021,322.25,325.0,330.0,322.0,324.0,324.7,326.0,425755,138795379.75,13401,270899.0,63.63
APTUS,EQ,08-Oct-2021,323.4,324.0,331.95,320.55,322.45,322.25,326.02,212087,69144071.1,6677,111322.0,52.49
APTUS,EQ,07-Oct-2021,322.45,326.25,328.95,322.0,324.0,323.4,324.84,477820,155214773.05,7039,293963.0,61.52
APTUS,EQ,06-Oct-2021,339.15,342.0,349.0,319.85,322.8,322.45,333.84,1841887,614891466.7,30898,838982.0,45.55
APTUS,EQ,05-Oct-2021,310.65,312.35,341.9,309.05,339.0,339.15,329.24,1762675,580342539.45,41023,826765.0,46.9
APTUS,EQ,04-Oct-2021,308.4,310.5,315.0,310.0,311.5,310.65,311.82,315760,98460701.85,8440,200951.0,63.64
APTUS,EQ,01-Oct-2021,316.45,317.0,322.0,303.0,312.0,308.4,310.25,1224476,379887920.75,21365,864805.0,70.63
APTUS,EQ,30-Sep-2021,332.65,335.65,337.4,313.0,315.3,316.45,321.1,1492199,479143387.0,33880,698421.0,46.8
APTUS,EQ,29-Sep-2021,332.05,330.45,336.55,330.05,331.55,332.65,333.54,181597,60569666.15,8843,70861.0,39.02
APTUS,EQ,28-Sep-2021,336.9,336.0,339.9,328.25,331.65,332.05,333.36,468146,156061656.1,26407,207742.0,44.38
