"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ASIANPAINT,EQ,30-Dec-2011,"2,626.70","2,605.00","2,634.55","2,577.10","2,584.00","2,592.35","2,603.90",22531,58668384.2,2785.0,8924.0,39.61
ASIANPAINT,EQ,29-Dec-2011,"2,599.20","2,614.80","2,640.00","2,560.00","2,631.20","2,626.70","2,606.29",101487,264504853.4,11278.0,63689.0,62.76
ASIANPAINT,EQ,28-Dec-2011,"2,670.95","2,670.00","2,718.10","2,550.00","2,600.10","2,599.20","2,629.55",89134,234382065.75,10203.0,51155.0,57.39
ASIANPAINT,EQ,27-Dec-2011,"2,663.05","2,655.05","2,692.00","2,655.05","2,672.00","2,670.95","2,671.18",77746,207673172.25,3375.0,60810.0,78.22
ASIANPAINT,EQ,26-Dec-2011,"2,663.25","2,647.15","2,695.00","2,641.05","2,662.00","2,663.05","2,665.46",28086,74862208.75,3199.0,14381.0,51.2
ASIANPAINT,EQ,23-Dec-2011,"2,758.25","2,760.25","2,769.20","2,640.95","2,645.00","2,663.25","2,693.93",54094,145725357.7,5512.0,29121.0,53.83
ASIANPAINT,EQ,22-Dec-2011,"2,687.50","2,720.00","2,775.00","2,652.00","2,760.00","2,758.25","2,713.39",24071,65313985.25,3155.0,8912.0,37.02
ASIANPAINT,EQ,21-Dec-2011,"2,649.50","2,699.85","2,718.95","2,651.10","2,700.00","2,687.50","2,668.00",39367,105030971.05,5001.0,25453.0,64.66
ASIANPAINT,EQ,20-Dec-2011,"2,659.50","2,699.90","2,749.00","2,645.25","2,650.20","2,649.50","2,650.89",53134,140852409.9,4759.0,36912.0,69.47
ASIANPAINT,EQ,19-Dec-2011,"2,712.70","2,690.05","2,712.65","2,630.05","2,680.00","2,659.50","2,652.97",33496,88863737.35,4192.0,18193.0,54.31
ASIANPAINT,EQ,16-Dec-2011,"2,786.20","2,789.20","2,789.20","2,691.10","2,691.10","2,712.70","2,736.85",48282,132140485.85,6366.0,17576.0,36.4
ASIANPAINT,EQ,15-Dec-2011,"2,782.95","2,779.75","2,800.00","2,756.80","2,787.00","2,786.20","2,782.11",80778,224732975.3,16342.0,55285.0,68.44
ASIANPAINT,EQ,14-Dec-2011,"2,803.70","2,800.55","2,850.00","2,745.00","2,784.00","2,782.95","2,787.36",95348,265769674.9,10467.0,63126.0,66.21
ASIANPAINT,EQ,13-Dec-2011,"2,828.20","2,807.10","2,858.50","2,782.15","2,800.00","2,803.70","2,807.23",114599,321705432.2,20618.0,66790.0,58.28
ASIANPAINT,EQ,12-Dec-2011,"2,830.25","2,844.00","2,858.60","2,791.00","2,839.90","2,828.20","2,814.42",62469,175813954.75,10710.0,42248.0,67.63
ASIANPAINT,EQ,09-Dec-2011,"2,832.70","2,834.90","2,858.55","2,810.25","2,826.00","2,830.25","2,833.57",54312,153896967.85,5918.0,34144.0,62.87
ASIANPAINT,EQ,08-Dec-2011,"2,855.95","2,830.05","2,874.95","2,818.00","2,831.10","2,832.70","2,833.42",159527,452007279.9,5681.0,138503.0,86.82
ASIANPAINT,EQ,07-Dec-2011,"2,854.05","2,830.00","2,881.00","2,830.00","2,855.00","2,855.95","2,857.89",106998,305788879.95,8353.0,80602.0,75.33
ASIANPAINT,EQ,05-Dec-2011,"2,858.45","2,836.10","2,889.00","2,836.10","2,868.00","2,854.05","2,864.90",73082,209372906.5,4376.0,52518.0,71.86
ASIANPAINT,EQ,02-Dec-2011,"2,796.05","2,813.05","2,863.40","2,785.00","2,860.00","2,858.45","2,842.21",65745,186861222.9,7217.0,25971.0,39.5
ASIANPAINT,EQ,01-Dec-2011,"2,879.35","2,900.35","2,980.00","2,757.00","2,801.00","2,796.05","2,825.71",119830,338604470.55,14162.0,58839.0,49.1
ASIANPAINT,EQ,30-Nov-2011,"2,938.50","2,929.00","2,948.00","2,861.20","2,885.00","2,879.35","2,902.17",82327,238926722.1,8898.0,47291.0,57.44
