"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ATUL,EQ,30-Dec-2011,137.55,136.05,140.0,132.25,135.9,134.4,135.58,3969,538109.1,173.0,3162.0,79.67
ATUL,EQ,29-Dec-2011,138.5,137.5,140.0,134.0,137.2,137.55,137.84,3638,501461.5,142.0,2662.0,73.17
ATUL,EQ,28-Dec-2011,144.6,142.0,144.2,137.5,139.0,138.5,140.23,4721,662028.5,263.0,3567.0,75.56
ATUL,EQ,27-Dec-2011,149.85,150.05,150.05,142.15,143.25,144.6,146.83,5928,870382.7,181.0,4778.0,80.6
ATUL,EQ,26-Dec-2011,145.35,146.0,151.0,145.0,149.25,149.85,148.72,22960,3414636.9,482.0,9756.0,42.49
ATUL,EQ,23-Dec-2011,142.95,145.85,148.95,141.7,146.6,145.35,145.86,3381,493148.55,205.0,2561.0,75.75
ATUL,EQ,22-Dec-2011,140.0,140.0,144.9,138.2,144.5,142.95,140.56,9375,1317779.85,339.0,7038.0,75.07
ATUL,EQ,21-Dec-2011,139.8,140.0,143.9,138.5,140.0,140.0,140.35,5514,773898.55,218.0,3929.0,71.25
ATUL,EQ,20-Dec-2011,144.85,144.0,145.0,138.3,141.75,139.8,140.43,21557,3027237.4,287.0,18714.0,86.81
ATUL,EQ,19-Dec-2011,153.3,151.0,151.0,144.05,145.6,144.85,146.43,6229,912121.35,248.0,4273.0,68.6
ATUL,EQ,16-Dec-2011,158.1,158.05,162.0,149.0,150.0,153.3,158.25,14758,2335500.35,414.0,10289.0,69.72
ATUL,EQ,15-Dec-2011,163.65,161.05,162.7,157.05,158.05,158.1,158.86,9708,1542259.45,237.0,7000.0,72.11
ATUL,EQ,14-Dec-2011,165.75,166.85,167.7,162.5,163.05,163.65,164.66,5001,823462.7,308.0,3117.0,62.33
ATUL,EQ,13-Dec-2011,168.3,168.5,169.0,164.2,165.5,165.75,166.62,7790,1297955.85,286.0,4589.0,58.91
ATUL,EQ,12-Dec-2011,171.45,173.0,176.8,167.2,170.2,168.3,169.49,4794,812554.3,158.0,2010.0,41.93
ATUL,EQ,09-Dec-2011,177.2,175.0,175.0,170.5,171.8,171.45,171.88,5604,963236.9,230.0,3801.0,67.83
ATUL,EQ,08-Dec-2011,180.8,178.0,180.75,174.0,178.0,177.2,177.74,5930,1053984.35,283.0,3989.0,67.27
ATUL,EQ,07-Dec-2011,182.4,182.25,184.3,180.0,180.5,180.8,181.45,3626,657925.3,133.0,2596.0,71.59
ATUL,EQ,05-Dec-2011,180.8,182.15,189.0,180.8,182.9,182.4,183.62,19544,3588701.3,421.0,11705.0,59.89
ATUL,EQ,02-Dec-2011,174.0,171.25,183.75,171.2,181.0,180.8,178.91,13923,2490906.75,462.0,9353.0,67.18
ATUL,EQ,01-Dec-2011,170.5,172.0,176.25,172.0,176.25,174.0,173.87,7118,1237603.7,275.0,4386.0,61.62
ATUL,EQ,30-Nov-2011,171.9,169.0,172.5,166.0,172.5,170.5,170.16,4676,795648.8,104.0,3772.0,80.67
ATUL,EQ,29-Nov-2011,172.05,170.0,178.0,166.05,171.8,171.9,173.76,5959,1035446.25,311.0,2573.0,43.18
