"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
BBTC,EQ,30-Dec-2011,349.2,345.3,357.95,340.0,340.05,340.6,343.93,836,287522.15,54.0,616.0,73.68
BBTC,EQ,29-Dec-2011,348.0,345.05,354.0,345.05,347.55,349.2,349.69,499,174493.05,27.0,137.0,27.45
BBTC,EQ,28-Dec-2011,353.35,347.55,354.6,346.8,346.8,348.0,349.67,258,90214.35,21.0,175.0,67.83
BBTC,EQ,27-Dec-2011,364.6,367.5,372.9,351.0,351.0,353.35,359.63,2269,816007.15,82.0,809.0,35.65
BBTC,EQ,26-Dec-2011,348.9,358.95,367.0,354.55,366.0,364.6,361.08,1100,397191.2,75.0,686.0,62.36
BBTC,EQ,23-Dec-2011,354.05,356.5,356.5,347.0,347.0,348.9,351.19,8455,2969347.15,95.0,7123.0,84.25
BBTC,EQ,22-Dec-2011,355.75,354.95,362.95,349.8,353.55,354.05,353.83,1673,591950.25,99.0,584.0,34.91
BBTC,EQ,21-Dec-2011,346.75,352.0,357.95,349.0,357.0,355.75,353.23,385,135995.4,20.0,280.0,72.73
BBTC,EQ,20-Dec-2011,350.55,346.05,357.7,345.0,345.0,346.75,350.35,745,261014.45,48.0,142.0,19.06
BBTC,EQ,19-Dec-2011,357.8,368.85,368.85,345.0,350.1,350.55,350.27,1430,500890.7,72.0,975.0,68.18
BBTC,EQ,16-Dec-2011,361.75,371.0,371.0,355.15,355.15,357.8,365.35,534,195094.75,45.0,202.0,37.83
BBTC,EQ,15-Dec-2011,369.2,375.0,375.0,331.0,361.05,361.75,361.88,4746,1717483.7,114.0,1955.0,41.19
BBTC,EQ,14-Dec-2011,368.6,369.0,374.95,367.0,368.2,369.2,369.02,1311,483781.95,91.0,554.0,42.26
BBTC,EQ,13-Dec-2011,371.1,371.1,371.35,368.0,370.5,368.6,368.84,643,237162.25,43.0,452.0,70.3
BBTC,EQ,12-Dec-2011,380.25,380.55,380.55,370.0,370.05,371.1,374.62,2255,844763.15,106.0,1761.0,78.09
BBTC,EQ,09-Dec-2011,384.0,385.0,386.4,380.05,380.25,380.25,382.31,366,139926.7,26.0,120.0,32.79
BBTC,EQ,08-Dec-2011,393.1,393.5,393.5,383.15,387.0,384.0,385.37,1196,460898.55,38.0,1084.0,90.64
BBTC,EQ,07-Dec-2011,387.3,385.0,397.0,385.0,397.0,393.1,391.32,1728,676192.5,126.0,745.0,43.11
BBTC,EQ,05-Dec-2011,385.7,399.0,399.0,383.0,387.05,387.3,387.25,1856,718732.05,72.0,1156.0,62.28
BBTC,EQ,02-Dec-2011,380.7,378.65,392.0,378.1,385.1,385.7,386.34,2166,836802.25,159.0,1155.0,53.32
BBTC,EQ,01-Dec-2011,380.6,385.0,395.0,376.5,378.4,380.7,384.35,2809,1079640.35,234.0,1065.0,37.91
BBTC,EQ,30-Nov-2011,376.4,380.6,387.7,376.0,381.95,380.6,381.87,5280,2016264.6,225.0,2994.0,56.7
BBTC,EQ,29-Nov-2011,371.4,374.0,388.8,366.7,372.75,376.4,378.34,4343,1643115.3,291.0,2409.0,55.47
BBTC,EQ,28-Nov-2011,367.65,373.2,379.2,369.1,373.85,371.4,372.77,3098,1154845.6,113.0,2442.0,78.83
BBTC,EQ,25-Nov-2011,373.9,384.95,384.95,362.5,365.05,367.65,374.06,2538,949368.8,78.0,2160.0,85.11
BBTC,EQ,24-Nov-2011,381.7,376.15,389.5,370.1,372.2,373.9,375.4,2634,988803.05,94.0,2207.0,83.79
BBTC,EQ,23-Nov-2011,388.0,383.65,391.0,376.25,380.5,381.7,382.93,3874,1483466.25,201.0,2151.0,55.52
BBTC,EQ,22-Nov-2011,392.15,390.65,398.95,384.0,387.0,388.0,388.19,1918,744540.65,90.0,1132.0,59.02
BBTC,EQ,21-Nov-2011,398.75,393.1,408.9,388.95,390.1,392.15,395.39,5512,2179380.95,257.0,2419.0,43.89
BBTC,EQ,18-Nov-2011,400.0,391.1,403.8,391.1,398.0,398.75,399.01,1872,746942.1,85.0,1239.0,66.19
BBTC,EQ,17-Nov-2011,402.4,400.0,410.95,398.2,400.7,400.0,402.12,1938,779304.05,80.0,963.0,49.69
BBTC,EQ,16-Nov-2011,411.85,410.0,423.85,397.0,402.9,402.4,402.33,4826,1941639.3,196.0,3485.0,72.21
BBTC,EQ,15-Nov-2011,429.8,435.0,435.0,410.55,413.5,411.85,420.37,6793,2855580.95,543.0,3545.0,52.19
BBTC,EQ,14-Nov-2011,436.95,447.95,448.0,425.0,425.0,429.8,434.96,2236,972566.6,87.0,1058.0,47.32
BBTC,EQ,11-Nov-2011,443.35,440.05,443.6,432.7,432.7,436.95,439.21,3088,1356275.85,142.0,1500.0,48.58
BBTC,EQ,09-Nov-2011,451.5,454.0,465.0,440.0,441.05,443.35,454.53,5521,2509433.7,296.0,3641.0,65.95
BBTC,EQ,08-Nov-2011,457.85,463.0,463.0,448.0,451.65,451.5,454.65,4409,2004537.1,218.0,1952.0,44.27
BBTC,EQ,04-Nov-2011,454.15,460.0,465.0,455.0,460.0,457.85,459.0,3743,1718050.8,190.0,1329.0,35.51
BBTC,EQ,03-Nov-2011,458.55,464.95,464.95,450.5,455.6,454.15,455.34,2090,951650.15,240.0,1128.0,53.97
BBTC,EQ,02-Nov-2011,450.85,452.45,479.0,452.45,458.0,458.55,469.48,44870,21065432.45,2163.0,8894.0,19.82
BBTC,EQ,01-Nov-2011,446.3,448.0,464.0,441.95,452.5,450.85,450.48,5397,2431246.45,430.0,1315.0,24.37
BBTC,EQ,31-Oct-2011,447.5,464.9,464.9,440.2,444.25,446.3,447.91,2584,1157401.2,163.0,1374.0,53.17
BBTC,EQ,28-Oct-2011,449.55,454.95,460.9,445.0,447.0,447.5,452.51,5381,2434980.85,238.0,4096.0,76.12
BBTC,EQ,26-Oct-2011,432.55,441.8,455.0,437.15,446.5,449.55,448.38,2546,1141575.95,137.0,2001.0,78.59
