"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
BEML,EQ,30-Dec-2011,455.00,455.05,463.00,450.00,457.50,455.15,455.12,48838,22226934.3,2449.0,15327.0,31.38
BEML,EQ,29-Dec-2011,469.30,469.00,473.00,451.00,457.00,455.00,459.94,113816,52348890.35,4413.0,76198.0,66.95
BEML,EQ,28-Dec-2011,466.90,467.35,478.00,457.00,475.00,469.30,464.36,27529,12783488.0,1612.0,10012.0,36.37
BEML,EQ,27-Dec-2011,469.25,470.00,476.00,465.05,467.85,466.90,471.15,45697,21529966.95,3383.0,18099.0,39.61
BEML,EQ,26-Dec-2011,463.60,461.00,480.00,456.00,479.95,469.25,466.84,49597,23153994.05,3010.0,22915.0,46.2
BEML,EQ,23-Dec-2011,463.45,465.05,475.40,461.35,463.55,463.60,470.17,33990,15981110.9,3237.0,12897.0,37.94
BEML,EQ,22-Dec-2011,470.00,468.00,468.65,454.00,463.90,463.45,462.86,58389,27026073.05,3406.0,32350.0,55.4
BEML,EQ,21-Dec-2011,468.50,472.00,485.00,462.30,469.70,470.00,470.76,113166,53273921.2,4106.0,74466.0,65.8
BEML,EQ,20-Dec-2011,462.05,465.00,476.85,453.50,471.05,468.50,466.63,132638,61893412.15,7769.0,34473.0,25.99
BEML,EQ,19-Dec-2011,460.10,455.05,474.85,444.10,466.50,462.05,453.72,57168,25938535.45,4390.0,22608.0,39.55
BEML,EQ,16-Dec-2011,471.55,476.00,481.50,458.25,463.45,460.10,468.99,51806,24296386.25,4833.0,22951.0,44.3
BEML,EQ,15-Dec-2011,479.30,478.75,482.00,462.30,468.30,471.55,471.78,134655,63527122.3,2632.0,118067.0,87.68
BEML,EQ,14-Dec-2011,480.10,484.40,489.75,476.60,478.20,479.30,482.66,65973,31842674.0,7847.0,35492.0,53.8
BEML,EQ,13-Dec-2011,485.45,482.15,487.90,475.20,479.60,480.10,481.45,35253,16972394.65,2286.0,14078.0,39.93
BEML,EQ,12-Dec-2011,504.20,509.85,509.85,480.20,480.20,485.45,494.33,43262,21385895.1,3996.0,21645.0,50.03
BEML,EQ,09-Dec-2011,507.55,503.00,509.40,493.00,501.10,504.20,501.42,56026,28092456.2,3702.0,24743.0,44.16
BEML,EQ,08-Dec-2011,517.30,517.35,521.55,499.05,510.00,507.55,509.53,43592,22211358.9,2785.0,15393.0,35.31
BEML,EQ,07-Dec-2011,518.20,520.60,527.40,513.25,515.60,517.30,520.19,38078,19807891.45,2488.0,13342.0,35.04
BEML,EQ,05-Dec-2011,515.70,515.00,522.95,511.15,519.00,518.20,518.26,42653,22105551.9,2400.0,12938.0,30.33
BEML,EQ,02-Dec-2011,504.30,504.30,519.00,497.05,515.00,515.70,513.39,56424,28967304.6,3839.0,21842.0,38.71
BEML,EQ,01-Dec-2011,504.45,514.00,527.70,499.35,502.75,504.30,513.40,45063,23135195.65,3526.0,9779.0,21.7
BEML,EQ,30-Nov-2011,500.20,500.00,508.50,491.05,505.00,504.45,500.04,154478,77245450.05,3275.0,124261.0,80.44
BEML,EQ,29-Nov-2011,497.50,497.65,504.45,492.05,503.00,500.20,498.83,136231,67955836.8,2821.0,113754.0,83.5
BEML,EQ,28-Nov-2011,484.00,485.00,507.00,470.00,498.00,497.50,499.69,82706,41327656.3,4435.0,30322.0,36.66
BEML,EQ,25-Nov-2011,462.20,458.95,488.00,456.10,483.30,484.00,481.34,227910,109701807.5,4459.0,178687.0,78.4
BEML,EQ,24-Nov-2011,449.05,440.00,467.00,439.00,461.55,462.20,454.67,88077,40046149.75,5314.0,38740.0,43.98
BEML,EQ,23-Nov-2011,472.85,468.00,478.25,436.20,450.15,449.05,452.97,106831,48391463.8,6925.0,32735.0,30.64
BEML,EQ,22-Nov-2011,482.95,486.95,488.60,467.50,474.00,472.85,475.44,67112,31907474.55,4285.0,31031.0,46.24
BEML,EQ,21-Nov-2011,488.25,490.15,492.95,474.85,479.00,482.95,485.25,31955,15506244.2,3346.0,9618.0,30.1
BEML,EQ,18-Nov-2011,494.15,492.85,498.00,477.00,483.50,488.25,485.38,55447,26912810.3,3825.0,20945.0,37.77
BEML,EQ,17-Nov-2011,487.35,489.00,496.00,483.05,494.40,494.15,491.92,57332,28202726.85,3515.0,28309.0,49.38
BEML,EQ,16-Nov-2011,499.90,500.05,500.05,485.00,488.00,487.35,494.20,57992,28659396.15,4374.0,25562.0,44.08
