"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
BERGEPAINT,EQ,30-Dec-2011,85.95,87.1,94.0,86.0,86.9,86.35,87.04,22573,1964650.7,745.0,10799.0,47.84
BERGEPAINT,EQ,29-Dec-2011,86.35,86.45,86.45,85.0,86.2,85.95,85.51,11380,973072.15,410.0,5914.0,51.97
BERGEPAINT,EQ,28-Dec-2011,86.8,86.0,87.2,84.0,86.65,86.35,85.54,31836,2723174.35,839.0,9906.0,31.12
BERGEPAINT,EQ,27-Dec-2011,86.35,85.85,87.3,85.6,86.25,86.8,86.4,20065,1733546.4,613.0,7986.0,39.8
BERGEPAINT,EQ,26-Dec-2011,85.35,85.4,86.9,85.35,86.55,86.35,86.08,16494,1419796.65,585.0,8865.0,53.75
BERGEPAINT,EQ,23-Dec-2011,84.2,85.0,86.8,84.55,85.4,85.35,85.38,46050,3931693.05,1193.0,18740.0,40.69
BERGEPAINT,EQ,22-Dec-2011,83.15,83.15,85.8,81.1,84.8,84.2,84.21,59229,4987948.3,1507.0,19576.0,33.05
BERGEPAINT,EQ,21-Dec-2011,79.35,79.8,85.9,78.25,83.45,83.15,81.9,212550,17408515.5,3023.0,121552.0,57.19
BERGEPAINT,EQ,20-Dec-2011,81.95,81.5,82.0,79.0,79.8,79.35,79.95,54203,4333781.9,877.0,37307.0,68.83
BERGEPAINT,EQ,19-Dec-2011,87.55,87.55,87.55,81.25,81.65,81.95,83.34,80240,6687137.85,1558.0,47479.0,59.17
BERGEPAINT,EQ,16-Dec-2011,90.5,91.0,92.05,86.65,88.0,87.55,89.58,76060,6813418.85,1469.0,53364.0,70.16
BERGEPAINT,EQ,15-Dec-2011,93.5,92.5,93.4,90.2,90.6,90.5,91.1,70120,6387680.4,1030.0,50882.0,72.56
BERGEPAINT,EQ,14-Dec-2011,97.05,96.95,96.95,92.0,92.0,93.5,94.83,63045,5978316.95,1319.0,36264.0,57.52
BERGEPAINT,EQ,13-Dec-2011,97.25,97.35,98.65,96.25,97.0,97.05,97.41,34937,3403045.4,683.0,17092.0,48.92
BERGEPAINT,EQ,12-Dec-2011,98.85,99.75,100.65,96.8,97.5,97.25,98.21,34539,3391904.3,595.0,15571.0,45.08
BERGEPAINT,EQ,09-Dec-2011,98.85,98.0,99.35,97.15,99.15,98.85,98.28,37510,3686312.35,854.0,15053.0,40.13
BERGEPAINT,EQ,08-Dec-2011,100.4,100.2,100.8,98.6,99.0,98.85,99.33,53104,5274868.2,1042.0,31743.0,59.78
BERGEPAINT,EQ,07-Dec-2011,100.35,100.85,101.4,100.1,100.55,100.4,100.73,32067,3230180.2,662.0,12971.0,40.45
BERGEPAINT,EQ,05-Dec-2011,101.05,100.65,101.9,100.1,100.45,100.35,100.51,58383,5868346.85,1414.0,34190.0,58.56
BERGEPAINT,EQ,02-Dec-2011,101.05,101.45,102.35,100.5,101.0,101.05,101.18,122578,12402563.4,2346.0,90804.0,74.08
BERGEPAINT,EQ,01-Dec-2011,103.1,104.9,105.0,100.55,100.8,101.05,102.06,72382,7387515.55,1327.0,43780.0,60.48
BERGEPAINT,EQ,30-Nov-2011,101.75,100.0,103.95,100.0,103.95,103.1,102.46,43299,4436590.0,1303.0,19305.0,44.59
BERGEPAINT,EQ,29-Nov-2011,101.75,102.25,105.0,101.05,102.3,101.75,102.91,81988,8437709.95,1486.0,17437.0,21.27
BERGEPAINT,EQ,28-Nov-2011,102.95,104.55,105.0,101.15,101.6,101.75,102.87,50917,5237836.65,884.0,18415.0,36.17
BERGEPAINT,EQ,25-Nov-2011,101.8,101.35,104.9,100.3,102.85,102.95,103.31,89052,9200245.2,1867.0,27808.0,31.23
BERGEPAINT,EQ,24-Nov-2011,100.45,99.4,102.2,99.4,101.75,101.8,100.78,42859,4319506.2,1190.0,21613.0,50.43
BERGEPAINT,EQ,23-Nov-2011,102.1,102.3,102.65,99.0,100.0,100.45,100.78,184944,18638246.2,5815.0,85814.0,46.4
BERGEPAINT,EQ,22-Nov-2011,99.15,99.25,102.7,99.25,101.8,102.1,101.28,94829,9604270.2,2477.0,46261.0,48.78
BERGEPAINT,EQ,21-Nov-2011,99.95,99.0,100.4,98.7,99.0,99.15,99.53,51663,5141941.55,987.0,28708.0,55.57
BERGEPAINT,EQ,18-Nov-2011,102.55,103.0,103.0,99.1,100.0,99.95,100.19,89291,8946178.65,1527.0,50757.0,56.84
BERGEPAINT,EQ,17-Nov-2011,102.35,102.0,105.9,101.35,102.9,102.55,103.83,72297,7506526.8,1575.0,23842.0,32.98
BERGEPAINT,EQ,16-Nov-2011,107.25,106.9,106.9,101.15,103.25,102.35,103.88,112827,11720793.5,2188.0,52520.0,46.55
BERGEPAINT,EQ,15-Nov-2011,112.0,112.4,112.4,106.65,107.15,107.25,109.22,115107,12572341.75,2472.0,41044.0,35.66
BERGEPAINT,EQ,14-Nov-2011,114.65,116.9,119.9,111.0,113.0,112.0,115.14,279577,32189756.45,4913.0,84948.0,30.38
BERGEPAINT,EQ,11-Nov-2011,111.95,110.0,117.75,110.0,114.9,114.65,115.69,797790,92298354.0,8724.0,271615.0,34.05
BERGEPAINT,EQ,09-Nov-2011,108.1,108.75,115.4,108.75,112.5,111.95,112.51,905571,101885309.9,11555.0,336642.0,37.17
BERGEPAINT,EQ,08-Nov-2011,105.95,105.9,109.0,105.0,109.0,108.1,107.71,233446,25145533.7,3330.0,145186.0,62.19
BERGEPAINT,EQ,04-Nov-2011,107.0,107.0,107.95,104.8,106.3,105.95,106.38,119061,12666254.95,2527.0,59086.0,49.63
BERGEPAINT,EQ,03-Nov-2011,106.0,107.0,108.7,105.25,107.2,107.0,107.61,413766,44523305.05,7069.0,134501.0,32.51
BERGEPAINT,EQ,02-Nov-2011,103.7,104.0,106.5,102.55,105.5,106.0,105.18,296108,31144431.85,5738.0,138303.0,46.71
BERGEPAINT,EQ,01-Nov-2011,100.25,99.5,104.9,99.3,104.0,103.7,102.84,206585,21245742.85,4055.0,104865.0,50.76
BERGEPAINT,EQ,31-Oct-2011,101.2,101.15,101.2,99.9,99.9,100.25,100.46,53926,5417386.1,1055.0,36644.0,67.95
BERGEPAINT,EQ,28-Oct-2011,100.25,101.4,102.05,100.35,102.0,101.2,101.12,99271,10038503.95,2861.0,71581.0,72.11
BERGEPAINT,EQ,26-Oct-2011,100.25,100.5,100.85,99.0,100.25,100.25,99.94,29603,2958512.25,530.0,16644.0,56.22
BERGEPAINT,EQ,25-Oct-2011,100.2,100.5,100.6,98.7,100.0,100.25,99.89,50465,5040972.0,1009.0,31361.0,62.14
BERGEPAINT,EQ,24-Oct-2011,98.65,99.75,100.9,99.0,100.0,100.2,100.21,80159,8032990.75,1475.0,52764.0,65.82
BERGEPAINT,EQ,24-Oct-2011,98.65,99.75,100.9,99.0,100.0,100.2,100.21,80159,8032990.75,1475.0,52764.0,65.82
