"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
BIKAJI,EQ,28-Dec-2022,386.0,405.0,405.3,400.0,405.3,405.3,404.81,499502,202201983.75,4717,257701.0,51.59
BIKAJI,EQ,27-Dec-2022,367.65,375.25,386.0,375.25,386.0,386.0,385.29,290085,111766055.75,2632,154942.0,53.41
BIKAJI,EQ,26-Dec-2022,350.15,347.0,367.65,347.0,367.65,367.65,361.92,210930,76340618.05,6051,126709.0,60.07
BIKAJI,EQ,23-Dec-2022,363.3,356.0,356.4,345.15,350.0,350.15,348.83,856994,298947773.4,12679,242412.0,28.29
BIKAJI,EQ,22-Dec-2022,369.05,369.05,373.85,351.25,365.4,363.3,358.74,435880,156367478.65,15700,197533.0,45.32
BIKAJI,EQ,21-Dec-2022,380.2,382.15,384.0,361.2,370.0,369.05,370.1,389627,144200368.2,9378,200748.0,51.52
BIKAJI,EQ,20-Dec-2022,385.3,380.05,384.9,378.85,379.1,380.2,381.02,161483,61527609.3,4844,74663.0,46.24
BIKAJI,EQ,19-Dec-2022,385.05,386.65,388.0,379.7,385.1,385.3,383.54,252839,96973130.65,10038,123643.0,48.9
BIKAJI,EQ,16-Dec-2022,387.45,385.0,392.8,376.0,386.0,385.05,383.37,1353175,518772497.75,14287,1083111.0,80.04
BIKAJI,EQ,15-Dec-2022,390.25,388.7,397.95,385.05,386.05,387.45,391.33,432752,169350102.45,10410,144336.0,33.35
BIKAJI,EQ,14-Dec-2022,384.0,385.0,403.2,380.3,390.45,390.25,394.06,1222965,481924195.45,19924,393702.0,32.19
BIKAJI,EQ,13-Dec-2022,394.6,396.0,396.4,381.6,382.85,384.0,388.32,362195,140646174.7,11682,178249.0,49.21
BIKAJI,EQ,12-Dec-2022,393.3,394.6,398.95,391.0,396.0,394.6,394.07,415159,163602733.8,11834,163296.0,39.33
BIKAJI,EQ,09-Dec-2022,407.1,409.1,409.1,391.0,394.5,393.3,398.6,570979,227592838.0,15252,295447.0,51.74
BIKAJI,EQ,08-Dec-2022,412.65,412.45,415.5,403.0,406.95,407.1,409.56,957992,392356109.1,21141,358354.0,37.41
BIKAJI,EQ,07-Dec-2022,395.6,410.0,415.35,405.0,407.0,412.65,411.68,2545980,1048140723.0,36049,560888.0,22.03
BIKAJI,EQ,06-Dec-2022,398.3,400.3,406.25,391.25,395.0,395.6,398.63,560446,223408797.2,12789,195431.0,34.87
BIKAJI,EQ,05-Dec-2022,411.9,414.0,415.45,396.0,398.0,398.3,404.27,552058,223178743.05,15348,244882.0,44.36
BIKAJI,EQ,02-Dec-2022,408.05,410.0,417.95,407.5,411.6,411.9,412.63,829068,342101327.0,26089,269417.0,32.5
BIKAJI,EQ,01-Dec-2022,416.45,420.0,430.65,403.4,407.5,408.05,416.02,1318502,548528828.3,30270,415011.0,31.48
BIKAJI,EQ,30-Nov-2022,434.65,431.7,441.95,412.95,415.5,416.45,429.34,3126303,1342242204.7,65437,1204963.0,38.54
BIKAJI,EQ,29-Nov-2022,427.35,426.0,446.8,418.9,430.0,434.65,435.31,6168593,2685261504.6,104959,1718342.0,27.86
BIKAJI,EQ,28-Nov-2022,391.85,387.0,431.0,387.0,421.15,427.35,416.76,6560933,2734333948.35,92315,1922918.0,29.31
BIKAJI,EQ,25-Nov-2022,379.2,387.1,410.0,368.1,390.6,391.85,395.19,9386769,3709597276.55,133176,2310827.0,24.62
