"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
BLUEDART,EQ,30-Dec-2011,"1,544.70","1,560.00","1,602.95","1,529.90","1,595.00","1,583.05","1,572.71",2929,4606476.8,322.0,2179.0,74.39
BLUEDART,EQ,29-Dec-2011,"1,497.15","1,480.00","1,570.00","1,471.00","1,560.05","1,544.70","1,525.67",3253,4962997.1,323.0,2235.0,68.71
BLUEDART,EQ,28-Dec-2011,"1,499.45","1,499.90","1,506.00","1,491.10","1,498.80","1,497.15","1,500.13",1822,2733236.6,95.0,1615.0,88.64
BLUEDART,EQ,27-Dec-2011,"1,494.15","1,497.90","1,510.00","1,494.00","1,494.10","1,499.45","1,502.52",1049,1576142.8,90.0,697.0,66.44
BLUEDART,EQ,26-Dec-2011,"1,486.05","1,466.55","1,495.00","1,466.55","1,494.00","1,494.15","1,490.22",120,178826.95,37.0,75.0,62.5
BLUEDART,EQ,23-Dec-2011,"1,466.75","1,475.00","1,508.00","1,453.00","1,494.00","1,486.05","1,476.61",2634,3889396.5,166.0,1841.0,69.89
BLUEDART,EQ,22-Dec-2011,"1,437.95","1,435.00","1,480.00","1,418.60","1,466.45","1,466.75","1,449.59",938,1359713.35,135.0,559.0,59.59
BLUEDART,EQ,21-Dec-2011,"1,446.45","1,450.10","1,456.00","1,432.95","1,432.95","1,437.95","1,446.73",410,593157.25,85.0,301.0,73.41
BLUEDART,EQ,20-Dec-2011,"1,457.80","1,457.10","1,457.50","1,435.00","1,435.00","1,446.45","1,449.49",355,514567.9,57.0,248.0,69.86
BLUEDART,EQ,19-Dec-2011,"1,478.30","1,500.00","1,500.00","1,450.00","1,450.00","1,457.80","1,463.00",608,889506.3,66.0,511.0,84.05
BLUEDART,EQ,16-Dec-2011,"1,522.65","1,525.00","1,525.00","1,462.10","1,465.00","1,478.30","1,497.72",3702,5544576.4,257.0,3307.0,89.33
BLUEDART,EQ,15-Dec-2011,"1,499.55","1,481.00","1,530.00","1,481.00","1,530.00","1,522.65","1,507.76",2006,3024571.6,252.0,1537.0,76.62
BLUEDART,EQ,14-Dec-2011,"1,472.30","1,484.00","1,520.00","1,470.00","1,505.00","1,499.55","1,500.10",80020,120038388.65,703.0,76914.0,96.12
BLUEDART,EQ,13-Dec-2011,"1,487.05","1,472.00","1,489.75","1,444.05","1,474.00","1,472.30","1,464.61",1025,1501221.45,116.0,585.0,57.07
BLUEDART,EQ,12-Dec-2011,"1,502.40","1,500.00","1,510.00","1,470.00","1,470.00","1,487.05","1,496.09",843,1261202.9,131.0,713.0,84.58
BLUEDART,EQ,09-Dec-2011,"1,490.65","1,487.00","1,510.00","1,475.05","1,502.00","1,502.40","1,496.23",1686,2522637.85,243.0,993.0,58.9
BLUEDART,EQ,08-Dec-2011,"1,460.15","1,455.00","1,523.95","1,450.00","1,463.70","1,490.65","1,494.27",3670,5483953.7,421.0,1829.0,49.84
BLUEDART,EQ,07-Dec-2011,"1,430.65","1,447.90","1,472.00","1,435.00","1,455.00","1,460.15","1,463.18",2685,3928626.3,226.0,2395.0,89.2
BLUEDART,EQ,05-Dec-2011,"1,430.05","1,415.50","1,439.00","1,411.70","1,425.00","1,430.65","1,429.87",380,543352.1,83.0,249.0,65.53
BLUEDART,EQ,02-Dec-2011,"1,410.55","1,401.00","1,458.00","1,401.00","1,422.00","1,430.05","1,438.59",1264,1818383.4,200.0,785.0,62.1
BLUEDART,EQ,01-Dec-2011,"1,387.85","1,423.00","1,448.95","1,398.00","1,410.05","1,410.55","1,415.13",1377,1948637.15,221.0,1050.0,76.25
BLUEDART,EQ,30-Nov-2011,"1,407.30","1,455.00","1,455.00","1,380.00","1,387.00","1,387.85","1,393.44",1616,2251802.3,158.0,1351.0,83.6
BLUEDART,EQ,29-Nov-2011,"1,434.85","1,450.00","1,450.00","1,405.00","1,418.00","1,407.30","1,416.62",1642,2326083.2,209.0,1189.0,72.41
BLUEDART,EQ,28-Nov-2011,"1,450.00","1,539.00","1,539.00","1,425.00","1,439.50","1,434.85","1,450.46",2777,4027936.4,210.0,2048.0,73.75
BLUEDART,EQ,25-Nov-2011,"1,471.30","1,471.15","1,485.00","1,443.15","1,445.10","1,450.00","1,474.06",3273,4824582.6,109.0,2986.0,91.23
BLUEDART,EQ,24-Nov-2011,"1,468.50","1,470.00","1,489.00","1,450.00","1,460.00","1,471.30","1,468.21",2945,4323877.0,227.0,2108.0,71.58
BLUEDART,EQ,23-Nov-2011,"1,478.80","1,469.95","1,492.60","1,456.00","1,469.00","1,468.50","1,475.02",1642,2421986.65,159.0,1171.0,71.32
BLUEDART,EQ,22-Nov-2011,"1,456.15","1,451.15","1,490.00","1,450.00","1,470.00","1,478.80","1,470.74",1555,2287007.9,91.0,1293.0,83.15
BLUEDART,EQ,21-Nov-2011,"1,488.80","1,470.00","1,490.00","1,450.00","1,450.00","1,456.15","1,465.37",1359,1991438.2,143.0,1054.0,77.56
BLUEDART,EQ,18-Nov-2011,"1,505.55","1,500.00","1,501.00","1,449.00","1,480.00","1,488.80","1,472.24",2961,4359313.7,202.0,2276.0,76.87
BLUEDART,EQ,17-Nov-2011,"1,522.75","1,525.00","1,543.75","1,500.00","1,505.05","1,505.55","1,513.40",1389,2102112.9,113.0,1243.0,89.49
BLUEDART,EQ,16-Nov-2011,"1,532.15","1,539.95","1,548.95","1,476.60","1,515.00","1,522.75","1,513.00",8535,12913439.05,661.0,6577.0,77.06
BLUEDART,EQ,15-Nov-2011,"1,565.05","1,561.95","1,565.25","1,489.10","1,550.00","1,532.15","1,532.25",5598,8577538.8,504.0,4410.0,78.78
BLUEDART,EQ,14-Nov-2011,"1,590.30","1,598.00","1,598.00","1,555.15","1,565.00","1,565.05","1,583.96",7905,12521232.45,97.0,7752.0,98.06
BLUEDART,EQ,11-Nov-2011,"1,585.60","1,562.15","1,597.00","1,560.00","1,570.05","1,590.30","1,580.03",1305,2061935.7,118.0,832.0,63.75
BLUEDART,EQ,09-Nov-2011,"1,571.70","1,616.00","1,616.00","1,583.40","1,585.25","1,585.60","1,585.21",13930,22081916.75,103.0,13772.0,98.87
BLUEDART,EQ,08-Nov-2011,"1,572.75","1,570.00","1,599.40","1,569.95","1,571.00","1,571.70","1,584.88",10131,16056381.45,113.0,9946.0,98.17
BLUEDART,EQ,04-Nov-2011,"1,588.00","1,585.00","1,585.00","1,565.20","1,567.10","1,572.75","1,575.35",1222,1925080.25,124.0,783.0,64.08
BLUEDART,EQ,03-Nov-2011,"1,563.55","1,577.20","1,594.95","1,575.00","1,588.00","1,588.00","1,583.29",670,1060801.85,153.0,337.0,50.3
BLUEDART,EQ,02-Nov-2011,"1,580.25","1,605.00","1,621.00","1,552.00","1,567.00","1,563.55","1,574.34",1756,2764539.9,211.0,1309.0,74.54
BLUEDART,EQ,01-Nov-2011,"1,609.65","1,628.00","1,676.00","1,569.90","1,590.00","1,580.25","1,593.16",3996,6366281.4,322.0,3203.0,80.16
BLUEDART,EQ,31-Oct-2011,"1,587.90","1,585.10","1,615.00","1,562.60","1,615.00","1,609.65","1,593.91",1463,2331887.9,173.0,845.0,57.76
BLUEDART,EQ,28-Oct-2011,"1,603.50","1,630.00","1,630.00","1,583.00","1,589.05","1,587.90","1,602.26",2361,3782945.8,287.0,1874.0,79.37
BLUEDART,EQ,26-Oct-2011,"1,584.60","1,600.00","1,615.00","1,591.00","1,610.00","1,603.50","1,604.41",484,776535.45,56.0,403.0,83.26
BLUEDART,EQ,25-Oct-2011,"1,585.35","1,595.00","1,599.70","1,570.00","1,583.95","1,584.60","1,585.53",370,586647.5,65.0,199.0,53.78
BLUEDART,EQ,24-Oct-2011,"1,625.80","1,632.20","1,670.00","1,580.05","1,581.00","1,585.35","1,616.64",3152,5095649.45,394.0,1357.0,43.05
BLUEDART,EQ,24-Oct-2011,"1,625.80","1,632.20","1,670.00","1,580.05","1,581.00","1,585.35","1,616.64",3152,5095649.45,394.0,1357.0,43.05
BLUEDART,EQ,21-Oct-2011,"1,597.65","1,600.00","1,645.00","1,600.00","1,623.00","1,625.80","1,626.89",7170,11664780.0,951.0,4665.0,65.06
BLUEDART,EQ,20-Oct-2011,"1,587.85","1,598.40","1,620.00","1,575.00","1,600.00","1,597.65","1,597.27",734,1172399.15,96.0,419.0,57.08
BLUEDART,EQ,19-Oct-2011,"1,588.05","1,600.00","1,601.00","1,585.00","1,598.40","1,587.85","1,593.97",1469,2341546.55,166.0,722.0,49.15
BLUEDART,EQ,18-Oct-2011,"1,598.50","1,618.00","1,618.00","1,571.50","1,598.00","1,588.05","1,581.90",1877,2969227.95,155.0,1305.0,69.53
BLUEDART,EQ,17-Oct-2011,"1,601.40","1,650.00","1,650.00","1,590.00","1,600.00","1,598.50","1,602.70",650,1041756.55,84.0,399.0,61.38
BLUEDART,EQ,14-Oct-2011,"1,565.80","1,571.10","1,625.00","1,571.10","1,619.90","1,601.40","1,615.00",10061,16248548.1,576.0,8678.0,86.25
BLUEDART,EQ,13-Oct-2011,"1,583.10","1,565.10","1,609.00","1,560.00","1,580.00","1,565.80","1,586.57",2400,3807774.6,419.0,1545.0,64.38
BLUEDART,EQ,12-Oct-2011,"1,580.35","1,556.05","1,597.60","1,556.05","1,575.00","1,583.10","1,584.49",525,831858.55,98.0,382.0,72.76
BLUEDART,EQ,11-Oct-2011,"1,574.10","1,580.10","1,603.90","1,575.00","1,575.00","1,580.35","1,588.36",3226,5124057.5,384.0,2590.0,80.29
BLUEDART,EQ,10-Oct-2011,"1,565.95","1,570.10","1,599.90","1,562.00","1,562.00","1,574.10","1,583.39",739,1170127.75,86.0,409.0,55.35
BLUEDART,EQ,07-Oct-2011,"1,570.70","1,600.00","1,608.00","1,560.25","1,560.25","1,565.95","1,581.17",871,1377195.8,101.0,523.0,60.05
BLUEDART,EQ,05-Oct-2011,"1,572.50","1,596.00","1,617.95","1,565.45","1,567.00","1,570.70","1,596.94",1766,2820198.55,254.0,622.0,35.22
BLUEDART,EQ,04-Oct-2011,"1,584.00","1,590.20","1,635.00","1,560.05","1,570.00","1,572.50","1,614.27",4476,7225482.3,269.0,3504.0,78.28
BLUEDART,EQ,03-Oct-2011,"1,610.85","1,591.00","1,615.00","1,580.00","1,590.00","1,584.00","1,601.13",1118,1790063.65,181.0,722.0,64.58
BLUEDART,EQ,30-Sep-2011,"1,600.65","1,623.80","1,650.00","1,600.00","1,601.05","1,610.85","1,626.12",2045,3325424.75,266.0,995.0,48.66
BLUEDART,EQ,29-Sep-2011,"1,624.25","1,624.25","1,624.25","1,591.15","1,601.00","1,600.65","1,602.70",1149,1841507.75,134.0,772.0,67.19
BLUEDART,EQ,28-Sep-2011,"1,641.80","1,630.15","1,649.00","1,611.10","1,630.00","1,624.25","1,627.62",665,1082368.65,125.0,390.0,58.65
BLUEDART,EQ,27-Sep-2011,"1,647.60","1,655.00","1,656.75","1,635.00","1,635.00","1,641.80","1,647.52",2160,3558646.45,136.0,1852.0,85.74
BLUEDART,EQ,26-Sep-2011,"1,628.15","1,622.10","1,655.75","1,600.00","1,655.00","1,647.60","1,639.14",4179,6849964.2,350.0,3437.0,82.24
BLUEDART,EQ,23-Sep-2011,"1,641.00","1,680.00","1,680.00","1,622.00","1,625.00","1,628.15","1,635.86",819,1339766.85,140.0,471.0,57.51
BLUEDART,EQ,22-Sep-2011,"1,668.85","1,669.70","1,680.00","1,637.00","1,654.75","1,641.00","1,657.60",1078,1786892.65,181.0,805.0,74.68
BLUEDART,EQ,21-Sep-2011,"1,673.45","1,692.25","1,692.25","1,661.20","1,662.80","1,668.85","1,681.13",1125,1891268.4,131.0,740.0,65.78
BLUEDART,EQ,20-Sep-2011,"1,679.90","1,709.00","1,709.00","1,667.35","1,671.95","1,673.45","1,685.79",3209,5409693.3,411.0,1876.0,58.46
BLUEDART,EQ,19-Sep-2011,"1,667.95","1,659.95","1,727.00","1,632.00","1,670.15","1,679.90","1,691.55",2919,4937647.65,564.0,1130.0,38.71
BLUEDART,EQ,16-Sep-2011,"1,665.00","1,685.00","1,705.00","1,639.95","1,652.10","1,667.95","1,663.98",2573,4281414.55,287.0,1055.0,41.0
BLUEDART,EQ,15-Sep-2011,"1,662.40","1,679.00","1,699.00","1,655.40","1,667.00","1,665.00","1,685.02",2726,4593353.9,228.0,1622.0,59.5
BLUEDART,EQ,14-Sep-2011,"1,662.60","1,690.00","1,690.00","1,655.15","1,661.30","1,662.40","1,665.90",669,1114487.5,118.0,350.0,52.32
BLUEDART,EQ,13-Sep-2011,"1,677.95","1,680.00","1,690.00","1,657.05","1,665.00","1,662.60","1,670.14",721,1204167.9,139.0,408.0,56.59
BLUEDART,EQ,12-Sep-2011,"1,679.35","1,655.00","1,685.00","1,655.00","1,676.00","1,677.95","1,675.05",682,1142384.0,106.0,472.0,69.21
BLUEDART,EQ,09-Sep-2011,"1,686.00","1,709.00","1,718.95","1,672.10","1,690.00","1,679.35","1,698.77",1463,2485302.35,185.0,802.0,54.82
