"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
CANFINHOME,EQ,30-Dec-2011,88.5,87.7,92.0,87.7,87.95,88.25,89.09,2766,246410.8,77.0,2202.0,79.61
CANFINHOME,EQ,29-Dec-2011,88.4,87.5,89.0,87.5,88.0,88.5,88.38,2441,215733.4,56.0,1849.0,75.75
CANFINHOME,EQ,28-Dec-2011,90.3,89.65,91.0,88.2,88.3,88.4,89.25,4822,430385.15,104.0,2766.0,57.36
CANFINHOME,EQ,27-Dec-2011,91.2,91.2,91.65,89.8,90.75,90.3,90.33,2438,220221.65,50.0,2391.0,98.07
CANFINHOME,EQ,26-Dec-2011,92.1,91.6,92.5,91.1,91.1,91.2,91.39,1690,154456.9,167.0,1269.0,75.09
CANFINHOME,EQ,23-Dec-2011,92.8,91.95,93.0,90.1,91.65,92.1,91.63,1955,179133.0,80.0,1411.0,72.17
CANFINHOME,EQ,22-Dec-2011,92.35,91.0,92.95,90.0,92.8,92.8,91.53,2032,185991.7,103.0,1588.0,78.15
CANFINHOME,EQ,21-Dec-2011,89.1,89.0,92.5,88.5,91.85,92.35,91.42,4505,411848.6,189.0,3389.0,75.23
CANFINHOME,EQ,20-Dec-2011,89.25,89.1,90.9,89.0,89.1,89.1,89.4,2654,237270.05,71.0,2321.0,87.45
CANFINHOME,EQ,19-Dec-2011,91.65,91.95,92.0,88.0,89.0,89.25,90.36,4984,450330.35,134.0,4202.0,84.31
CANFINHOME,EQ,16-Dec-2011,91.65,92.0,92.6,91.1,92.0,91.65,91.81,3176,291591.8,55.0,2935.0,92.41
CANFINHOME,EQ,15-Dec-2011,91.2,91.85,93.0,90.7,92.0,91.65,91.54,7181,657320.4,196.0,5154.0,71.77
CANFINHOME,EQ,14-Dec-2011,89.95,91.85,92.1,90.1,91.2,91.2,91.37,4271,390227.5,83.0,3466.0,81.15
CANFINHOME,EQ,13-Dec-2011,92.1,92.1,92.1,88.7,89.9,89.95,90.42,2156,194955.55,133.0,1362.0,63.17
CANFINHOME,EQ,12-Dec-2011,91.9,92.3,93.0,91.8,91.8,92.1,92.42,3437,317632.2,82.0,3247.0,94.47
CANFINHOME,EQ,09-Dec-2011,94.35,93.5,94.5,91.1,91.8,91.9,92.05,4009,369033.9,170.0,2695.0,67.22
CANFINHOME,EQ,08-Dec-2011,96.15,96.5,96.5,93.25,93.25,94.35,95.1,3469,329896.5,162.0,2628.0,75.76
CANFINHOME,EQ,07-Dec-2011,94.95,95.75,97.35,94.05,95.75,96.15,95.87,7236,693706.25,346.0,3706.0,51.22
CANFINHOME,EQ,05-Dec-2011,94.0,94.75,95.9,94.25,94.65,94.95,94.9,4688,444883.45,150.0,3836.0,81.83
CANFINHOME,EQ,02-Dec-2011,93.2,92.5,94.5,91.8,94.2,94.0,93.44,2081,194441.1,79.0,1182.0,56.8
CANFINHOME,EQ,01-Dec-2011,92.35,93.05,94.6,91.5,93.65,93.2,93.69,2536,237606.3,170.0,1576.0,62.15
CANFINHOME,EQ,30-Nov-2011,91.9,91.0,92.9,89.8,92.2,92.35,91.66,2885,264445.25,127.0,1676.0,58.09
CANFINHOME,EQ,29-Nov-2011,91.75,93.9,93.9,91.0,93.0,91.9,92.06,1487,136887.9,84.0,843.0,56.69
CANFINHOME,EQ,28-Nov-2011,90.25,91.5,92.2,90.05,91.4,91.75,91.49,2316,211899.3,140.0,1599.0,69.04
CANFINHOME,EQ,25-Nov-2011,89.55,90.0,91.9,89.0,90.65,90.25,90.41,2799,253068.65,96.0,1783.0,63.7
CANFINHOME,EQ,24-Nov-2011,89.75,90.45,90.45,88.9,90.4,89.55,89.86,3899,350347.45,86.0,3336.0,85.56
CANFINHOME,EQ,23-Nov-2011,90.9,89.0,91.6,88.55,90.0,89.75,89.97,5034,452886.8,236.0,4036.0,80.17
CANFINHOME,EQ,22-Nov-2011,90.5,90.5,91.45,89.25,91.0,90.9,90.44,3657,330743.65,113.0,2846.0,77.82
CANFINHOME,EQ,21-Nov-2011,93.95,94.9,94.9,89.8,90.45,90.5,91.2,8166,744724.95,255.0,6940.0,84.99
CANFINHOME,EQ,18-Nov-2011,95.4,95.7,95.85,92.6,94.45,93.95,93.79,8771,822625.55,143.0,3631.0,41.4
CANFINHOME,EQ,17-Nov-2011,95.15,95.0,96.15,93.6,95.1,95.4,95.04,7131,677741.4,216.0,5801.0,81.35
CANFINHOME,EQ,16-Nov-2011,98.35,97.5,99.85,94.75,95.0,95.15,96.6,12467,1204265.25,345.0,8791.0,70.51
CANFINHOME,EQ,15-Nov-2011,100.0,100.35,100.5,97.05,99.0,98.35,98.97,7665,758610.75,149.0,6211.0,81.03
CANFINHOME,EQ,14-Nov-2011,103.35,104.75,104.75,99.7,99.75,100.0,102.53,11722,1201798.95,307.0,6295.0,53.7
CANFINHOME,EQ,11-Nov-2011,102.55,103.0,105.45,100.5,103.0,103.35,103.37,29911,3091932.2,619.0,11486.0,38.4
CANFINHOME,EQ,09-Nov-2011,103.15,103.0,104.45,102.5,102.5,102.55,103.02,2917,300519.9,85.0,1854.0,63.56
CANFINHOME,EQ,08-Nov-2011,104.4,105.0,105.0,102.0,102.6,103.15,103.19,1971,203386.45,96.0,1007.0,51.09
CANFINHOME,EQ,04-Nov-2011,104.45,105.0,105.8,104.05,104.7,104.4,104.67,7622,797829.8,179.0,4026.0,52.82
CANFINHOME,EQ,03-Nov-2011,104.4,104.75,104.9,103.65,104.8,104.45,104.18,14192,1478571.25,268.0,9173.0,64.64
CANFINHOME,EQ,02-Nov-2011,103.1,104.0,108.9,103.5,104.25,104.4,106.47,147997,15757212.15,2241.0,18180.0,12.28
CANFINHOME,EQ,01-Nov-2011,103.6,103.6,104.75,102.4,103.4,103.1,103.43,12640,1307295.55,290.0,7829.0,61.94
CANFINHOME,EQ,31-Oct-2011,103.9,104.45,107.0,101.75,104.05,103.6,104.83,38627,4049365.5,559.0,9180.0,23.77
CANFINHOME,EQ,28-Oct-2011,99.4,100.5,106.0,100.1,103.7,103.9,104.18,104859,10924257.25,1220.0,27604.0,26.32
CANFINHOME,EQ,26-Oct-2011,99.15,99.95,100.95,98.05,99.0,99.4,99.73,6922,690356.4,163.0,3700.0,53.45
CANFINHOME,EQ,25-Oct-2011,99.45,98.45,99.95,98.45,99.25,99.15,99.46,8795,874725.45,208.0,5335.0,60.66
CANFINHOME,EQ,24-Oct-2011,101.65,102.05,103.1,99.05,99.45,99.45,101.19,15401,1558489.2,301.0,8663.0,56.25
CANFINHOME,EQ,24-Oct-2011,101.65,102.05,103.1,99.05,99.45,99.45,101.19,15401,1558489.2,301.0,8663.0,56.25
CANFINHOME,EQ,21-Oct-2011,103.0,102.0,106.4,101.1,102.4,101.65,104.41,103186,10773952.8,1504.0,13663.0,13.24
CANFINHOME,EQ,20-Oct-2011,102.35,101.5,104.25,99.95,102.9,103.0,102.92,67680,6965686.5,1107.0,12456.0,18.4
CANFINHOME,EQ,19-Oct-2011,100.2,102.0,108.3,101.25,102.15,102.35,104.9,178074,18680713.5,2699.0,16229.0,9.11
CANFINHOME,EQ,18-Oct-2011,102.25,101.0,106.4,99.05,100.0,100.2,104.03,164940,17158630.45,2657.0,21539.0,13.06
CANFINHOME,EQ,17-Oct-2011,97.15,97.5,104.75,97.5,102.05,102.25,102.11,129098,13181901.55,1739.0,29402.0,22.77
CANFINHOME,EQ,14-Oct-2011,95.55,95.8,97.4,95.0,97.4,97.15,96.87,5802,562051.95,153.0,4804.0,82.8
