"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
CCL,EQ,30-Dec-2011,118.55,118.6,120.35,115.0,115.5,116.1,117.83,7740,911966.7,178.0,5612.0,72.51
CCL,EQ,29-Dec-2011,119.0,118.3,119.7,118.05,118.35,118.55,118.61,2376,281813.55,64.0,1017.0,42.8
CCL,EQ,28-Dec-2011,121.65,119.6,121.95,118.15,119.05,119.0,119.95,1069,128221.65,89.0,604.0,56.5
CCL,EQ,27-Dec-2011,120.4,122.1,122.95,120.15,121.95,121.65,121.62,3618,440037.45,136.0,2908.0,80.38
CCL,EQ,26-Dec-2011,121.35,123.0,124.0,115.0,120.3,120.4,119.5,12421,1484279.1,330.0,7475.0,60.18
CCL,EQ,23-Dec-2011,118.05,120.3,124.0,119.0,121.8,121.35,121.93,3273,399071.25,148.0,1625.0,49.65
CCL,EQ,22-Dec-2011,121.25,119.1,120.7,115.65,117.95,118.05,117.91,3149,371302.75,167.0,2078.0,65.99
CCL,EQ,21-Dec-2011,117.05,116.05,124.0,116.05,120.55,121.25,121.66,5087,618903.25,200.0,2908.0,57.17
CCL,EQ,20-Dec-2011,126.45,125.2,127.0,115.25,116.0,117.05,121.25,8433,1022483.7,345.0,6364.0,75.47
CCL,EQ,19-Dec-2011,131.4,130.1,130.45,125.05,126.45,126.45,127.33,3532,449720.45,143.0,2577.0,72.96
CCL,EQ,16-Dec-2011,130.85,134.0,137.0,129.3,133.3,131.4,133.27,10587,1410877.15,352.0,5825.0,55.02
CCL,EQ,15-Dec-2011,135.15,133.0,133.5,130.5,130.5,130.85,131.78,2374,312834.1,91.0,1770.0,74.56
CCL,EQ,14-Dec-2011,136.4,135.0,136.0,133.3,136.0,135.15,135.51,738,100005.7,31.0,670.0,90.79
CCL,EQ,13-Dec-2011,135.8,133.05,136.9,133.05,136.4,136.4,135.68,1153,156441.1,75.0,735.0,63.75
CCL,EQ,12-Dec-2011,136.5,137.55,139.45,132.5,135.7,135.8,136.6,3920,535452.55,265.0,2426.0,61.89
CCL,EQ,09-Dec-2011,140.1,137.0,138.15,134.1,136.3,136.5,136.62,3389,463013.05,136.0,1954.0,57.66
CCL,EQ,08-Dec-2011,140.65,138.5,141.0,137.5,140.8,140.1,139.5,3274,456729.8,175.0,2383.0,72.79
CCL,EQ,07-Dec-2011,140.35,142.45,142.45,140.05,140.3,140.65,141.35,3604,509427.75,109.0,2773.0,76.94
CCL,EQ,05-Dec-2011,139.3,139.9,141.5,138.0,140.0,140.35,139.66,2606,363962.2,106.0,2141.0,82.16
CCL,EQ,02-Dec-2011,138.75,137.0,142.0,137.0,140.0,139.3,139.21,4174,581063.3,183.0,1885.0,45.16
CCL,EQ,01-Dec-2011,136.8,142.8,143.85,137.55,138.1,138.75,139.88,5562,778013.05,188.0,3514.0,63.18
CCL,EQ,30-Nov-2011,137.65,137.65,138.9,135.1,136.0,136.8,136.34,3524,480476.65,187.0,2691.0,76.36
CCL,EQ,29-Nov-2011,140.7,144.0,144.0,136.3,136.7,137.65,140.17,8287,1161626.65,310.0,5955.0,71.86
CCL,EQ,28-Nov-2011,140.55,143.0,145.9,139.3,139.5,140.7,141.92,11022,1564225.8,265.0,8444.0,76.61
CCL,EQ,25-Nov-2011,141.0,140.0,144.75,140.0,141.3,140.55,141.65,5194,735753.85,154.0,4254.0,81.9
CCL,EQ,24-Nov-2011,143.4,141.05,143.0,138.1,141.25,141.0,140.84,4878,687003.25,191.0,2988.0,61.25
CCL,EQ,23-Nov-2011,142.9,144.1,148.9,138.55,140.0,143.4,141.51,6373,901822.85,269.0,3295.0,51.7
CCL,EQ,22-Nov-2011,143.7,143.05,146.1,140.5,142.8,142.9,143.8,6035,867816.45,248.0,4468.0,74.03
CCL,EQ,21-Nov-2011,144.95,145.0,146.95,140.55,145.0,143.7,143.53,4333,621908.65,144.0,3107.0,71.71
CCL,EQ,18-Nov-2011,148.55,145.1,149.0,140.0,148.85,144.95,142.92,6426,918377.3,279.0,3389.0,52.74
CCL,EQ,17-Nov-2011,145.9,146.0,152.5,145.75,148.5,148.55,149.48,5807,868055.4,231.0,3868.0,66.61
CCL,EQ,16-Nov-2011,149.0,148.0,151.0,143.0,146.25,145.9,146.59,13187,1933053.3,521.0,5162.0,39.14
CCL,EQ,15-Nov-2011,158.15,157.0,159.7,148.1,148.55,149.0,151.58,10343,1567814.05,391.0,5788.0,55.96
CCL,EQ,14-Nov-2011,164.85,165.0,166.55,157.6,158.0,158.15,162.75,9265,1507859.5,320.0,6428.0,69.38
CCL,EQ,11-Nov-2011,168.2,166.1,171.0,163.0,164.0,164.85,165.7,8466,1402775.85,321.0,5244.0,61.94
CCL,EQ,09-Nov-2011,167.85,166.4,172.1,165.0,167.0,168.2,169.22,17410,2946162.4,403.0,11358.0,65.24
CCL,EQ,08-Nov-2011,164.75,166.9,170.9,164.0,168.75,167.85,168.88,22243,3756477.0,751.0,10819.0,48.64
CCL,EQ,04-Nov-2011,164.95,165.1,168.4,164.2,164.8,164.75,166.18,9219,1532028.5,255.0,6992.0,75.84
CCL,EQ,03-Nov-2011,166.7,168.45,169.4,164.0,165.8,164.95,166.19,9747,1619870.85,336.0,7445.0,76.38
CCL,EQ,02-Nov-2011,169.75,167.0,170.7,165.15,166.8,166.7,168.32,6778,1140872.4,205.0,3917.0,57.79
CCL,EQ,01-Nov-2011,168.5,167.1,175.8,166.95,169.8,169.75,172.6,17204,2969403.55,685.0,4667.0,27.13
CCL,EQ,31-Oct-2011,168.0,170.85,174.55,167.05,167.05,168.5,169.24,8834,1495096.45,248.0,4966.0,56.21
CCL,EQ,28-Oct-2011,167.15,169.0,173.95,167.5,168.3,168.0,169.11,4438,750507.55,202.0,2745.0,61.85
CCL,EQ,26-Oct-2011,165.0,168.0,168.8,165.4,167.2,167.15,166.92,835,139379.15,51.0,721.0,86.35
CCL,EQ,25-Oct-2011,164.1,166.6,166.6,163.7,165.95,165.0,164.98,3057,504345.65,121.0,1506.0,49.26
CCL,EQ,24-Oct-2011,163.05,165.0,167.45,164.0,164.7,164.1,165.23,4508,744867.75,290.0,2549.0,56.54
CCL,EQ,24-Oct-2011,163.05,165.0,167.45,164.0,164.7,164.1,165.23,4508,744867.75,290.0,2549.0,56.54
CCL,EQ,21-Oct-2011,165.6,167.85,168.1,162.55,163.0,163.05,165.05,3849,635264.75,203.0,1993.0,51.78
CCL,EQ,20-Oct-2011,167.65,169.65,169.65,165.0,165.3,165.6,165.69,2093,346785.7,111.0,1320.0,63.07
CCL,EQ,19-Oct-2011,165.4,167.8,169.15,165.75,168.45,167.65,167.98,6857,1151849.15,281.0,2727.0,39.77
CCL,EQ,18-Oct-2011,167.6,166.0,166.8,162.8,165.95,165.4,165.19,5478,904894.3,183.0,3292.0,60.09
CCL,EQ,17-Oct-2011,170.95,170.15,172.2,166.25,167.6,167.6,168.46,7490,1261744.05,294.0,4901.0,65.43
CCL,EQ,14-Oct-2011,170.45,170.65,172.45,168.75,170.7,170.95,170.71,21212,3621064.1,317.0,15987.0,75.37
CCL,EQ,13-Oct-2011,167.7,169.9,177.5,168.55,171.0,170.45,172.56,32194,5555406.75,1041.0,12190.0,37.86
CCL,EQ,12-Oct-2011,168.65,170.8,170.8,166.35,167.8,167.7,168.39,8435,1420382.7,263.0,3629.0,43.02
CCL,EQ,11-Oct-2011,168.8,170.9,174.5,168.3,168.5,168.65,171.38,26147,4481008.5,743.0,6946.0,26.57
CCL,EQ,10-Oct-2011,163.05,165.0,178.0,163.15,168.1,168.8,172.15,82924,14274956.1,2078.0,28756.0,34.68
CCL,EQ,07-Oct-2011,161.05,165.5,166.35,161.15,163.8,163.05,163.86,7341,1202899.45,275.0,3113.0,42.41
CCL,EQ,05-Oct-2011,160.45,164.7,164.7,157.95,160.2,161.05,160.21,42089,6743284.45,952.0,22408.0,53.24
CCL,EQ,04-Oct-2011,161.3,158.6,163.0,157.05,161.8,160.45,160.12,11732,1878479.6,362.0,4019.0,34.26
CCL,EQ,03-Oct-2011,161.9,160.8,164.85,158.0,160.0,161.3,161.65,7241,1170493.2,296.0,5073.0,70.06
CCL,EQ,30-Sep-2011,165.3,163.15,167.75,161.0,161.55,161.9,164.74,6795,1119416.45,278.0,4064.0,59.81
CCL,EQ,29-Sep-2011,164.2,160.65,166.5,160.65,165.0,165.3,164.81,6910,1138869.3,323.0,3125.0,45.22
CCL,EQ,28-Sep-2011,168.7,168.0,169.55,161.6,164.0,164.2,166.35,12149,2020959.95,488.0,5446.0,44.83
CCL,EQ,27-Sep-2011,159.15,162.0,172.5,162.0,168.35,168.7,169.93,62717,10657567.45,1857.0,10244.0,16.33
CCL,EQ,26-Sep-2011,166.85,167.0,169.0,157.85,159.5,159.15,161.84,18158,2938646.1,617.0,8484.0,46.72
