"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ITDCEM,EQ,30-Dec-2011,110.9,106.0,118.95,106.0,118.9,118.9,115.08,1395,160530.35,90.0,1358.0,97.35
ITDCEM,EQ,29-Dec-2011,114.8,111.0,112.0,110.0,112.0,110.9,110.77,615,68122.85,120.0,340.0,55.28
ITDCEM,EQ,28-Dec-2011,116.7,118.5,118.5,112.0,113.0,114.8,114.83,832,95539.6,53.0,551.0,66.23
ITDCEM,EQ,27-Dec-2011,118.55,122.0,122.0,116.05,117.95,116.7,118.76,519,61634.95,140.0,430.0,82.85
ITDCEM,EQ,26-Dec-2011,121.95,119.1,120.1,118.55,118.55,118.55,119.11,167,19890.9,24.0,121.0,72.46
ITDCEM,EQ,23-Dec-2011,120.35,117.05,126.0,117.05,121.95,121.95,120.88,275,33242.65,61.0,206.0,74.91
ITDCEM,EQ,22-Dec-2011,118.2,120.95,120.95,120.35,120.35,120.35,120.59,5,602.95,4.0,5.0,100.0
ITDCEM,EQ,21-Dec-2011,120.15,129.9,129.9,117.5,119.8,118.2,123.28,116,14301.05,75.0,113.0,97.41
ITDCEM,EQ,20-Dec-2011,120.85,120.0,123.45,120.0,120.15,120.15,120.78,130,15701.7,14.0,106.0,81.54
ITDCEM,EQ,19-Dec-2011,125.1,120.0,125.0,117.7,120.85,120.85,118.77,196,23278.1,20.0,189.0,96.43
ITDCEM,EQ,16-Dec-2011,125.45,125.35,125.45,125.05,125.1,125.1,125.2,488,61098.15,40.0,483.0,98.98
ITDCEM,EQ,15-Dec-2011,118.0,113.05,129.9,113.05,128.8,125.45,122.28,5780,706805.0,318.0,5012.0,86.71
ITDCEM,EQ,14-Dec-2011,116.6,119.95,119.95,116.3,118.0,118.0,118.46,8128,962866.4,56.0,8073.0,99.32
ITDCEM,EQ,13-Dec-2011,119.85,122.5,122.5,115.1,116.0,116.6,117.7,427,50257.9,108.0,143.0,33.49
ITDCEM,EQ,12-Dec-2011,125.35,122.2,125.95,118.15,119.85,119.85,120.53,1281,154392.75,305.0,604.0,47.15
ITDCEM,EQ,09-Dec-2011,128.05,126.7,127.85,123.0,125.35,125.35,124.62,2083,259586.35,178.0,1613.0,77.44
ITDCEM,EQ,08-Dec-2011,130.0,130.2,130.25,128.0,129.7,128.05,129.51,787,101923.1,46.0,706.0,89.71
ITDCEM,EQ,07-Dec-2011,129.55,134.9,134.9,130.0,130.0,130.0,131.25,1228,161172.35,86.0,653.0,53.18
ITDCEM,EQ,05-Dec-2011,135.7,131.0,139.0,128.1,128.1,129.55,130.32,5555,723916.95,251.0,4306.0,77.52
ITDCEM,EQ,02-Dec-2011,132.5,136.95,137.5,132.15,135.0,135.7,135.15,661,89336.05,150.0,287.0,43.42
ITDCEM,EQ,01-Dec-2011,137.75,138.0,138.5,131.15,132.3,132.5,134.17,737,98880.4,149.0,200.0,27.14
ITDCEM,EQ,30-Nov-2011,134.0,134.95,140.0,132.0,137.5,137.75,136.1,1722,234361.3,159.0,1394.0,80.95
ITDCEM,EQ,29-Nov-2011,135.0,136.15,136.5,130.25,134.0,134.0,132.56,259,34333.65,17.0,199.0,76.83
ITDCEM,EQ,28-Nov-2011,131.7,130.1,137.95,130.1,135.0,135.0,134.15,449,60231.45,30.0,296.0,65.92
ITDCEM,EQ,25-Nov-2011,133.2,131.05,137.75,130.05,131.95,131.7,131.74,1662,218956.2,246.0,1340.0,80.63
ITDCEM,EQ,24-Nov-2011,133.95,136.95,136.95,130.1,133.0,133.2,132.9,456,60602.65,98.0,405.0,88.82
ITDCEM,EQ,23-Nov-2011,138.2,136.15,138.9,133.05,133.05,133.95,135.51,1386,187813.85,98.0,1146.0,82.68
ITDCEM,EQ,22-Nov-2011,139.9,139.9,142.0,138.05,138.05,138.2,139.12,602,83752.55,66.0,550.0,91.36
ITDCEM,EQ,21-Nov-2011,142.05,142.0,142.0,138.0,139.9,139.9,140.03,6227,871981.8,90.0,6167.0,99.04
ITDCEM,EQ,18-Nov-2011,142.6,142.05,142.95,130.65,142.0,142.05,141.45,5513,779819.5,133.0,3720.0,67.48
ITDCEM,EQ,17-Nov-2011,145.35,146.0,149.75,142.0,142.0,142.6,143.6,679,97505.25,72.0,597.0,87.92
ITDCEM,EQ,16-Nov-2011,150.2,143.0,148.5,141.0,147.95,145.35,143.53,1531,219748.95,84.0,920.0,60.09
ITDCEM,EQ,15-Nov-2011,151.5,150.8,151.05,150.0,150.0,150.2,150.9,2206,332891.95,77.0,2172.0,98.46
ITDCEM,EQ,14-Nov-2011,150.8,155.35,155.35,151.5,151.5,151.5,151.51,278,42120.85,3.0,278.0,100.0
ITDCEM,EQ,11-Nov-2011,150.05,150.8,150.8,150.8,150.8,150.8,150.8,59,8897.2,4.0,59.0,100.0
ITDCEM,EQ,09-Nov-2011,156.15,158.95,158.95,150.0,150.9,150.05,151.81,969,147106.0,173.0,681.0,70.28
ITDCEM,EQ,08-Nov-2011,156.7,157.95,159.45,155.1,156.7,156.15,157.63,844,133040.25,56.0,285.0,33.77
ITDCEM,EQ,04-Nov-2011,153.75,157.95,158.0,152.25,156.05,156.7,155.79,1716,267339.7,147.0,1200.0,69.93
ITDCEM,EQ,03-Nov-2011,154.5,152.25,155.95,152.25,153.75,153.75,152.48,522,79597.1,57.0,493.0,94.44
ITDCEM,EQ,02-Nov-2011,155.7,154.0,155.85,152.45,154.5,154.5,154.06,272,41904.7,14.0,256.0,94.12
ITDCEM,EQ,01-Nov-2011,157.4,157.0,157.0,155.0,155.7,155.7,155.82,157,24464.3,57.0,129.0,82.17
ITDCEM,EQ,31-Oct-2011,157.75,157.0,161.0,157.0,157.4,157.4,158.53,755,119693.55,86.0,478.0,63.31
ITDCEM,EQ,28-Oct-2011,156.05,155.05,159.9,155.05,157.0,157.75,157.68,1300,204987.0,122.0,1110.0,85.38
