"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
CENTRALBK,EQ,30-Dec-2011,66.5,67.5,68.15,65.4,66.0,65.8,66.83,419177,28014297.15,6243.0,179972.0,42.93
CENTRALBK,EQ,29-Dec-2011,68.15,68.15,69.0,66.0,66.5,66.5,67.07,609308,40863695.6,7198.0,298998.0,49.07
CENTRALBK,EQ,28-Dec-2011,70.6,69.3,71.5,67.8,67.85,68.15,68.81,431378,29681096.6,5984.0,195079.0,45.22
CENTRALBK,EQ,27-Dec-2011,72.75,73.5,73.5,70.1,70.4,70.6,71.57,370130,26491802.8,5951.0,157993.0,42.69
CENTRALBK,EQ,26-Dec-2011,73.7,74.0,74.6,70.7,72.6,72.75,72.75,595261,43305352.7,6558.0,239330.0,40.21
CENTRALBK,EQ,23-Dec-2011,77.2,77.6,78.0,73.3,73.6,73.7,75.79,437813,33180295.55,5739.0,193976.0,44.31
CENTRALBK,EQ,22-Dec-2011,77.35,77.1,77.9,76.05,77.1,77.2,77.34,665534,51471023.75,4337.0,361477.0,54.31
CENTRALBK,EQ,21-Dec-2011,75.55,76.55,77.95,75.6,77.5,77.35,76.94,275265,21178136.9,4286.0,105736.0,38.41
CENTRALBK,EQ,20-Dec-2011,78.9,79.0,79.8,75.25,75.5,75.55,76.93,215921,16610771.6,4146.0,74580.0,34.54
CENTRALBK,EQ,19-Dec-2011,82.4,82.0,82.0,78.0,78.6,78.9,79.22,342081,27099348.65,4562.0,132430.0,38.71
CENTRALBK,EQ,16-Dec-2011,84.3,84.7,86.3,81.5,82.9,82.4,83.92,400947,33647431.75,5197.0,143472.0,35.78
CENTRALBK,EQ,15-Dec-2011,85.9,84.0,85.65,83.55,84.05,84.3,84.76,200319,16979948.1,3696.0,72505.0,36.19
CENTRALBK,EQ,14-Dec-2011,85.8,85.95,87.9,85.15,85.95,85.9,86.59,222284,19247256.65,3529.0,52565.0,23.65
CENTRALBK,EQ,13-Dec-2011,86.4,86.0,86.5,83.6,85.65,85.8,85.39,299252,25552261.5,5435.0,106366.0,35.54
