"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
CROMPGREAV,EQ,30-Dec-2011,126.6,126.7,126.9,123.25,125.9,126.1,124.8,742783,92701732.1,24706.0,276005.0,37.16
CROMPGREAV,EQ,29-Dec-2011,124.55,124.55,130.0,121.0,125.55,126.6,125.14,1601140,200371972.6,30260.0,871449.0,54.43
CROMPGREAV,EQ,28-Dec-2011,122.4,122.2,126.0,121.2,124.1,124.55,124.15,950915,118052976.6,29760.0,362499.0,38.12
CROMPGREAV,EQ,27-Dec-2011,126.2,125.75,126.8,121.6,122.35,122.4,124.24,688750,85571106.6,21540.0,182305.0,26.47
CROMPGREAV,EQ,26-Dec-2011,121.35,121.0,126.9,121.0,126.45,126.2,125.41,1365600,171259376.95,37639.0,312973.0,22.92
CROMPGREAV,EQ,23-Dec-2011,117.5,119.9,124.5,117.65,121.2,121.35,121.1,1889196,228783695.2,49586.0,690153.0,36.53
CROMPGREAV,EQ,22-Dec-2011,109.05,109.1,118.85,107.1,117.5,117.5,114.38,2091419,239224975.0,23026.0,606231.0,28.99
CROMPGREAV,EQ,21-Dec-2011,109.75,112.1,113.55,108.0,109.3,109.05,110.52,1220498,134886391.9,10044.0,592786.0,48.57
CROMPGREAV,EQ,20-Dec-2011,114.55,116.0,119.0,109.0,110.0,109.75,111.87,1222062,136716297.7,14652.0,409340.0,33.5
CROMPGREAV,EQ,19-Dec-2011,119.15,118.9,119.1,111.55,114.3,114.55,114.57,983048,112623643.75,13246.0,309015.0,31.43
CROMPGREAV,EQ,16-Dec-2011,123.65,124.0,125.45,118.0,118.6,119.15,122.31,603165,73772364.3,7284.0,233286.0,38.68
CROMPGREAV,EQ,15-Dec-2011,120.5,119.5,124.95,116.8,124.9,123.65,120.79,1430923,172844282.05,21021.0,612304.0,42.79
CROMPGREAV,EQ,14-Dec-2011,121.9,124.4,124.4,119.5,120.1,120.5,121.12,1007830,122068684.85,13290.0,338462.0,33.58
CROMPGREAV,EQ,13-Dec-2011,121.15,120.75,124.35,120.0,123.2,121.9,122.25,766510,93707977.15,10379.0,237158.0,30.94
CROMPGREAV,EQ,12-Dec-2011,125.1,125.2,126.5,120.0,120.7,121.15,122.15,1233720,150693278.75,19799.0,587535.0,47.62
CROMPGREAV,EQ,09-Dec-2011,131.15,129.0,129.0,123.35,126.0,125.1,125.55,1979398,248510978.35,20702.0,988723.0,49.95
CROMPGREAV,EQ,08-Dec-2011,136.0,134.1,134.85,130.1,130.2,131.15,132.11,1169982,154565048.9,14299.0,420492.0,35.94
CROMPGREAV,EQ,07-Dec-2011,136.95,137.0,139.55,131.25,136.0,136.0,134.63,2113697,284562191.4,22800.0,881629.0,41.71
CROMPGREAV,EQ,05-Dec-2011,132.25,132.5,137.5,130.9,137.0,136.95,134.92,904740,122065006.85,13371.0,283689.0,31.36
CROMPGREAV,EQ,02-Dec-2011,127.8,128.8,133.0,128.15,132.45,132.25,130.75,1309245,171189357.05,21532.0,587890.0,44.9
CROMPGREAV,EQ,01-Dec-2011,126.55,128.5,132.4,127.25,128.3,127.8,129.74,1159613,150451770.7,13459.0,527854.0,45.52
CROMPGREAV,EQ,30-Nov-2011,125.7,124.9,127.4,124.0,126.45,126.55,125.7,1039075,130615026.45,21115.0,555764.0,53.49
CROMPGREAV,EQ,29-Nov-2011,129.35,129.0,130.2,125.05,125.65,125.7,127.34,778429,99128192.15,11371.0,269223.0,34.59
CROMPGREAV,EQ,28-Nov-2011,120.5,122.0,130.45,121.0,129.2,129.35,126.47,1488513,188257629.6,19947.0,627081.0,42.13
CROMPGREAV,EQ,25-Nov-2011,117.2,115.75,121.8,115.75,121.0,120.5,119.96,827811,99304333.3,12610.0,287773.0,34.76
CROMPGREAV,EQ,24-Nov-2011,115.0,114.45,118.25,112.1,118.2,117.2,114.73,1837249,210791738.8,18829.0,695779.0,37.87
CROMPGREAV,EQ,23-Nov-2011,120.45,120.0,121.3,114.2,114.5,115.0,115.88,2373910,275096368.35,21679.0,1626598.0,68.52
CROMPGREAV,EQ,22-Nov-2011,120.1,120.4,123.4,118.1,120.45,120.45,121.38,897723,108962435.85,12875.0,338540.0,37.71
CROMPGREAV,EQ,21-Nov-2011,123.55,123.5,125.0,119.8,120.0,120.1,121.2,639555,77511825.3,9866.0,271448.0,42.44
CROMPGREAV,EQ,18-Nov-2011,120.4,120.0,127.45,116.5,123.7,123.55,120.3,943867,113544117.7,14839.0,290868.0,30.82
CROMPGREAV,EQ,17-Nov-2011,125.0,125.0,125.0,119.55,120.05,120.4,122.4,1250662,153083790.35,18306.0,502758.0,40.2
CROMPGREAV,EQ,16-Nov-2011,131.5,131.5,131.75,124.1,125.0,125.0,126.87,1414949,179520600.25,17974.0,705079.0,49.83
CROMPGREAV,EQ,15-Nov-2011,136.15,136.2,137.15,130.6,131.4,131.5,133.02,1212762,161318374.3,16709.0,649131.0,53.53
CROMPGREAV,EQ,14-Nov-2011,138.25,141.2,141.2,136.0,136.15,136.15,138.22,677525,93647285.6,8639.0,383679.0,56.63
CROMPGREAV,EQ,11-Nov-2011,141.2,140.0,142.0,137.55,138.0,138.25,139.51,894907,124849842.65,12880.0,407366.0,45.52
