"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
CHALET,EQ,27-Dec-2019,340.15,341.7,352.9,336.0,350.05,350.2,345.14,21535,7432506.65,2038,11667.0,54.18
CHALET,EQ,26-Dec-2019,337.95,348.0,348.0,330.55,335.4,340.15,336.4,13686,4603924.7,998,3494.0,25.53
CHALET,EQ,24-Dec-2019,340.75,355.0,355.0,329.3,340.7,337.95,342.17,92471,31640356.45,3188,24231.0,26.2
CHALET,EQ,23-Dec-2019,346.9,334.4,350.0,334.4,340.05,340.75,342.0,1340,458285.4,108,745.0,55.6
CHALET,EQ,20-Dec-2019,340.55,339.0,349.65,337.0,345.0,346.9,344.05,2175,748308.5,570,1756.0,80.74
CHALET,EQ,19-Dec-2019,336.95,331.25,342.0,331.25,337.0,340.55,340.3,2605,886479.95,451,1682.0,64.57
CHALET,EQ,18-Dec-2019,343.2,336.5,341.0,335.1,335.6,336.95,337.17,1098,370215.8,219,721.0,65.66
CHALET,EQ,17-Dec-2019,333.3,335.95,344.45,331.6,337.0,343.2,340.07,3882,1320133.35,949,1931.0,49.74
CHALET,EQ,16-Dec-2019,344.65,345.0,352.7,331.35,334.95,333.3,349.76,204523,71534800.3,4549,201530.0,98.54
CHALET,EQ,13-Dec-2019,333.5,334.9,345.0,330.35,340.0,344.65,340.88,2929,998450.5,407,2281.0,77.88
CHALET,EQ,12-Dec-2019,324.55,324.0,336.85,321.65,334.85,333.5,326.43,5399,1762385.85,586,3135.0,58.07
CHALET,EQ,11-Dec-2019,329.7,325.25,329.35,320.45,321.25,324.55,326.52,516876,168769503.8,5148,491415.0,95.07
CHALET,EQ,10-Dec-2019,332.7,333.0,340.0,320.0,330.0,329.7,329.44,49930,16448709.5,1238,44804.0,89.73
CHALET,EQ,09-Dec-2019,337.9,338.0,339.0,327.0,334.95,332.7,334.62,2406,805106.7,316,1223.0,50.83
CHALET,EQ,06-Dec-2019,338.2,341.6,341.6,326.45,338.0,337.9,336.15,14869,4998222.95,2188,10697.0,71.94
