"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
CIPLA,EQ,30-Dec-2011,321.45,322.3,325.55,318.0,319.15,319.9,322.32,1210890,390291790.1,18491.0,863157.0,71.28
CIPLA,EQ,29-Dec-2011,322.35,322.0,324.9,319.8,324.0,321.45,322.05,1235842,398002255.8,19070.0,621243.0,50.27
CIPLA,EQ,28-Dec-2011,319.9,317.35,324.4,315.0,324.0,322.35,320.45,1122107,359580963.8,32197.0,499675.0,44.53
CIPLA,EQ,27-Dec-2011,328.55,328.0,328.45,319.1,320.0,319.9,322.48,1190651,383959241.8,13521.0,848669.0,71.28
CIPLA,EQ,26-Dec-2011,330.6,329.0,331.95,326.65,328.0,328.55,329.58,440101,145049640.2,5583.0,245035.0,55.68
CIPLA,EQ,23-Dec-2011,333.05,335.95,335.95,328.1,330.15,330.6,330.5,726169,239999920.1,9827.0,510970.0,70.37
CIPLA,EQ,22-Dec-2011,333.35,332.45,337.4,330.0,333.0,333.05,333.06,842722,280673969.45,15347.0,427969.0,50.78
CIPLA,EQ,21-Dec-2011,328.8,330.2,335.8,325.6,333.6,333.35,330.05,1694875,559385584.3,29695.0,1030088.0,60.78
CIPLA,EQ,20-Dec-2011,332.8,332.8,334.85,326.7,329.5,328.8,330.93,847263,280387082.8,16750.0,469546.0,55.42
CIPLA,EQ,19-Dec-2011,331.7,331.7,336.9,326.1,330.85,332.8,332.94,2012608,670082995.45,29082.0,1432255.0,71.16
CIPLA,EQ,16-Dec-2011,329.45,330.0,340.0,325.4,329.0,331.7,334.85,1888200,632259507.7,35309.0,1062348.0,56.26
CIPLA,EQ,15-Dec-2011,326.55,323.7,330.75,321.5,329.0,329.45,328.3,1809587,594089941.65,35053.0,1189029.0,65.71
CIPLA,EQ,14-Dec-2011,329.0,328.95,333.5,324.4,325.1,326.55,330.03,1375455,453943234.8,29389.0,784559.0,57.04
CIPLA,EQ,13-Dec-2011,323.85,322.85,329.85,321.6,328.85,329.0,327.84,1003840,329097446.5,19234.0,593553.0,59.13
CIPLA,EQ,12-Dec-2011,325.65,325.65,326.65,320.55,324.9,323.85,322.9,741997,239591649.3,13919.0,431055.0,58.09
CIPLA,EQ,09-Dec-2011,328.25,325.0,329.0,323.9,325.15,325.65,326.49,968288,316135093.8,12486.0,497967.0,51.43
CIPLA,EQ,08-Dec-2011,325.05,323.05,330.35,321.35,330.0,328.25,326.59,1255901,410170821.85,22452.0,567370.0,45.18
CIPLA,EQ,07-Dec-2011,329.3,330.5,330.5,322.5,325.05,325.05,325.87,1497033,487839373.9,30507.0,913473.0,61.02
CIPLA,EQ,05-Dec-2011,331.0,331.0,332.5,328.55,331.0,329.3,330.24,659712,217860728.6,19371.0,369797.0,56.05
CIPLA,EQ,02-Dec-2011,329.9,329.95,332.65,328.0,330.2,331.0,330.8,1140724,377351192.7,21021.0,800314.0,70.16
CIPLA,EQ,01-Dec-2011,328.05,332.25,334.05,326.05,329.95,329.9,329.96,1424873,470158127.35,23367.0,819579.0,57.52
CIPLA,EQ,30-Nov-2011,326.8,325.0,329.4,324.0,327.6,328.05,327.12,1272622,416293769.4,26725.0,821668.0,64.56
CIPLA,EQ,29-Nov-2011,324.65,326.45,329.5,325.1,326.3,326.8,327.31,1301001,425824207.4,26988.0,774592.0,59.54
CIPLA,EQ,28-Nov-2011,315.9,317.1,325.0,317.1,325.0,324.65,323.64,1332447,431234549.0,26321.0,844757.0,63.4
CIPLA,EQ,25-Nov-2011,314.45,314.5,323.0,313.25,316.5,315.9,318.72,1552974,494961694.85,25655.0,715693.0,46.09
CIPLA,EQ,24-Nov-2011,313.7,313.8,319.25,308.0,315.5,314.45,313.88,1138590,357380940.55,15143.0,696056.0,61.13
CIPLA,EQ,23-Nov-2011,316.7,315.45,319.0,312.05,312.15,313.7,315.55,1696679,535386157.15,30826.0,925908.0,54.57
CIPLA,EQ,22-Nov-2011,309.5,310.15,318.2,310.15,317.15,316.7,315.93,1228521,388122988.2,21727.0,734422.0,59.78
CIPLA,EQ,21-Nov-2011,314.1,317.0,317.7,307.3,310.05,309.5,313.57,1727095,541571466.6,33384.0,1176070.0,68.1
CIPLA,EQ,18-Nov-2011,310.8,311.0,318.45,310.0,313.0,314.1,315.26,2029913,639940797.7,31848.0,1347029.0,66.36
CIPLA,EQ,17-Nov-2011,310.5,310.5,320.7,309.5,311.05,310.8,314.81,2492271,784583343.75,29598.0,1511928.0,60.66
CIPLA,EQ,16-Nov-2011,306.85,308.0,313.45,305.0,311.2,310.5,309.94,2683485,831727433.2,35852.0,1578310.0,58.82
CIPLA,EQ,15-Nov-2011,288.1,295.0,308.6,293.4,306.25,306.85,304.52,7112668,2165953113.7,101770.0,4478129.0,62.96
CIPLA,EQ,14-Nov-2011,286.9,289.45,291.0,285.5,288.7,288.1,288.1,973134,280364754.05,15387.0,648872.0,66.68
CIPLA,EQ,11-Nov-2011,288.0,286.55,289.2,284.0,287.9,286.9,286.9,1307991,375261842.55,11344.0,1165199.0,89.08
CIPLA,EQ,09-Nov-2011,290.9,292.85,292.85,287.05,287.8,288.0,288.62,391721,113058358.0,10984.0,249787.0,63.77
CIPLA,EQ,08-Nov-2011,294.1,293.5,293.95,289.0,289.6,290.9,291.03,297449,86567751.8,8664.0,154403.0,51.91
CIPLA,EQ,04-Nov-2011,291.05,292.4,294.85,291.5,293.9,294.1,293.46,523145,153523638.75,11334.0,315797.0,60.37
CIPLA,EQ,03-Nov-2011,289.85,290.15,292.35,287.6,291.75,291.05,290.84,927129,269646750.5,18245.0,602669.0,65.0
CIPLA,EQ,02-Nov-2011,289.0,288.95,290.0,286.35,289.0,289.85,289.48,2896907,838608946.15,15413.0,2595319.0,89.59
CIPLA,EQ,01-Nov-2011,295.4,292.35,295.75,287.3,289.0,289.0,289.03,2449813,708066086.65,25505.0,1995558.0,81.46
CIPLA,EQ,31-Oct-2011,297.6,299.2,299.2,292.05,295.4,295.4,294.54,739899,217930043.3,21605.0,466651.0,63.07
CIPLA,EQ,28-Oct-2011,293.0,298.9,300.0,294.05,297.75,297.6,297.24,1146804,340879896.6,29424.0,776487.0,67.71
CIPLA,EQ,26-Oct-2011,288.5,294.0,294.5,291.15,293.3,293.0,293.34,145263,42611726.4,3074.0,63589.0,43.78
CIPLA,EQ,25-Oct-2011,289.1,292.35,294.6,287.2,293.55,288.5,288.45,2941452,848457445.6,18410.0,2426416.0,82.49
CIPLA,EQ,24-Oct-2011,286.9,288.4,290.8,287.8,289.2,289.1,289.38,463472,134118117.7,13611.0,271204.0,58.52
CIPLA,EQ,24-Oct-2011,286.9,288.4,290.8,287.8,289.2,289.1,289.38,463472,134118117.7,13611.0,271204.0,58.52
CIPLA,EQ,21-Oct-2011,288.8,288.95,289.6,286.2,287.0,286.9,287.26,1327476,381329897.45,7993.0,1079549.0,81.32
CIPLA,EQ,20-Oct-2011,288.9,288.0,290.0,285.6,288.65,288.8,288.4,865538,249625384.95,9168.0,642811.0,74.27
CIPLA,EQ,19-Oct-2011,286.0,288.0,291.45,286.0,290.75,288.9,287.55,2735464,786587114.0,21648.0,2274720.0,83.16
CIPLA,EQ,18-Oct-2011,289.8,286.55,289.0,285.0,286.15,286.0,286.25,1961097,561363593.65,19359.0,1694328.0,86.4
