"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
CLEAN,EQ,28-Dec-2021,"2,476.15","2,509.45","2,525.00","2,456.10","2,464.90","2,474.70","2,496.03",195987,489190129.65,19282,59212.0,30.21
CLEAN,EQ,27-Dec-2021,"2,400.70","2,400.70","2,499.90","2,350.00","2,498.00","2,476.15","2,432.34",210178,511223839.3,17776,55437.0,26.38
CLEAN,EQ,24-Dec-2021,"2,443.15","2,447.00","2,455.10","2,390.00","2,399.00","2,400.70","2,415.41",163645,395269244.65,12733,55304.0,33.8
CLEAN,EQ,23-Dec-2021,"2,448.45","2,488.00","2,513.90","2,421.90","2,435.75","2,443.15","2,475.08",280907,695267394.05,20740,87315.0,31.08
CLEAN,EQ,22-Dec-2021,"2,274.85","2,278.80","2,469.00","2,278.80","2,467.00","2,448.45","2,387.25",417082,995678585.95,33796,119469.0,28.64
CLEAN,EQ,21-Dec-2021,"2,301.90","2,350.00","2,391.45","2,260.00","2,265.00","2,274.85","2,333.81",319300,745184270.8,28040,103898.0,32.54
CLEAN,EQ,20-Dec-2021,"2,387.80","2,336.60","2,360.90","2,254.80","2,297.90","2,301.90","2,303.91",344509,793718930.6,32317,132813.0,38.55
CLEAN,EQ,17-Dec-2021,"2,396.90","2,408.90","2,485.00","2,341.00","2,411.00","2,387.80","2,402.90",1063911,2556468554.1,42448,622464.0,58.51
CLEAN,EQ,16-Dec-2021,"2,404.30","2,419.00","2,438.55","2,362.60","2,409.05","2,396.90","2,398.24",186741,447850312.6,20858,60640.0,32.47
CLEAN,EQ,15-Dec-2021,"2,448.30","2,456.90","2,456.90","2,390.05","2,411.00","2,404.30","2,419.45",307159,743155219.85,34137,102258.0,33.29
CLEAN,EQ,14-Dec-2021,"2,465.95","2,464.00","2,497.70","2,432.00","2,439.05","2,448.30","2,460.18",226310,556762419.5,22659,83174.0,36.75
CLEAN,EQ,13-Dec-2021,"2,448.55","2,462.80","2,517.40","2,422.00","2,454.15","2,465.95","2,476.29",284645,704862252.4,24072,85611.0,30.08
CLEAN,EQ,10-Dec-2021,"2,540.70","2,539.00","2,559.70","2,422.00","2,450.00","2,448.55","2,479.46",354617,879257039.45,31432,113151.0,31.91
CLEAN,EQ,09-Dec-2021,"2,542.60","2,532.90","2,625.90","2,526.40","2,537.05","2,540.70","2,572.77",492731,1267683163.7,38919,114876.0,23.31
CLEAN,EQ,08-Dec-2021,"2,568.45","2,578.00","2,626.65","2,513.00","2,527.00","2,542.60","2,561.24",468700,1200453148.15,42517,95310.0,20.33
CLEAN,EQ,07-Dec-2021,"2,507.30","2,545.00","2,620.00","2,516.30","2,563.60","2,568.45","2,569.01",743684,1910530248.4,61048,182029.0,24.48
CLEAN,EQ,06-Dec-2021,"2,472.25","2,489.00","2,660.60","2,480.00","2,520.60","2,507.30","2,577.43",1550308,3995813040.65,119515,399714.0,25.78
CLEAN,EQ,03-Dec-2021,"2,306.35","2,337.00","2,500.00","2,332.00","2,466.00","2,472.25","2,432.07",1616906,3932426516.25,125215,398730.0,24.66
CLEAN,EQ,02-Dec-2021,"2,182.65","2,194.80","2,333.30","2,150.00","2,329.00","2,306.35","2,266.07",885789,2007260975.8,62925,319153.0,36.03
CLEAN,EQ,01-Dec-2021,"2,139.35","2,157.95","2,193.00","2,088.05","2,183.00","2,182.65","2,155.22",283944,611961246.65,23309,87588.0,30.85
CLEAN,EQ,30-Nov-2021,"2,010.25","2,020.10","2,150.50","2,020.10","2,139.00","2,139.35","2,122.40",818153,1736448917.5,38655,556908.0,68.07
CLEAN,EQ,29-Nov-2021,"2,122.80","2,092.00","2,097.85","1,958.70","2,009.00","2,010.25","2,020.91",306032,618464022.15,32812,114126.0,37.29
CLEAN,EQ,26-Nov-2021,"2,209.40","2,192.00","2,192.00","2,110.00","2,115.00","2,122.80","2,147.98",295223,634134407.2,28353,121716.0,41.23
CLEAN,EQ,25-Nov-2021,"2,126.25","2,130.00","2,235.00","2,117.35","2,208.90","2,209.40","2,198.11",582661,1280754929.95,37892,251321.0,43.13
CLEAN,EQ,24-Nov-2021,"2,118.10","2,128.00","2,157.65","2,092.00","2,125.00","2,126.25","2,130.31",180588,384708409.25,19053,77588.0,42.96
CLEAN,EQ,23-Nov-2021,"2,087.30","2,076.00","2,152.00","2,051.30","2,115.70","2,118.10","2,116.86",247436,523788296.85,23198,102575.0,41.46
CLEAN,EQ,22-Nov-2021,"2,139.15","2,156.00","2,164.70","2,040.00","2,098.00","2,087.30","2,099.19",292606,614236698.3,33345,120455.0,41.17
CLEAN,EQ,18-Nov-2021,"2,199.55","2,210.90","2,225.90","2,103.05","2,139.00","2,139.15","2,157.16",321751,694067372.5,30838,116746.0,36.28
CLEAN,EQ,17-Nov-2021,"2,138.10","2,148.00","2,222.00","2,142.00","2,200.00","2,199.55","2,196.57",645057,1416910789.3,52598,257952.0,39.99
CLEAN,EQ,16-Nov-2021,"2,027.85","2,031.00","2,145.45","2,016.00","2,141.80","2,138.10","2,108.49",605189,1276033299.9,51536,266331.0,44.01
CLEAN,EQ,15-Nov-2021,"2,018.55","2,043.00","2,045.00","2,010.95","2,029.00","2,027.85","2,027.18",130796,265147004.8,19513,76252.0,58.3
CLEAN,EQ,12-Nov-2021,"2,012.55","1,916.10","2,049.95","1,916.10","2,014.00","2,018.55","2,004.35",273009,547205083.75,24748,132484.0,48.53
CLEAN,EQ,11-Nov-2021,"2,083.35","2,080.00","2,080.00","1,987.50","2,018.00","2,012.55","2,021.33",267061,539819127.6,29246,107534.0,40.27
CLEAN,EQ,10-Nov-2021,"2,124.10","2,120.00","2,120.00","2,070.00","2,080.00","2,083.35","2,095.24",108328,226972718.55,10349,65949.0,60.88
CLEAN,EQ,09-Nov-2021,"2,112.70","2,122.00","2,143.10","2,116.00","2,121.00","2,124.10","2,128.74",114557,243862570.6,10062,54706.0,47.75
CLEAN,EQ,08-Nov-2021,"2,070.20","2,088.90","2,150.00","2,068.00","2,120.00","2,112.70","2,110.57",301127,635549284.6,24509,155314.0,51.58
CLEAN,EQ,04-Nov-2021,"2,022.25","2,037.00","2,078.90","2,034.00","2,076.00","2,070.20","2,060.55",57792,119083380.75,5612,35697.0,61.77
CLEAN,EQ,03-Nov-2021,"2,062.20","2,069.00","2,073.60","2,011.15","2,020.00","2,022.25","2,035.59",120986,246277775.55,14823,56491.0,46.69
CLEAN,EQ,02-Nov-2021,"2,066.25","2,079.00","2,101.00","2,047.00","2,060.00","2,062.20","2,066.96",135225,279504795.4,13113,56342.0,41.67
CLEAN,EQ,01-Nov-2021,"2,073.85","2,087.95","2,119.25","2,052.40","2,062.00","2,066.25","2,075.70",114684,238049451.55,12604,42866.0,37.38
CLEAN,EQ,29-Oct-2021,"2,096.80","2,081.05","2,134.00","2,001.00","2,070.00","2,073.85","2,077.20",203092,421862547.45,20400,61701.0,30.38
CLEAN,EQ,28-Oct-2021,"2,116.90","2,145.00","2,194.05","2,076.00","2,095.00","2,096.80","2,131.36",316297,674144183.1,28650,125858.0,39.79
CLEAN,EQ,27-Oct-2021,"2,009.30","2,018.00","2,162.25","2,014.00","2,133.00","2,116.90","2,116.44",510198,1079804938.2,35676,154761.0,30.33
CLEAN,EQ,26-Oct-2021,"1,933.70","1,942.00","2,028.00","1,940.00","2,008.00","2,009.30","1,997.80",178975,357556101.3,16320,76450.0,42.72
CLEAN,EQ,25-Oct-2021,"2,029.85","2,047.00","2,060.00","1,925.05","1,929.00","1,933.70","1,960.10",247026,484195987.9,26771,108164.0,43.79
CLEAN,EQ,22-Oct-2021,"2,022.90","2,047.00","2,089.00","2,005.00","2,027.90","2,029.85","2,047.24",205790,421300693.3,18406,69644.0,33.84
CLEAN,EQ,21-Oct-2021,"2,021.65","2,041.90","2,059.00","1,955.05","2,019.00","2,022.90","2,008.68",280846,564130220.9,27308,88656.0,31.57
