"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
COROMANDEL,EQ,30-Dec-2011,275.45,276.5,278.3,274.05,275.35,276.95,276.78,223971,61991793.5,1961.0,203939.0,91.06
COROMANDEL,EQ,29-Dec-2011,271.95,267.0,279.0,267.0,275.0,275.45,275.02,68935,18958410.75,1057.0,62391.0,90.51
COROMANDEL,EQ,28-Dec-2011,278.05,281.75,281.75,270.2,273.95,271.95,274.88,128260,35255733.7,513.0,123783.0,96.51
COROMANDEL,EQ,27-Dec-2011,278.6,275.1,282.0,275.1,275.5,278.05,278.48,37240,10370431.6,722.0,25134.0,67.49
COROMANDEL,EQ,26-Dec-2011,273.25,277.0,280.0,273.5,279.2,278.6,277.99,30540,8489835.95,1021.0,20078.0,65.74
COROMANDEL,EQ,23-Dec-2011,260.5,258.0,275.9,258.0,275.0,273.25,271.3,31426,8525891.95,1511.0,19853.0,63.17
COROMANDEL,EQ,22-Dec-2011,257.15,253.65,268.9,251.25,268.8,260.5,259.95,149628,38895838.85,1079.0,141090.0,94.29
COROMANDEL,EQ,21-Dec-2011,258.15,260.05,262.9,252.75,257.0,257.15,259.13,83901,21741264.15,1380.0,63532.0,75.72
COROMANDEL,EQ,20-Dec-2011,260.1,264.6,265.95,254.35,255.0,258.15,261.38,22077,5770534.35,675.0,14876.0,67.38
COROMANDEL,EQ,19-Dec-2011,266.8,266.0,267.45,254.0,265.0,260.1,258.4,38435,9931472.1,1059.0,23537.0,61.24
COROMANDEL,EQ,16-Dec-2011,264.85,261.95,273.95,256.2,266.0,266.8,268.0,25693,6885613.0,1059.0,6804.0,26.48
COROMANDEL,EQ,15-Dec-2011,271.65,270.05,270.8,261.0,262.75,264.85,267.79,880179,235703276.55,1716.0,862621.0,98.01
COROMANDEL,EQ,14-Dec-2011,277.8,278.0,280.75,270.95,273.0,271.65,274.94,120086,33016581.75,1846.0,106330.0,88.54
COROMANDEL,EQ,13-Dec-2011,280.15,280.05,285.3,275.0,278.35,277.8,279.67,76782,21473995.4,2258.0,31161.0,40.58
COROMANDEL,EQ,12-Dec-2011,287.55,290.0,294.25,277.55,280.0,280.15,281.38,38931,10954210.95,1227.0,31864.0,81.85
COROMANDEL,EQ,09-Dec-2011,292.75,293.55,293.55,286.25,287.1,287.55,289.92,22972,6660075.85,1146.0,13294.0,57.87
COROMANDEL,EQ,08-Dec-2011,298.5,296.05,301.85,291.0,291.0,292.75,296.91,130041,38611084.0,3780.0,114797.0,88.28
COROMANDEL,EQ,07-Dec-2011,302.9,305.0,305.0,297.75,297.75,298.5,299.18,211035,63137896.2,1938.0,198510.0,94.06
COROMANDEL,EQ,05-Dec-2011,300.15,301.05,308.4,299.95,301.75,302.9,304.05,27269,8291135.75,932.0,11999.0,44.0
COROMANDEL,EQ,02-Dec-2011,293.45,293.0,306.9,290.0,299.8,300.15,301.32,55909,16846456.05,1969.0,21257.0,38.02
COROMANDEL,EQ,01-Dec-2011,284.65,290.55,294.8,287.8,294.65,293.45,290.75,459477,133591228.55,1148.0,448671.0,97.65
COROMANDEL,EQ,30-Nov-2011,287.75,286.45,291.4,283.2,285.0,284.65,288.22,59741,17218255.7,1341.0,49475.0,82.82
COROMANDEL,EQ,29-Nov-2011,289.15,291.05,292.9,285.0,286.0,287.75,289.2,165232,47785012.7,1198.0,157009.0,95.02
COROMANDEL,EQ,28-Nov-2011,287.8,289.0,292.75,286.15,287.2,289.15,289.53,152755,44227210.85,663.0,144063.0,94.31
COROMANDEL,EQ,25-Nov-2011,291.15,297.95,297.95,285.1,287.8,287.8,288.08,212586,61241010.85,1782.0,188083.0,88.47
COROMANDEL,EQ,24-Nov-2011,293.25,298.95,298.95,287.0,291.0,291.15,291.28,35673,10390687.5,1300.0,23840.0,66.83
COROMANDEL,EQ,23-Nov-2011,297.95,298.0,301.0,288.4,292.75,293.25,295.71,54435,16096719.05,1873.0,35696.0,65.58
COROMANDEL,EQ,22-Nov-2011,302.95,302.85,304.95,297.0,298.5,297.95,299.62,149551,44807999.05,7679.0,127152.0,85.02
COROMANDEL,EQ,21-Nov-2011,306.1,307.15,307.15,296.1,303.5,302.95,301.95,79954,24141977.45,2818.0,60629.0,75.83
COROMANDEL,EQ,18-Nov-2011,312.7,312.7,313.65,303.75,306.0,306.1,305.52,121273,37050900.65,2430.0,98221.0,80.99
COROMANDEL,EQ,17-Nov-2011,322.3,325.8,325.8,306.5,311.0,312.7,313.63,163988,51431961.75,4510.0,127486.0,77.74
COROMANDEL,EQ,16-Nov-2011,329.1,329.65,329.65,320.1,324.95,322.3,322.54,81569,26309403.3,3010.0,67223.0,82.41
COROMANDEL,EQ,15-Nov-2011,330.4,329.95,330.85,325.2,329.15,329.1,329.4,48951,16124666.85,1827.0,37630.0,76.87
COROMANDEL,EQ,14-Nov-2011,325.45,329.9,331.8,324.9,330.1,330.4,329.74,73287,24165619.05,5288.0,58056.0,79.22
COROMANDEL,EQ,11-Nov-2011,330.5,332.0,333.0,324.25,325.0,325.45,329.45,77161,25420843.2,2994.0,57670.0,74.74
COROMANDEL,EQ,09-Nov-2011,332.05,332.1,334.7,327.0,331.0,330.5,331.27,13641,4518792.65,561.0,6164.0,45.19
COROMANDEL,EQ,08-Nov-2011,334.9,334.75,335.5,331.0,331.5,332.05,333.96,65622,21915379.95,2808.0,45653.0,69.57
COROMANDEL,EQ,04-Nov-2011,333.05,333.0,335.5,330.5,333.0,334.9,333.78,86641,28919221.85,2345.0,75068.0,86.64
COROMANDEL,EQ,03-Nov-2011,333.6,332.5,335.75,317.9,333.0,333.05,332.11,40914,13588089.55,1824.0,27328.0,66.79
COROMANDEL,EQ,02-Nov-2011,328.05,330.05,335.0,330.0,333.4,333.6,333.04,82262,27396425.55,1456.0,69648.0,84.67
COROMANDEL,EQ,01-Nov-2011,332.9,330.0,333.45,326.25,328.35,328.05,329.51,15228,5017749.65,886.0,9423.0,61.88
COROMANDEL,EQ,31-Oct-2011,334.55,335.0,335.7,330.0,333.0,332.9,333.6,48612,16217075.85,2041.0,39058.0,80.35
COROMANDEL,EQ,28-Oct-2011,335.05,338.5,340.0,332.0,335.0,334.55,334.59,42582,14247467.3,3512.0,28370.0,66.62
COROMANDEL,EQ,26-Oct-2011,332.85,336.7,339.8,332.25,335.0,335.05,335.55,18524,6215721.95,365.0,12378.0,66.82
COROMANDEL,EQ,25-Oct-2011,333.8,336.8,336.8,330.0,334.0,332.85,333.84,36088,12047506.8,1473.0,27207.0,75.39
COROMANDEL,EQ,24-Oct-2011,338.75,342.05,343.0,332.1,333.0,333.8,337.59,55751,18821195.8,1607.0,27725.0,49.73
COROMANDEL,EQ,24-Oct-2011,338.75,342.05,343.0,332.1,333.0,333.8,337.59,55751,18821195.8,1607.0,27725.0,49.73
COROMANDEL,EQ,21-Oct-2011,331.85,331.85,342.6,331.1,337.5,338.75,334.38,368358,123171102.1,4013.0,288977.0,78.45
COROMANDEL,EQ,20-Oct-2011,326.6,325.95,338.5,318.1,330.25,331.85,333.44,508792,169652047.9,14604.0,311174.0,61.16
COROMANDEL,EQ,19-Oct-2011,307.65,339.0,339.0,311.1,323.15,326.6,327.26,561662,183809864.1,14843.0,242251.0,43.13
COROMANDEL,EQ,18-Oct-2011,315.0,312.05,315.7,305.2,309.15,307.65,309.38,55128,17055354.25,1145.0,34858.0,63.23
COROMANDEL,EQ,17-Oct-2011,319.25,320.0,322.65,313.0,315.7,315.0,318.65,109870,35009822.65,2733.0,91193.0,83.0
COROMANDEL,EQ,14-Oct-2011,316.65,315.0,324.0,311.0,318.95,319.25,320.79,54215,17391514.25,1923.0,20573.0,37.95
COROMANDEL,EQ,13-Oct-2011,313.8,310.95,321.0,310.95,316.25,316.65,315.83,84043,26542997.7,2209.0,60068.0,71.47
COROMANDEL,EQ,12-Oct-2011,304.1,306.7,314.6,300.3,312.05,313.8,309.51,80289,24850555.55,5894.0,53974.0,67.22
COROMANDEL,EQ,11-Oct-2011,302.05,305.9,307.8,302.1,303.25,304.1,305.7,57640,17620436.6,2836.0,41668.0,72.29
COROMANDEL,EQ,10-Oct-2011,305.1,302.5,307.0,301.0,302.4,302.05,302.75,34622,10481694.85,2090.0,24027.0,69.4
COROMANDEL,EQ,07-Oct-2011,294.7,300.9,309.2,300.9,305.0,305.1,306.92,132050,40529344.15,5738.0,88290.0,66.86
COROMANDEL,EQ,05-Oct-2011,303.65,310.0,310.0,292.1,296.0,294.7,298.79,59337,17729313.15,2270.0,32256.0,54.36
COROMANDEL,EQ,04-Oct-2011,303.05,304.05,311.0,301.1,303.0,303.65,308.08,104155,32088138.45,1534.0,83472.0,80.14
COROMANDEL,EQ,03-Oct-2011,304.95,299.65,315.0,296.1,302.0,303.05,307.96,114849,35368829.4,5091.0,52070.0,45.34
COROMANDEL,EQ,30-Sep-2011,307.6,303.2,320.95,299.0,299.05,304.95,312.75,221364,69232278.6,6579.0,112942.0,51.02
COROMANDEL,EQ,29-Sep-2011,315.8,314.45,315.7,305.0,305.5,307.6,308.54,33196,10242441.1,1224.0,22882.0,68.93
COROMANDEL,EQ,28-Sep-2011,305.05,305.5,319.9,305.5,315.8,315.8,314.64,389854,122662899.7,5425.0,287947.0,73.86
COROMANDEL,EQ,27-Sep-2011,294.2,299.9,311.9,297.3,304.0,305.05,306.01,155220,47498836.6,4367.0,123893.0,79.82
COROMANDEL,EQ,26-Sep-2011,299.55,296.95,297.85,288.0,293.0,294.2,291.98,27887,8142347.95,1121.0,17069.0,61.21
COROMANDEL,EQ,23-Sep-2011,303.9,300.15,304.95,296.0,297.9,299.55,299.8,46459,13928369.85,1344.0,26979.0,58.07
COROMANDEL,EQ,22-Sep-2011,309.85,306.75,312.0,302.1,305.0,303.9,304.24,32327,9835145.1,829.0,22704.0,70.23
COROMANDEL,EQ,21-Sep-2011,312.2,314.85,320.0,309.0,310.05,309.85,312.89,104925,32830327.9,3178.0,85071.0,81.08
COROMANDEL,EQ,20-Sep-2011,309.65,314.5,317.9,310.0,312.1,312.2,312.64,64223,20078414.6,2825.0,44644.0,69.51
COROMANDEL,EQ,19-Sep-2011,324.2,318.0,318.0,308.7,309.75,309.65,311.33,62561,19477180.05,2586.0,38434.0,61.43
COROMANDEL,EQ,16-Sep-2011,306.4,315.3,329.95,307.45,315.15,324.2,320.44,409636,131265160.9,7079.0,303361.0,74.06
COROMANDEL,EQ,15-Sep-2011,300.2,299.2,308.0,299.2,307.95,306.4,304.89,35676,10877216.45,1372.0,24795.0,69.5
