"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
DABUR,EQ,30-Dec-2011,101.55,102.0,102.75,98.3,99.8,99.45,99.57,916163,91221372.95,11613.0,486503.0,53.1
DABUR,EQ,29-Dec-2011,104.6,104.6,104.6,101.0,101.3,101.55,102.12,891418,91031347.65,9652.0,512587.0,57.5
DABUR,EQ,28-Dec-2011,102.65,103.0,105.5,102.0,104.6,104.6,104.22,1414185,147391659.85,20667.0,679797.0,48.07
DABUR,EQ,27-Dec-2011,100.9,101.0,102.95,100.0,102.65,102.65,101.84,649205,66118062.75,9225.0,374513.0,57.69
DABUR,EQ,26-Dec-2011,100.4,100.0,101.95,99.7,101.1,100.9,101.14,366819,37101612.6,5892.0,146082.0,39.82
DABUR,EQ,23-Dec-2011,99.0,99.7,101.5,99.25,100.5,100.4,100.28,1511862,151604706.15,7890.0,1195643.0,79.08
DABUR,EQ,22-Dec-2011,99.8,99.8,101.6,98.1,99.0,99.0,99.39,1326826,131866805.0,10484.0,976408.0,73.59
DABUR,EQ,21-Dec-2011,97.2,98.8,100.0,97.55,99.3,99.8,99.16,751757,74542792.4,9849.0,478019.0,63.59
DABUR,EQ,20-Dec-2011,96.4,96.5,98.2,96.0,97.5,97.2,96.99,586334,56868294.7,7165.0,330744.0,56.41
DABUR,EQ,19-Dec-2011,95.8,96.5,96.8,95.2,96.3,96.4,96.22,595084,57260549.7,5224.0,327911.0,55.1
DABUR,EQ,16-Dec-2011,97.9,98.55,100.4,95.25,96.1,95.8,97.49,1010321,98499426.05,9539.0,538568.0,53.31
DABUR,EQ,15-Dec-2011,96.7,96.5,98.8,95.75,98.55,97.9,97.06,836938,81229918.5,8125.0,522959.0,62.48
DABUR,EQ,14-Dec-2011,96.4,96.25,97.65,96.05,96.5,96.7,96.84,984926,95381927.3,11395.0,706365.0,71.72
DABUR,EQ,13-Dec-2011,96.25,96.05,97.2,95.25,96.25,96.4,96.29,731305,70419383.55,5973.0,488739.0,66.83
DABUR,EQ,12-Dec-2011,95.5,95.65,96.95,95.2,96.15,96.25,96.23,812367,78176068.5,8597.0,624207.0,76.84
DABUR,EQ,09-Dec-2011,97.55,97.5,97.5,94.6,95.1,95.5,96.36,1069251,103036516.8,7451.0,711824.0,66.57
DABUR,EQ,08-Dec-2011,96.4,96.5,98.15,96.05,97.8,97.55,97.01,1219638,118317022.25,9769.0,874729.0,71.72
DABUR,EQ,07-Dec-2011,95.75,95.75,97.05,95.5,96.2,96.4,96.79,2102585,203512205.3,11979.0,1772644.0,84.31
DABUR,EQ,05-Dec-2011,95.4,95.95,96.25,95.0,95.7,95.75,95.78,357211,34214414.5,3318.0,160478.0,44.93
DABUR,EQ,02-Dec-2011,94.25,95.0,96.05,93.2,95.6,95.4,94.51,1606375,151813126.4,16571.0,998683.0,62.17
DABUR,EQ,01-Dec-2011,95.3,97.0,97.6,94.1,94.5,94.25,95.1,1843110,175287225.7,13135.0,1299015.0,70.48
DABUR,EQ,30-Nov-2011,95.95,96.1,96.95,94.35,95.55,95.3,95.45,2301233,219648141.3,18835.0,1728638.0,75.12
DABUR,EQ,29-Nov-2011,96.05,96.4,97.7,95.7,95.9,95.95,96.47,1401599,135216479.95,14298.0,999798.0,71.33
DABUR,EQ,28-Nov-2011,95.7,96.0,97.35,95.55,96.0,96.05,96.23,1027721,98899998.3,11369.0,740464.0,72.05
DABUR,EQ,25-Nov-2011,96.35,96.35,96.9,95.4,95.8,95.7,96.01,823409,79053583.75,8996.0,468778.0,56.93
DABUR,EQ,24-Nov-2011,97.95,98.3,99.95,95.3,96.0,96.35,97.07,1414911,137348625.45,9382.0,982481.0,69.44
DABUR,EQ,23-Nov-2011,100.85,98.65,100.85,97.3,97.9,97.95,98.42,689731,67882730.15,8752.0,321233.0,46.57
DABUR,EQ,22-Nov-2011,99.0,99.0,101.4,99.0,101.0,100.85,100.63,1839680,185119836.85,34051.0,1268164.0,68.93
DABUR,EQ,21-Nov-2011,96.95,96.95,99.5,95.75,98.95,99.0,98.66,900346,88823793.15,16336.0,532835.0,59.18
DABUR,EQ,18-Nov-2011,94.6,94.5,97.5,93.65,97.2,96.95,95.65,665564,63658291.55,7845.0,385583.0,57.93
DABUR,EQ,17-Nov-2011,95.45,95.5,97.7,94.1,94.9,94.6,96.06,2004914,192584998.3,9070.0,1532768.0,76.45
DABUR,EQ,16-Nov-2011,97.4,97.5,97.5,94.2,95.25,95.45,95.3,1937687,184664774.75,11453.0,1285249.0,66.33
DABUR,EQ,15-Nov-2011,99.95,100.4,100.4,96.65,96.9,97.4,98.89,788851,78006311.6,5773.0,628616.0,79.69
DABUR,EQ,14-Nov-2011,98.75,99.55,101.4,99.3,99.7,99.95,100.54,1165858,117212274.8,7678.0,876522.0,75.18
DABUR,EQ,11-Nov-2011,98.8,99.0,100.15,98.0,99.25,98.75,99.21,1339614,132900159.4,9640.0,891413.0,66.54
DABUR,EQ,09-Nov-2011,99.7,99.4,100.0,98.45,98.7,98.8,99.44,567605,56444656.75,8804.0,373976.0,65.89
DABUR,EQ,08-Nov-2011,99.8,99.5,100.5,99.5,99.7,99.7,99.89,337238,33687209.55,4235.0,219790.0,65.17
DABUR,EQ,04-Nov-2011,100.0,100.0,100.8,99.4,99.4,99.8,100.04,674422,67465966.7,6463.0,405805.0,60.17
DABUR,EQ,03-Nov-2011,99.95,100.0,100.6,99.3,99.95,100.0,100.04,673098,67334408.45,6115.0,450354.0,66.91
DABUR,EQ,02-Nov-2011,99.75,99.5,100.65,99.0,99.7,99.95,100.12,586819,58754808.15,6008.0,287620.0,49.01
DABUR,EQ,01-Nov-2011,101.3,102.0,102.45,99.3,99.35,99.75,100.46,1050129,105500495.15,8291.0,668483.0,63.66
DABUR,EQ,31-Oct-2011,100.55,101.0,102.0,99.75,101.5,101.3,100.96,2438478,246188939.85,21153.0,1094503.0,44.88
DABUR,EQ,28-Oct-2011,97.65,98.0,100.85,98.0,100.7,100.55,99.73,1234917,123157387.0,9326.0,989668.0,80.14
DABUR,EQ,26-Oct-2011,95.5,97.1,97.95,96.0,97.5,97.65,97.27,256663,24965335.3,2697.0,140806.0,54.86
DABUR,EQ,25-Oct-2011,97.6,98.55,99.15,94.75,95.9,95.5,95.73,2675549,256121512.15,16869.0,2037732.0,76.16
DABUR,EQ,24-Oct-2011,98.75,98.9,100.2,97.1,97.7,97.6,98.87,769202,76049986.05,5523.0,425717.0,55.35
DABUR,EQ,24-Oct-2011,98.75,98.9,100.2,97.1,97.7,97.6,98.87,769202,76049986.05,5523.0,425717.0,55.35
DABUR,EQ,21-Oct-2011,98.1,98.0,99.5,97.55,99.0,98.75,98.93,795510,78700071.7,7950.0,529287.0,66.53
DABUR,EQ,20-Oct-2011,99.3,98.5,99.0,97.15,98.0,98.1,98.04,570763,55959439.25,11327.0,356972.0,62.54
DABUR,EQ,19-Oct-2011,97.35,98.3,99.8,97.3,99.8,99.3,98.57,804169,79267093.6,12174.0,542471.0,67.46
DABUR,EQ,18-Oct-2011,99.45,99.4,99.4,96.9,97.5,97.35,97.71,979936,95746258.45,12039.0,616292.0,62.89
DABUR,EQ,17-Oct-2011,100.15,100.95,100.95,99.2,99.25,99.45,99.85,873227,87195574.25,8171.0,490185.0,56.13
DABUR,EQ,14-Oct-2011,99.9,99.7,100.8,99.4,100.35,100.15,100.33,640562,64269318.1,10100.0,347108.0,54.19
DABUR,EQ,13-Oct-2011,100.4,100.55,101.25,99.6,99.75,99.9,100.45,879679,88366485.05,12315.0,530855.0,60.35
DABUR,EQ,12-Oct-2011,100.3,100.05,101.0,99.85,100.2,100.4,100.21,891316,89321780.1,10927.0,584280.0,65.55
DABUR,EQ,11-Oct-2011,99.9,101.5,101.5,99.4,100.3,100.3,100.29,1970581,197638381.25,14388.0,1359132.0,68.97
DABUR,EQ,10-Oct-2011,100.7,100.7,101.5,99.15,100.0,99.9,100.07,1044100,104478275.25,13037.0,691543.0,66.23
DABUR,EQ,07-Oct-2011,100.0,101.5,101.8,99.5,100.5,100.7,100.4,1912832,192048690.95,22030.0,1114119.0,58.24
DABUR,EQ,05-Oct-2011,101.65,102.0,102.7,99.4,100.5,100.0,100.79,1710504,172398092.6,9278.0,1239180.0,72.45
DABUR,EQ,04-Oct-2011,103.1,103.0,105.0,101.35,101.5,101.65,103.35,1510413,156102129.3,14477.0,949515.0,62.86
DABUR,EQ,03-Oct-2011,103.0,102.25,103.5,102.2,103.25,103.1,102.98,783448,80680294.5,4447.0,588578.0,75.13
DABUR,EQ,30-Sep-2011,102.35,104.0,104.0,97.75,103.25,103.0,102.72,1023822,105169361.0,15217.0,644023.0,62.9
DABUR,EQ,29-Sep-2011,102.35,102.2,104.25,100.15,103.1,102.35,101.82,2477759,252273193.2,24509.0,1500724.0,60.57
DABUR,EQ,28-Sep-2011,102.6,103.8,104.4,101.7,102.0,102.35,103.18,1113421,114881461.9,16209.0,608229.0,54.63
DABUR,EQ,27-Sep-2011,101.6,103.0,103.5,101.75,103.0,102.6,102.63,928527,95298062.7,16702.0,528062.0,56.87
DABUR,EQ,26-Sep-2011,102.7,102.5,103.95,100.2,101.4,101.6,102.02,582523,59428167.0,13098.0,277046.0,47.56
DABUR,EQ,23-Sep-2011,104.1,103.95,105.9,101.5,102.75,102.7,103.67,946696,98142768.75,10333.0,525597.0,55.52
DABUR,EQ,22-Sep-2011,107.0,106.0,106.85,103.4,103.5,104.1,105.01,536990,56386710.4,5775.0,272695.0,50.78
DABUR,EQ,21-Sep-2011,104.55,105.7,107.65,104.95,107.0,107.0,106.88,2708611,289497731.7,20345.0,2018808.0,74.53
DABUR,EQ,20-Sep-2011,103.75,104.0,105.4,103.55,104.75,104.55,104.93,3176420,333299043.4,14587.0,2613780.0,82.29
DABUR,EQ,19-Sep-2011,102.85,102.1,104.75,102.0,103.85,103.75,103.91,1629382,169310229.65,11552.0,985752.0,60.5
DABUR,EQ,16-Sep-2011,106.55,106.3,108.1,101.35,102.5,102.85,104.94,1721280,180638629.15,16857.0,1225304.0,71.19
DABUR,EQ,15-Sep-2011,107.85,108.0,109.0,106.05,106.3,106.55,107.49,1049597,112820881.9,7725.0,729662.0,69.52
DABUR,EQ,14-Sep-2011,106.35,106.3,108.6,105.75,107.15,107.85,107.41,1590272,170812305.25,17551.0,887840.0,55.83
DABUR,EQ,13-Sep-2011,109.25,109.55,109.9,105.75,106.5,106.35,107.34,1123939,120638818.05,12060.0,643391.0,57.24
DABUR,EQ,12-Sep-2011,109.5,109.3,111.0,108.0,108.6,109.25,109.75,767278,84207869.0,7491.0,262560.0,34.22
DABUR,EQ,09-Sep-2011,108.45,109.5,111.0,108.5,110.1,109.5,110.0,863030,94936571.9,8526.0,324962.0,37.65
DABUR,EQ,08-Sep-2011,107.05,107.05,109.05,106.15,108.95,108.45,107.68,1826670,196690994.35,10246.0,1132160.0,61.98
DABUR,EQ,07-Sep-2011,106.6,107.0,107.6,105.3,107.0,107.05,106.73,1780156,189998106.8,13146.0,1175490.0,66.03
DABUR,EQ,06-Sep-2011,107.8,108.2,108.8,106.05,106.7,106.6,107.01,2236702,239344297.75,22066.0,1675705.0,74.92
DABUR,EQ,05-Sep-2011,112.2,112.0,112.0,107.2,107.5,107.8,109.22,2134543,233124866.8,13172.0,1381980.0,64.74
DABUR,EQ,02-Sep-2011,110.75,108.25,113.95,108.0,112.5,112.2,112.49,2639901,296970969.6,18029.0,1354285.0,51.3
DABUR,EQ,30-Aug-2011,109.65,110.9,111.45,108.65,111.0,110.75,110.0,1078485,118634320.75,9996.0,701844.0,65.08
DABUR,EQ,29-Aug-2011,108.0,110.0,110.8,108.0,109.25,109.65,110.09,809669,89138095.1,8003.0,445571.0,55.03
DABUR,EQ,26-Aug-2011,107.2,107.9,109.0,105.85,108.0,108.0,108.13,1188959,128561818.85,11255.0,780387.0,65.64
DABUR,EQ,25-Aug-2011,106.5,107.85,108.25,106.0,106.8,107.2,107.34,815702,87561236.75,7990.0,498835.0,61.15
DABUR,EQ,24-Aug-2011,105.15,105.5,107.65,104.25,106.7,106.5,106.7,601696,64202572.4,6377.0,345519.0,57.42
DABUR,EQ,23-Aug-2011,107.0,109.9,110.0,104.1,105.0,105.15,105.74,1002644,106023913.4,11837.0,419827.0,41.87
DABUR,EQ,22-Aug-2011,103.95,103.2,107.5,102.25,107.4,107.0,105.72,678090,71688495.2,7313.0,270014.0,39.82
DABUR,EQ,19-Aug-2011,105.25,103.9,105.0,102.2,103.05,103.95,103.58,550688,57041349.45,5283.0,202108.0,36.7
DABUR,EQ,18-Aug-2011,103.95,103.95,106.8,103.75,104.75,105.25,105.64,1456502,153869892.3,12072.0,844076.0,57.95
DABUR,EQ,17-Aug-2011,102.1,102.5,104.5,101.2,104.35,103.95,103.29,654934,67650529.5,9760.0,327563.0,50.01
DABUR,EQ,16-Aug-2011,101.2,102.0,103.6,101.3,102.5,102.1,102.18,765085,78175255.2,6390.0,339656.0,44.39
DABUR,EQ,12-Aug-2011,101.45,102.5,102.5,100.5,101.7,101.2,101.19,1010132,102218692.85,15298.0,669551.0,66.28
DABUR,EQ,11-Aug-2011,102.75,102.0,104.95,100.9,101.55,101.45,102.16,1337659,136654785.65,15533.0,896420.0,67.01
DABUR,EQ,10-Aug-2011,103.6,104.2,106.5,102.15,102.85,102.75,103.79,801860,83223304.2,8177.0,425692.0,53.09
DABUR,EQ,09-Aug-2011,102.65,95.3,106.0,95.3,103.55,103.6,103.88,1267884,131704223.25,13008.0,775050.0,61.13
DABUR,EQ,09-Aug-2011,102.65,95.3,106.0,95.3,103.55,103.6,103.88,1267884,131704223.25,13008.0,775050.0,61.13
DABUR,EQ,08-Aug-2011,101.45,101.0,103.9,97.95,103.55,102.65,101.91,893222,91025874.35,11233.0,450417.0,50.43
DABUR,EQ,05-Aug-2011,103.8,99.0,102.55,98.3,101.6,101.45,100.4,1095641,109999722.5,14221.0,526805.0,48.08
DABUR,EQ,04-Aug-2011,105.25,106.05,108.45,103.3,104.0,103.8,106.07,973731,103279447.75,9228.0,472686.0,48.54
DABUR,EQ,03-Aug-2011,107.85,107.8,107.8,104.55,104.8,105.25,106.04,440781,46738730.25,5516.0,232429.0,52.73
DABUR,EQ,02-Aug-2011,107.45,107.85,109.0,105.8,107.8,107.85,108.17,925326,100088994.75,7148.0,494536.0,53.44
DABUR,EQ,01-Aug-2011,104.05,105.1,108.1,104.5,107.9,107.45,106.77,1099873,117429578.8,11809.0,530603.0,48.24
DABUR,EQ,29-Jul-2011,106.45,106.05,107.7,103.65,104.0,104.05,104.86,1106576,116038053.15,9945.0,568923.0,51.41
DABUR,EQ,28-Jul-2011,110.55,111.1,111.1,106.0,106.75,106.45,107.33,1947197,208984576.5,14902.0,1330342.0,68.32
DABUR,EQ,27-Jul-2011,110.4,111.95,112.45,107.4,110.8,110.55,110.37,1195739,131971701.05,15358.0,193618.0,16.19
DABUR,EQ,26-Jul-2011,111.9,111.8,112.7,110.0,110.3,110.4,111.17,432565,48086813.55,8773.0,251219.0,58.08
DABUR,EQ,25-Jul-2011,111.95,111.6,113.0,111.0,112.0,111.9,112.34,656659,73771213.0,7423.0,369949.0,56.34
DABUR,EQ,22-Jul-2011,110.45,110.5,112.5,110.2,112.0,111.95,111.97,822886,92139424.75,9892.0,547015.0,66.48
DABUR,EQ,21-Jul-2011,110.75,111.1,111.8,110.0,110.75,110.45,110.64,266111,29443441.2,4681.0,101578.0,38.17
DABUR,EQ,20-Jul-2011,111.8,112.5,112.5,110.5,110.6,110.75,111.29,254046,28273909.55,5141.0,88915.0,35.0
DABUR,EQ,19-Jul-2011,111.45,112.5,112.9,111.5,111.85,111.8,111.85,241483,27008891.55,2807.0,102468.0,42.43
DABUR,EQ,18-Jul-2011,111.7,113.5,113.5,111.0,111.65,111.45,111.55,274083,30574627.2,10060.0,110205.0,40.21
DABUR,EQ,15-Jul-2011,112.0,112.5,113.25,111.3,111.35,111.7,112.09,522500,58565825.45,4979.0,232686.0,44.53
DABUR,EQ,14-Jul-2011,110.9,110.0,113.0,109.5,111.95,112.0,112.0,1597897,178965560.9,6784.0,1022732.0,64.0
DABUR,EQ,13-Jul-2011,110.25,110.5,111.8,110.4,110.8,110.9,111.04,455378,50563403.2,4397.0,193862.0,42.57
DABUR,EQ,12-Jul-2011,110.4,110.4,112.5,109.1,110.15,110.25,110.88,793843,88022445.05,7473.0,234913.0,29.59
DABUR,EQ,11-Jul-2011,111.65,111.7,111.9,109.1,110.35,110.4,110.41,842012,92964199.75,7815.0,342920.0,40.73
DABUR,EQ,08-Jul-2011,113.45,113.65,114.8,111.35,111.4,111.65,112.47,580077,65243246.25,4089.0,305347.0,52.64
DABUR,EQ,07-Jul-2011,111.75,111.9,113.8,111.2,113.5,113.45,112.79,925473,104386456.8,8641.0,410620.0,44.37
DABUR,EQ,06-Jul-2011,114.0,115.0,115.0,111.5,111.8,111.75,112.32,1384663,155523241.4,21306.0,853410.0,61.63
DABUR,EQ,05-Jul-2011,116.7,117.1,117.35,113.55,113.55,114.0,114.22,2108434,240816224.3,11665.0,1737460.0,82.41
DABUR,EQ,04-Jul-2011,116.6,117.2,118.0,116.25,116.45,116.7,116.91,788850,92223018.2,13034.0,478851.0,60.7
DABUR,EQ,01-Jul-2011,114.0,114.2,118.9,114.2,117.1,116.6,117.12,3790273,443924340.2,22024.0,2305137.0,60.82
DABUR,EQ,30-Jun-2011,114.6,114.65,115.5,113.5,114.25,114.0,114.45,4164850,476675614.8,18340.0,2787760.0,66.94
DABUR,EQ,29-Jun-2011,113.85,114.2,115.5,113.15,114.4,114.6,114.27,1715403,196026273.1,9770.0,1001921.0,58.41
DABUR,EQ,28-Jun-2011,113.9,114.0,115.15,113.0,114.35,113.85,113.6,732049,83163661.5,11022.0,446287.0,60.96
DABUR,EQ,27-Jun-2011,113.75,112.65,115.8,112.65,114.45,113.9,114.75,1050533,120551360.8,10204.0,631769.0,60.14
DABUR,EQ,24-Jun-2011,113.45,114.0,114.95,112.45,114.0,113.75,114.11,874933,99841056.05,6896.0,539146.0,61.62
DABUR,EQ,23-Jun-2011,111.85,111.85,113.95,110.3,113.95,113.45,111.94,668315,74810358.65,5803.0,334097.0,49.99
DABUR,EQ,22-Jun-2011,113.85,114.3,114.5,111.05,111.9,111.85,112.02,943520,105693903.9,12728.0,482434.0,51.13
DABUR,EQ,21-Jun-2011,114.3,114.5,116.95,113.3,113.8,113.85,115.0,893303,102728636.15,7478.0,432651.0,48.43
DABUR,EQ,20-Jun-2011,116.35,117.0,117.75,112.0,114.5,114.3,115.19,1260284,145172963.85,10814.0,617046.0,48.96
DABUR,EQ,17-Jun-2011,118.6,118.65,120.9,115.55,116.15,116.35,118.7,1322010,156919641.2,11571.0,500036.0,37.82
DABUR,EQ,16-Jun-2011,116.85,117.0,120.25,116.0,118.95,118.6,119.18,2022821,241080174.7,11973.0,983527.0,48.62
DABUR,EQ,15-Jun-2011,113.0,113.0,117.95,113.0,117.0,116.85,116.96,3009484,351976880.3,19675.0,1630500.0,54.18
DABUR,EQ,14-Jun-2011,113.1,113.3,114.6,112.55,113.0,113.0,113.15,974496,110266557.8,4200.0,734861.0,75.41
DABUR,EQ,13-Jun-2011,113.95,113.4,114.8,112.7,113.45,113.1,113.31,1259296,142696091.25,7081.0,958004.0,76.07
DABUR,EQ,10-Jun-2011,114.8,115.2,115.5,113.2,113.7,113.95,114.32,426334,48737193.35,5209.0,254581.0,59.71
DABUR,EQ,09-Jun-2011,113.8,113.8,116.45,113.2,114.95,114.8,115.12,986140,113521446.3,6994.0,374928.0,38.02
DABUR,EQ,08-Jun-2011,114.8,114.8,115.4,113.4,113.75,113.8,114.14,692174,79007320.35,3910.0,463943.0,67.03
DABUR,EQ,07-Jun-2011,113.2,113.2,115.95,113.05,114.9,114.8,115.02,903772,103953565.5,9882.0,497721.0,55.07
DABUR,EQ,06-Jun-2011,115.2,114.1,115.2,112.7,113.0,113.2,113.49,861936,97825405.8,5768.0,461240.0,53.51
DABUR,EQ,03-Jun-2011,114.45,115.8,116.7,114.3,115.0,115.2,115.33,821450,94738053.45,6483.0,437307.0,53.24
DABUR,EQ,02-Jun-2011,113.85,112.9,117.0,112.0,115.1,114.45,115.37,2524775,291283697.4,17664.0,1433478.0,56.78
DABUR,EQ,01-Jun-2011,117.6,115.8,115.8,112.2,113.7,113.85,114.44,2816775,322347973.25,16973.0,1837605.0,65.24
DABUR,EQ,31-May-2011,112.95,113.5,123.2,111.75,114.9,117.6,116.4,24118580,2807467962.8,,19088829.0,79.15
DABUR,EQ,30-May-2011,108.4,108.9,113.75,108.6,112.55,112.95,111.35,5675750,632005197.95,,4293046.0,75.64
DABUR,EQ,27-May-2011,109.5,109.5,110.5,107.05,108.4,108.4,108.46,3482734,377743474.5,,2614702.0,75.08
DABUR,EQ,26-May-2011,107.7,108.5,111.65,107.05,109.0,109.5,109.06,3873308,422431684.05,,2843603.0,73.42
DABUR,EQ,25-May-2011,105.5,105.65,108.4,105.5,107.65,107.7,107.07,4802092,514163608.65,,3929207.0,81.82
DABUR,EQ,24-May-2011,104.45,104.0,107.7,103.5,105.85,105.5,106.15,4754509,504667572.35,,3487132.0,73.34
DABUR,EQ,23-May-2011,103.05,103.05,105.3,101.6,104.2,104.45,104.18,2695546,280828246.1,,1912081.0,70.93
DABUR,EQ,20-May-2011,103.55,104.0,104.1,102.65,102.95,103.05,103.57,1084137,112286522.1,,842830.0,77.74
DABUR,EQ,19-May-2011,103.7,104.75,104.95,102.6,104.0,103.55,103.51,1885766,195193187.25,,1511787.0,80.17
DABUR,EQ,18-May-2011,103.65,104.5,106.4,103.0,103.4,103.7,103.8,2344626,243375691.35,,1754440.0,74.83
DABUR,EQ,17-May-2011,100.2,101.5,105.45,100.8,103.8,103.65,104.11,5762356,599895613.35,,3617471.0,62.78
DABUR,EQ,16-May-2011,99.45,99.5,101.2,98.8,100.6,100.2,100.1,920194,92111963.9,,669292.0,72.73
DABUR,EQ,13-May-2011,98.85,98.2,100.6,98.2,100.1,99.45,99.83,501293,50044528.25,,279535.0,55.76
DABUR,EQ,12-May-2011,100.8,100.2,101.4,98.5,98.65,98.85,99.93,938762,93806087.1,,654513.0,69.72
DABUR,EQ,11-May-2011,100.6,101.4,101.65,100.4,101.2,100.8,100.89,561514,56649126.1,,340536.0,60.65
DABUR,EQ,10-May-2011,102.4,102.9,103.9,100.2,100.5,100.6,101.85,1001590,102012646.3,,605012.0,60.41
DABUR,EQ,09-May-2011,102.1,102.85,103.4,100.75,102.8,102.4,102.07,471125,48089950.25,,274192.0,58.2
DABUR,EQ,06-May-2011,100.4,100.0,103.1,100.0,101.85,102.1,101.43,1690060,171423821.8,,1293681.0,76.55
DABUR,EQ,06-May-2011,100.4,100.0,103.1,100.0,101.85,102.1,101.43,1690060,171423821.8,,1293681.0,76.55
DABUR,EQ,05-May-2011,100.45,100.45,101.15,99.2,100.15,100.4,100.23,393390,39429523.05,,229765.0,58.41
DABUR,EQ,04-May-2011,100.75,100.7,101.9,99.7,100.1,100.45,100.6,1166176,117316475.75,,834402.0,71.55
DABUR,EQ,03-May-2011,101.2,101.95,101.95,99.5,99.7,100.75,100.87,1204605,121507982.85,,870517.0,72.27
DABUR,EQ,02-May-2011,101.15,102.0,102.75,100.95,101.1,101.2,101.73,1184539,120500316.95,,733753.0,61.94
DABUR,EQ,29-Apr-2011,98.5,99.75,102.75,97.7,101.0,101.15,100.66,3354129,337634679.05,,2285699.0,68.15
DABUR,EQ,28-Apr-2011,99.55,100.8,100.8,98.1,98.5,98.5,99.07,1259363,124759851.45,,780518.0,61.98
DABUR,EQ,27-Apr-2011,101.85,103.5,103.55,98.7,99.1,99.55,100.59,2905715,292293113.9,,1224871.0,42.15
DABUR,EQ,26-Apr-2011,102.95,103.85,103.85,101.0,102.0,101.85,101.83,600081,61104417.3,,318069.0,53.0
DABUR,EQ,25-Apr-2011,103.15,102.8,104.0,102.25,102.5,102.95,102.93,313412,32259213.8,,192533.0,61.43
DABUR,EQ,21-Apr-2011,102.95,103.0,104.0,102.5,104.0,103.15,103.07,803133,82777423.05,,526346.0,65.54
DABUR,EQ,20-Apr-2011,102.25,102.3,103.5,101.9,102.9,102.95,102.79,1083910,111419591.6,,728250.0,67.19
