"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
DALBHARAT,EQ,27-Dec-2019,795.75,791.05,799.00,787.50,790.00,790.80,790.45,108385,85672961.45,2269,90853.0,83.82
DALBHARAT,EQ,26-Dec-2019,795.65,796.10,804.75,793.00,793.00,795.75,797.54,44345,35366786.2,1661,32035.0,72.24
DALBHARAT,EQ,24-Dec-2019,798.90,807.90,807.90,792.00,793.65,795.65,797.10,192154,153166225.05,3007,168547.0,87.71
DALBHARAT,EQ,23-Dec-2019,803.30,805.40,815.00,792.00,798.00,798.90,802.71,36636,29407965.7,2762,24794.0,67.68
DALBHARAT,EQ,20-Dec-2019,809.90,807.05,815.00,801.00,801.45,803.30,804.75,45020,36230017.3,2448,34518.0,76.67
DALBHARAT,EQ,19-Dec-2019,809.45,810.00,829.80,807.00,808.25,809.90,817.97,146401,119751076.05,5041,35080.0,23.96
DALBHARAT,EQ,18-Dec-2019,828.80,832.35,832.35,805.00,807.50,809.45,814.55,70326,57283831.4,2861,43593.0,61.99
DALBHARAT,EQ,17-Dec-2019,802.75,804.10,832.75,800.00,828.00,828.80,820.83,84452,69321116.7,4427,40529.0,47.99
DALBHARAT,EQ,16-Dec-2019,811.85,808.40,818.50,801.00,802.00,802.75,809.52,126385,102310661.4,2929,99423.0,78.67
DALBHARAT,EQ,13-Dec-2019,814.80,815.25,826.50,797.00,813.00,811.85,811.81,145039,117744164.2,3965,105454.0,72.71
DALBHARAT,EQ,12-Dec-2019,828.15,828.15,829.45,812.40,815.00,814.80,821.00,43109,35392526.95,1919,33186.0,76.98
DALBHARAT,EQ,11-Dec-2019,829.80,825.40,835.00,811.00,827.00,828.15,824.32,63120,52031151.75,3038,48480.0,76.81
DALBHARAT,EQ,10-Dec-2019,835.10,841.50,845.35,828.00,829.05,829.80,831.74,91435,76050104.55,1865,77932.0,85.23
DALBHARAT,EQ,09-Dec-2019,845.75,844.45,845.70,830.00,835.00,835.10,836.55,39922,33396833.2,3820,31109.0,77.92
DALBHARAT,EQ,06-Dec-2019,845.45,842.10,855.45,839.95,845.20,845.75,846.57,124988,105811369.1,2359,101754.0,81.41
DALBHARAT,EQ,05-Dec-2019,857.90,860.80,863.60,842.00,847.00,845.45,847.27,116508,98713640.1,3018,91189.0,78.27
DALBHARAT,EQ,04-Dec-2019,860.95,859.95,875.00,847.00,873.95,857.90,853.00,57962,49441481.7,1598,46028.0,79.41
DALBHARAT,EQ,03-Dec-2019,870.55,873.35,877.00,855.25,855.35,860.95,865.53,62820,54372708.1,4296,54507.0,86.77
DALBHARAT,EQ,02-Dec-2019,880.90,885.90,891.05,868.00,872.00,870.55,875.47,48557,42510073.75,1943,32233.0,66.38
DALBHARAT,EQ,29-Nov-2019,875.55,880.05,896.50,870.25,891.00,880.90,887.06,95377,84605279.3,2736,65425.0,68.60
DALBHARAT,EQ,28-Nov-2019,882.25,887.20,888.00,868.00,883.90,875.55,874.86,55813,48828668.25,1776,37365.0,66.95
DALBHARAT,EQ,27-Nov-2019,868.90,870.00,897.70,868.20,882.50,882.25,886.56,89642,79472677.6,3412,45670.0,50.95
DALBHARAT,EQ,26-Nov-2019,871.55,874.75,877.35,865.00,869.90,868.90,869.43,117274,101961718.4,4002,69304.0,59.10
DALBHARAT,EQ,25-Nov-2019,867.80,870.30,883.10,865.00,866.00,871.55,871.77,67761,59071745.35,2859,40065.0,59.13
DALBHARAT,EQ,22-Nov-2019,852.20,855.00,885.35,855.00,873.00,867.80,871.58,220658,192321394.9,8534,125435.0,56.85
DALBHARAT,EQ,21-Nov-2019,841.00,836.00,855.00,836.00,853.00,852.20,846.95,122039,103361416.5,5034,94837.0,77.71
DALBHARAT,EQ,20-Nov-2019,843.20,850.00,852.50,838.10,840.00,841.00,843.44,53124,44806742.5,1980,33584.0,63.22
DALBHARAT,EQ,19-Nov-2019,831.60,833.00,855.00,833.00,847.80,843.20,843.12,96909,81706179.25,6871,57643.0,59.48
DALBHARAT,EQ,18-Nov-2019,829.80,834.00,840.00,828.00,834.60,831.60,833.17,61500,51240212.95,4968,42002.0,68.30
DALBHARAT,EQ,15-Nov-2019,829.85,830.00,838.50,827.70,833.00,829.80,833.23,81794,68153326.0,4038,58591.0,71.63
