"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
DEEPAKNTR,EQ,30-Dec-2011,150.0,151.0,154.0,151.0,153.0,153.0,152.55,967,147513.0,13.0,967.0,100.00
DEEPAKNTR,EQ,29-Dec-2011,158.95,150.0,150.0,150.0,150.0,150.0,150.0,1,150.0,1.0,1.0,100.00
DEEPAKNTR,EQ,28-Dec-2011,152.0,159.0,159.0,158.9,158.9,158.95,158.95,2,317.9,2.0,1.0,50.00
DEEPAKNTR,EQ,27-Dec-2011,156.85,157.0,157.0,152.0,152.0,152.0,152.05,101,15357.0,2.0,101.0,100.00
DEEPAKNTR,EQ,26-Dec-2011,152.4,156.85,156.85,156.85,156.85,156.85,156.85,1,156.85,1.0,1.0,100.00
DEEPAKNTR,EQ,23-Dec-2011,155.0,151.2,157.0,151.2,157.0,152.4,151.5,136,20604.0,5.0,136.0,100.00
DEEPAKNTR,EQ,22-Dec-2011,156.85,155.0,155.0,155.0,155.0,155.0,155.0,1,155.0,1.0,,-
DEEPAKNTR,EQ,21-Dec-2011,160.0,145.0,161.0,145.0,157.5,156.85,155.93,375,58475.0,10.0,266.0,70.93
DEEPAKNTR,EQ,20-Dec-2011,158.75,152.0,165.0,152.0,160.0,160.0,154.73,320,49512.5,8.0,315.0,98.44
DEEPAKNTR,EQ,19-Dec-2011,155.0,170.0,170.0,150.25,159.95,158.75,167.57,19190,3215622.5,53.0,16683.0,86.94
DEEPAKNTR,EQ,16-Dec-2011,154.95,155.0,155.0,155.0,155.0,155.0,155.0,1,155.0,1.0,,-
DEEPAKNTR,EQ,15-Dec-2011,155.0,154.9,155.0,154.9,155.0,154.95,154.95,2,309.9,2.0,1.0,50.00
DEEPAKNTR,EQ,14-Dec-2011,156.0,155.0,155.0,155.0,155.0,155.0,155.0,1,155.0,1.0,1.0,100.00
DEEPAKNTR,EQ,13-Dec-2011,154.95,155.0,157.0,148.0,156.0,156.0,153.78,3763,578664.95,13.0,3062.0,81.37
DEEPAKNTR,EQ,09-Dec-2011,155.0,154.95,155.0,154.95,155.0,154.95,154.98,2,309.95,2.0,1.0,50.00
DEEPAKNTR,EQ,08-Dec-2011,150.0,155.0,155.0,155.0,155.0,155.0,155.0,1,155.0,1.0,1.0,100.00
DEEPAKNTR,EQ,07-Dec-2011,152.0,155.0,156.0,148.5,150.0,150.0,149.96,254,38091.1,12.0,235.0,92.52
DEEPAKNTR,EQ,02-Dec-2011,157.8,175.0,175.0,152.0,152.0,152.0,156.09,27,4214.5,5.0,25.0,92.59
DEEPAKNTR,EQ,30-Nov-2011,157.0,157.8,157.8,157.8,157.8,157.8,157.8,9,1420.2,3.0,9.0,100.00
DEEPAKNTR,EQ,29-Nov-2011,138.0,145.0,158.0,145.0,157.0,157.0,149.94,81,12145.0,5.0,71.0,87.65
DEEPAKNTR,EQ,28-Nov-2011,145.5,145.0,145.0,138.0,138.0,138.0,139.75,8,1118.0,2.0,8.0,100.00
DEEPAKNTR,EQ,25-Nov-2011,147.0,145.5,145.5,145.5,145.5,145.5,145.5,100,14550.0,1.0,100.0,100.00
DEEPAKNTR,EQ,24-Nov-2011,149.0,160.0,160.0,147.0,147.0,147.0,153.22,18,2758.0,3.0,10.0,55.56
DEEPAKNTR,EQ,23-Nov-2011,154.75,149.0,149.0,149.0,149.0,149.0,149.0,26,3874.0,2.0,26.0,100.00
DEEPAKNTR,EQ,22-Nov-2011,145.0,155.0,164.0,152.0,154.5,154.75,157.78,186,29346.8,18.0,100.0,53.76
DEEPAKNTR,EQ,21-Nov-2011,150.0,145.0,145.0,145.0,145.0,145.0,145.0,15,2175.0,1.0,15.0,100.00
DEEPAKNTR,EQ,18-Nov-2011,150.05,150.0,150.0,150.0,150.0,150.0,150.0,50,7500.0,1.0,50.0,100.00
DEEPAKNTR,EQ,16-Nov-2011,151.0,151.0,155.0,150.0,150.0,150.05,150.36,179,26915.2,6.0,179.0,100.00
DEEPAKNTR,EQ,15-Nov-2011,151.4,151.0,151.0,151.0,151.0,151.0,151.0,10,1510.0,1.0,10.0,100.00
DEEPAKNTR,EQ,14-Nov-2011,159.95,151.4,151.4,151.4,151.4,151.4,151.4,3,454.2,1.0,3.0,100.00
DEEPAKNTR,EQ,11-Nov-2011,160.0,160.0,160.0,156.05,159.95,159.95,159.0,100,15900.0,5.0,80.0,80.00
DEEPAKNTR,EQ,09-Nov-2011,160.45,162.5,162.5,160.0,160.0,160.0,160.57,602,96662.35,14.0,552.0,91.69
DEEPAKNTR,EQ,08-Nov-2011,168.5,164.0,166.95,160.45,160.45,160.45,161.69,926,149728.1,23.0,911.0,98.38
DEEPAKNTR,EQ,04-Nov-2011,174.05,175.0,175.5,168.5,168.5,168.5,174.45,712,124205.5,6.0,612.0,85.96
DEEPAKNTR,EQ,02-Nov-2011,180.0,162.0,175.0,162.0,174.05,174.05,172.54,220,37958.5,11.0,190.0,86.36
DEEPAKNTR,EQ,31-Oct-2011,178.0,171.1,180.0,171.1,180.0,180.0,171.44,26,4457.5,2.0,26.0,100.00
DEEPAKNTR,EQ,28-Oct-2011,170.0,183.0,183.0,178.0,178.0,178.0,180.0,125,22500.0,4.0,125.0,100.00
DEEPAKNTR,EQ,26-Oct-2011,182.0,170.0,170.0,170.0,170.0,170.0,170.0,20,3400.0,1.0,20.0,100.00
DEEPAKNTR,EQ,24-Oct-2011,174.0,167.4,184.0,167.4,182.0,182.0,177.89,221,39313.05,6.0,10.0,4.52
DEEPAKNTR,EQ,24-Oct-2011,174.0,167.4,184.0,167.4,182.0,182.0,177.89,221,39313.05,6.0,10.0,4.52
DEEPAKNTR,EQ,21-Oct-2011,180.0,172.0,174.0,172.0,174.0,174.0,173.58,475,82450.0,4.0,475.0,100.00
DEEPAKNTR,EQ,20-Oct-2011,174.2,167.0,180.0,167.0,180.0,180.0,169.17,30,5075.0,2.0,30.0,100.00
DEEPAKNTR,EQ,19-Oct-2011,175.0,173.05,174.5,173.05,174.2,174.2,174.32,1310,228365.0,6.0,1210.0,92.37
DEEPAKNTR,EQ,17-Oct-2011,182.2,173.0,175.0,173.0,175.0,175.0,174.74,115,20095.0,4.0,115.0,100.00
DEEPAKNTR,EQ,13-Oct-2011,172.0,170.0,182.9,170.0,182.9,182.2,172.71,395,68221.9,6.0,395.0,100.00
DEEPAKNTR,EQ,12-Oct-2011,178.4,172.0,172.0,172.0,172.0,172.0,172.0,100,17200.0,1.0,100.0,100.00
DEEPAKNTR,EQ,11-Oct-2011,179.4,176.0,178.4,176.0,178.4,178.4,177.37,116,20574.4,4.0,116.0,100.00
DEEPAKNTR,EQ,10-Oct-2011,175.0,170.0,182.3,170.0,179.4,179.4,174.58,209,36487.55,6.0,208.0,99.52
DEEPAKNTR,EQ,07-Oct-2011,176.9,175.0,175.0,175.0,175.0,175.0,175.0,201,35175.0,2.0,201.0,100.00
DEEPAKNTR,EQ,05-Oct-2011,177.95,170.0,176.9,170.0,176.9,176.9,170.26,80,13620.7,2.0,80.0,100.00
DEEPAKNTR,EQ,04-Oct-2011,168.05,168.0,177.95,168.0,177.95,177.95,168.05,201,33777.95,4.0,201.0,100.00
DEEPAKNTR,EQ,03-Oct-2011,166.05,168.1,168.1,168.0,168.0,168.05,168.05,4,672.2,2.0,2.0,50.00
DEEPAKNTR,EQ,29-Sep-2011,168.95,166.0,166.1,166.0,166.05,166.05,166.04,414,68742.2,6.0,314.0,75.85
DEEPAKNTR,EQ,28-Sep-2011,170.0,160.4,169.05,160.4,168.95,168.95,168.22,249,41885.6,9.0,225.0,90.36
DEEPAKNTR,EQ,26-Sep-2011,170.1,170.0,170.0,170.0,170.0,170.0,170.0,1,170.0,1.0,1.0,100.00
DEEPAKNTR,EQ,23-Sep-2011,174.95,166.0,170.15,166.0,170.1,170.1,167.66,360,60358.0,10.0,235.0,65.28
DEEPAKNTR,EQ,22-Sep-2011,179.5,177.0,177.0,173.0,175.0,174.95,174.35,140,24409.5,7.0,110.0,78.57
DEEPAKNTR,EQ,21-Sep-2011,170.5,182.3,182.75,179.5,179.5,179.5,181.75,37,6724.75,4.0,27.0,72.97
DEEPAKNTR,EQ,20-Sep-2011,166.6,183.0,183.0,169.05,170.5,170.5,175.31,252,44177.85,11.0,101.0,40.08
DEEPAKNTR,EQ,19-Sep-2011,172.15,163.05,170.1,163.05,166.6,166.6,165.87,200,33174.0,4.0,100.0,50.00
DEEPAKNTR,EQ,15-Sep-2011,172.05,170.0,192.0,170.0,170.0,172.15,172.4,1221,210498.0,20.0,1165.0,95.41
DEEPAKNTR,EQ,14-Sep-2011,178.0,175.0,175.0,171.3,171.3,172.05,173.02,302,52253.35,9.0,201.0,66.56
DEEPAKNTR,EQ,12-Sep-2011,180.0,179.0,179.0,178.0,178.0,178.0,178.03,154,27416.0,3.0,154.0,100.00
DEEPAKNTR,EQ,09-Sep-2011,178.35,179.0,180.0,179.0,180.0,180.0,179.4,250,44850.0,2.0,100.0,40.00
DEEPAKNTR,EQ,08-Sep-2011,178.15,184.95,185.0,175.0,175.0,178.35,182.21,694,126455.5,18.0,561.0,80.84
DEEPAKNTR,EQ,07-Sep-2011,178.7,180.0,181.0,177.5,177.5,178.15,179.44,851,152702.2,17.0,815.0,95.77
DEEPAKNTR,EQ,06-Sep-2011,176.15,182.75,182.75,175.1,178.7,178.7,178.69,257,45922.3,11.0,158.0,61.48
DEEPAKNTR,EQ,05-Sep-2011,192.85,194.0,195.0,170.0,176.0,176.15,184.34,1972,363521.2,30.0,1729.0,87.68
DEEPAKNTR,EQ,30-Aug-2011,189.5,175.05,192.85,175.05,192.85,192.85,175.65,54,9485.35,3.0,53.0,98.15
DEEPAKNTR,EQ,29-Aug-2011,185.0,180.0,189.5,180.0,189.5,189.5,183.96,120,22075.0,3.0,20.0,16.67
DEEPAKNTR,EQ,26-Aug-2011,192.7,185.0,190.0,185.0,185.0,185.0,186.03,177,32927.3,9.0,100.0,56.50
DEEPAKNTR,EQ,25-Aug-2011,172.05,180.0,192.95,173.0,192.7,192.7,182.33,5,911.65,5.0,2.0,40.00
DEEPAKNTR,EQ,23-Aug-2011,171.2,172.05,172.05,172.05,172.05,172.05,172.05,41,7054.05,1.0,41.0,100.00
DEEPAKNTR,EQ,22-Aug-2011,185.0,171.35,171.35,171.2,171.2,171.2,171.25,300,51375.0,2.0,300.0,100.00
DEEPAKNTR,EQ,19-Aug-2011,185.0,170.15,193.95,170.15,185.0,185.0,183.1,61,11169.3,10.0,30.0,49.18
DEEPAKNTR,EQ,18-Aug-2011,190.0,191.0,191.0,183.1,185.0,185.0,184.4,360,66383.0,6.0,340.0,94.44
DEEPAKNTR,EQ,17-Aug-2011,191.25,190.0,190.0,190.0,190.0,190.0,190.0,25,4750.0,1.0,25.0,100.00
DEEPAKNTR,EQ,16-Aug-2011,188.0,192.95,199.0,189.25,191.0,191.25,192.57,303,58349.75,9.0,302.0,99.67
DEEPAKNTR,EQ,12-Aug-2011,190.0,187.4,188.0,187.4,188.0,188.0,187.7,20,3754.0,3.0,,-
DEEPAKNTR,EQ,11-Aug-2011,183.0,195.0,195.0,185.0,190.0,190.0,192.12,411,78959.8,9.0,411.0,100.00
DEEPAKNTR,EQ,09-Aug-2011,190.0,188.0,188.0,164.0,183.0,183.0,176.17,430,75754.75,16.0,270.0,62.79
DEEPAKNTR,EQ,09-Aug-2011,190.0,188.0,188.0,164.0,183.0,183.0,176.17,430,75754.75,16.0,270.0,62.79
DEEPAKNTR,EQ,08-Aug-2011,196.4,190.0,190.0,182.0,190.0,190.0,189.34,640,121174.75,11.0,615.0,96.09
DEEPAKNTR,EQ,05-Aug-2011,200.15,192.7,203.0,190.1,194.95,196.4,196.14,495,97090.05,10.0,195.0,39.39
DEEPAKNTR,EQ,04-Aug-2011,207.9,203.0,203.0,193.05,200.0,200.15,200.13,271,54236.0,7.0,127.0,46.86
DEEPAKNTR,EQ,03-Aug-2011,211.3,202.15,207.9,201.05,207.9,207.9,204.62,237,48494.15,8.0,160.0,67.51
DEEPAKNTR,EQ,01-Aug-2011,211.25,205.0,212.95,205.0,212.0,211.3,209.53,314,65792.9,13.0,226.0,71.97
DEEPAKNTR,EQ,29-Jul-2011,206.55,202.0,229.55,201.0,214.0,211.25,210.49,1446,304364.55,51.0,1122.0,77.59
DEEPAKNTR,EQ,28-Jul-2011,213.2,213.5,218.0,192.5,206.55,206.55,206.64,166,34303.05,9.0,105.0,63.25
DEEPAKNTR,EQ,27-Jul-2011,219.05,207.0,224.8,207.0,213.2,213.2,210.84,239,50390.3,12.0,199.0,83.26
DEEPAKNTR,EQ,26-Jul-2011,226.55,210.0,225.0,210.0,219.5,219.05,218.9,1089,238383.55,50.0,544.0,49.95
DEEPAKNTR,EQ,25-Jul-2011,214.15,218.7,229.65,218.7,227.0,226.55,224.74,4910,1103450.15,86.0,3724.0,75.85
DEEPAKNTR,EQ,22-Jul-2011,217.1,219.0,230.0,212.55,214.15,214.15,218.71,2605,569748.5,50.0,1739.0,66.76
DEEPAKNTR,EQ,21-Jul-2011,210.85,210.0,218.0,205.05,214.5,217.1,215.4,2783,599452.6,67.0,1830.0,65.76
DEEPAKNTR,EQ,20-Jul-2011,203.1,195.1,214.9,195.1,210.1,210.85,195.46,59834,11695318.45,42.0,59500.0,99.44
DEEPAKNTR,EQ,19-Jul-2011,195.35,187.0,206.0,187.0,203.5,203.1,202.13,2585,522513.0,42.0,2050.0,79.30
DEEPAKNTR,EQ,18-Jul-2011,191.25,194.4,195.75,193.0,195.75,195.35,194.5,786,152878.4,11.0,732.0,93.13
DEEPAKNTR,EQ,15-Jul-2011,192.0,194.5,194.5,188.0,191.95,191.25,191.24,304,58136.8,10.0,151.0,49.67
DEEPAKNTR,EQ,14-Jul-2011,188.05,192.0,192.0,189.0,192.0,192.0,191.36,505,96638.5,12.0,453.0,89.70
