"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
DLF,EQ,30-Dec-2011,186.65,187.5,189.4,181.55,183.25,183.1,185.42,6179192,1145756870.1,65703.0,1113816.0,18.03
DLF,EQ,29-Dec-2011,192.6,193.0,194.1,185.55,186.1,186.65,189.58,5678798,1076610669.85,58592.0,978798.0,17.24
DLF,EQ,28-Dec-2011,191.25,190.5,194.9,186.6,192.2,192.6,189.86,5126088,973261047.25,54223.0,920780.0,17.96
DLF,EQ,27-Dec-2011,196.55,195.5,198.75,190.1,191.1,191.25,193.46,4555620,881325436.2,49431.0,649278.0,14.25
DLF,EQ,26-Dec-2011,193.95,194.05,198.2,194.0,196.3,196.55,196.62,3645633,716816253.8,37280.0,598011.0,16.4
DLF,EQ,23-Dec-2011,197.65,199.0,201.8,192.5,193.65,193.95,197.38,6236335,1230898381.75,68339.0,622054.0,9.97
DLF,EQ,22-Dec-2011,188.5,187.5,199.35,185.8,198.9,197.65,192.57,6423633,1236995312.15,69246.0,851980.0,13.26
DLF,EQ,21-Dec-2011,185.25,191.9,192.75,184.3,189.0,188.5,188.12,6589784,1239661135.6,59682.0,1669689.0,25.34
DLF,EQ,20-Dec-2011,189.45,190.4,193.3,183.85,185.5,185.25,188.06,7288079,1370566542.35,81930.0,1512921.0,20.76
DLF,EQ,19-Dec-2011,194.95,193.7,193.7,184.25,188.4,189.45,188.02,6407143,1204664772.45,77138.0,1069015.0,16.68
DLF,EQ,16-Dec-2011,202.9,204.25,207.45,192.7,193.9,194.95,202.09,5449492,1101297253.8,62359.0,716193.0,13.14
DLF,EQ,15-Dec-2011,200.8,199.1,204.0,196.1,203.9,202.9,200.19,5463934,1093810523.8,60678.0,296257.0,5.42
DLF,EQ,14-Dec-2011,208.1,208.9,209.7,199.25,201.05,200.8,205.39,6678050,1371603155.75,70380.0,1361953.0,20.39
DLF,EQ,13-Dec-2011,204.4,201.45,211.0,200.5,210.4,208.1,206.22,5522946,1138961468.8,66278.0,536456.0,9.71
DLF,EQ,12-Dec-2011,213.85,217.0,218.0,203.05,203.7,204.4,211.15,5540816,1169950963.9,58704.0,698330.0,12.6
DLF,EQ,09-Dec-2011,215.7,210.4,216.6,208.6,214.55,213.85,213.08,5184017,1104615220.15,52810.0,395972.0,7.64
DLF,EQ,08-Dec-2011,225.2,224.0,224.75,214.05,215.55,215.7,217.81,5261453,1146023133.75,55279.0,738764.0,14.04
DLF,EQ,07-Dec-2011,222.4,224.0,227.25,222.4,224.55,225.2,225.21,4247108,956487925.35,48612.0,541530.0,12.75
DLF,EQ,05-Dec-2011,223.45,224.0,227.3,220.35,222.8,222.4,224.06,4883017,1094092950.65,58136.0,497708.0,10.19
DLF,EQ,02-Dec-2011,218.5,215.35,224.9,215.35,224.8,223.45,220.4,6201448,1366769927.5,64093.0,569770.0,9.19
DLF,EQ,01-Dec-2011,208.05,215.0,219.9,214.0,216.95,218.5,217.28,6459088,1403454204.35,68233.0,1074084.0,16.63
DLF,EQ,30-Nov-2011,202.65,200.9,209.85,198.75,209.25,208.05,203.98,7812600,1593595085.45,86645.0,1587626.0,20.32
DLF,EQ,29-Nov-2011,209.6,210.0,211.0,201.1,202.0,202.65,205.29,4924153,1010879556.25,60769.0,729306.0,14.81
DLF,EQ,28-Nov-2011,203.7,207.9,211.6,207.3,209.6,209.6,209.47,4494770,941530526.25,53466.0,584863.0,13.01
DLF,EQ,25-Nov-2011,197.9,196.1,211.2,195.0,202.1,203.7,205.16,8704587,1785799226.95,87866.0,1477202.0,16.97
DLF,EQ,24-Nov-2011,195.65,197.45,199.65,190.65,197.25,197.9,194.94,5596273,1090921852.45,60347.0,545121.0,9.74
DLF,EQ,23-Nov-2011,201.5,198.9,200.75,194.5,196.4,195.65,197.18,5571649,1098625580.45,60998.0,1282085.0,23.01
DLF,EQ,22-Nov-2011,195.75,197.4,203.0,195.15,200.75,201.5,199.36,7970745,1589055088.25,80828.0,1598644.0,20.06
DLF,EQ,21-Nov-2011,204.15,202.4,206.7,193.2,194.1,195.75,201.41,6708459,1351136494.35,70192.0,1264193.0,18.84
DLF,EQ,18-Nov-2011,203.5,202.95,206.3,197.1,205.05,204.15,201.79,8588401,1733019623.7,86743.0,1307590.0,15.23
DLF,EQ,17-Nov-2011,210.75,213.0,215.8,202.2,203.3,203.5,210.17,6529987,1372416674.85,73139.0,867535.0,13.29
DLF,EQ,16-Nov-2011,207.35,206.95,214.85,204.3,212.8,210.75,209.07,7922727,1656369671.9,88985.0,963291.0,12.16
DLF,EQ,15-Nov-2011,223.4,223.4,223.4,205.7,206.8,207.35,213.64,9133896,1951386253.0,81554.0,2513786.0,27.52
DLF,EQ,14-Nov-2011,227.5,232.7,234.45,221.9,223.0,223.4,228.7,3676761,840860558.6,43417.0,463226.0,12.6
DLF,EQ,11-Nov-2011,233.3,229.0,231.4,224.3,228.05,227.5,227.65,5723076,1302873779.15,67140.0,1142158.0,19.96
DLF,EQ,09-Nov-2011,242.75,243.0,244.05,231.55,232.1,233.3,239.49,5713792,1368384638.8,67366.0,701064.0,12.27
DLF,EQ,08-Nov-2011,247.6,247.0,249.55,238.4,241.65,242.75,242.66,5019274,1217999095.1,56968.0,614636.0,12.25
DLF,EQ,04-Nov-2011,245.65,248.55,251.35,244.25,245.55,247.6,247.68,4682219,1159711291.3,51833.0,868216.0,18.54
DLF,EQ,03-Nov-2011,235.45,234.0,248.0,233.05,247.6,245.65,240.28,6343103,1524144070.9,65704.0,1287829.0,20.3
DLF,EQ,02-Nov-2011,236.9,232.1,239.65,232.0,234.65,235.45,236.53,3828266,905508318.4,43410.0,258853.0,6.76
DLF,EQ,01-Nov-2011,242.15,238.65,242.0,234.7,236.5,236.9,238.37,3722491,887312120.9,41363.0,304076.0,8.17
DLF,EQ,31-Oct-2011,248.8,246.9,248.35,240.1,241.1,242.15,244.0,4715055,1150495186.85,60531.0,639027.0,13.55
DLF,EQ,28-Oct-2011,229.75,235.65,251.0,235.65,248.65,248.8,243.03,6577630,1598584561.4,79488.0,2241352.0,34.08
DLF,EQ,26-Oct-2011,230.1,231.7,232.25,228.1,228.8,229.75,230.57,641101,147819765.6,8006.0,177810.0,27.74
DLF,EQ,25-Oct-2011,228.2,229.7,232.7,224.5,230.3,230.1,228.9,7000421,1602390023.15,60670.0,1755418.0,25.08
