"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
DRREDDY,EQ,30-Dec-2011,"1,569.15","1,576.80","1,588.85","1,565.00","1,588.05","1,577.95","1,575.79",116049,182868813.2,6978.0,60195.0,51.87
DRREDDY,EQ,29-Dec-2011,"1,566.80","1,565.00","1,583.15","1,562.10","1,567.95","1,569.15","1,569.68",392112,615491551.0,9233.0,265544.0,67.72
DRREDDY,EQ,28-Dec-2011,"1,580.15","1,581.95","1,588.90","1,556.00","1,566.00","1,566.80","1,566.99",101094,158413604.9,4755.0,47764.0,47.25
DRREDDY,EQ,27-Dec-2011,"1,584.10","1,592.00","1,592.00","1,575.30","1,580.10","1,580.15","1,583.52",107591,170372981.0,3965.0,60169.0,55.92
DRREDDY,EQ,26-Dec-2011,"1,589.60","1,605.00","1,606.80","1,575.55","1,575.55","1,584.10","1,591.33",116573,185506104.6,5705.0,51795.0,44.43
DRREDDY,EQ,23-Dec-2011,"1,573.20","1,572.00","1,602.95","1,572.00","1,588.00","1,589.60","1,586.22",246651,391241998.3,9715.0,176607.0,71.6
DRREDDY,EQ,22-Dec-2011,"1,565.15","1,554.00","1,583.25","1,545.45","1,572.00","1,573.20","1,572.18",226285,355759948.75,9586.0,140343.0,62.02
DRREDDY,EQ,21-Dec-2011,"1,567.95","1,570.05","1,586.00","1,552.00","1,568.00","1,565.15","1,567.92",368165,577254666.95,16759.0,276670.0,75.15
DRREDDY,EQ,20-Dec-2011,"1,590.00","1,590.00","1,597.50","1,562.15","1,574.65","1,567.95","1,583.75",329675,522124298.65,18480.0,214540.0,65.08
DRREDDY,EQ,19-Dec-2011,"1,605.30","1,605.30","1,605.30","1,564.50","1,593.00","1,590.00","1,588.15",363305,576982429.0,32000.0,218978.0,60.27
DRREDDY,EQ,16-Dec-2011,"1,585.15","1,585.10","1,639.00","1,582.20","1,598.00","1,605.30","1,622.39",557573,904600266.4,35209.0,366590.0,65.75
DRREDDY,EQ,15-Dec-2011,"1,584.40","1,574.00","1,591.60","1,571.25","1,585.10","1,585.15","1,584.15",546790,866198712.1,21313.0,382062.0,69.87
DRREDDY,EQ,14-Dec-2011,"1,599.90","1,605.00","1,615.95","1,577.45","1,585.00","1,584.40","1,597.86",342117,546654101.35,14425.0,191167.0,55.88
DRREDDY,EQ,13-Dec-2011,"1,568.75","1,567.00","1,617.05","1,565.40","1,600.00","1,599.90","1,600.63",689767,1104059451.6,32721.0,430107.0,62.36
DRREDDY,EQ,12-Dec-2011,"1,572.45","1,582.00","1,584.00","1,542.00","1,572.15","1,568.75","1,569.84",368895,579105651.95,10755.0,247645.0,67.13
DRREDDY,EQ,09-Dec-2011,"1,555.10","1,536.00","1,600.00","1,536.00","1,572.00","1,572.45","1,578.74",574454,906911332.4,18291.0,342122.0,59.56
DRREDDY,EQ,08-Dec-2011,"1,554.80","1,543.00","1,569.00","1,538.40","1,559.90","1,555.10","1,553.80",320938,498672955.25,15708.0,176034.0,54.85
DRREDDY,EQ,07-Dec-2011,"1,579.70","1,571.00","1,604.20","1,540.05","1,549.00","1,554.80","1,584.53",464277,735662084.75,28551.0,255067.0,54.94
DRREDDY,EQ,05-Dec-2011,"1,577.40","1,570.00","1,584.85","1,552.10","1,573.25","1,579.70","1,572.76",315818,496704441.0,16171.0,222516.0,70.46
DRREDDY,EQ,02-Dec-2011,"1,546.05","1,539.00","1,584.45","1,531.35","1,570.00","1,577.40","1,562.11",257413,402108097.2,17398.0,118013.0,45.85
DRREDDY,EQ,01-Dec-2011,"1,577.50","1,598.00","1,598.00","1,536.10","1,541.00","1,546.05","1,556.70",634061,987039883.15,33729.0,382208.0,60.28
DRREDDY,EQ,30-Nov-2011,"1,594.90","1,571.00","1,590.00","1,562.95","1,568.00","1,577.50","1,578.35",379921,599647713.55,14954.0,214743.0,56.52
DRREDDY,EQ,29-Nov-2011,"1,551.65","1,559.00","1,603.70","1,552.00","1,590.00","1,594.90","1,583.57",455700,721633737.5,23062.0,271358.0,59.55
DRREDDY,EQ,28-Nov-2011,"1,539.80","1,564.90","1,564.90","1,541.00","1,545.00","1,551.65","1,553.03",282590,438870947.65,11416.0,213374.0,75.51
DRREDDY,EQ,25-Nov-2011,"1,578.80","1,554.00","1,565.00","1,533.00","1,542.20","1,539.80","1,548.05",224250,347150660.15,16412.0,106640.0,47.55
DRREDDY,EQ,24-Nov-2011,"1,532.75","1,522.00","1,605.00","1,516.00","1,536.00","1,578.80","1,556.79",516991,804847874.65,23317.0,328815.0,63.6
DRREDDY,EQ,23-Nov-2011,"1,539.05","1,535.00","1,559.80","1,500.00","1,538.00","1,532.75","1,526.49",338790,517158789.6,17710.0,172622.0,50.95
DRREDDY,EQ,22-Nov-2011,"1,530.40","1,538.90","1,564.75","1,509.10","1,534.00","1,539.05","1,531.60",355611,544653609.0,28329.0,210205.0,59.11
DRREDDY,EQ,21-Nov-2011,"1,556.10","1,557.20","1,568.00","1,505.65","1,548.20","1,530.40","1,550.54",433939,672840054.0,11945.0,316951.0,73.04
DRREDDY,EQ,18-Nov-2011,"1,551.70","1,546.00","1,579.90","1,545.00","1,554.50","1,556.10","1,556.53",536794,835535075.55,23991.0,383307.0,71.41
DRREDDY,EQ,17-Nov-2011,"1,614.65","1,617.90","1,617.90","1,541.10","1,556.00","1,551.70","1,569.95",341288,535805817.7,21074.0,161775.0,47.4
DRREDDY,EQ,16-Nov-2011,"1,613.80","1,618.00","1,629.00","1,604.30","1,616.05","1,614.65","1,616.00",267469,432229337.7,10077.0,192683.0,72.04
DRREDDY,EQ,15-Nov-2011,"1,645.05","1,649.95","1,654.00","1,605.10","1,615.00","1,613.80","1,630.98",214192,349343138.2,17629.0,133630.0,62.39
DRREDDY,EQ,14-Nov-2011,"1,619.40","1,625.00","1,652.95","1,625.00","1,645.00","1,645.05","1,645.91",707014,1163678950.2,18659.0,631921.0,89.38
DRREDDY,EQ,11-Nov-2011,"1,605.95","1,620.00","1,627.35","1,604.10","1,620.00","1,619.40","1,619.84",218493,353923548.55,17406.0,152954.0,70.0
DRREDDY,EQ,09-Nov-2011,"1,623.10","1,632.00","1,632.00","1,600.00","1,605.00","1,605.95","1,613.33",99494,160516185.1,5933.0,39300.0,39.5
DRREDDY,EQ,08-Nov-2011,"1,621.95","1,605.05","1,631.85","1,601.00","1,619.00","1,623.10","1,619.49",127956,207223312.6,7632.0,61295.0,47.9
DRREDDY,EQ,04-Nov-2011,"1,640.30","1,638.00","1,654.85","1,594.30","1,619.55","1,621.95","1,621.84",322723,523403850.45,20865.0,151271.0,46.87
DRREDDY,EQ,03-Nov-2011,"1,638.65","1,634.95","1,649.00","1,621.05","1,640.00","1,640.30","1,638.53",329016,539101962.4,16130.0,199930.0,60.77
DRREDDY,EQ,02-Nov-2011,"1,610.00","1,603.00","1,651.70","1,598.30","1,637.00","1,638.65","1,636.91",195455,319942593.25,14494.0,78794.0,40.31
DRREDDY,EQ,01-Nov-2011,"1,670.70","1,645.10","1,657.45","1,600.00","1,609.00","1,610.00","1,627.66",257896,419766546.65,17861.0,160316.0,62.16
DRREDDY,EQ,31-Oct-2011,"1,671.20","1,652.05","1,675.00","1,647.00","1,671.20","1,670.70","1,663.16",304000,505601178.75,20448.0,220916.0,72.67
DRREDDY,EQ,28-Oct-2011,"1,593.10","1,612.25","1,684.70","1,612.25","1,652.05","1,671.20","1,660.11",494866,821531586.35,29391.0,334287.0,67.55
DRREDDY,EQ,26-Oct-2011,"1,579.55","1,585.00","1,597.90","1,570.10","1,594.00","1,593.10","1,590.23",55378,88063552.8,1605.0,33009.0,59.61
DRREDDY,EQ,25-Oct-2011,"1,543.80","1,554.75","1,589.80","1,546.30","1,579.65","1,579.55","1,568.78",814241,1277361811.95,26990.0,452282.0,55.55
DRREDDY,EQ,24-Oct-2011,"1,530.15","1,550.00","1,554.95","1,538.70","1,544.95","1,543.80","1,547.17",297319,460002074.85,12615.0,228638.0,76.9
DRREDDY,EQ,24-Oct-2011,"1,530.15","1,550.00","1,554.95","1,538.70","1,544.95","1,543.80","1,547.17",297319,460002074.85,12615.0,228638.0,76.9
DRREDDY,EQ,21-Oct-2011,"1,521.55","1,525.35","1,555.00","1,512.00","1,533.25","1,530.15","1,540.06",305063,469815047.95,22450.0,189816.0,62.22
DRREDDY,EQ,20-Oct-2011,"1,518.30","1,511.00","1,527.85","1,507.30","1,522.30","1,521.55","1,518.36",200359,304217687.1,11523.0,124823.0,62.3
DRREDDY,EQ,19-Oct-2011,"1,497.60","1,512.00","1,522.00","1,497.00","1,519.00","1,518.30","1,514.83",228210,345699796.1,9969.0,154066.0,67.51
DRREDDY,EQ,18-Oct-2011,"1,509.00","1,502.90","1,516.10","1,492.00","1,500.00","1,497.60","1,497.02",297717,445688863.4,16901.0,233418.0,78.4
DRREDDY,EQ,17-Oct-2011,"1,523.30","1,525.00","1,530.10","1,501.00","1,511.00","1,509.00","1,508.92",218022,328978490.4,17440.0,147609.0,67.7
DRREDDY,EQ,14-Oct-2011,"1,503.70","1,509.00","1,527.00","1,498.95","1,522.60","1,523.30","1,514.25",237589,359768752.35,16486.0,152862.0,64.34
DRREDDY,EQ,13-Oct-2011,"1,530.30","1,530.45","1,534.00","1,490.00","1,501.00","1,503.70","1,505.63",155810,234592687.65,15048.0,84607.0,54.3
DRREDDY,EQ,12-Oct-2011,"1,507.80","1,515.00","1,535.00","1,510.00","1,535.00","1,530.30","1,521.22",262522,399353210.15,14119.0,187194.0,71.31
DRREDDY,EQ,11-Oct-2011,"1,510.05","1,518.95","1,525.00","1,492.70","1,515.00","1,507.80","1,511.78",138831,209881280.25,9233.0,83181.0,59.92
DRREDDY,EQ,10-Oct-2011,"1,503.15","1,517.00","1,517.00","1,489.40","1,507.10","1,510.05","1,507.61",344192,518908561.35,8562.0,283816.0,82.46
DRREDDY,EQ,07-Oct-2011,"1,484.90","1,496.00","1,525.00","1,495.00","1,500.00","1,503.15","1,502.18",314836,472939030.3,21166.0,195992.0,62.25
DRREDDY,EQ,05-Oct-2011,"1,451.80","1,452.10","1,496.00","1,450.00","1,480.00","1,484.90","1,479.77",230481,341059955.0,12520.0,116420.0,50.51
DRREDDY,EQ,04-Oct-2011,"1,460.20","1,454.00","1,474.00","1,440.80","1,453.00","1,451.80","1,450.02",243434,352983071.8,15252.0,147019.0,60.39
DRREDDY,EQ,03-Oct-2011,"1,483.15","1,475.40","1,475.40","1,448.05","1,465.90","1,460.20","1,462.73",237378,347219418.7,14094.0,139642.0,58.83
DRREDDY,EQ,30-Sep-2011,"1,490.15","1,494.55","1,497.10","1,472.95","1,479.40","1,483.15","1,485.62",206688,307059373.95,25273.0,116052.0,56.15
DRREDDY,EQ,29-Sep-2011,"1,489.20","1,491.00","1,504.35","1,479.50","1,489.10","1,490.15","1,490.47",321610,479350901.5,18587.0,226861.0,70.54
