"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
EICHERMOT,EQ,30-Dec-2011,"1,480.35","1,475.05","1,505.05","1,470.00","1,478.00","1,488.00","1,489.11",16683,24842858.25,482.0,15505.0,92.94
EICHERMOT,EQ,29-Dec-2011,"1,499.55","1,483.30","1,497.45","1,468.00","1,480.00","1,480.35","1,480.50",5084,7526839.2,217.0,4251.0,83.62
EICHERMOT,EQ,28-Dec-2011,"1,494.05","1,500.00","1,504.00","1,463.05","1,500.00","1,499.55","1,495.33",11105,16605635.9,634.0,8630.0,77.71
EICHERMOT,EQ,27-Dec-2011,"1,488.10","1,499.00","1,500.00","1,469.00","1,486.20","1,494.05","1,486.82",9883,14694242.75,544.0,8643.0,87.45
EICHERMOT,EQ,26-Dec-2011,"1,446.80","1,455.00","1,505.00","1,451.00","1,495.00","1,488.10","1,472.30",9664,14228349.05,842.0,5282.0,54.66
EICHERMOT,EQ,23-Dec-2011,"1,448.05","1,434.00","1,459.00","1,434.00","1,449.95","1,446.80","1,446.50",1193,1725672.25,232.0,592.0,49.62
EICHERMOT,EQ,22-Dec-2011,"1,459.10","1,459.10","1,469.90","1,420.15","1,447.00","1,448.05","1,445.37",11198,16185220.95,638.0,10118.0,90.36
EICHERMOT,EQ,21-Dec-2011,"1,412.50","1,450.00","1,465.00","1,405.05","1,460.00","1,459.10","1,445.13",74222,107260297.8,1487.0,70400.0,94.85
EICHERMOT,EQ,20-Dec-2011,"1,429.70","1,412.00","1,428.00","1,360.25","1,406.00","1,412.50","1,395.34",11074,15451978.75,1122.0,5367.0,48.46
EICHERMOT,EQ,19-Dec-2011,"1,479.80","1,500.00","1,500.00","1,412.55","1,428.50","1,429.70","1,432.44",7587,10867940.45,1987.0,4877.0,64.28
EICHERMOT,EQ,16-Dec-2011,"1,500.30","1,500.00","1,519.90","1,450.25","1,500.05","1,479.80","1,477.04",3780,5583205.1,739.0,1355.0,35.85
EICHERMOT,EQ,15-Dec-2011,"1,499.85","1,481.05","1,505.00","1,462.55","1,505.00","1,500.30","1,484.48",2618,3886377.85,451.0,1341.0,51.22
EICHERMOT,EQ,14-Dec-2011,"1,521.05","1,510.00","1,530.00","1,445.00","1,504.85","1,499.85","1,490.77",12596,18777790.2,2198.0,9202.0,73.05
EICHERMOT,EQ,13-Dec-2011,"1,515.40","1,525.00","1,534.90","1,501.00","1,530.00","1,521.05","1,515.80",4578,6939335.35,874.0,3215.0,70.23
EICHERMOT,EQ,12-Dec-2011,"1,556.70","1,560.00","1,560.00","1,491.05","1,518.00","1,515.40","1,510.94",25801,38983877.75,3092.0,20900.0,81.0
EICHERMOT,EQ,09-Dec-2011,"1,564.10","1,560.00","1,560.00","1,532.50","1,560.00","1,556.70","1,550.02",3950,6122584.0,349.0,2900.0,73.42
EICHERMOT,EQ,08-Dec-2011,"1,617.80","1,604.05","1,620.00","1,552.20","1,568.00","1,564.10","1,582.54",2420,3829755.85,370.0,1189.0,49.13
EICHERMOT,EQ,07-Dec-2011,"1,582.35","1,594.00","1,625.00","1,589.80","1,610.05","1,617.80","1,616.62",6539,10571097.8,1474.0,3837.0,58.68
EICHERMOT,EQ,05-Dec-2011,"1,576.60","1,577.05","1,594.80","1,575.10","1,584.00","1,582.35","1,590.23",9337,14848012.35,371.0,8415.0,90.13
EICHERMOT,EQ,02-Dec-2011,"1,590.85","1,615.00","1,615.00","1,563.20","1,565.20","1,576.60","1,581.45",2188,3460203.75,465.0,876.0,40.04
EICHERMOT,EQ,01-Dec-2011,"1,613.50","1,615.10","1,635.00","1,560.10","1,561.00","1,590.85","1,596.09",12121,19346173.1,1566.0,7680.0,63.36
EICHERMOT,EQ,30-Nov-2011,"1,605.95","1,600.05","1,644.15","1,600.00","1,615.00","1,613.50","1,622.43",4503,7305803.6,1022.0,2737.0,60.78
EICHERMOT,EQ,29-Nov-2011,"1,611.50","1,619.30","1,620.40","1,600.00","1,600.00","1,605.95","1,604.06",1304,2091696.85,163.0,591.0,45.32
EICHERMOT,EQ,28-Nov-2011,"1,610.25","1,631.05","1,631.05","1,601.10","1,601.10","1,611.50","1,615.58",16151,26093224.8,1190.0,14196.0,87.9
EICHERMOT,EQ,25-Nov-2011,"1,613.50","1,602.05","1,621.00","1,602.05","1,614.80","1,610.25","1,610.01",82303,132508666.05,273.0,81677.0,99.24
EICHERMOT,EQ,24-Nov-2011,"1,604.80","1,629.00","1,629.00","1,590.15","1,615.00","1,613.50","1,604.01",4057,6507461.3,313.0,3275.0,80.72
EICHERMOT,EQ,23-Nov-2011,"1,599.80","1,630.00","1,630.00","1,593.05","1,602.00","1,604.80","1,605.68",5096,8182523.85,574.0,3780.0,74.18
EICHERMOT,EQ,22-Nov-2011,"1,630.50","1,618.00","1,635.00","1,590.00","1,590.05","1,599.80","1,610.89",1606,2587085.15,284.0,733.0,45.64
EICHERMOT,EQ,21-Nov-2011,"1,635.55","1,650.00","1,670.00","1,590.30","1,639.00","1,630.50","1,624.21",6402,10398167.5,469.0,4644.0,72.54
EICHERMOT,EQ,18-Nov-2011,"1,645.25","1,616.00","1,645.00","1,576.00","1,640.00","1,635.55","1,609.96",6221,10015551.55,758.0,3796.0,61.02
EICHERMOT,EQ,17-Nov-2011,"1,640.70","1,633.00","1,653.00","1,605.10","1,617.25","1,645.25","1,636.47",7938,12990297.0,1118.0,5676.0,71.5
EICHERMOT,EQ,16-Nov-2011,"1,667.40","1,660.00","1,678.80","1,585.00","1,635.00","1,640.70","1,625.27",22033,35809622.95,2518.0,13434.0,60.97
EICHERMOT,EQ,15-Nov-2011,"1,680.30","1,672.00","1,703.30","1,661.10","1,678.90","1,667.40","1,684.01",109614,184590817.35,503.0,108336.0,98.83
EICHERMOT,EQ,14-Nov-2011,"1,700.30","1,703.00","1,725.00","1,665.10","1,682.00","1,680.30","1,681.30",12871,21639988.2,659.0,10757.0,83.58
EICHERMOT,EQ,11-Nov-2011,"1,715.30","1,735.00","1,752.00","1,675.50","1,705.50","1,700.30","1,724.25",18183,31352128.65,2169.0,6922.0,38.07
EICHERMOT,EQ,09-Nov-2011,"1,735.25","1,750.00","1,750.00","1,700.00","1,718.90","1,715.30","1,720.01",3705,6372619.7,612.0,2224.0,60.03
EICHERMOT,EQ,08-Nov-2011,"1,742.80","1,743.00","1,762.00","1,720.05","1,732.25","1,735.25","1,740.80",4296,7478464.8,629.0,2145.0,49.93
EICHERMOT,EQ,04-Nov-2011,"1,721.30","1,722.05","1,750.00","1,722.05","1,732.00","1,742.80","1,735.06",9072,15740423.2,1271.0,5274.0,58.13
EICHERMOT,EQ,03-Nov-2011,"1,678.95","1,685.05","1,740.00","1,684.05","1,717.00","1,721.30","1,712.88",7866,13473504.1,839.0,4102.0,52.15
EICHERMOT,EQ,02-Nov-2011,"1,688.00","1,661.05","1,709.55","1,661.05","1,680.00","1,678.95","1,689.82",7436,12565536.05,1129.0,2050.0,27.57
EICHERMOT,EQ,01-Nov-2011,"1,691.05","1,698.50","1,698.50","1,675.10","1,690.00","1,688.00","1,685.57",2808,4733087.15,489.0,1717.0,61.15
EICHERMOT,EQ,31-Oct-2011,"1,658.60","1,650.00","1,705.90","1,641.00","1,684.00","1,691.05","1,681.88",8127,13668651.85,920.0,3948.0,48.58
EICHERMOT,EQ,28-Oct-2011,"1,649.80","1,665.00","1,674.80","1,650.45","1,663.00","1,658.60","1,661.68",2514,4177452.3,457.0,1256.0,49.96
EICHERMOT,EQ,26-Oct-2011,"1,666.35","1,673.00","1,673.00","1,640.05","1,645.05","1,649.80","1,655.06",1180,1952971.25,114.0,656.0,55.59
EICHERMOT,EQ,25-Oct-2011,"1,635.25","1,631.05","1,674.00","1,631.05","1,662.10","1,666.35","1,653.16",3480,5753012.75,434.0,2595.0,74.57
EICHERMOT,EQ,24-Oct-2011,"1,649.10","1,656.00","1,680.00","1,630.00","1,637.00","1,635.25","1,646.25",1493,2457855.5,197.0,806.0,53.99
EICHERMOT,EQ,24-Oct-2011,"1,649.10","1,656.00","1,680.00","1,630.00","1,637.00","1,635.25","1,646.25",1493,2457855.5,197.0,806.0,53.99
EICHERMOT,EQ,21-Oct-2011,"1,650.70","1,650.00","1,658.95","1,635.40","1,650.00","1,649.10","1,648.59",10307,16991990.95,393.0,9028.0,87.59
EICHERMOT,EQ,20-Oct-2011,"1,644.75","1,636.10","1,656.00","1,633.00","1,650.00","1,650.70","1,649.57",5675,9361309.0,564.0,4774.0,84.12
EICHERMOT,EQ,19-Oct-2011,"1,647.70","1,655.90","1,662.00","1,610.20","1,642.00","1,644.75","1,653.80",10193,16857205.5,752.0,6752.0,66.24
EICHERMOT,EQ,18-Oct-2011,"1,643.75","1,636.00","1,671.00","1,626.95","1,633.00","1,647.70","1,643.06",16742,27508063.9,764.0,13165.0,78.63
EICHERMOT,EQ,17-Oct-2011,"1,644.75","1,649.10","1,650.00","1,640.00","1,646.20","1,643.75","1,640.44",25050,41093017.35,185.0,24043.0,95.98
EICHERMOT,EQ,14-Oct-2011,"1,638.30","1,644.70","1,657.00","1,623.00","1,649.80","1,644.75","1,647.48",5936,9779446.9,427.0,4052.0,68.26
EICHERMOT,EQ,13-Oct-2011,"1,641.85","1,659.00","1,659.85","1,620.10","1,628.00","1,638.30","1,640.42",11764,19297927.2,1052.0,9103.0,77.38
EICHERMOT,EQ,12-Oct-2011,"1,657.05","1,679.90","1,693.00","1,632.10","1,647.90","1,641.85","1,653.03",13431,22201864.0,1408.0,8148.0,60.67
EICHERMOT,EQ,11-Oct-2011,"1,679.30","1,715.00","1,728.00","1,640.05","1,660.00","1,657.05","1,682.43",17476,29402221.75,1949.0,7279.0,41.65
