"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
GABRIEL,EQ,30-Dec-2011,38.35,38.5,39.9,38.4,39.0,39.05,38.91,8770,341213.2,119.0,6824.0,77.81
GABRIEL,EQ,29-Dec-2011,39.6,39.1,40.5,38.25,38.3,38.35,39.72,65941,2619377.8,651.0,17090.0,25.92
GABRIEL,EQ,28-Dec-2011,39.95,40.45,40.9,39.5,39.5,39.6,39.9,11113,443428.9,98.0,9103.0,81.91
GABRIEL,EQ,27-Dec-2011,38.6,39.45,40.45,39.15,40.0,39.95,39.82,4351,173255.5,103.0,2390.0,54.93
GABRIEL,EQ,26-Dec-2011,38.15,39.45,40.95,38.0,38.35,38.6,38.92,5854,227829.8,117.0,2918.0,49.85
GABRIEL,EQ,23-Dec-2011,38.65,38.05,39.15,38.0,38.0,38.15,38.19,8907,340181.75,75.0,7426.0,83.37
GABRIEL,EQ,22-Dec-2011,38.1,38.35,38.9,37.05,38.6,38.65,38.05,6480,246542.3,106.0,3747.0,57.82
GABRIEL,EQ,21-Dec-2011,37.5,37.05,39.0,36.15,38.8,38.1,37.84,15578,589534.25,185.0,6924.0,44.45
GABRIEL,EQ,20-Dec-2011,38.3,38.4,38.8,37.0,37.05,37.5,38.01,4916,186870.4,111.0,3470.0,70.59
GABRIEL,EQ,19-Dec-2011,39.9,39.9,39.9,38.0,38.35,38.3,38.84,6583,255652.6,105.0,3871.0,58.8
GABRIEL,EQ,16-Dec-2011,40.55,40.75,41.3,39.35,40.0,39.9,40.27,6051,243681.6,122.0,3034.0,50.14
GABRIEL,EQ,15-Dec-2011,41.05,41.2,41.95,40.0,40.95,40.55,40.47,5792,234428.7,106.0,2519.0,43.49
GABRIEL,EQ,14-Dec-2011,41.35,44.85,44.85,41.0,41.25,41.05,41.63,4212,175331.15,98.0,2370.0,56.27
GABRIEL,EQ,13-Dec-2011,42.1,41.05,42.5,40.85,42.45,41.35,41.21,8519,351085.5,124.0,6913.0,81.15
GABRIEL,EQ,12-Dec-2011,43.05,43.05,43.05,42.05,42.05,42.1,42.49,2465,104739.65,61.0,1738.0,70.51
GABRIEL,EQ,09-Dec-2011,44.2,43.25,43.7,43.0,43.05,43.05,43.22,8094,349851.0,100.0,5865.0,72.46
GABRIEL,EQ,08-Dec-2011,45.5,45.0,45.0,44.2,44.25,44.2,44.48,8320,370044.05,83.0,6334.0,76.13
GABRIEL,EQ,07-Dec-2011,45.35,45.1,45.95,45.1,45.45,45.5,45.58,6219,283432.5,94.0,4628.0,74.42
GABRIEL,EQ,05-Dec-2011,45.25,44.65,45.6,44.65,45.4,45.35,45.26,2684,121485.5,60.0,1737.0,64.72
GABRIEL,EQ,02-Dec-2011,44.45,44.25,45.4,44.25,45.1,45.25,44.93,10334,464353.8,116.0,8040.0,77.8
GABRIEL,EQ,01-Dec-2011,44.25,45.25,47.55,44.3,44.45,44.45,45.43,36351,1651571.25,416.0,15435.0,42.46
GABRIEL,EQ,30-Nov-2011,44.1,43.6,45.0,43.55,45.0,44.25,44.14,8628,380834.15,97.0,6588.0,76.36
GABRIEL,EQ,29-Nov-2011,44.05,43.7,44.7,43.65,44.3,44.1,43.95,4725,207660.6,66.0,3167.0,67.03
GABRIEL,EQ,28-Nov-2011,44.0,44.0,44.55,39.0,44.0,44.05,43.17,21571,931281.85,333.0,15825.0,73.36
GABRIEL,EQ,25-Nov-2011,43.6,43.5,44.45,43.5,43.65,44.0,43.85,6809,298573.95,83.0,5587.0,82.05
