"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
GAIL,EQ,30-Dec-2011,382.1,382.7,385.5,376.2,384.9,383.65,381.6,999818,381531257.85,21905.0,781607.0,78.17
GAIL,EQ,29-Dec-2011,395.0,394.6,396.0,377.1,381.95,382.1,385.46,840047,323802547.15,13453.0,636031.0,75.71
GAIL,EQ,28-Dec-2011,395.35,396.8,398.0,388.9,395.0,395.0,393.7,937795,369206298.4,23801.0,736060.0,78.49
GAIL,EQ,27-Dec-2011,395.6,397.4,399.0,387.15,395.0,395.35,393.76,515299,202903108.85,20659.0,314216.0,60.98
GAIL,EQ,26-Dec-2011,391.15,391.8,398.0,387.2,398.0,395.6,394.63,196596,77583360.65,3787.0,81134.0,41.27
GAIL,EQ,23-Dec-2011,393.5,393.7,395.95,388.15,390.15,391.15,390.5,284425,111069025.55,10533.0,177404.0,62.37
GAIL,EQ,22-Dec-2011,388.3,388.0,396.8,385.1,396.5,393.5,391.42,525651,205751843.25,10311.0,315824.0,60.08
GAIL,EQ,21-Dec-2011,377.95,385.0,392.0,377.0,388.75,388.3,385.17,938716,361568273.6,26122.0,661920.0,70.51
GAIL,EQ,20-Dec-2011,376.2,381.0,383.5,375.0,378.4,377.95,378.58,1237925,468652661.4,25835.0,881591.0,71.22
GAIL,EQ,19-Dec-2011,377.75,374.0,381.0,366.2,375.0,376.2,377.19,1358056,512242905.75,26896.0,891404.0,65.64
GAIL,EQ,16-Dec-2011,371.55,376.0,387.9,368.0,386.95,377.75,377.95,958027,362089817.55,19331.0,589452.0,61.53
GAIL,EQ,15-Dec-2011,373.9,367.15,374.75,365.2,371.05,371.55,369.39,2425523,895971805.6,39665.0,1838949.0,75.82
GAIL,EQ,14-Dec-2011,390.0,387.75,390.0,370.3,376.3,373.9,384.21,2609106,1002454460.85,26797.0,2014380.0,77.21
GAIL,EQ,13-Dec-2011,391.5,386.1,392.6,386.1,390.0,390.0,389.5,2491400,970406610.15,22130.0,2022358.0,81.17
GAIL,EQ,12-Dec-2011,392.55,396.0,398.9,389.0,389.0,391.5,395.0,1023176,404150586.7,18272.0,680190.0,66.48
GAIL,EQ,09-Dec-2011,395.6,390.95,397.6,386.15,392.5,392.55,392.58,882417,346414860.6,13444.0,588945.0,66.74
GAIL,EQ,08-Dec-2011,402.25,401.0,402.0,390.75,396.0,395.6,396.83,2136387,847774254.9,22540.0,1832573.0,85.78
GAIL,EQ,07-Dec-2011,399.05,400.0,404.6,395.0,400.8,402.25,400.86,1758762,705010941.95,29889.0,1232078.0,70.05
GAIL,EQ,05-Dec-2011,398.45,397.25,401.65,393.2,400.0,399.05,398.48,1457630,580833572.3,20174.0,1102813.0,75.66
GAIL,EQ,02-Dec-2011,397.15,399.0,400.05,393.4,399.0,398.45,398.16,1161375,462411013.7,19579.0,789940.0,68.02
GAIL,EQ,01-Dec-2011,391.65,397.25,402.0,392.75,397.25,397.15,396.9,909398,360942331.25,15909.0,609897.0,67.07
GAIL,EQ,30-Nov-2011,389.1,389.0,395.2,384.2,395.0,391.65,391.21,1248035,488240102.35,29404.0,875275.0,70.13
GAIL,EQ,29-Nov-2011,388.8,392.45,393.8,385.0,386.15,389.1,390.15,531473,207354081.45,13917.0,311285.0,58.57
GAIL,EQ,28-Nov-2011,384.8,391.5,394.35,383.4,390.0,388.8,386.93,873716,338068867.35,24402.0,628524.0,71.94
GAIL,EQ,25-Nov-2011,386.9,388.0,390.8,383.3,386.0,384.8,387.95,1137967,441474855.35,17560.0,824425.0,72.45
GAIL,EQ,24-Nov-2011,372.9,373.0,389.95,372.0,388.8,386.9,384.78,2161402,831669904.4,28851.0,1484924.0,68.7
GAIL,EQ,23-Nov-2011,374.0,373.6,381.95,369.35,371.5,372.9,374.49,1601561,599770805.2,41319.0,1039045.0,64.88
GAIL,EQ,22-Nov-2011,372.7,374.05,379.0,367.0,372.8,374.0,373.27,1067675,398527357.95,33069.0,690977.0,64.72
GAIL,EQ,21-Nov-2011,381.3,380.0,384.8,370.5,376.6,372.7,377.71,1595573,602668159.1,26901.0,1209238.0,75.79
GAIL,EQ,18-Nov-2011,386.55,387.8,387.8,370.5,384.75,381.3,377.09,1065295,401709030.9,34593.0,589072.0,55.3
GAIL,EQ,17-Nov-2011,391.5,394.8,396.05,383.1,383.85,386.55,389.49,857308,333916873.85,19745.0,510998.0,59.6
GAIL,EQ,16-Nov-2011,407.3,407.25,407.5,381.1,392.55,391.5,390.69,2281088,891209001.25,47298.0,1494459.0,65.52
GAIL,EQ,15-Nov-2011,418.6,418.5,420.0,405.0,405.1,407.3,409.98,505250,207143436.2,12210.0,342047.0,67.7
GAIL,EQ,14-Nov-2011,415.1,418.0,420.4,415.15,417.55,418.6,417.61,623434,260353050.25,8893.0,486895.0,78.1
GAIL,EQ,11-Nov-2011,416.85,415.0,419.3,412.1,415.9,415.1,415.3,526076,218477958.95,12224.0,360922.0,68.61
GAIL,EQ,09-Nov-2011,421.6,423.3,423.3,413.1,418.0,416.85,416.59,894110,372477946.55,20786.0,636636.0,71.2
GAIL,EQ,08-Nov-2011,423.85,426.9,426.9,420.1,421.0,421.6,422.96,213978,90504307.75,6413.0,127381.0,59.53
GAIL,EQ,04-Nov-2011,427.75,427.4,431.25,421.25,423.0,423.85,426.08,551430,234953750.1,13324.0,321590.0,58.32
GAIL,EQ,03-Nov-2011,419.15,423.0,429.3,419.7,428.5,427.75,424.46,452349,192004081.3,11107.0,212772.0,47.04
GAIL,EQ,02-Nov-2011,423.1,423.0,429.9,417.5,418.0,419.15,424.59,460239,195413036.55,9913.0,276635.0,60.11
GAIL,EQ,01-Nov-2011,422.9,420.0,427.05,420.0,421.4,423.1,424.71,558960,237397856.1,9492.0,411301.0,73.58
GAIL,EQ,31-Oct-2011,429.0,432.5,432.5,420.75,422.25,422.9,424.7,639277,271499990.2,15944.0,418824.0,65.52
GAIL,EQ,28-Oct-2011,428.15,444.8,449.0,423.1,425.35,429.0,429.47,1280587,549971808.5,26658.0,936767.0,73.15
GAIL,EQ,26-Oct-2011,426.5,426.5,432.0,426.05,428.0,428.15,428.78,87588,37556344.45,1976.0,37398.0,42.7
GAIL,EQ,25-Oct-2011,425.7,435.0,435.0,422.7,425.0,426.5,426.92,1100798,469951576.7,39538.0,577705.0,52.48
GAIL,EQ,24-Oct-2011,418.4,425.5,428.0,420.5,425.45,425.7,425.32,498456,212000842.0,11605.0,310937.0,62.38
GAIL,EQ,24-Oct-2011,418.4,425.5,428.0,420.5,425.45,425.7,425.32,498456,212000842.0,11605.0,310937.0,62.38
GAIL,EQ,21-Oct-2011,421.95,421.1,423.0,415.1,419.9,418.4,419.64,485400,203693729.3,9925.0,299825.0,61.77
GAIL,EQ,20-Oct-2011,425.95,419.0,423.5,415.6,422.0,421.95,419.17,357276,149759560.0,9221.0,198145.0,55.46
GAIL,EQ,19-Oct-2011,413.8,417.0,428.5,412.15,424.0,425.95,421.6,667193,281291590.05,15488.0,374135.0,56.08
GAIL,EQ,18-Oct-2011,409.6,405.7,415.5,405.7,415.1,413.8,411.32,814507,335024437.95,15509.0,574712.0,70.56
GAIL,EQ,17-Oct-2011,415.35,415.1,418.0,408.05,409.6,409.6,410.89,544492,223727897.75,10499.0,343385.0,63.07
GAIL,EQ,14-Oct-2011,418.0,418.8,420.75,412.05,414.0,415.35,414.83,790292,327838257.1,17711.0,511039.0,64.66
GAIL,EQ,13-Oct-2011,419.7,423.5,423.95,414.85,419.0,418.0,418.84,586372,245598152.25,12196.0,342955.0,58.49
GAIL,EQ,12-Oct-2011,417.15,418.1,421.9,415.0,419.0,419.7,419.19,735775,308428909.65,20630.0,423037.0,57.5
GAIL,EQ,11-Oct-2011,421.6,425.8,425.8,415.5,417.5,417.15,420.81,1000580,421049449.9,19447.0,781857.0,78.14
GAIL,EQ,10-Oct-2011,411.1,411.25,422.65,410.15,422.5,421.6,415.57,1126412,468099966.35,17047.0,811122.0,72.01
GAIL,EQ,07-Oct-2011,405.4,413.65,419.0,408.75,411.25,411.1,412.36,1097774,452672793.6,18939.0,802814.0,73.13
GAIL,EQ,05-Oct-2011,410.15,410.6,414.7,400.1,406.0,405.4,406.19,1098912,446365350.95,18441.0,744153.0,67.72
GAIL,EQ,04-Oct-2011,418.2,417.05,419.6,407.0,409.5,410.15,411.35,835345,343619882.75,15698.0,541817.0,64.86
GAIL,EQ,03-Oct-2011,410.55,406.1,419.1,403.35,418.2,418.2,414.47,1062712,440467209.65,25125.0,739365.0,69.57
GAIL,EQ,30-Sep-2011,425.85,426.5,428.0,409.1,409.1,410.55,413.77,1670375,691143165.0,43045.0,1238118.0,74.12
GAIL,EQ,29-Sep-2011,423.6,423.0,430.0,416.15,425.95,425.85,421.51,1515366,638748428.5,25891.0,1078586.0,71.18
GAIL,EQ,28-Sep-2011,412.9,418.5,425.0,410.1,422.5,423.6,417.88,1480562,618700114.2,27763.0,1071837.0,72.39
GAIL,EQ,27-Sep-2011,409.8,411.35,416.8,408.9,413.0,412.9,411.7,1012710,416928325.0,19129.0,672236.0,66.38
GAIL,EQ,26-Sep-2011,421.9,424.35,424.35,407.05,410.0,409.8,410.72,1128910,463667259.55,20685.0,829773.0,73.5
GAIL,EQ,23-Sep-2011,423.35,422.9,427.25,413.2,421.0,421.9,421.83,727855,307030784.25,20462.0,380469.0,52.27
GAIL,EQ,22-Sep-2011,431.15,428.6,428.9,417.1,426.25,423.35,422.64,528622,223416115.7,10783.0,335999.0,63.56
GAIL,EQ,21-Sep-2011,436.4,439.4,439.45,429.35,430.5,431.15,433.92,375631,162992838.25,13731.0,202397.0,53.88
GAIL,EQ,20-Sep-2011,433.6,435.7,437.6,429.1,436.0,436.4,434.41,1164369,505815113.3,30785.0,877178.0,75.34
GAIL,EQ,19-Sep-2011,423.75,427.0,435.0,423.7,433.65,433.6,431.83,872033,376568124.55,35017.0,564479.0,64.73
GAIL,EQ,16-Sep-2011,434.2,438.0,443.0,420.0,426.0,423.75,432.35,1903202,822855643.35,38039.0,1239409.0,65.12
GAIL,EQ,15-Sep-2011,415.85,422.9,437.0,419.3,435.05,434.2,427.38,966778,413186009.15,34098.0,514305.0,53.2
GAIL,EQ,14-Sep-2011,408.1,412.2,418.65,405.0,417.0,415.85,414.69,1284125,532507698.15,21623.0,680815.0,53.02
GAIL,EQ,13-Sep-2011,409.1,411.0,418.5,406.05,408.1,408.1,411.24,1023112,420747919.45,11876.0,743683.0,72.69
GAIL,EQ,12-Sep-2011,414.15,412.0,412.0,403.0,410.0,409.1,406.73,1337166,543864671.15,25318.0,935647.0,69.97
GAIL,EQ,09-Sep-2011,423.05,423.2,425.0,412.7,413.5,414.15,415.65,1480221,615251560.7,14789.0,1211768.0,81.86
GAIL,EQ,08-Sep-2011,426.95,428.0,429.7,420.1,425.0,423.05,423.41,1499594,634942613.95,15615.0,1137237.0,75.84
GAIL,EQ,07-Sep-2011,427.25,428.0,433.8,423.5,427.0,426.95,430.29,1118634,481332289.2,21797.0,873933.0,78.13
GAIL,EQ,06-Sep-2011,417.7,418.0,430.0,415.1,426.35,427.25,421.33,1474324,621180000.1,34761.0,1143057.0,77.53
GAIL,EQ,05-Sep-2011,414.95,413.05,422.0,413.05,416.85,417.7,417.61,1369520,571930425.3,19134.0,1041169.0,76.02
GAIL,EQ,02-Sep-2011,410.6,423.95,423.95,411.0,416.45,414.95,416.58,1245392,518803303.95,28351.0,851080.0,68.34
GAIL,EQ,30-Aug-2011,416.95,415.5,419.45,407.0,413.5,410.6,412.26,1161124,478687493.0,23184.0,770256.0,66.34
GAIL,EQ,29-Aug-2011,411.25,415.0,419.4,412.2,418.0,416.95,416.57,919825,383169583.4,6992.0,749513.0,81.48
GAIL,EQ,26-Aug-2011,413.0,414.0,420.85,408.0,408.7,411.25,415.07,1456206,604425816.5,27365.0,961425.0,66.02
GAIL,EQ,25-Aug-2011,411.65,417.0,417.5,409.25,415.3,413.0,413.15,1179858,487461429.0,19981.0,723421.0,61.31
GAIL,EQ,24-Aug-2011,412.7,414.0,418.0,409.5,414.9,411.65,412.63,758411,312945978.2,13125.0,532276.0,70.18
