"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
GICRE,EQ,29-Dec-2017,761.4,762.0,762.6,752.5,753.0,753.7,756.06,110137,83270620.4,6790,77441.0,70.31
GICRE,EQ,28-Dec-2017,765.35,765.35,773.2,760.6,761.0,761.4,764.73,81062,61990898.15,4650,57895.0,71.42
GICRE,EQ,27-Dec-2017,779.55,780.0,780.0,763.5,764.0,765.35,772.44,243888,188388423.2,7006,205890.0,84.42
GICRE,EQ,26-Dec-2017,773.8,775.0,781.8,771.0,779.0,779.55,776.99,132431,102898108.7,5076,92784.0,70.06
GICRE,EQ,22-Dec-2017,780.6,778.0,782.2,773.1,773.55,773.8,775.91,100409,77908270.0,4511,73389.0,73.09
GICRE,EQ,21-Dec-2017,785.1,787.0,790.0,780.0,780.1,780.6,782.12,77568,60667675.05,3157,56508.0,72.85
GICRE,EQ,20-Dec-2017,782.4,779.05,790.0,779.05,785.0,785.1,785.44,62459,49057733.6,4808,40867.0,65.43
GICRE,EQ,19-Dec-2017,782.0,782.55,789.5,777.55,785.0,782.4,783.94,126378,99072873.4,4988,80396.0,63.62
GICRE,EQ,18-Dec-2017,780.4,780.0,784.85,767.0,784.0,782.0,779.06,75037,58458185.2,4269,50954.0,67.91
GICRE,EQ,15-Dec-2017,778.9,782.3,786.0,775.0,778.5,780.4,779.49,75233,58643204.95,4513,50446.0,67.05
GICRE,EQ,14-Dec-2017,786.95,785.35,788.35,777.0,778.0,778.9,781.06,61968,48400746.2,3465,45707.0,73.76
GICRE,EQ,13-Dec-2017,790.35,788.25,794.6,785.0,787.0,786.95,788.5,44143,34806849.3,2721,32000.0,72.49
GICRE,EQ,12-Dec-2017,791.75,790.0,798.0,790.0,790.0,790.35,791.17,57287,45323879.25,3191,37040.0,64.66
GICRE,EQ,11-Dec-2017,801.4,801.9,803.05,790.0,790.35,791.75,797.92,127370,101630913.5,3748,101820.0,79.94
GICRE,EQ,08-Dec-2017,802.65,799.0,804.6,795.5,800.0,801.4,801.0,64572,51722364.7,3234,39731.0,61.53
GICRE,EQ,07-Dec-2017,800.8,795.55,806.0,795.55,800.0,802.65,800.96,92495,74084965.15,8655,61730.0,66.74
GICRE,EQ,06-Dec-2017,793.3,795.0,801.75,786.0,801.0,800.8,799.47,109219,87317398.5,8213,77781.0,71.22
GICRE,EQ,05-Dec-2017,795.85,795.8,798.0,790.05,797.8,793.3,792.13,61386,48625442.65,3461,36647.0,59.7
GICRE,EQ,04-Dec-2017,796.95,797.0,799.95,786.1,795.35,795.85,794.78,74054,58856587.85,8544,46568.0,62.88
GICRE,EQ,01-Dec-2017,803.25,806.4,806.4,795.0,797.0,796.95,800.35,96736,77422585.85,6059,64099.0,66.26
GICRE,EQ,30-Nov-2017,801.45,803.0,812.0,795.1,800.15,803.25,805.56,145010,116814840.9,4568,92351.0,63.69
GICRE,EQ,29-Nov-2017,798.1,797.5,805.9,794.5,800.75,801.45,800.63,127947,102437746.65,6778,91179.0,71.26
GICRE,EQ,28-Nov-2017,787.2,786.0,800.0,786.0,796.0,798.1,793.22,156129,123844220.1,7638,88425.0,56.64
GICRE,EQ,27-Nov-2017,795.8,796.0,797.4,785.0,785.6,787.2,790.93,197791,156439592.2,8391,127377.0,64.4
GICRE,EQ,24-Nov-2017,794.2,799.8,799.8,792.65,795.0,795.8,795.84,81887,65168982.85,3858,59443.0,72.59
GICRE,EQ,23-Nov-2017,798.5,797.15,804.7,791.65,792.5,794.2,798.38,116569,93066239.95,5788,70025.0,60.07
