"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
GPIL,EQ,30-Dec-2011,71.95,70.5,73.6,70.5,73.0,72.2,72.53,14640,1061822.1,609.0,8075.0,55.16
GPIL,EQ,29-Dec-2011,71.3,70.0,72.1,69.5,72.0,71.95,71.52,26107,1867203.8,443.0,20592.0,78.88
GPIL,EQ,28-Dec-2011,71.5,70.55,73.0,70.55,70.95,71.3,71.68,14471,1037274.45,411.0,9281.0,64.14
GPIL,EQ,27-Dec-2011,74.75,75.75,75.8,70.25,72.0,71.5,72.61,27232,1977287.55,1433.0,16887.0,62.01
GPIL,EQ,26-Dec-2011,75.8,74.2,76.9,74.2,75.0,74.75,75.15,20398,1532988.0,611.0,13996.0,68.61
GPIL,EQ,23-Dec-2011,76.85,77.0,78.4,75.1,76.8,75.8,76.89,38721,2977103.65,858.0,26669.0,68.87
GPIL,EQ,22-Dec-2011,82.0,88.0,88.0,76.1,76.5,76.85,77.2,51634,3985899.6,1560.0,41907.0,81.16
GPIL,EQ,21-Dec-2011,84.55,89.35,89.4,81.0,81.9,82.0,83.04,18733,1555591.35,774.0,13586.0,72.52
GPIL,EQ,20-Dec-2011,90.5,88.1,90.7,84.0,84.0,84.55,85.89,16269,1397378.85,475.0,11823.0,72.67
GPIL,EQ,19-Dec-2011,96.55,92.4,97.0,88.25,90.5,90.5,92.36,11520,1063941.45,512.0,6227.0,54.05
GPIL,EQ,16-Dec-2011,98.85,97.0,102.5,95.5,95.6,96.55,98.5,12306,1212166.25,466.0,7097.0,57.67
GPIL,EQ,15-Dec-2011,102.15,101.3,101.4,96.15,98.85,98.85,98.72,9054,893766.1,422.0,5471.0,60.43
GPIL,EQ,14-Dec-2011,103.95,102.6,103.75,101.45,102.5,102.15,102.94,4563,469734.35,219.0,2666.0,58.43
GPIL,EQ,13-Dec-2011,106.9,105.0,106.9,103.05,104.85,103.95,104.1,4032,419748.4,180.0,2235.0,55.43
GPIL,EQ,12-Dec-2011,102.85,103.0,108.0,101.95,106.9,106.9,105.08,20279,2130999.5,586.0,12241.0,60.36
GPIL,EQ,09-Dec-2011,106.95,107.7,107.75,102.0,102.3,102.85,102.4,163014,16693146.85,885.0,147542.0,90.51
GPIL,EQ,08-Dec-2011,111.0,109.15,112.4,105.65,106.5,106.95,107.82,11431,1232476.0,505.0,7269.0,63.59
GPIL,EQ,07-Dec-2011,111.8,112.0,113.45,110.5,110.5,111.0,111.5,11269,1256449.4,268.0,8083.0,71.73
GPIL,EQ,05-Dec-2011,112.25,113.2,114.5,111.25,112.0,111.8,112.09,8831,989823.8,144.0,6861.0,77.69
GPIL,EQ,02-Dec-2011,111.85,111.85,114.4,110.55,113.45,112.25,112.01,17131,1918821.0,334.0,10703.0,62.48
GPIL,EQ,01-Dec-2011,111.85,115.0,115.85,110.5,112.0,111.85,113.89,12019,1368792.6,473.0,6264.0,52.12
GPIL,EQ,30-Nov-2011,112.55,110.0,114.9,110.0,112.0,111.85,112.88,11379,1284420.15,167.0,8423.0,74.02
GPIL,EQ,29-Nov-2011,116.35,116.0,117.4,111.5,113.0,112.55,114.32,7735,884239.1,309.0,5393.0,69.72
GPIL,EQ,28-Nov-2011,119.05,122.0,122.0,116.0,116.4,116.35,118.09,12624,1490805.85,614.0,9113.0,72.19
GPIL,EQ,25-Nov-2011,120.1,119.0,120.95,119.0,119.0,119.05,119.59,7107,849904.6,260.0,5012.0,70.52
GPIL,EQ,24-Nov-2011,119.0,119.0,121.0,118.5,119.6,120.1,119.11,51197,6097869.7,241.0,46243.0,90.32
GPIL,EQ,23-Nov-2011,119.0,119.0,119.2,119.0,119.0,119.0,119.01,28500,3391823.05,216.0,26723.0,93.76
GPIL,EQ,22-Nov-2011,119.15,119.0,119.4,117.05,119.0,119.0,118.92,20473,2434729.15,253.0,16313.0,79.68
GPIL,EQ,21-Nov-2011,119.05,122.7,122.7,119.0,119.35,119.15,119.04,16820,2002229.6,237.0,15716.0,93.44
GPIL,EQ,18-Nov-2011,119.05,119.0,119.4,119.0,119.0,119.05,119.01,23659,2815729.2,318.0,21749.0,91.93
GPIL,EQ,17-Nov-2011,119.2,119.0,120.0,119.0,119.0,119.05,119.04,18384,2188406.2,223.0,16878.0,91.81
GPIL,EQ,16-Nov-2011,119.1,118.85,119.95,117.55,119.95,119.2,119.05,34185,4069805.4,334.0,28510.0,83.4
GPIL,EQ,15-Nov-2011,119.0,119.0,119.9,118.1,119.0,119.1,119.03,25892,3081823.25,320.0,20908.0,80.75
GPIL,EQ,14-Nov-2011,119.0,120.0,122.5,115.1,119.0,119.0,118.83,49569,5890221.8,502.0,46855.0,94.52
GPIL,EQ,11-Nov-2011,121.0,121.5,121.5,111.25,119.0,119.0,118.86,43494,5169508.55,675.0,36237.0,83.31
GPIL,EQ,09-Nov-2011,121.35,122.0,122.95,120.05,121.0,121.0,121.14,42388,5134821.4,371.0,37268.0,87.92
GPIL,EQ,08-Nov-2011,120.05,120.5,121.95,118.0,121.7,121.35,120.45,13760,1657431.65,449.0,10821.0,78.64
GPIL,EQ,04-Nov-2011,118.25,117.5,121.0,117.5,120.05,120.05,119.99,23725,2846651.4,605.0,19603.0,82.63
GPIL,EQ,03-Nov-2011,118.15,116.15,119.8,116.15,118.0,118.25,117.99,21841,2576914.1,501.0,17997.0,82.4
GPIL,EQ,02-Nov-2011,118.15,125.8,125.8,115.7,118.65,118.15,117.53,17506,2057431.3,419.0,12338.0,70.48
GPIL,EQ,01-Nov-2011,119.45,119.55,119.55,117.05,118.0,118.15,118.09,19653,2320847.15,489.0,12690.0,64.57
GPIL,EQ,31-Oct-2011,120.35,118.05,120.9,118.05,119.05,119.45,119.38,12284,1466435.45,433.0,8148.0,66.33
