"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
GSPL,EQ,30-Dec-2011,81.45,81.75,82.45,76.2,78.75,77.7,78.48,1326207,104080205.3,12215.0,644631.0,48.61
GSPL,EQ,29-Dec-2011,81.0,81.3,82.4,80.1,82.0,81.45,81.04,432472,35048416.4,4295.0,221508.0,51.22
GSPL,EQ,28-Dec-2011,82.6,83.2,83.4,80.85,80.9,81.0,81.98,441502,36193834.45,4056.0,229775.0,52.04
GSPL,EQ,27-Dec-2011,82.3,82.0,83.7,80.65,83.1,82.6,82.47,550929,45434361.0,5292.0,244913.0,44.45
GSPL,EQ,26-Dec-2011,84.65,84.0,84.5,81.3,82.2,82.3,82.47,493040,40659499.5,4651.0,239655.0,48.61
GSPL,EQ,23-Dec-2011,87.85,87.95,88.75,84.1,84.45,84.65,85.79,559894,48035886.15,5376.0,373851.0,66.77
GSPL,EQ,22-Dec-2011,87.4,87.25,88.25,86.1,88.0,87.85,87.37,520252,45455997.85,4391.0,304680.0,58.56
GSPL,EQ,21-Dec-2011,86.2,87.3,88.6,86.65,86.75,87.4,87.54,699727,61253453.3,8322.0,327553.0,46.81
GSPL,EQ,20-Dec-2011,85.6,85.6,87.55,84.1,85.75,86.2,85.48,1030658,88097299.55,10457.0,705109.0,68.41
GSPL,EQ,19-Dec-2011,86.05,85.05,87.0,82.7,85.5,85.6,84.66,482796,40873731.45,4297.0,270081.0,55.94
GSPL,EQ,16-Dec-2011,85.3,85.9,87.9,84.45,86.0,86.05,86.27,849294,73269515.55,8841.0,489402.0,57.62
GSPL,EQ,15-Dec-2011,84.1,82.2,87.4,82.2,84.8,85.3,85.14,707766,60262007.7,10600.0,354665.0,50.11
GSPL,EQ,14-Dec-2011,84.85,82.0,85.6,80.9,83.6,84.1,84.45,776960,65615048.8,5591.0,441678.0,56.85
GSPL,EQ,13-Dec-2011,82.55,82.55,85.35,80.8,84.7,84.85,83.54,509808,42589551.45,4192.0,270339.0,53.03
GSPL,EQ,12-Dec-2011,83.85,84.25,84.8,81.5,82.0,82.55,82.54,1251406,103291005.75,7659.0,735362.0,58.76
GSPL,EQ,09-Dec-2011,85.9,85.0,86.0,83.15,83.6,83.85,84.49,1795791,151725119.65,13679.0,1321938.0,73.61
GSPL,EQ,08-Dec-2011,89.6,90.9,90.9,85.2,85.4,85.9,86.21,2579337,222375458.9,31373.0,1792561.0,69.5
GSPL,EQ,07-Dec-2011,89.3,89.95,90.5,89.0,89.85,89.6,89.8,730083,65562296.5,7064.0,416194.0,57.01
GSPL,EQ,05-Dec-2011,90.8,90.9,91.0,88.75,89.8,89.3,89.7,255176,22888093.0,2559.0,125516.0,49.19
GSPL,EQ,02-Dec-2011,90.1,90.2,91.1,89.6,91.1,90.8,90.38,511232,46204788.75,2714.0,372639.0,72.89
GSPL,EQ,01-Dec-2011,89.5,90.65,91.75,88.4,90.05,90.1,90.44,630353,57010550.7,6201.0,246240.0,39.06
GSPL,EQ,30-Nov-2011,88.45,87.3,89.9,87.2,89.05,89.5,88.71,695117,61665618.65,8586.0,306458.0,44.09
GSPL,EQ,29-Nov-2011,86.15,86.5,88.75,85.8,88.55,88.45,87.76,520630,45689549.3,6066.0,266506.0,51.19
GSPL,EQ,28-Nov-2011,84.8,85.15,86.5,85.1,86.05,86.15,85.87,1027690,88249332.05,6902.0,685157.0,66.67
GSPL,EQ,25-Nov-2011,87.65,88.3,89.2,84.3,84.45,84.8,87.18,993258,86587716.15,7000.0,670003.0,67.46
GSPL,EQ,24-Nov-2011,87.85,87.95,89.0,86.05,88.5,87.65,87.46,2298074,200990330.05,8775.0,1813343.0,78.91
GSPL,EQ,23-Nov-2011,89.05,88.6,89.1,87.0,87.55,87.85,88.09,862997,76019816.85,6402.0,544635.0,63.11
GSPL,EQ,22-Nov-2011,88.75,88.0,89.9,85.3,89.0,89.05,87.56,1339558,117294659.5,10518.0,890619.0,66.49
GSPL,EQ,21-Nov-2011,92.15,93.95,93.95,87.4,87.9,88.75,89.32,897804,80187630.15,9561.0,617959.0,68.83
GSPL,EQ,18-Nov-2011,92.55,92.3,93.45,90.65,91.9,92.15,91.99,1020169,93844721.45,4179.0,756642.0,74.17
GSPL,EQ,17-Nov-2011,95.6,95.6,96.75,92.05,92.6,92.55,94.05,364760,34305237.9,3351.0,145473.0,39.88
GSPL,EQ,16-Nov-2011,95.4,96.0,97.0,91.2,96.0,95.6,94.41,553070,52215130.05,4946.0,272537.0,49.28
GSPL,EQ,15-Nov-2011,96.7,97.0,97.95,94.8,95.0,95.4,96.43,518131,49965612.0,4919.0,293328.0,56.61
GSPL,EQ,14-Nov-2011,96.7,97.7,99.6,95.3,95.35,96.7,97.48,503185,49051585.7,3449.0,327846.0,65.15
GSPL,EQ,11-Nov-2011,98.85,99.9,99.9,95.05,96.6,96.7,97.0,495767,48089824.3,7386.0,232650.0,46.93
GSPL,EQ,09-Nov-2011,101.8,102.3,102.4,98.4,99.2,98.85,100.16,268934,26935432.25,2457.0,100332.0,37.31
GSPL,EQ,08-Nov-2011,101.9,102.2,102.75,101.0,101.6,101.8,101.81,153993,15678245.95,2259.0,48760.0,31.66
