"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
HDFCBANK,EQ,30-Dec-2011,429.60,433.80,434.00,422.10,426.20,426.85,428.95,1919104,823207514.2,31652.0,1040552.0,54.22
HDFCBANK,EQ,29-Dec-2011,439.80,435.65,442.00,426.00,430.00,429.60,434.02,2732657,1186027966.0,35321.0,1213938.0,44.42
HDFCBANK,EQ,28-Dec-2011,439.70,442.50,443.00,433.05,439.00,439.80,437.33,1917085,838391110.7,28534.0,1032419.0,53.85
HDFCBANK,EQ,27-Dec-2011,443.70,440.30,443.60,435.70,441.90,439.70,439.39,1573559,691408821.95,20218.0,827492.0,52.59
HDFCBANK,EQ,26-Dec-2011,437.55,439.00,445.40,437.05,443.15,443.70,442.87,1141190,505396860.8,19594.0,412254.0,36.12
HDFCBANK,EQ,23-Dec-2011,442.85,444.20,446.50,436.00,438.00,437.55,441.43,1713825,756536418.65,36377.0,613425.0,35.79
HDFCBANK,EQ,22-Dec-2011,435.45,431.50,444.80,428.80,444.20,442.85,436.74,3394017,1482300264.05,39168.0,1567613.0,46.19
HDFCBANK,EQ,21-Dec-2011,414.20,426.00,439.40,417.80,438.30,435.45,426.91,3746720,1599530370.75,57277.0,1888665.0,50.41
HDFCBANK,EQ,20-Dec-2011,406.00,406.00,421.60,404.00,415.40,414.20,413.16,4995892,2064125453.85,75281.0,2751839.0,55.08
HDFCBANK,EQ,19-Dec-2011,415.30,412.05,413.00,400.25,402.40,406.00,405.95,8085381,3282226121.35,90560.0,5590411.0,69.14
HDFCBANK,EQ,16-Dec-2011,431.35,434.10,440.50,410.00,413.65,415.30,427.68,7356205,3146087891.6,68951.0,3486128.0,47.39
HDFCBANK,EQ,15-Dec-2011,434.35,429.00,436.00,427.00,431.50,431.35,431.85,6740035,2910700627.3,66397.0,4663656.0,69.19
HDFCBANK,EQ,14-Dec-2011,438.40,439.00,443.75,430.25,434.30,434.35,436.80,6076681,2654274358.15,61679.0,3740625.0,61.56
HDFCBANK,EQ,13-Dec-2011,432.05,428.00,445.40,426.00,442.90,438.40,432.92,3731470,1615429831.2,55907.0,1958826.0,52.49
HDFCBANK,EQ,12-Dec-2011,443.75,448.10,450.95,426.30,428.05,432.05,438.39,3017789,1322980400.75,42327.0,1596756.0,52.91
HDFCBANK,EQ,09-Dec-2011,453.75,447.00,451.20,440.50,445.30,443.75,446.16,3401728,1517703268.95,42905.0,1755735.0,51.61
HDFCBANK,EQ,08-Dec-2011,467.10,467.00,467.70,451.10,452.00,453.75,457.06,3139250,1434821913.65,44369.0,2020972.0,64.38
HDFCBANK,EQ,07-Dec-2011,462.35,470.00,470.90,462.10,465.00,467.10,467.13,2793236,1304817107.2,64722.0,1609661.0,57.63
HDFCBANK,EQ,05-Dec-2011,466.00,463.70,467.45,458.00,464.30,462.35,461.80,2188307,1010568652.3,50627.0,856287.0,39.13
HDFCBANK,EQ,02-Dec-2011,453.50,455.15,467.90,453.15,466.55,466.00,461.30,2809257,1295903724.55,42505.0,1624882.0,57.84
HDFCBANK,EQ,01-Dec-2011,442.50,458.95,467.00,449.45,452.15,453.50,456.33,3482446,1589128808.75,55266.0,2249776.0,64.6
HDFCBANK,EQ,30-Nov-2011,435.20,429.20,449.65,429.20,443.50,442.50,441.37,7053637,3113287914.95,92162.0,4751993.0,67.37
HDFCBANK,EQ,29-Nov-2011,440.85,444.00,445.55,432.20,432.25,435.20,439.45,3707756,1629369586.75,48884.0,2063077.0,55.64
HDFCBANK,EQ,28-Nov-2011,430.90,436.00,444.95,434.10,443.00,440.85,438.51,2722929,1194031188.25,41604.0,1594002.0,58.54
HDFCBANK,EQ,25-Nov-2011,429.65,427.75,434.90,419.05,432.00,430.90,428.25,4726617,2024181241.35,47404.0,2450395.0,51.84
HDFCBANK,EQ,24-Nov-2011,426.10,428.80,435.00,411.30,426.10,429.65,423.21,7221297,3056126870.0,110949.0,4876215.0,67.53
HDFCBANK,EQ,23-Nov-2011,444.05,441.75,441.75,414.20,424.00,426.10,424.96,6391409,2716080299.55,113869.0,3363627.0,52.63
HDFCBANK,EQ,22-Nov-2011,444.65,447.00,449.50,440.00,443.50,444.05,445.30,3804576,1694194309.9,65556.0,2046045.0,53.78
HDFCBANK,EQ,21-Nov-2011,458.30,456.00,456.00,440.00,442.00,444.65,448.49,2548509,1142968703.15,55090.0,1608273.0,63.11
HDFCBANK,EQ,18-Nov-2011,459.35,455.20,461.60,450.10,459.30,458.30,455.72,2930186,1335338351.4,56711.0,1707583.0,58.28
HDFCBANK,EQ,17-Nov-2011,465.70,463.15,470.00,456.60,461.45,459.35,462.36,2694342,1245750149.2,40156.0,1706169.0,63.32
HDFCBANK,EQ,16-Nov-2011,472.25,470.00,472.00,460.30,469.40,465.70,467.20,1779400,831339450.75,38254.0,870647.0,48.93
HDFCBANK,EQ,15-Nov-2011,471.40,470.70,477.80,469.90,470.00,472.25,473.86,2911073,1379434201.7,36892.0,2185163.0,75.06
HDFCBANK,EQ,14-Nov-2011,464.05,469.90,479.85,468.95,471.45,471.40,475.55,3057141,1453835560.2,40454.0,1972360.0,64.52
HDFCBANK,EQ,11-Nov-2011,477.25,475.65,478.40,462.60,463.55,464.05,469.06,2302509,1080020984.45,53000.0,1304718.0,56.67
HDFCBANK,EQ,09-Nov-2011,484.25,485.00,485.70,475.30,476.10,477.25,480.70,2151247,1034109802.4,40679.0,1324799.0,61.58
HDFCBANK,EQ,08-Nov-2011,483.00,483.00,487.35,478.50,484.45,484.25,482.48,2098202,1012336235.2,29362.0,1131916.0,53.95
HDFCBANK,EQ,04-Nov-2011,481.85,486.70,487.90,480.30,483.65,483.00,483.20,1700805,821822292.15,26071.0,986335.0,57.99
HDFCBANK,EQ,03-Nov-2011,483.10,481.00,484.85,472.10,483.60,481.85,477.55,2626409,1254234348.85,44068.0,1544084.0,58.79
HDFCBANK,EQ,02-Nov-2011,482.30,478.70,488.00,477.50,481.50,483.10,485.18,2527955,1226511143.9,24663.0,1407497.0,55.68
HDFCBANK,EQ,01-Nov-2011,490.00,485.10,493.00,480.00,480.60,482.30,484.96,3324879,1612430076.1,45943.0,2083971.0,62.68
HDFCBANK,EQ,31-Oct-2011,482.65,483.00,491.75,477.15,490.00,490.00,486.83,3212854,1564110919.85,40635.0,2006892.0,62.46
HDFCBANK,EQ,28-Oct-2011,472.00,486.00,494.50,479.75,482.25,482.65,483.28,4509612,2179387991.0,79029.0,3333016.0,73.91
HDFCBANK,EQ,26-Oct-2011,468.00,472.00,474.90,470.00,472.15,472.00,471.82,499071,235472948.75,9673.0,184867.0,37.04
HDFCBANK,EQ,25-Oct-2011,484.35,487.85,490.75,448.55,471.80,468.00,463.86,20657505,9582166027.05,167697.0,12321985.0,59.65
HDFCBANK,EQ,24-Oct-2011,487.00,492.75,497.00,482.95,485.00,484.35,490.35,2435773,1194372157.7,23374.0,1510336.0,62.01
HDFCBANK,EQ,24-Oct-2011,487.00,492.75,497.00,482.95,485.00,484.35,490.35,2435773,1194372157.7,23374.0,1510336.0,62.01
HDFCBANK,EQ,21-Oct-2011,489.55,490.05,491.80,483.30,488.00,487.00,488.26,2290366,1118301749.65,31497.0,1435151.0,62.66
HDFCBANK,EQ,20-Oct-2011,491.85,488.00,492.40,480.60,490.00,489.55,486.00,2838426,1379477816.8,35557.0,1769063.0,62.33
HDFCBANK,EQ,19-Oct-2011,478.15,482.95,494.60,479.30,492.00,491.85,488.88,4344521,2123951587.4,55485.0,2307584.0,53.11
HDFCBANK,EQ,18-Oct-2011,478.05,473.90,481.40,472.00,481.20,478.15,475.75,2027255,964472057.3,23508.0,1288522.0,63.56
HDFCBANK,EQ,17-Oct-2011,473.90,476.60,480.50,472.35,479.00,478.05,477.25,1771816,845606922.45,34390.0,921060.0,51.98
HDFCBANK,EQ,14-Oct-2011,470.65,469.00,476.40,465.35,475.70,473.90,470.79,1667510,785049233.9,29840.0,973391.0,58.37
HDFCBANK,EQ,13-Oct-2011,467.15,475.00,476.20,467.60,470.00,470.65,472.34,2933351,1385537355.75,41514.0,1901853.0,64.84
HDFCBANK,EQ,12-Oct-2011,457.50,461.95,469.90,453.45,468.50,467.15,461.23,4483890,2068095937.8,41048.0,3076563.0,68.61
HDFCBANK,EQ,11-Oct-2011,454.70,460.70,464.90,455.15,459.25,457.50,460.78,2496879,1150499865.95,40086.0,1390395.0,55.69
HDFCBANK,EQ,10-Oct-2011,450.00,452.00,458.00,450.05,457.20,454.70,453.88,6031496,2737584751.0,39494.0,4763362.0,78.97
HDFCBANK,EQ,07-Oct-2011,438.70,452.70,460.00,446.20,450.00,450.00,451.63,4721751,2132498829.1,61247.0,3326341.0,70.45
HDFCBANK,EQ,05-Oct-2011,448.90,448.95,456.25,436.55,437.50,438.70,445.71,4133748,1842472645.85,53866.0,2359437.0,57.08
HDFCBANK,EQ,04-Oct-2011,456.05,452.50,456.00,440.50,446.20,448.90,449.43,3740798,1681231786.7,55674.0,2383344.0,63.71
HDFCBANK,EQ,03-Oct-2011,467.65,460.15,464.90,450.75,464.90,456.05,455.17,4534059,2063766799.75,65473.0,3501285.0,77.22
HDFCBANK,EQ,30-Sep-2011,470.60,465.85,474.80,464.40,467.30,467.65,469.42,4757200,2233130424.75,61499.0,3333692.0,70.08
HDFCBANK,EQ,29-Sep-2011,458.00,457.55,474.80,452.65,470.00,470.60,468.67,8133246,3811814621.75,68739.0,5320745.0,65.42
HDFCBANK,EQ,28-Sep-2011,457.45,462.40,465.35,451.75,460.35,458.00,457.06,3805938,1739542764.75,50636.0,2598967.0,68.29
HDFCBANK,EQ,27-Sep-2011,450.10,458.00,461.90,454.10,459.40,457.45,458.02,4005709,1834676061.25,23917.0,2941137.0,73.42
HDFCBANK,EQ,26-Sep-2011,456.40,456.00,457.65,439.45,450.05,450.10,447.99,6946267,3111842108.85,60604.0,4916283.0,70.78
HDFCBANK,EQ,23-Sep-2011,472.30,468.55,470.00,452.50,456.00,456.40,458.00,8227806,3768372972.5,74122.0,5078038.0,61.72
HDFCBANK,EQ,22-Sep-2011,494.50,487.90,489.00,465.50,477.05,472.30,477.10,2547772,1215543790.4,36090.0,1342209.0,52.68
HDFCBANK,EQ,21-Sep-2011,491.35,492.75,497.65,488.40,493.70,494.50,494.24,3222849,1592858863.7,38357.0,2191729.0,68.01
HDFCBANK,EQ,20-Sep-2011,484.75,485.00,493.25,483.00,492.60,491.35,488.50,2958817,1445370697.2,39951.0,1855622.0,62.71
HDFCBANK,EQ,19-Sep-2011,483.70,481.90,487.00,477.10,487.00,484.75,482.35,2097305,1011637413.85,38513.0,1128543.0,53.81
HDFCBANK,EQ,16-Sep-2011,484.65,486.25,490.00,476.30,487.00,483.70,483.58,2736752,1323450410.05,37568.0,1313065.0,47.98
HDFCBANK,EQ,15-Sep-2011,478.90,485.90,488.05,471.60,488.05,484.65,480.15,2184190,1048734096.65,42182.0,1105772.0,50.63
HDFCBANK,EQ,14-Sep-2011,467.70,467.40,483.10,461.05,483.10,478.90,471.49,1937252,913391647.1,35057.0,779582.0,40.24
HDFCBANK,EQ,13-Sep-2011,469.35,471.00,475.80,464.00,466.70,467.70,469.94,1793988,843070230.55,29640.0,750315.0,41.82
HDFCBANK,EQ,12-Sep-2011,473.25,467.00,471.20,462.50,469.00,469.35,466.85,1746380,815301830.15,22994.0,953776.0,54.61
HDFCBANK,EQ,09-Sep-2011,483.70,483.90,485.70,470.70,472.00,473.25,479.30,2582854,1237958528.4,29275.0,1390139.0,53.82
HDFCBANK,EQ,08-Sep-2011,488.10,489.70,489.70,479.15,483.00,483.70,483.00,2041012,985816247.95,30254.0,983324.0,48.18
HDFCBANK,EQ,07-Sep-2011,472.80,476.00,489.95,472.85,488.45,488.10,485.24,3686643,1788899330.9,40660.0,2398516.0,65.06
HDFCBANK,EQ,06-Sep-2011,470.25,468.60,476.40,460.00,473.10,472.80,467.73,4465198,2088526544.15,53146.0,3087895.0,69.15
HDFCBANK,EQ,05-Sep-2011,472.80,469.80,474.00,462.65,473.30,470.25,467.91,2950179,1380404361.65,27431.0,1886593.0,63.95
HDFCBANK,EQ,02-Sep-2011,471.95,484.00,484.00,468.00,472.00,472.80,473.27,3797737,1797344036.75,53848.0,2695887.0,70.99
HDFCBANK,EQ,30-Aug-2011,456.45,461.95,475.00,458.80,474.80,471.95,466.00,3897324,1816137485.1,43631.0,2659027.0,68.23
HDFCBANK,EQ,29-Aug-2011,438.95,444.50,457.95,443.15,457.20,456.45,452.74,2900099,1313004028.4,43407.0,2012846.0,69.41
HDFCBANK,EQ,26-Aug-2011,443.65,444.00,450.55,436.15,437.95,438.95,442.67,2130956,943319369.75,35345.0,1139647.0,53.48
HDFCBANK,EQ,25-Aug-2011,456.00,459.40,459.40,440.70,444.55,443.65,448.23,5800210,2599819728.5,50580.0,4091807.0,70.55
HDFCBANK,EQ,24-Aug-2011,459.40,458.00,462.40,452.50,454.00,456.00,456.89,3185614,1455465302.5,38280.0,1828824.0,57.41
HDFCBANK,EQ,23-Aug-2011,453.05,457.40,462.50,445.30,457.30,459.40,455.28,4036273,1837617334.85,51093.0,1919033.0,47.54
HDFCBANK,EQ,22-Aug-2011,460.85,460.05,463.95,450.70,452.50,453.05,456.73,2977249,1359810765.1,46573.0,1481412.0,49.76
HDFCBANK,EQ,19-Aug-2011,462.40,455.00,463.50,450.00,460.80,460.85,456.23,4480259,2044027900.05,57429.0,2267790.0,50.62
HDFCBANK,EQ,18-Aug-2011,467.50,468.30,474.85,458.55,460.60,462.40,467.32,5722113,2674060061.85,59441.0,3794888.0,66.32
HDFCBANK,EQ,17-Aug-2011,456.45,456.05,472.45,455.90,470.00,467.50,465.02,3134201,1457470344.6,45759.0,1736330.0,55.4
HDFCBANK,EQ,16-Aug-2011,468.05,478.40,478.40,454.65,459.05,456.45,464.33,3055648,1418826112.55,47100.0,1687462.0,55.22
HDFCBANK,EQ,12-Aug-2011,479.95,485.10,486.00,464.10,468.00,468.05,470.12,2853388,1341426419.8,59288.0,1561229.0,54.71
HDFCBANK,EQ,11-Aug-2011,479.90,478.70,484.70,475.00,479.60,479.95,480.76,2102304,1010711732.6,26905.0,1253724.0,59.64
HDFCBANK,EQ,10-Aug-2011,464.45,494.80,494.80,473.40,483.50,479.90,478.06,3267226,1561923682.25,48987.0,2076081.0,63.54
HDFCBANK,EQ,09-Aug-2011,462.10,450.00,473.55,449.85,466.15,464.45,460.88,4490924,2069782126.85,66379.0,2445617.0,54.46
HDFCBANK,EQ,09-Aug-2011,462.10,450.00,473.55,449.85,466.15,464.45,460.88,4490924,2069782126.85,66379.0,2445617.0,54.46
HDFCBANK,EQ,08-Aug-2011,473.05,463.00,480.00,458.05,462.50,462.10,465.04,4308373,2003578619.65,61416.0,2323934.0,53.94
HDFCBANK,EQ,05-Aug-2011,476.45,465.00,475.80,457.10,474.10,473.05,469.56,3156094,1481968173.55,40643.0,1978949.0,62.7
HDFCBANK,EQ,04-Aug-2011,482.05,484.10,488.90,475.00,476.00,476.45,481.00,1829606,880036331.6,31537.0,1067437.0,58.34
HDFCBANK,EQ,03-Aug-2011,482.85,478.70,489.40,476.00,484.00,482.05,481.89,2082567,1003571226.2,30294.0,1091210.0,52.4
HDFCBANK,EQ,02-Aug-2011,488.00,487.90,487.90,480.00,481.95,482.85,483.30,1982494,958141447.95,34142.0,1271401.0,64.13
HDFCBANK,EQ,01-Aug-2011,486.80,493.45,495.95,484.50,488.00,488.00,489.14,2202354,1077269094.5,28203.0,1448962.0,65.79
HDFCBANK,EQ,29-Jul-2011,487.30,489.90,489.90,481.10,488.85,486.80,485.65,2997667,1455822960.35,56313.0,1947346.0,64.96
