"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
HEXT,EQ,26-Dec-2025,748.4,748.4,754.2,737.0,748.4,751.2,745.48,421837,314469135.85,13307,243618,57.75
HEXT,EQ,24-Dec-2025,738.55,739.9,751.3,732.0,750.0,748.4,747.26,654104,488788023.6,21399,451128,68.97
HEXT,EQ,23-Dec-2025,746.05,746.05,748.6,730.1,739.0,738.55,737.02,555091,409114721.05,31289,276006,49.72
HEXT,EQ,22-Dec-2025,792.55,780.0,788.55,734.1,742.2,746.05,756.84,1086697,822457049.2,47946,586554,53.98
HEXT,EQ,19-Dec-2025,755.8,760.35,805.0,751.45,791.0,792.55,788.72,3116703,2458208537.55,68144,1987528,63.77
HEXT,EQ,18-Dec-2025,765.05,757.6,777.0,749.3,757.35,755.8,756.9,354882,268611698.75,21304,196977,55.5
HEXT,EQ,17-Dec-2025,761.45,758.0,773.8,752.55,764.0,765.05,762.34,275790,210245771.0,15971,140910,51.09
HEXT,EQ,16-Dec-2025,769.2,767.0,770.0,747.95,760.35,761.45,757.83,748360,567128593.15,24493,513105,68.56
HEXT,EQ,15-Dec-2025,761.85,761.5,776.5,760.8,770.0,769.2,771.55,332303,256389364.15,10887,227482,68.46
HEXT,EQ,12-Dec-2025,747.75,752.5,764.95,748.5,764.9,761.85,758.2,243145,184352183.85,12352,133486,54.9
HEXT,EQ,11-Dec-2025,734.85,734.85,754.7,729.8,748.25,747.75,743.5,417512,310422256.75,24954,203349,48.7
HEXT,EQ,10-Dec-2025,760.45,756.0,765.05,731.55,734.0,734.85,741.98,369142,273897107.3,25392,156253,42.33
HEXT,EQ,09-Dec-2025,753.9,750.0,764.7,742.65,760.0,760.45,755.38,242095,182873425.05,12613,99697,41.18
HEXT,EQ,08-Dec-2025,754.75,752.1,762.25,740.65,754.05,753.9,754.77,938777,708556247.35,33413,517966,55.17
HEXT,EQ,05-Dec-2025,788.55,794.0,798.0,751.35,752.1,754.75,769.91,586531,451577629.85,34709,212046,36.15
HEXT,EQ,04-Dec-2025,758.2,756.4,807.75,750.0,787.0,788.55,788.34,2507604,1976842334.7,92535,870075,34.7
HEXT,EQ,03-Dec-2025,735.0,733.0,760.0,731.1,758.0,758.2,751.68,384493,289014144.05,17543,187057,48.65
HEXT,EQ,02-Dec-2025,738.45,738.45,745.1,729.2,732.0,735.0,735.86,463927,341385432.1,15902,373931,80.6
HEXT,EQ,01-Dec-2025,756.75,759.95,759.95,729.3,738.7,738.45,739.1,1232730,911105777.75,27013,1016795,82.48
HEXT,EQ,28-Nov-2025,746.0,749.5,759.0,742.15,756.0,756.75,747.79,610811,456758831.5,20354,458183,75.01
HEXT,EQ,27-Nov-2025,756.05,760.0,762.9,742.85,745.0,746.0,752.63,370136,278575162.8,25075,174429,47.13
HEXT,EQ,26-Nov-2025,726.45,726.25,758.55,725.4,755.0,756.05,748.18,462856,346299879.55,23278,242370,52.36
HEXT,EQ,25-Nov-2025,729.15,734.85,734.85,719.05,726.15,726.45,726.71,304719,221441885.2,34675,166649,54.69
HEXT,EQ,24-Nov-2025,715.7,715.7,735.4,714.0,726.8,729.15,728.47,1751451,1275876644.2,63348,1140751,65.13
HEXT,EQ,21-Nov-2025,724.95,724.95,724.95,707.7,714.0,715.7,715.78,322635,230936641.95,26583,188389,58.39
HEXT,EQ,20-Nov-2025,731.5,735.0,737.75,717.5,724.95,724.95,725.8,206151,149625292.45,16487,94149,45.67
HEXT,EQ,19-Nov-2025,702.7,706.95,735.0,702.45,728.1,731.5,725.29,426604,309409569.05,23331,196150,45.98
HEXT,EQ,18-Nov-2025,708.45,711.0,711.0,698.45,706.0,702.7,702.96,297783,209330089.45,19038,206159,69.23
HEXT,EQ,17-Nov-2025,688.7,688.7,709.75,685.85,709.6,708.45,704.88,300832,212051120.85,17095,173667,57.73
HEXT,EQ,14-Nov-2025,696.25,696.25,696.25,683.15,686.0,688.7,687.46,225656,155129284.4,19273,114207,50.61
HEXT,EQ,13-Nov-2025,696.35,696.35,699.8,683.55,696.35,696.25,693.96,327973,227600471.4,19334,182650,55.69
HEXT,EQ,12-Nov-2025,663.4,667.05,697.8,661.75,697.0,696.35,683.56,442937,302773350.25,22436,215864,48.73
HEXT,EQ,11-Nov-2025,673.35,670.1,672.3,659.4,666.0,663.4,665.59,741102,493270479.4,29313,538442,72.65
HEXT,EQ,10-Nov-2025,672.45,674.1,699.85,651.0,669.8,673.35,677.95,720638,488553027.6,59177,271343,37.65
HEXT,EQ,07-Nov-2025,699.5,702.3,702.3,665.2,670.0,672.45,674.05,600927,405053787.05,50388,367544,61.16
HEXT,EQ,06-Nov-2025,695.0,695.0,704.0,687.8,695.0,699.5,698.72,227581,159014359.25,19313,131071,57.59
HEXT,EQ,04-Nov-2025,692.5,693.0,699.8,685.35,694.05,695.0,692.78,345147,239110539.6,20648,218443,63.29
HEXT,EQ,03-Nov-2025,687.4,687.4,695.0,674.6,691.0,692.5,689.32,275793,190109821.9,22687,127603,46.27
HEXT,EQ,31-Oct-2025,704.25,704.25,704.3,683.2,687.45,687.4,693.63,248070,172067666.2,23728,169490,68.32
HEXT,EQ,30-Oct-2025,709.8,707.1,714.0,697.15,703.45,704.25,704.79,261517,184314195.95,19947,153051,58.52
HEXT,EQ,29-Oct-2025,715.25,717.1,717.5,707.15,709.95,709.8,711.05,264020,187730155.15,19872,163882,62.07
HEXT,EQ,28-Oct-2025,736.9,745.0,746.45,712.35,716.0,715.25,724.56,177435,128561535.95,12752,86823,48.93
HEXT,EQ,27-Oct-2025,725.2,725.1,740.0,721.3,735.1,736.9,733.5,176363,129362528.7,8125,95853,54.35
HEXT,EQ,24-Oct-2025,730.0,730.0,731.2,720.6,724.0,725.2,725.32,106295,77098383.85,9003,53615,50.44
HEXT,EQ,23-Oct-2025,718.0,718.0,734.0,702.0,729.85,730.0,725.81,514230,373234311.85,25886,288422,56.09
HEXT,EQ,21-Oct-2025,721.05,721.5,721.75,715.75,718.9,718.0,718.28,23292,16730077.05,2060,11220,48.17
HEXT,EQ,20-Oct-2025,715.25,712.05,722.8,709.2,720.3,721.05,717.57,125319,89925416.8,7966,63705,50.83
HEXT,EQ,17-Oct-2025,720.95,715.0,719.75,708.0,712.0,715.25,714.5,405691,289865602.9,17767,304890,75.15
HEXT,EQ,16-Oct-2025,741.7,743.45,746.15,719.25,719.5,720.95,726.37,318795,231561968.55,27475,172769,54.19
HEXT,EQ,15-Oct-2025,720.9,716.8,744.0,716.8,738.7,741.7,736.68,1070826,788853797.95,46364,817820,76.37
HEXT,EQ,14-Oct-2025,707.65,709.45,724.4,707.55,718.8,720.9,718.57,461656,331730182.0,31545,281861,61.05
HEXT,EQ,13-Oct-2025,716.6,711.9,714.75,698.7,714.75,707.65,708.33,620094,439233755.45,24523,493089,79.52
HEXT,EQ,10-Oct-2025,718.6,720.05,728.85,714.35,716.15,716.6,720.75,892280,643106970.2,39796,590020,66.12
HEXT,EQ,09-Oct-2025,706.4,710.0,722.0,700.95,718.0,718.6,712.57,435817,310551650.7,27304,219715,50.41
HEXT,EQ,08-Oct-2025,693.15,693.15,709.05,687.9,707.0,706.4,701.62,663203,465313231.2,43046,381874,57.58
HEXT,EQ,07-Oct-2025,697.15,700.8,705.0,685.15,693.65,693.15,691.61,284422,196708334.85,19907,135135,47.51
HEXT,EQ,06-Oct-2025,668.85,670.0,701.95,669.0,696.0,697.15,689.8,605570,417721497.3,24285,215450,35.58
HEXT,EQ,03-Oct-2025,676.9,669.0,681.4,664.9,668.05,668.85,670.03,462867,310136347.6,21115,167808,36.25
HEXT,EQ,01-Oct-2025,670.5,675.6,679.15,664.5,675.85,676.9,672.58,260424,175155533.65,10090,117792,45.23
HEXT,EQ,30-Sep-2025,676.05,673.55,673.55,663.2,670.0,670.5,668.23,958698,640630436.75,34890,622068,64.89
HEXT,EQ,29-Sep-2025,664.1,664.0,680.95,654.4,673.0,676.05,673.49,1671664,1125852422.35,49404,1074019,64.25
HEXT,EQ,26-Sep-2025,681.6,680.0,690.0,651.05,662.7,664.1,666.1,1474682,982291224.45,62868,907843,61.56
HEXT,EQ,25-Sep-2025,703.8,700.4,701.8,668.0,691.95,681.6,691.41,1635411,1130745172.65,40140,1213606,74.21
HEXT,EQ,24-Sep-2025,689.35,692.0,709.05,680.2,700.0,703.8,701.68,3229757,2266250293.85,90545,2292269,70.97
HEXT,EQ,23-Sep-2025,726.85,728.7,733.35,685.5,692.45,689.35,700.89,2167268,1519017927.55,69094,1322356,61.01
HEXT,EQ,22-Sep-2025,781.75,769.95,769.95,723.35,727.0,726.85,732.81,2325468,1704136733.3,119816,1416549,60.91
HEXT,EQ,19-Sep-2025,769.75,775.0,803.0,760.0,793.0,781.75,780.81,7619777,5949573927.05,83712,4719796,61.94
HEXT,EQ,18-Sep-2025,767.35,773.0,783.0,763.0,767.8,769.75,775.11,500827,388195982.35,33888,292775,58.46
HEXT,EQ,17-Sep-2025,754.4,760.4,774.05,758.0,765.65,767.35,768.38,793434,609657066.4,29433,487263,61.41
HEXT,EQ,16-Sep-2025,767.05,769.3,772.75,752.55,756.0,754.4,759.54,485866,369033144.65,19852,270338,55.64
HEXT,EQ,15-Sep-2025,758.2,759.8,777.15,751.1,765.05,767.05,766.69,630959,483747580.6,33107,363841,57.66
HEXT,EQ,12-Sep-2025,754.05,755.25,768.35,750.5,760.9,758.2,761.33,567770,432262920.55,22480,322940,56.88
HEXT,EQ,11-Sep-2025,779.6,783.0,783.0,751.95,757.8,754.05,761.11,411380,313107271.6,23760,214207,52.07
HEXT,EQ,10-Sep-2025,753.95,757.0,788.4,756.0,772.5,779.6,772.08,1188080,917288894.8,39944,725348,61.05
HEXT,EQ,09-Sep-2025,725.2,735.0,759.7,727.2,752.8,753.95,745.82,835310,622992106.2,61734,522218,62.52
HEXT,EQ,08-Sep-2025,721.25,722.8,735.0,720.0,725.5,725.2,726.7,507948,369126412.85,24667,351343,69.17
HEXT,EQ,05-Sep-2025,730.3,740.0,742.5,710.15,722.95,721.25,721.68,763158,550756913.2,40923,467616,61.27
HEXT,EQ,04-Sep-2025,749.55,758.0,759.6,726.6,728.3,730.3,745.53,913659,681162248.8,38438,517443,56.63
HEXT,EQ,03-Sep-2025,753.0,755.8,759.75,743.0,748.35,749.55,750.98,721650,541944401.05,31672,406656,56.35
HEXT,EQ,02-Sep-2025,750.3,757.0,762.05,744.45,752.1,753.0,752.82,653923,492287185.75,42107,442577,67.68
HEXT,EQ,01-Sep-2025,757.75,753.75,755.9,738.5,750.0,750.3,750.36,2054774,1541827404.5,68112,1553448,75.6
HEXT,EQ,29-Aug-2025,775.8,780.3,795.55,750.2,750.2,757.75,768.26,731273,561808099.3,59150,385111,52.66
HEXT,EQ,28-Aug-2025,793.95,794.0,803.45,773.65,775.15,775.8,784.11,601677,471783197.25,39709,420059,69.81
HEXT,EQ,26-Aug-2025,825.35,825.4,828.85,785.3,788.0,793.95,808.28,842219,680750367.0,78050,554362,65.82
HEXT,EQ,25-Aug-2025,799.4,805.0,829.4,798.65,823.0,825.35,823.27,1716241,1412937124.9,57684,1289509,75.14
HEXT,EQ,22-Aug-2025,808.75,808.95,813.75,795.0,796.0,799.4,800.85,1084822,868778682.05,58407,833858,76.87
HEXT,EQ,21-Aug-2025,773.8,807.35,825.0,791.2,805.05,808.75,801.41,890993,714051057.9,55048,401613,45.07
HEXT,EQ,20-Aug-2025,750.5,746.0,778.8,738.1,775.0,773.8,758.66,619781,470205081.95,60482,342757,55.3
HEXT,EQ,19-Aug-2025,729.3,729.3,756.8,726.4,746.95,750.5,741.72,397035,294489934.9,36329,187296,47.17
