"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
HINDPETRO,EQ,30-Dec-2011,247.45,250.05,256.8,245.2,256.5,252.95,250.7,560973,140637108.3,11140.0,218685.0,38.98
HINDPETRO,EQ,29-Dec-2011,254.1,255.9,258.75,245.5,247.3,247.45,250.63,543718,136269589.3,10354.0,225455.0,41.47
HINDPETRO,EQ,28-Dec-2011,260.7,258.25,260.05,251.3,252.5,254.1,254.77,181930,46349876.4,3117.0,75853.0,41.69
HINDPETRO,EQ,27-Dec-2011,260.4,261.2,265.0,258.25,261.3,260.7,261.98,241994,63396730.4,5407.0,89684.0,37.06
HINDPETRO,EQ,26-Dec-2011,263.0,263.0,266.0,259.25,259.45,260.4,261.29,227494,59442522.9,4042.0,55499.0,24.4
HINDPETRO,EQ,23-Dec-2011,268.25,268.05,269.5,260.15,262.35,263.0,263.38,141858,37362275.8,3988.0,30472.0,21.48
HINDPETRO,EQ,22-Dec-2011,265.1,257.95,269.95,257.95,268.35,268.25,263.48,322807,85054460.85,5547.0,87155.0,27.0
HINDPETRO,EQ,21-Dec-2011,252.05,254.0,267.95,249.1,266.8,265.1,257.99,490389,126513642.95,10567.0,197448.0,40.26
HINDPETRO,EQ,20-Dec-2011,262.55,262.55,266.8,250.05,252.5,252.05,258.85,478923,123967891.3,10349.0,104327.0,21.78
HINDPETRO,EQ,19-Dec-2011,263.55,264.8,268.7,259.0,261.6,262.55,263.21,356103,93731357.35,6629.0,94839.0,26.63
HINDPETRO,EQ,16-Dec-2011,283.25,284.8,287.75,258.1,261.2,263.55,271.61,1641106,445747051.25,20226.0,991205.0,60.4
HINDPETRO,EQ,15-Dec-2011,277.55,278.0,286.0,277.7,282.35,283.25,283.43,554041,157030290.35,12378.0,195524.0,35.29
HINDPETRO,EQ,14-Dec-2011,289.85,288.85,291.15,274.6,276.6,277.55,280.89,783105,219969333.75,12328.0,324507.0,41.44
HINDPETRO,EQ,13-Dec-2011,285.6,281.3,291.95,280.55,289.0,289.85,286.81,343511,98522237.55,7755.0,118769.0,34.58
HINDPETRO,EQ,12-Dec-2011,294.65,295.9,295.9,284.15,285.0,285.6,289.03,160586,46413740.25,4483.0,29618.0,18.44
HINDPETRO,EQ,09-Dec-2011,288.2,289.65,296.0,286.0,293.9,294.65,292.99,567611,166302653.1,11561.0,191931.0,33.81
HINDPETRO,EQ,08-Dec-2011,292.6,285.7,292.95,285.7,287.95,288.2,288.95,295971,85521659.2,7146.0,114823.0,38.8
HINDPETRO,EQ,07-Dec-2011,287.1,288.0,297.0,285.25,291.3,292.6,291.23,815577,237523678.05,9641.0,331795.0,40.68
HINDPETRO,EQ,05-Dec-2011,291.8,285.1,290.6,283.45,287.5,287.1,286.31,486582,139312790.0,12223.0,88244.0,18.14
