"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
HINDUNILVR,EQ,30-Dec-2011,414.3,414.9,414.95,405.35,406.25,407.4,409.33,1008710,412891551.25,17885.0,573120.0,56.82
HINDUNILVR,EQ,29-Dec-2011,411.65,411.75,416.75,407.1,414.5,414.3,412.38,3064284,1263648501.4,24288.0,2051842.0,66.96
HINDUNILVR,EQ,28-Dec-2011,416.75,416.95,418.0,410.7,411.4,411.65,413.87,2100950,869525053.25,30263.0,1173182.0,55.84
HINDUNILVR,EQ,27-Dec-2011,419.2,419.0,420.05,415.05,417.0,416.75,417.33,1805252,753389288.45,22827.0,1055454.0,58.47
HINDUNILVR,EQ,26-Dec-2011,411.7,411.95,420.25,411.8,419.0,419.2,417.74,3210785,1341276480.15,34980.0,2033635.0,63.34
HINDUNILVR,EQ,23-Dec-2011,408.4,410.0,414.9,408.5,412.2,411.7,412.19,2478598,1021665213.35,25872.0,1331208.0,53.71
HINDUNILVR,EQ,22-Dec-2011,401.5,401.0,412.5,399.25,408.55,408.4,408.8,3480833,1422973974.8,51774.0,1811460.0,52.04
HINDUNILVR,EQ,21-Dec-2011,396.7,402.0,404.65,397.6,400.55,401.5,400.98,2958318,1186220413.0,42327.0,1978903.0,66.89
HINDUNILVR,EQ,20-Dec-2011,396.2,396.6,402.9,394.5,397.0,396.7,398.43,1722756,686401961.15,26805.0,809827.0,47.01
HINDUNILVR,EQ,19-Dec-2011,392.8,393.5,399.2,388.5,396.6,396.2,395.79,1861261,736661973.25,32144.0,1092882.0,58.72
HINDUNILVR,EQ,16-Dec-2011,395.2,395.5,405.0,388.0,390.95,392.8,398.59,2709272,1079896297.5,43295.0,1162767.0,42.92
HINDUNILVR,EQ,15-Dec-2011,384.45,384.0,396.75,382.55,396.1,395.2,390.25,2848153,1111505341.8,46339.0,1730068.0,60.74
HINDUNILVR,EQ,14-Dec-2011,386.05,385.05,392.45,382.4,383.6,384.45,387.05,1268518,490974409.6,28361.0,616387.0,48.59
HINDUNILVR,EQ,13-Dec-2011,383.3,385.0,388.0,381.75,386.5,386.05,385.16,944694,363861618.05,18375.0,445733.0,47.18
HINDUNILVR,EQ,12-Dec-2011,385.7,386.15,386.5,381.0,384.6,383.3,383.34,1926515,738515288.6,31971.0,1188747.0,61.7
HINDUNILVR,EQ,09-Dec-2011,392.95,390.4,390.95,384.65,385.1,385.7,387.67,1789135,693596170.95,32648.0,1000687.0,55.93
HINDUNILVR,EQ,08-Dec-2011,396.75,394.55,397.5,388.25,392.6,392.95,392.56,1886638,740626619.9,28866.0,924065.0,48.98
HINDUNILVR,EQ,07-Dec-2011,395.0,395.0,400.05,393.4,396.0,396.75,397.46,1884018,748816050.65,31161.0,1235982.0,65.6
HINDUNILVR,EQ,05-Dec-2011,394.9,395.35,398.4,392.2,393.95,395.0,394.87,1116245,440766259.0,18657.0,613114.0,54.93
HINDUNILVR,EQ,02-Dec-2011,390.6,393.4,397.4,391.35,396.1,394.9,395.32,2696779,1066091310.4,28561.0,1870058.0,69.34
HINDUNILVR,EQ,01-Dec-2011,397.15,403.0,403.0,389.7,392.4,390.6,395.73,3180616,1258652560.6,51434.0,1919283.0,60.34
HINDUNILVR,EQ,30-Nov-2011,388.2,387.8,401.0,387.1,395.0,397.15,394.47,4964804,1958467341.0,62424.0,3311511.0,66.7
HINDUNILVR,EQ,29-Nov-2011,381.9,382.95,389.95,382.05,388.7,388.2,387.33,2414054,935029231.4,39241.0,1412663.0,58.52
HINDUNILVR,EQ,28-Nov-2011,375.8,376.75,383.85,376.75,382.95,381.9,381.72,2004148,765015898.05,35329.0,1361780.0,67.95
HINDUNILVR,EQ,25-Nov-2011,385.0,384.55,384.55,373.25,374.0,375.8,379.51,1709121,648621829.4,24467.0,1035215.0,60.57
HINDUNILVR,EQ,24-Nov-2011,383.65,383.7,387.0,379.0,383.95,385.0,383.42,1911340,732844223.6,18673.0,990164.0,51.8
HINDUNILVR,EQ,23-Nov-2011,384.9,383.75,387.75,378.5,385.0,383.65,383.04,2879124,1102807817.55,34399.0,1755997.0,60.99
HINDUNILVR,EQ,22-Nov-2011,390.2,390.95,392.0,383.75,385.25,384.9,387.92,3609814,1400304723.9,44408.0,1937516.0,53.67
HINDUNILVR,EQ,21-Nov-2011,389.85,389.0,393.0,387.65,390.0,390.2,390.98,2197774,859293471.45,25990.0,1218196.0,55.43
HINDUNILVR,EQ,18-Nov-2011,390.7,388.95,393.45,384.35,391.0,389.85,389.33,3435409,1337508399.25,42635.0,2137545.0,62.22
HINDUNILVR,EQ,17-Nov-2011,391.9,392.75,394.7,389.1,390.6,390.7,392.89,1500384,589478673.2,19478.0,911622.0,60.76
HINDUNILVR,EQ,16-Nov-2011,391.35,391.3,394.5,387.35,393.0,391.9,391.29,2297870,899126324.9,36810.0,1297006.0,56.44
HINDUNILVR,EQ,15-Nov-2011,399.55,399.0,399.45,389.7,391.85,391.35,394.45,1724676,680296872.35,19333.0,885115.0,51.32
HINDUNILVR,EQ,14-Nov-2011,395.65,396.5,403.35,395.3,399.75,399.55,400.66,3232928,1295293274.6,30714.0,1589937.0,49.18
HINDUNILVR,EQ,11-Nov-2011,392.9,390.25,398.2,387.95,397.5,395.65,394.74,7170102,2830300159.95,66008.0,5014145.0,69.93
HINDUNILVR,EQ,09-Nov-2011,380.7,381.5,397.4,381.5,393.25,392.9,391.83,6574596,2576123323.0,74761.0,4037305.0,61.41
HINDUNILVR,EQ,08-Nov-2011,379.65,377.6,386.4,377.6,381.0,380.7,381.93,4298936,1641887295.55,45857.0,3030523.0,70.49
HINDUNILVR,EQ,04-Nov-2011,382.25,382.0,383.45,376.55,379.45,379.65,379.89,6162861,2341230379.9,46752.0,4736595.0,76.86
HINDUNILVR,EQ,03-Nov-2011,390.05,387.55,387.55,379.9,382.75,382.25,382.54,7187338,2749417148.65,53859.0,5136181.0,71.46
HINDUNILVR,EQ,02-Nov-2011,388.1,384.5,391.9,383.4,389.8,390.05,389.18,4872709,1896370314.75,50281.0,2095263.0,43.0
HINDUNILVR,EQ,01-Nov-2011,375.8,371.4,393.25,371.2,387.55,388.1,383.38,9174039,3517152067.15,92962.0,3523389.0,38.41
HINDUNILVR,EQ,31-Oct-2011,351.05,351.0,378.15,348.35,374.4,375.8,366.03,8016432,2934294483.75,81594.0,3283948.0,40.97
HINDUNILVR,EQ,28-Oct-2011,343.0,347.0,360.0,346.2,350.0,351.05,349.92,3480175,1217795901.1,50110.0,2843464.0,81.7
HINDUNILVR,EQ,26-Oct-2011,341.05,342.9,345.0,342.0,342.0,343.0,343.32,204684,70271589.1,2385.0,124745.0,60.95
HINDUNILVR,EQ,25-Oct-2011,336.9,339.35,345.0,334.8,343.15,341.05,339.86,3466500,1178139915.95,29887.0,2513343.0,72.5
HINDUNILVR,EQ,24-Oct-2011,326.1,330.0,338.5,328.0,337.5,336.9,335.62,2005654,673127642.2,22010.0,1456233.0,72.61
HINDUNILVR,EQ,24-Oct-2011,326.1,330.0,338.5,328.0,337.5,336.9,335.62,2005654,673127642.2,22010.0,1456233.0,72.61
HINDUNILVR,EQ,21-Oct-2011,330.45,331.9,332.25,325.2,327.2,326.1,328.76,1987414,653375120.35,26723.0,1454911.0,73.21
HINDUNILVR,EQ,20-Oct-2011,331.45,331.0,333.8,327.7,332.9,330.45,329.37,2261741,744958361.25,32022.0,1494780.0,66.09
HINDUNILVR,EQ,19-Oct-2011,329.45,330.15,334.0,327.85,333.7,331.45,330.34,2312230,763820524.35,33254.0,1780281.0,76.99
HINDUNILVR,EQ,18-Oct-2011,333.9,331.15,335.65,327.65,330.45,329.45,330.78,1184035,391657760.65,17469.0,756915.0,63.93
HINDUNILVR,EQ,17-Oct-2011,331.45,333.8,335.0,330.05,334.8,333.9,333.21,1310537,436682983.7,14800.0,915381.0,69.85
HINDUNILVR,EQ,14-Oct-2011,326.75,326.75,334.0,326.75,332.55,331.45,329.2,2841978,935576057.85,38134.0,2159714.0,75.99
HINDUNILVR,EQ,13-Oct-2011,329.35,329.1,332.5,324.15,326.7,326.75,327.25,1558110,509888473.35,35981.0,1067171.0,68.49
HINDUNILVR,EQ,12-Oct-2011,325.8,326.35,331.0,326.1,329.7,329.35,329.04,1512005,497507465.15,29480.0,1093226.0,72.3
HINDUNILVR,EQ,11-Oct-2011,331.15,334.0,334.0,324.55,327.0,325.8,328.75,1817839,597609252.8,23078.0,1297278.0,71.36
HINDUNILVR,EQ,10-Oct-2011,329.35,329.35,334.0,325.25,332.6,331.15,329.72,2980788,982839480.0,31019.0,2133463.0,71.57
HINDUNILVR,EQ,07-Oct-2011,321.9,328.0,331.65,325.05,330.15,329.35,327.61,2500289,819130702.85,46906.0,1775212.0,71.0
HINDUNILVR,EQ,05-Oct-2011,326.25,325.1,328.45,319.25,323.8,321.9,324.15,2867335,929448990.7,35782.0,1936461.0,67.54
HINDUNILVR,EQ,04-Oct-2011,334.15,333.0,337.0,322.8,326.5,326.25,328.77,2333503,767186901.35,20286.0,1738849.0,74.52
HINDUNILVR,EQ,03-Oct-2011,340.6,338.0,339.65,332.55,335.4,334.15,335.04,1403507,470226030.2,18242.0,893189.0,63.64
HINDUNILVR,EQ,30-Sep-2011,343.8,339.55,343.5,336.0,340.05,340.6,340.15,2909985,989834752.35,32978.0,2095199.0,72.0
HINDUNILVR,EQ,29-Sep-2011,334.75,334.0,347.0,332.1,339.85,343.8,340.97,3028674,1032688928.45,28905.0,1954547.0,64.53
HINDUNILVR,EQ,28-Sep-2011,338.8,339.9,339.9,332.8,334.05,334.75,336.28,2396557,805916135.75,36267.0,1699206.0,70.9
HINDUNILVR,EQ,27-Sep-2011,328.9,330.55,340.0,328.9,338.6,338.8,335.13,2548163,853961193.05,27346.0,1614625.0,63.36
HINDUNILVR,EQ,26-Sep-2011,331.15,331.9,331.9,324.65,327.5,328.9,328.14,1384504,454316179.4,17780.0,826332.0,59.68
HINDUNILVR,EQ,23-Sep-2011,331.9,330.1,335.75,328.0,329.75,331.15,332.28,2142263,711828487.4,24979.0,1324306.0,61.82
HINDUNILVR,EQ,22-Sep-2011,338.75,336.0,337.75,331.05,331.35,331.9,334.41,2452724,820225706.85,44548.0,1575179.0,64.22
HINDUNILVR,EQ,21-Sep-2011,343.0,342.25,345.45,335.0,338.6,338.75,339.0,2413225,818085579.95,32629.0,1634454.0,67.73
HINDUNILVR,EQ,20-Sep-2011,337.85,338.8,345.95,337.25,345.0,343.0,342.96,2015334,691173080.45,16688.0,1452696.0,72.08
HINDUNILVR,EQ,19-Sep-2011,339.35,339.5,340.0,335.2,338.0,337.85,337.2,1509561,509026688.5,14726.0,877623.0,58.14
HINDUNILVR,EQ,16-Sep-2011,349.25,347.25,351.35,336.85,340.1,339.35,340.78,4985062,1698796604.5,41768.0,3576341.0,71.74
HINDUNILVR,EQ,15-Sep-2011,352.6,354.5,354.8,346.1,350.0,349.25,349.21,3540391,1236346596.9,38361.0,2169232.0,61.27
HINDUNILVR,EQ,14-Sep-2011,341.35,342.85,353.95,337.55,353.65,352.6,347.52,3575382,1242523109.05,39280.0,2008527.0,56.18
HINDUNILVR,EQ,13-Sep-2011,346.0,346.75,347.85,340.15,342.0,341.35,343.6,3890429,1336759991.8,28484.0,2144269.0,55.12
HINDUNILVR,EQ,12-Sep-2011,333.15,329.6,348.5,329.6,345.3,346.0,343.64,4858629,1669598640.0,42989.0,2306433.0,47.47
HINDUNILVR,EQ,09-Sep-2011,324.75,325.15,338.0,325.0,333.2,333.15,334.09,5585928,1866186878.4,40793.0,3388773.0,60.67
HINDUNILVR,EQ,08-Sep-2011,320.5,320.35,327.4,318.8,326.95,324.75,321.87,3610242,1162013555.9,26049.0,2650346.0,73.41
HINDUNILVR,EQ,07-Sep-2011,320.0,320.0,322.5,318.35,320.2,320.5,320.11,2609747,835396619.25,26612.0,2071235.0,79.37
HINDUNILVR,EQ,06-Sep-2011,319.85,319.85,320.45,314.95,319.95,320.0,318.31,2156702,686501577.1,24885.0,1679229.0,77.86
HINDUNILVR,EQ,05-Sep-2011,320.0,321.4,321.4,316.7,319.75,319.85,319.55,1668142,533058723.3,16369.0,1240158.0,74.34
HINDUNILVR,EQ,02-Sep-2011,320.4,330.0,331.0,315.35,321.2,320.0,320.69,4706588,1509339170.65,46468.0,3767843.0,80.05
HINDUNILVR,EQ,30-Aug-2011,320.0,320.6,321.55,319.15,319.7,320.4,320.46,4291158,1375140228.0,21831.0,3368766.0,78.5
HINDUNILVR,EQ,29-Aug-2011,319.65,320.0,321.85,318.3,319.9,320.0,320.24,3558243,1139485644.85,18904.0,2876503.0,80.84
HINDUNILVR,EQ,26-Aug-2011,320.3,320.0,321.15,317.3,319.95,319.65,319.33,1486824,474787043.1,16389.0,1219824.0,82.04
HINDUNILVR,EQ,25-Aug-2011,319.7,320.55,324.45,319.0,319.5,320.3,320.84,7132173,2288284280.35,36411.0,5489205.0,76.96
HINDUNILVR,EQ,24-Aug-2011,318.15,318.3,321.6,315.6,319.4,319.7,319.68,2993047,956831079.4,36892.0,2204425.0,73.65
HINDUNILVR,EQ,23-Aug-2011,313.15,314.0,319.3,313.5,318.75,318.15,316.67,2782892,881253732.65,27102.0,2151780.0,77.32
HINDUNILVR,EQ,22-Aug-2011,315.7,315.95,316.15,312.55,313.25,313.15,313.81,1601337,502514671.75,11403.0,1053919.0,65.81
HINDUNILVR,EQ,19-Aug-2011,316.8,313.55,319.4,312.7,315.0,315.7,315.86,1724375,544660043.05,12382.0,920332.0,53.37
HINDUNILVR,EQ,18-Aug-2011,316.4,317.85,320.5,315.5,317.6,316.8,318.01,1425028,453166309.8,18984.0,800781.0,56.19
HINDUNILVR,EQ,17-Aug-2011,310.45,311.0,319.0,310.55,317.7,316.4,315.58,1950763,615617153.75,24556.0,1320269.0,67.68
HINDUNILVR,EQ,16-Aug-2011,315.05,316.0,316.0,309.6,311.95,310.45,312.79,2309861,722507903.6,19817.0,1712558.0,74.14
HINDUNILVR,EQ,12-Aug-2011,315.55,319.0,319.0,313.2,315.75,315.05,314.88,1844873,580917611.15,16335.0,1254220.0,67.98
HINDUNILVR,EQ,11-Aug-2011,316.3,317.4,317.4,314.6,315.9,315.55,316.12,1896062,599376228.8,16959.0,1522426.0,80.29
HINDUNILVR,EQ,10-Aug-2011,319.45,318.0,320.0,314.5,315.7,316.3,316.45,2655553,840361643.15,24439.0,1845372.0,69.49
HINDUNILVR,EQ,09-Aug-2011,319.7,314.0,322.8,310.65,319.4,319.45,318.62,2979527,949336960.95,25275.0,1753177.0,58.84
HINDUNILVR,EQ,09-Aug-2011,319.7,314.0,322.8,310.65,319.4,319.45,318.62,2979527,949336960.95,25275.0,1753177.0,58.84
HINDUNILVR,EQ,08-Aug-2011,318.85,311.25,321.3,308.55,320.65,319.7,316.19,5022498,1588063779.75,43578.0,3312223.0,65.95
HINDUNILVR,EQ,05-Aug-2011,319.2,315.0,320.5,312.1,317.0,318.85,315.71,2715088,857190076.2,26727.0,1738517.0,64.03
HINDUNILVR,EQ,04-Aug-2011,322.0,322.65,325.45,317.85,320.05,319.2,322.69,2150710,694012532.9,24049.0,1427732.0,66.38
HINDUNILVR,EQ,03-Aug-2011,323.75,320.5,323.45,317.0,322.0,322.0,321.62,2568934,826208539.4,24470.0,1713057.0,66.68
HINDUNILVR,EQ,02-Aug-2011,322.95,323.85,326.8,320.25,324.05,323.75,323.88,2364644,765851693.85,20555.0,1596860.0,67.53
HINDUNILVR,EQ,01-Aug-2011,324.0,325.5,327.3,321.6,322.7,322.95,324.12,1349396,437361071.2,18336.0,875668.0,64.89
HINDUNILVR,EQ,29-Jul-2011,322.85,325.7,327.0,319.45,325.0,324.0,323.94,3824366,1238877709.7,33037.0,3070375.0,80.28
HINDUNILVR,EQ,28-Jul-2011,326.0,325.85,329.2,320.05,323.05,322.85,325.01,9159189,2976852110.45,50152.0,5256553.0,57.39
HINDUNILVR,EQ,27-Jul-2011,327.45,329.3,329.3,322.1,326.15,326.0,326.01,1853575,604292974.6,25073.0,1165863.0,62.9
