"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
HINDZINC,EQ,30-Dec-2011,118.05,119.45,122.05,116.40,119.90,119.70,118.56,897464,106402562.9,10348.0,550736.0,61.37
HINDZINC,EQ,29-Dec-2011,119.15,118.80,120.10,116.90,118.90,118.05,118.65,304595,36139985.0,3495.0,142481.0,46.78
HINDZINC,EQ,28-Dec-2011,123.80,123.75,123.80,118.50,118.50,119.15,120.94,457883,55375894.55,5625.0,270593.0,59.1
HINDZINC,EQ,27-Dec-2011,123.50,123.90,125.45,120.85,122.80,123.80,123.41,320107,39503294.3,4511.0,156840.0,49.0
HINDZINC,EQ,26-Dec-2011,122.15,122.50,124.20,121.00,123.35,123.50,122.82,233860,28723105.35,3527.0,128072.0,54.76
HINDZINC,EQ,23-Dec-2011,122.55,124.80,124.80,121.00,121.00,122.15,122.74,274037,33634347.75,5442.0,136308.0,49.74
HINDZINC,EQ,22-Dec-2011,120.75,120.70,123.25,118.60,122.25,122.55,121.59,659955,80245855.35,6077.0,401186.0,60.79
HINDZINC,EQ,21-Dec-2011,117.40,118.80,121.50,117.80,121.00,120.75,119.67,425712,50944720.0,6793.0,268886.0,63.16
HINDZINC,EQ,20-Dec-2011,118.80,118.80,121.05,116.30,118.00,117.40,118.30,417304,49369061.95,8369.0,306444.0,73.43
HINDZINC,EQ,19-Dec-2011,117.10,116.75,120.35,113.95,120.00,118.80,116.58,377755,44038071.15,5779.0,228644.0,60.53
HINDZINC,EQ,16-Dec-2011,117.15,118.00,119.95,114.80,114.80,117.10,117.65,887471,104410526.55,7467.0,695204.0,78.34
HINDZINC,EQ,15-Dec-2011,119.40,118.75,118.75,114.45,117.50,117.15,116.61,349976,40810189.7,7096.0,170265.0,48.65
HINDZINC,EQ,14-Dec-2011,122.05,123.20,124.60,118.00,118.50,119.40,122.24,406308,49667647.1,8680.0,195235.0,48.05
HINDZINC,EQ,13-Dec-2011,121.35,120.20,123.40,118.70,122.35,122.05,120.24,262910,31611742.9,5540.0,116272.0,44.23
HINDZINC,EQ,12-Dec-2011,123.80,125.00,125.35,120.05,121.95,121.35,122.41,406611,49773556.7,6771.0,191693.0,47.14
HINDZINC,EQ,09-Dec-2011,124.10,122.60,124.85,120.60,124.00,123.80,122.45,675339,82694593.0,6761.0,345083.0,51.1
HINDZINC,EQ,08-Dec-2011,125.45,125.10,125.65,122.00,124.80,124.10,123.50,415440,51306213.75,8661.0,226807.0,54.59
HINDZINC,EQ,07-Dec-2011,127.45,128.50,128.90,124.75,125.20,125.45,126.29,565308,71392686.8,11259.0,308866.0,54.64
HINDZINC,EQ,05-Dec-2011,125.90,125.50,129.40,125.20,127.55,127.45,127.58,719301,91770883.95,10853.0,348579.0,48.46
HINDZINC,EQ,02-Dec-2011,125.60,125.90,126.50,123.95,125.60,125.90,125.77,643700,80956623.0,5741.0,359817.0,55.9
HINDZINC,EQ,01-Dec-2011,119.15,123.00,126.95,121.60,125.75,125.60,125.15,1559333,195156797.65,21413.0,834273.0,53.5
HINDZINC,EQ,30-Nov-2011,115.65,115.20,120.90,113.75,120.00,119.15,117.34,277883,32607585.65,3219.0,168026.0,60.47
HINDZINC,EQ,29-Nov-2011,116.85,117.00,118.35,114.90,116.00,115.65,116.07,292629,33965835.75,5532.0,96668.0,33.03
HINDZINC,EQ,28-Nov-2011,113.15,116.90,119.80,114.50,117.00,116.85,116.14,361658,42002536.7,4402.0,125624.0,34.74
HINDZINC,EQ,25-Nov-2011,111.25,111.00,115.60,110.20,115.00,113.15,112.10,319385,35803732.05,4717.0,187750.0,58.78
HINDZINC,EQ,24-Nov-2011,110.25,110.00,112.75,109.00,111.00,111.25,110.85,205744,22805989.15,2997.0,98831.0,48.04
HINDZINC,EQ,23-Nov-2011,113.15,112.55,113.50,109.70,110.15,110.25,110.93,320261,35526399.3,6556.0,170498.0,53.24
HINDZINC,EQ,22-Nov-2011,111.00,111.15,114.80,109.00,114.00,113.15,111.98,443958,49715878.6,6400.0,204602.0,46.09
