"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
HONASA,EQ,28-Dec-2023,461.5,465.0,472.95,447.1,456.5,461.4,458.82,1957593,898185292.85,55854,1063650.0,54.33
HONASA,EQ,27-Dec-2023,436.5,436.5,469.0,431.95,458.55,461.5,457.11,1899641,868342608.45,45311,881386.0,46.4
HONASA,EQ,26-Dec-2023,425.3,430.0,443.0,430.0,436.15,436.5,437.05,956054,417841569.7,20471,531355.0,55.58
HONASA,EQ,22-Dec-2023,412.55,410.05,443.75,410.05,422.65,425.3,432.71,3020835,1307137635.05,75641,1792949.0,59.35
HONASA,EQ,21-Dec-2023,405.75,391.0,414.35,390.05,411.85,412.55,408.6,673335,275122072.05,23661,368607.0,54.74
HONASA,EQ,20-Dec-2023,420.7,425.0,429.9,393.55,404.1,405.75,409.07,1099357,449717054.3,26459,522690.0,47.55
HONASA,EQ,19-Dec-2023,409.1,409.95,422.0,405.55,421.0,420.7,416.39,952233,396498151.35,16762,509387.0,53.49
HONASA,EQ,18-Dec-2023,406.55,408.15,411.45,398.15,407.25,409.1,404.5,657102,265799471.35,12546,185989.0,28.3
HONASA,EQ,15-Dec-2023,385.2,388.3,412.3,388.3,405.1,406.55,403.75,1604061,647637137.15,31778,771352.0,48.09
HONASA,EQ,14-Dec-2023,387.45,394.5,398.95,382.2,385.8,385.2,387.8,1108971,430062820.7,17239,431969.0,38.95
HONASA,EQ,13-Dec-2023,416.75,417.95,420.9,385.0,388.9,387.45,397.81,994283,395531215.65,20312,496934.0,49.98
HONASA,EQ,12-Dec-2023,406.55,410.0,424.5,408.0,415.9,416.75,417.12,1140391,475676950.5,17223,569728.0,49.96
HONASA,EQ,11-Dec-2023,399.95,402.0,410.0,396.3,409.6,406.55,403.96,1013316,409343118.65,41120,636472.0,62.81
HONASA,EQ,08-Dec-2023,390.3,394.0,412.0,386.1,399.05,399.95,400.36,1696410,679171034.8,31062,678087.0,39.97
HONASA,EQ,07-Dec-2023,380.95,381.95,393.65,376.55,390.0,390.3,387.27,1105102,427977313.45,18669,561053.0,50.77
HONASA,EQ,06-Dec-2023,363.4,370.0,384.95,364.8,380.5,380.95,376.45,1755626,660909851.7,26867,647166.0,36.86
HONASA,EQ,05-Dec-2023,384.1,379.8,406.0,358.0,367.15,363.4,379.18,10031089,3803565315.7,42651,7564940.0,75.41
HONASA,EQ,04-Dec-2023,400.2,405.4,410.0,381.0,384.8,384.1,388.21,1362126,528793931.5,30020,946729.0,69.5
HONASA,EQ,01-Dec-2023,416.95,409.0,412.45,395.3,397.0,400.2,404.72,739138,299147496.6,26896,418050.0,56.56
HONASA,EQ,30-Nov-2023,426.25,420.05,425.9,405.1,410.0,416.95,415.4,2802025,1163956526.65,76485,1890154.0,67.46
HONASA,EQ,29-Nov-2023,445.15,443.0,443.2,420.2,423.0,426.25,427.94,2036454,871470069.9,57372,1056397.0,51.87
HONASA,EQ,28-Nov-2023,475.1,469.05,469.7,440.2,443.2,445.15,452.23,2914048,1317807854.35,39849,1486838.0,51.02
HONASA,EQ,24-Nov-2023,423.75,456.0,486.15,442.85,477.1,475.1,468.83,22452906,10526495519.9,330583,2621898.0,11.68
HONASA,EQ,23-Nov-2023,353.15,387.95,423.75,371.4,423.75,423.75,402.37,9880412,3975538762.65,81894,2357192.0,23.86
