"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
HUDCO,EQ,29-Dec-2017,82.55,82.70,83.85,82.30,82.50,82.50,83.00,3663212,304060475.9,13264,1893232.0,51.68
HUDCO,EQ,28-Dec-2017,81.60,81.90,83.40,81.30,82.50,82.55,82.52,3549147,292892021.8,15740,1566312.0,44.13
HUDCO,EQ,27-Dec-2017,81.30,81.45,83.20,81.00,81.60,81.60,81.85,3692029,302201325.45,12059,1368863.0,37.08
HUDCO,EQ,26-Dec-2017,80.85,81.00,81.75,80.40,81.40,81.30,81.07,1950783,158142499.4,8374,903529.0,46.32
HUDCO,EQ,22-Dec-2017,80.70,80.95,81.80,80.60,80.75,80.85,81.15,2107526,171017233.65,8507,808317.0,38.35
HUDCO,EQ,21-Dec-2017,80.15,80.30,81.75,79.85,80.90,80.70,80.89,3001590,242794483.0,11322,1128564.0,37.60
HUDCO,EQ,20-Dec-2017,79.80,79.80,80.85,79.65,80.10,80.15,80.21,1863215,149454473.25,7698,797743.0,42.82
HUDCO,EQ,19-Dec-2017,78.50,78.70,80.45,78.70,79.80,79.80,79.86,2430240,194082475.2,10221,1138719.0,46.86
HUDCO,EQ,18-Dec-2017,78.45,78.40,79.85,76.05,78.70,78.50,78.53,1792353,140744597.7,8609,731781.0,40.83
HUDCO,EQ,15-Dec-2017,78.00,78.95,79.25,78.25,78.50,78.45,78.73,1125755,88628897.0,6836,579433.0,51.47
HUDCO,EQ,14-Dec-2017,78.20,78.60,78.65,77.20,78.20,78.00,77.80,1434765,111617748.35,7828,716705.0,49.95
HUDCO,EQ,13-Dec-2017,79.10,79.25,79.65,77.90,78.25,78.20,78.82,1241887,97886043.85,6688,578610.0,46.59
HUDCO,EQ,12-Dec-2017,79.85,79.95,80.40,79.00,79.15,79.10,79.44,1409847,111992882.0,6656,739280.0,52.44
HUDCO,EQ,11-Dec-2017,80.00,80.90,80.90,79.35,79.95,79.85,80.12,1402699,112387896.85,6190,634734.0,45.25
