"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ICICIAMC,EQ,26-Dec-2025,"2,640.60","2,640.00","2,648.00","2,601.00","2,632.00","2,629.80","2,628.00",689912,1813091044.0,82264,333789,48.38
ICICIAMC,EQ,24-Dec-2025,"2,609.50","2,610.00","2,665.00","2,606.60","2,637.10","2,640.60","2,642.89",2419891,6395498659.8,219880,1356511,56.06
ICICIAMC,EQ,23-Dec-2025,"2,610.00","2,613.00","2,630.00","2,588.00","2,605.00","2,609.50","2,608.36",1373947,3583751576.9,157665,890130,64.79
ICICIAMC,EQ,22-Dec-2025,"2,585.90","2,579.90","2,646.50","2,530.00","2,609.00","2,610.00","2,604.14",5056617,13168156946.6,462060,2516169,49.76
ICICIAMC,EQ,19-Dec-2025,"2,165.00","2,600.00","2,663.40","2,575.00","2,576.20","2,585.90","2,609.46",31422557,81996045081.5,2403147,22254057,70.82
ICICIAMC,EQ,17-Apr-2026,"3,294.60","3,304.00","3,380.00","3,260.00","3,329.90","3,338.90","3,343.08",647654,2165162188.3,41326,365767,56.48
ICICIAMC,EQ,16-Apr-2026,"3,221.00","3,247.00","3,309.00","3,212.10","3,295.00","3,294.60","3,250.98",816006,2652817078.8,33855,484940,59.43
ICICIAMC,EQ,15-Apr-2026,"3,353.50","3,380.00","3,397.00","3,175.10","3,225.10","3,221.00","3,222.82",2401037,7738119824.3,182988,1244722,51.84
ICICIAMC,EQ,13-Apr-2026,"3,385.50","3,348.60","3,400.20","3,275.00","3,353.00","3,353.50","3,361.69",544470,1830340160.4,46479,306167,56.23
ICICIAMC,EQ,10-Apr-2026,"3,251.10","3,275.00","3,430.00","3,192.00","3,400.00","3,385.50","3,318.10",902003,2992934229.8,68149,467372,51.81
ICICIAMC,EQ,09-Apr-2026,"3,123.70","3,159.40","3,275.00","3,130.20","3,262.00","3,251.10","3,223.45",1193723,3847910386.9,66181,796039,66.69
ICICIAMC,EQ,08-Apr-2026,"3,010.30","3,173.70","3,189.00","3,095.00","3,140.00","3,123.70","3,134.32",1032494,3236167485.5,63590,632081,61.22
ICICIAMC,EQ,07-Apr-2026,"2,905.50","2,903.00","3,055.00","2,882.30","3,050.00","3,010.30","2,957.54",460850,1362981745.2,45026,241142,52.33
ICICIAMC,EQ,06-Apr-2026,"2,844.30","2,831.50","2,934.00","2,796.80","2,910.00","2,905.50","2,877.93",439271,1264189317.7,61519,194114,44.19
ICICIAMC,EQ,02-Apr-2026,"2,857.00","2,841.40","2,871.50","2,742.00","2,836.00","2,844.30","2,826.30",531617,1502511378.1,46510,303665,57.12
ICICIAMC,EQ,01-Apr-2026,"2,801.50","2,875.90","2,894.00","2,758.80","2,851.00","2,857.00","2,827.84",557898,1577643555.0,53959,247093,44.29
ICICIAMC,EQ,30-Mar-2026,"2,874.20","2,818.00","2,874.00","2,738.00","2,846.00","2,801.50","2,776.10",331535,920374068.2,36848,147924,44.62
ICICIAMC,EQ,27-Mar-2026,"2,901.30","2,871.00","2,907.00","2,820.70","2,849.90","2,874.20","2,877.73",689368,1983814974.9,38101,491585,71.31
ICICIAMC,EQ,25-Mar-2026,"2,793.30","2,810.00","2,913.30","2,800.10","2,902.00","2,901.30","2,887.80",447353,1291865790.3,39566,277251,61.98
ICICIAMC,EQ,24-Mar-2026,"2,690.30","2,768.00","2,807.60","2,680.40","2,798.00","2,793.30","2,738.53",419686,1149324766.1,41207,230648,54.96
ICICIAMC,EQ,23-Mar-2026,"2,804.00","2,763.00","2,774.50","2,651.00","2,713.00","2,690.30","2,681.79",467336,1253297459.3,56076,340353,72.83
ICICIAMC,EQ,20-Mar-2026,"2,820.00","2,860.00","2,879.70","2,790.50","2,800.00","2,804.00","2,829.25",336772,952811111.7,30341,190879,56.68
ICICIAMC,EQ,19-Mar-2026,"3,019.90","2,953.50","2,974.30","2,804.70","2,828.00","2,820.00","2,875.28",395888,1138288766.7,37161,249646,63.06
ICICIAMC,EQ,18-Mar-2026,"2,963.00","2,972.00","3,029.90","2,942.00","3,020.00","3,019.90","2,999.69",280131,840306598.3,20930,164260,58.64
ICICIAMC,EQ,17-Mar-2026,"2,884.00","2,880.00","3,008.60","2,826.00","2,970.00","2,963.00","2,897.53",948316,2747770400.0,66932,634075,66.86
ICICIAMC,EQ,16-Mar-2026,"2,879.70","2,853.10","2,903.60","2,819.70","2,883.10","2,884.00","2,869.05",248858,713987195.3,34922,134470,54.03
ICICIAMC,EQ,13-Mar-2026,"2,936.30","2,925.00","3,003.00","2,845.00","2,879.70","2,879.70","2,881.07",795166,2290932540.5,58227,618800,77.82
ICICIAMC,EQ,12-Mar-2026,"3,000.20","2,987.00","2,990.00","2,905.00","2,936.40","2,936.30","2,933.21",630631,1849773968.1,68910,468030,74.22
ICICIAMC,EQ,11-Mar-2026,"3,083.80","3,052.20","3,089.00","2,995.00","3,003.00","3,000.20","3,014.60",280972,847018694.4,25191,199949,71.16
ICICIAMC,EQ,10-Mar-2026,"2,907.00","2,953.00","3,094.90","2,932.00","3,080.00","3,083.80","3,028.02",357479,1082455225.0,60228,155268,43.43
ICICIAMC,EQ,09-Mar-2026,"2,997.40","2,907.00","2,935.70","2,855.10","2,907.00","2,907.00","2,904.69",481704,1399202295.0,62707,295226,61.29
ICICIAMC,EQ,06-Mar-2026,"3,008.20","2,995.20","3,023.00","2,977.20","2,999.00","2,997.40","2,999.40",343835,1031297123.4,37642,247704,72.04
ICICIAMC,EQ,05-Mar-2026,"2,992.70","3,028.40","3,050.00","2,985.00","3,005.00","3,008.20","3,010.70",247006,743662125.6,39562,162029,65.6
ICICIAMC,EQ,04-Mar-2026,"3,090.10","3,070.00","3,071.00","2,902.50","2,990.10","2,992.70","2,989.04",537155,1605575656.8,64340,316171,58.86
ICICIAMC,EQ,02-Mar-2026,"3,112.10","3,000.00","3,105.00","2,999.10","3,090.00","3,090.10","3,073.03",308669,948549759.7,38509,196222,63.57
ICICIAMC,EQ,27-Feb-2026,"3,113.20","3,116.90","3,127.90","3,069.10","3,107.70","3,112.10","3,103.78",270097,838321274.9,38297,152235,56.36
ICICIAMC,EQ,26-Feb-2026,"3,108.50","3,101.00","3,133.90","3,050.40","3,120.00","3,113.20","3,094.79",267073,826534868.6,43159,179248,67.12
ICICIAMC,EQ,25-Feb-2026,"3,150.00","3,193.00","3,193.00","3,089.00","3,092.00","3,108.50","3,149.96",329355,1037453911.4,40133,207176,62.9
ICICIAMC,EQ,24-Feb-2026,"3,131.00","3,144.00","3,172.00","3,111.10","3,151.00","3,150.00","3,149.26",522517,1645541591.2,32667,412543,78.95
ICICIAMC,EQ,23-Feb-2026,"3,023.80","3,030.00","3,149.90","2,992.30","3,120.00","3,131.00","3,097.38",285371,883902438.2,44224,137257,48.1
ICICIAMC,EQ,20-Feb-2026,"3,026.20","3,011.10","3,059.90","3,000.00","3,021.70","3,023.80","3,031.04",204508,619871092.9,25325,125528,61.38
ICICIAMC,EQ,19-Feb-2026,"3,074.60","3,059.00","3,084.60","3,006.00","3,014.00","3,026.20","3,033.88",172893,524536070.1,25097,86883,50.25
ICICIAMC,EQ,18-Feb-2026,"3,008.80","3,014.90","3,085.00","2,992.00","3,066.90","3,074.60","3,054.39",216495,661260418.2,30666,105361,48.67
ICICIAMC,EQ,17-Feb-2026,"3,046.00","3,059.90","3,059.90","2,991.90","3,007.50","3,008.80","3,011.38",186612,561959038.6,30206,98589,52.83
ICICIAMC,EQ,16-Feb-2026,"3,008.30","3,009.00","3,064.00","2,936.40","3,050.00","3,046.00","3,016.10",230681,695756396.5,31117,112229,48.65
ICICIAMC,EQ,13-Feb-2026,"3,108.50","3,060.20","3,079.90","2,974.80","3,010.00","3,008.30","3,006.81",568474,1709290547.2,81137,377739,66.45
ICICIAMC,EQ,12-Feb-2026,"3,045.20","3,054.90","3,150.60","3,033.00","3,109.00","3,108.50","3,097.00",671895,2080856108.7,57957,403686,60.08
ICICIAMC,EQ,11-Feb-2026,"3,057.10","3,065.00","3,086.90","3,032.00","3,050.00","3,045.20","3,048.83",434269,1324012286.7,33322,330013,75.99
ICICIAMC,EQ,10-Feb-2026,"3,018.40","3,050.00","3,090.00","3,006.20","3,060.00","3,057.10","3,050.82",215393,657126081.5,34562,104163,48.36
ICICIAMC,EQ,09-Feb-2026,"3,060.60","3,060.60","3,075.10","2,966.30","3,015.00","3,018.40","3,009.75",413802,1245440318.2,52703,226963,54.85
ICICIAMC,EQ,06-Feb-2026,"3,098.60","3,114.00","3,122.70","3,040.10","3,053.00","3,060.60","3,062.64",208351,638104849.2,28774,131846,63.28
ICICIAMC,EQ,05-Feb-2026,"3,055.40","3,061.00","3,129.00","3,020.90","3,096.00","3,098.60","3,096.99",532341,1648654824.2,41930,353305,66.37
ICICIAMC,EQ,04-Feb-2026,"3,061.30","3,119.80","3,119.80","3,040.00","3,048.00","3,055.40","3,065.52",549033,1683072407.7,51858,392550,71.5
ICICIAMC,EQ,03-Feb-2026,"2,931.90","3,030.00","3,131.00","3,030.00","3,062.90","3,061.30","3,084.16",1018940,3142574309.5,100046,683715,67.1
ICICIAMC,EQ,02-Feb-2026,"2,927.10","2,900.00","2,949.90","2,863.00","2,938.00","2,931.90","2,906.70",193016,561039822.1,25263,120893,62.63
ICICIAMC,EQ,01-Feb-2026,"2,972.60","2,971.90","2,971.90","2,883.00","2,920.00","2,927.10","2,913.40",155030,451663674.0,21269,71151,45.89
ICICIAMC,EQ,30-Jan-2026,"2,913.80","2,914.70","3,012.00","2,872.10","2,948.00","2,972.60","2,947.93",658235,1940429263.1,62012,399449,60.68
ICICIAMC,EQ,29-Jan-2026,"2,829.00","2,829.00","2,942.80","2,820.10","2,907.40","2,913.80","2,897.75",363609,1053646669.6,41582,187800,51.65
ICICIAMC,EQ,28-Jan-2026,"2,707.10","2,734.10","2,860.00","2,715.00","2,840.00","2,829.00","2,802.89",436274,1222828944.5,43593,235822,54.05
ICICIAMC,EQ,27-Jan-2026,"2,776.90","2,830.00","2,830.10","2,692.10","2,716.00","2,707.10","2,731.38",517433,1413308489.5,45583,237389,45.88
ICICIAMC,EQ,23-Jan-2026,"2,783.10","2,765.00","2,815.60","2,750.10","2,768.00","2,776.90","2,785.38",397935,1108401031.8,25303,219982,55.28
ICICIAMC,EQ,22-Jan-2026,"2,843.30","2,868.00","2,895.00","2,769.90","2,774.40","2,783.10","2,808.64",441528,1240092620.9,42720,225971,51.18
ICICIAMC,EQ,21-Jan-2026,"2,827.90","2,810.00","2,850.00","2,731.30","2,847.00","2,843.30","2,792.97",556931,1555493349.5,45531,204752,36.76
ICICIAMC,EQ,20-Jan-2026,"2,922.10","2,922.00","2,922.00","2,790.00","2,827.00","2,827.90","2,831.61",420807,1191559885.7,32986,163204,38.78
ICICIAMC,EQ,19-Jan-2026,"2,935.50","2,937.00","2,977.70","2,855.00","2,910.00","2,922.10","2,929.31",567969,1663759153.0,49369,227431,40.04
ICICIAMC,EQ,16-Jan-2026,"2,736.00","2,810.00","2,972.00","2,782.50","2,932.50","2,935.50","2,898.53",2826103,8191530488.9,218164,965107,34.15
ICICIAMC,EQ,14-Jan-2026,"2,671.80","2,665.00","2,749.00","2,660.00","2,729.00","2,736.00","2,708.00",551849,1494407756.5,49978,303128,54.93
ICICIAMC,EQ,13-Jan-2026,"2,629.40","2,622.00","2,682.50","2,614.10","2,673.00","2,671.80","2,634.19",529889,1395826316.3,30244,334048,63.04
ICICIAMC,EQ,12-Jan-2026,"2,664.80","2,649.10","2,649.10","2,587.00","2,630.00","2,629.40","2,619.48",680295,1782019781.3,48390,435708,64.05
ICICIAMC,EQ,09-Jan-2026,"2,718.40","2,705.00","2,717.20","2,629.20","2,660.50","2,664.80","2,663.34",551374,1468496554.5,65847,315424,57.21
ICICIAMC,EQ,08-Jan-2026,"2,695.70","2,699.70","2,725.20","2,681.00","2,716.10","2,718.40","2,708.77",626658,1697473299.8,62192,447076,71.34
ICICIAMC,EQ,07-Jan-2026,"2,695.60","2,695.00","2,719.00","2,680.10","2,696.00","2,695.70","2,699.26",369458,997261839.1,44108,247859,67.09
ICICIAMC,EQ,06-Jan-2026,"2,677.70","2,648.00","2,703.30","2,648.00","2,689.00","2,695.60","2,687.99",512484,1377550739.6,54418,265775,51.86
ICICIAMC,EQ,05-Jan-2026,"2,662.20","2,658.60","2,684.50","2,624.20","2,673.00","2,677.70","2,657.55",536132,1424798715.3,48020,320156,59.72
ICICIAMC,EQ,02-Jan-2026,"2,631.80","2,632.00","2,684.00","2,624.00","2,658.50","2,662.20","2,653.09",752687,1996943775.5,45414,539194,71.64
ICICIAMC,EQ,01-Jan-2026,"2,661.10","2,660.00","2,665.00","2,613.40","2,624.90","2,631.80","2,642.92",366321,968157870.3,22504,228833,62.47
ICICIAMC,EQ,31-Dec-2025,"2,641.30","2,641.90","2,678.00","2,641.00","2,650.00","2,661.10","2,664.78",714252,1903327894.4,86047,446029,62.45
ICICIAMC,EQ,30-Dec-2025,"2,658.90","2,649.00","2,658.00","2,625.30","2,640.50","2,641.30","2,643.24",437805,1157224328.0,51775,222330,50.78
ICICIAMC,EQ,29-Dec-2025,"2,629.80","2,630.00","2,689.00","2,616.90","2,646.80","2,658.90","2,660.26",1181473,3143030386.5,95708,566933,47.99
