"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ICICIBANK,EQ,30-Dec-2011,685.95,690.35,699.80,680.60,683.70,684.65,690.84,2546166,1758984488.05,63275.0,537368.0,21.1
ICICIBANK,EQ,29-Dec-2011,697.35,691.40,701.00,677.20,680.85,685.95,690.44,4860118,3355643120.4,90341.0,1981928.0,40.78
ICICIBANK,EQ,28-Dec-2011,726.10,720.70,720.80,694.35,695.15,697.35,703.75,3731427,2625973153.7,87820.0,1279256.0,34.28
ICICIBANK,EQ,27-Dec-2011,729.60,727.10,734.00,721.35,722.95,726.10,726.56,3280754,2383672270.7,60287.0,1512571.0,46.1
ICICIBANK,EQ,26-Dec-2011,721.75,721.00,734.70,719.05,727.15,729.60,729.09,2573228,1876106947.95,68290.0,699060.0,27.17
ICICIBANK,EQ,23-Dec-2011,728.15,728.40,734.40,714.30,721.00,721.75,724.00,5543359,4013378314.85,103846.0,2008407.0,36.23
ICICIBANK,EQ,22-Dec-2011,702.35,690.00,741.00,683.60,719.00,728.15,708.17,8809539,6238638569.1,142145.0,3489270.0,39.61
ICICIBANK,EQ,21-Dec-2011,653.40,675.90,709.00,671.65,703.50,702.35,691.64,7996492,5530657582.9,128064.0,3561781.0,44.54
ICICIBANK,EQ,20-Dec-2011,657.20,662.00,671.00,648.15,654.40,653.40,657.30,4702588,3091015171.9,95349.0,1301393.0,27.67
ICICIBANK,EQ,19-Dec-2011,676.00,672.00,672.00,641.00,655.90,657.20,651.48,6197679,4037635524.2,125630.0,2552643.0,41.19
ICICIBANK,EQ,16-Dec-2011,698.60,699.20,715.00,664.85,672.70,676.00,693.65,7712758,5349975948.0,139020.0,2879809.0,37.34
ICICIBANK,EQ,15-Dec-2011,704.40,698.00,705.90,689.05,698.05,698.60,697.41,5036729,3512686103.25,132009.0,2072267.0,41.14
ICICIBANK,EQ,14-Dec-2011,706.45,700.00,717.00,693.40,706.00,704.40,705.97,8219622,5802768542.0,154137.0,3562625.0,43.34
ICICIBANK,EQ,13-Dec-2011,707.10,700.00,712.50,690.15,709.30,706.45,701.16,5961621,4180068589.4,152643.0,2088801.0,35.04
ICICIBANK,EQ,12-Dec-2011,731.15,744.00,744.00,704.10,706.55,707.10,719.14,5670337,4077750205.25,113052.0,2666017.0,47.02
ICICIBANK,EQ,09-Dec-2011,744.30,731.00,741.95,722.10,733.60,731.15,732.61,7491358,5488244482.35,146150.0,3263943.0,43.57
