"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
IFCI,EQ,30-Dec-2011,23.65,23.4,23.45,21.6,21.75,21.85,22.46,30754576,690762309.05,64940.0,6056792.0,19.69
IFCI,EQ,29-Dec-2011,25.35,25.2,27.2,22.5,22.95,23.65,24.83,78771916,1955990394.8,91977.0,21252187.0,26.98
IFCI,EQ,28-Dec-2011,23.8,23.7,25.45,23.25,25.35,25.35,24.49,27096962,663477946.15,46944.0,6214090.0,22.93
IFCI,EQ,27-Dec-2011,23.55,23.7,24.0,22.85,23.95,23.8,23.47,18658492,437854266.85,38372.0,2388132.0,12.8
IFCI,EQ,26-Dec-2011,22.0,22.0,23.75,22.0,23.5,23.55,23.09,16421482,379236833.05,38826.0,3288999.0,20.03
IFCI,EQ,23-Dec-2011,21.2,21.5,22.45,21.3,22.45,22.0,21.79,15125853,329545845.1,35010.0,3242947.0,21.44
IFCI,EQ,22-Dec-2011,20.7,20.4,21.5,19.85,21.2,21.2,20.58,11781754,242492198.05,28349.0,1812963.0,15.39
IFCI,EQ,21-Dec-2011,19.8,20.5,20.85,20.0,20.75,20.7,20.4,11346825,231445547.7,24960.0,2551108.0,22.48
IFCI,EQ,20-Dec-2011,20.4,20.5,20.75,19.65,19.8,19.8,20.03,10978232,219892961.3,25260.0,2962764.0,26.99
IFCI,EQ,19-Dec-2011,20.85,20.7,20.75,19.9,20.25,20.4,20.3,10093614,204923353.05,28783.0,2962844.0,29.35
IFCI,EQ,16-Dec-2011,21.55,21.9,22.25,20.65,20.9,20.85,21.58,13339611,287858612.05,29037.0,2966147.0,22.24
IFCI,EQ,15-Dec-2011,21.9,21.7,21.8,21.0,21.65,21.55,21.41,11434531,244834854.55,31708.0,2168111.0,18.96
IFCI,EQ,14-Dec-2011,22.7,22.95,22.95,21.65,21.75,21.9,22.16,14138622,313318818.1,30469.0,2845194.0,20.12
IFCI,EQ,13-Dec-2011,22.5,22.0,22.95,21.85,22.95,22.7,22.37,10362997,231850592.75,28085.0,1803445.0,17.4
IFCI,EQ,12-Dec-2011,24.25,24.95,24.95,22.3,22.4,22.5,23.19,16374458,379790511.95,34726.0,4228981.0,25.83
IFCI,EQ,09-Dec-2011,24.4,24.75,24.9,23.55,24.1,24.25,24.13,13358305,322400189.45,28788.0,2025023.0,15.16
IFCI,EQ,08-Dec-2011,25.7,25.7,25.75,24.15,24.35,24.4,24.67,14210194,350593145.5,37862.0,2311511.0,16.27
IFCI,EQ,07-Dec-2011,25.2,25.3,26.2,25.25,25.65,25.7,25.83,16849560,435262117.75,38666.0,2692617.0,15.98
IFCI,EQ,05-Dec-2011,24.25,24.5,25.7,23.75,25.25,25.2,25.16,23785606,598333235.35,43666.0,3751644.0,15.77
IFCI,EQ,02-Dec-2011,23.6,23.15,24.4,23.1,24.35,24.25,23.78,12027454,286064273.65,32982.0,3293182.0,27.38
IFCI,EQ,01-Dec-2011,23.05,23.55,24.5,23.2,23.45,23.6,23.77,11406386,271161142.65,25217.0,2165561.0,18.99
IFCI,EQ,30-Nov-2011,23.4,23.15,23.75,22.8,23.1,23.05,23.17,13157399,304793717.85,30087.0,1501489.0,11.41
IFCI,EQ,29-Nov-2011,23.9,23.2,24.45,23.2,23.3,23.4,23.69,11901856,281901603.3,31179.0,1446119.0,12.15
IFCI,EQ,28-Nov-2011,22.75,23.4,24.05,23.1,23.95,23.9,23.65,11373965,269049539.95,23119.0,2441045.0,21.46
IFCI,EQ,25-Nov-2011,24.3,23.45,23.75,22.55,22.85,22.75,23.11,17108004,395311165.9,35446.0,3074606.0,17.97
IFCI,EQ,24-Nov-2011,21.45,22.0,25.45,20.75,23.8,24.3,22.96,41272081,947486116.0,49701.0,9956537.0,24.12
IFCI,EQ,23-Nov-2011,22.25,22.3,22.3,21.0,21.55,21.45,21.39,14417510,308456625.25,27086.0,4025319.0,27.92
IFCI,EQ,22-Nov-2011,21.55,21.55,22.7,21.5,22.35,22.25,22.23,13287959,295381172.9,29462.0,3656458.0,27.52
IFCI,EQ,21-Nov-2011,23.25,23.0,23.3,21.35,21.4,21.55,22.21,15633818,347191567.55,39224.0,5414697.0,34.63
IFCI,EQ,18-Nov-2011,25.35,25.0,25.2,22.75,23.25,23.25,23.77,21585649,513150499.75,44230.0,8303119.0,38.47
IFCI,EQ,17-Nov-2011,26.75,26.75,27.0,25.1,25.25,25.35,26.21,8591230,225158117.8,24056.0,2750949.0,32.02
IFCI,EQ,16-Nov-2011,27.85,27.7,28.1,26.5,26.8,26.75,27.1,11468083,310836835.1,31766.0,3372821.0,29.41
IFCI,EQ,15-Nov-2011,29.0,28.9,29.25,27.6,27.8,27.85,28.43,7041817,200226961.95,20682.0,2290081.0,32.52
IFCI,EQ,14-Nov-2011,30.5,30.9,31.2,28.7,28.7,29.0,29.88,8326636,248838827.6,24758.0,2053778.0,24.67
IFCI,EQ,11-Nov-2011,31.1,31.05,31.05,30.25,30.7,30.5,30.6,5364860,164157305.2,14233.0,1115696.0,20.8
IFCI,EQ,09-Nov-2011,32.0,32.3,32.3,30.95,31.2,31.1,31.57,5414242,170933610.4,12590.0,1324515.0,24.46
IFCI,EQ,08-Nov-2011,32.2,32.45,32.5,31.5,31.95,32.0,31.9,4815737,153601048.45,14593.0,929057.0,19.29
IFCI,EQ,04-Nov-2011,32.05,32.3,32.7,31.85,32.2,32.2,32.25,5260277,169662685.15,12346.0,1109541.0,21.09
IFCI,EQ,03-Nov-2011,32.0,31.95,32.3,31.55,32.2,32.05,31.89,5758320,183622304.1,16352.0,692094.0,12.02
IFCI,EQ,02-Nov-2011,31.7,31.5,32.55,31.15,32.1,32.0,31.96,9520156,304296462.4,23658.0,1599707.0,16.8
IFCI,EQ,01-Nov-2011,32.95,29.85,33.0,29.85,31.7,31.7,32.05,7471177,239446339.2,18909.0,1877664.0,25.13
IFCI,EQ,31-Oct-2011,32.4,32.4,33.3,32.0,32.9,32.95,32.74,10393415,340284261.85,24136.0,2409369.0,23.18
IFCI,EQ,28-Oct-2011,31.0,31.8,32.75,31.5,32.5,32.4,32.22,12769893,411468804.9,27788.0,4366060.0,34.19
IFCI,EQ,26-Oct-2011,30.55,31.0,31.3,30.8,31.05,31.0,31.0,3559043,110328221.95,10854.0,1331049.0,37.4
IFCI,EQ,25-Oct-2011,29.85,29.85,31.0,29.4,31.0,30.55,30.15,11405897,343939938.95,21481.0,4711489.0,41.31
IFCI,EQ,24-Oct-2011,30.2,30.6,30.9,29.75,29.85,29.85,30.33,4549241,137963008.3,12784.0,1624697.0,35.71
IFCI,EQ,24-Oct-2011,30.2,30.6,30.9,29.75,29.85,29.85,30.33,4549241,137963008.3,12784.0,1624697.0,35.71
IFCI,EQ,21-Oct-2011,31.0,37.2,37.2,30.05,30.2,30.2,30.74,5169749,158935423.8,15597.0,1275970.0,24.68
IFCI,EQ,20-Oct-2011,31.55,31.15,31.4,30.55,30.9,31.0,30.92,5125222,158454051.5,15144.0,1047759.0,20.44
IFCI,EQ,19-Oct-2011,30.7,31.25,31.75,30.9,31.6,31.55,31.3,4685605,146675515.5,15645.0,1340580.0,28.61
IFCI,EQ,18-Oct-2011,31.7,31.1,31.25,30.15,30.7,30.7,30.76,6652539,204607005.15,16979.0,1826964.0,27.46
IFCI,EQ,17-Oct-2011,31.75,31.9,32.3,31.5,31.6,31.7,31.88,6900199,219979559.85,21809.0,1797993.0,26.06
