"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
INDHOTEL,EQ,30-Dec-2011,52.5,53.1,54.85,52.5,54.2,54.35,53.71,619659,33284488.0,3562.0,429330.0,69.28
INDHOTEL,EQ,29-Dec-2011,53.85,53.95,55.15,51.9,52.5,52.5,53.01,1703341,90301663.25,4467.0,1355513.0,79.58
INDHOTEL,EQ,28-Dec-2011,54.25,54.15,54.75,52.65,53.4,53.85,53.64,551381,29574812.9,2349.0,379089.0,68.75
INDHOTEL,EQ,27-Dec-2011,55.1,55.35,55.8,53.75,54.05,54.25,55.14,391500,21586746.85,2822.0,170641.0,43.59
INDHOTEL,EQ,26-Dec-2011,54.15,59.65,59.65,53.85,55.15,55.1,54.72,805642,44087298.7,6179.0,353265.0,43.85
INDHOTEL,EQ,23-Dec-2011,53.2,54.4,55.5,53.85,54.2,54.15,54.65,841671,45996314.15,5729.0,386462.0,45.92
INDHOTEL,EQ,22-Dec-2011,52.35,50.6,53.45,50.6,53.25,53.2,52.71,449568,23697046.1,3397.0,181877.0,40.46
INDHOTEL,EQ,21-Dec-2011,54.5,55.75,56.0,51.4,52.3,52.35,53.32,1077478,57451435.4,7585.0,744398.0,69.09
INDHOTEL,EQ,20-Dec-2011,55.25,56.0,56.2,54.15,54.45,54.5,55.22,489818,27046998.2,3851.0,300700.0,61.39
INDHOTEL,EQ,19-Dec-2011,55.8,57.8,59.45,54.7,54.95,55.25,55.54,1407601,78174737.35,4974.0,1048551.0,74.49
INDHOTEL,EQ,16-Dec-2011,56.85,57.5,57.9,55.05,55.5,55.8,56.29,883720,49744787.35,4999.0,709931.0,80.33
INDHOTEL,EQ,15-Dec-2011,57.8,57.0,58.2,56.25,56.45,56.85,56.96,1403967,79968539.3,7510.0,1118089.0,79.64
INDHOTEL,EQ,14-Dec-2011,57.55,57.55,58.35,57.25,57.8,57.8,57.93,177919,10307640.55,1601.0,107052.0,60.17
INDHOTEL,EQ,13-Dec-2011,57.3,57.55,57.9,56.25,57.7,57.55,57.09,494013,28205297.75,2890.0,243625.0,49.32
INDHOTEL,EQ,12-Dec-2011,59.45,59.45,60.5,57.0,57.0,57.3,58.71,1150966,67578299.35,2444.0,955304.0,83.0
INDHOTEL,EQ,09-Dec-2011,60.05,59.5,59.95,58.55,59.2,59.45,59.36,180812,10733410.25,1283.0,77082.0,42.63
INDHOTEL,EQ,08-Dec-2011,60.55,60.2,61.25,59.95,60.3,60.05,60.16,398335,23965801.0,1887.0,241451.0,60.62
INDHOTEL,EQ,07-Dec-2011,60.55,60.2,61.7,60.15,60.65,60.55,60.95,409584,24964700.2,4302.0,211425.0,51.62
INDHOTEL,EQ,05-Dec-2011,61.1,61.1,61.5,60.0,60.4,60.55,60.76,237612,14438221.65,1893.0,111714.0,47.02
INDHOTEL,EQ,02-Dec-2011,59.15,59.9,61.75,59.3,61.4,61.1,60.48,644430,38974557.8,3438.0,393600.0,61.08
INDHOTEL,EQ,01-Dec-2011,59.6,60.6,61.6,58.9,59.3,59.15,60.22,546124,32886610.5,3247.0,271343.0,49.69
INDHOTEL,EQ,30-Nov-2011,60.3,60.3,60.65,59.0,59.5,59.6,59.52,265769,15819253.35,2522.0,92763.0,34.9
