"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
INDIACEM,EQ,30-Dec-2011,67.0,67.15,68.85,65.5,66.35,65.95,67.39,669009,45087133.85,12328.0,285062.0,42.61
INDIACEM,EQ,29-Dec-2011,69.7,69.7,71.05,65.5,66.5,67.0,68.66,1107566,76044267.45,10205.0,581552.0,52.51
INDIACEM,EQ,28-Dec-2011,69.45,69.65,70.3,69.05,69.65,69.7,69.72,372705,25984808.8,4419.0,110073.0,29.53
INDIACEM,EQ,27-Dec-2011,70.05,70.05,72.05,69.05,69.45,69.45,70.94,1213747,86109125.1,9695.0,150749.0,12.42
INDIACEM,EQ,26-Dec-2011,69.0,70.4,70.8,69.25,70.25,70.05,69.93,131791,9216046.6,2023.0,25645.0,19.46
INDIACEM,EQ,23-Dec-2011,70.6,70.6,71.95,68.2,70.5,69.0,69.83,220672,15409686.65,3773.0,49724.0,22.53
INDIACEM,EQ,22-Dec-2011,68.35,68.35,71.1,67.5,71.0,70.6,69.39,427140,29638246.2,7346.0,222225.0,52.03
INDIACEM,EQ,21-Dec-2011,65.95,69.0,69.0,66.4,68.8,68.35,67.47,346847,23400537.15,4340.0,156061.0,44.99
INDIACEM,EQ,20-Dec-2011,68.3,68.5,69.25,65.4,65.85,65.95,68.73,1474920,101365365.6,7639.0,1261027.0,85.5
INDIACEM,EQ,19-Dec-2011,68.25,67.95,68.9,67.1,68.1,68.3,67.63,905043,61210273.75,5777.0,702914.0,77.67
INDIACEM,EQ,16-Dec-2011,70.6,70.95,72.4,67.25,67.9,68.25,70.13,362816,25444567.5,5337.0,165495.0,45.61
INDIACEM,EQ,15-Dec-2011,71.15,70.3,71.8,68.85,70.1,70.6,70.24,375905,26403450.8,6616.0,137615.0,36.61
INDIACEM,EQ,14-Dec-2011,71.2,71.9,72.3,70.75,71.4,71.15,71.58,405987,29062052.7,5200.0,244548.0,60.24
INDIACEM,EQ,13-Dec-2011,71.05,70.6,72.4,69.55,71.7,71.2,71.35,734623,52415376.4,14444.0,297991.0,40.56
INDIACEM,EQ,12-Dec-2011,73.9,74.5,74.95,70.55,70.65,71.05,72.04,287925,20741310.75,5404.0,60538.0,21.03
INDIACEM,EQ,09-Dec-2011,72.8,72.3,74.75,70.15,73.7,73.9,73.33,391896,28736201.0,5517.0,156733.0,39.99
INDIACEM,EQ,08-Dec-2011,75.6,75.05,75.6,72.3,73.1,72.8,73.56,336534,24753882.35,7451.0,89689.0,26.65
INDIACEM,EQ,07-Dec-2011,74.65,74.2,76.8,74.2,75.6,75.6,75.7,731112,55343328.45,13106.0,308262.0,42.16
INDIACEM,EQ,05-Dec-2011,75.55,74.25,75.65,74.0,74.9,74.65,74.8,351559,26295775.15,4830.0,103654.0,29.48
INDIACEM,EQ,02-Dec-2011,73.3,72.7,75.9,72.35,75.5,75.55,73.9,755943,55867387.35,4932.0,355735.0,47.06
INDIACEM,EQ,01-Dec-2011,72.35,73.9,75.25,71.9,73.75,73.3,73.07,429046,31350780.7,6514.0,173819.0,40.51
INDIACEM,EQ,30-Nov-2011,70.9,79.9,79.9,69.3,71.9,72.35,72.15,1179256,85078150.55,9151.0,646895.0,54.86
INDIACEM,EQ,29-Nov-2011,72.75,73.5,73.5,70.35,71.4,70.9,71.99,525248,37815102.5,5489.0,177688.0,33.83
INDIACEM,EQ,28-Nov-2011,69.1,69.25,73.5,69.25,73.4,72.75,71.96,519112,37357066.25,7731.0,143802.0,27.7
INDIACEM,EQ,25-Nov-2011,70.3,69.15,71.1,68.85,69.0,69.1,70.03,398665,27918171.5,5619.0,105403.0,26.44
INDIACEM,EQ,24-Nov-2011,68.75,69.0,71.4,67.65,70.25,70.3,70.1,1308218,91707396.8,7255.0,752589.0,57.53
INDIACEM,EQ,23-Nov-2011,69.8,68.6,69.6,67.1,68.05,68.75,68.49,753762,51628491.15,11252.0,439361.0,58.29
INDIACEM,EQ,22-Nov-2011,68.4,68.8,70.8,67.6,69.35,69.8,69.31,407210,28222679.55,5967.0,110299.0,27.09
INDIACEM,EQ,21-Nov-2011,69.5,67.75,69.25,67.5,67.5,68.4,68.4,609787,41709579.9,6866.0,320403.0,52.54
INDIACEM,EQ,18-Nov-2011,67.65,66.0,70.5,65.65,69.5,69.5,67.92,615835,41828580.5,9511.0,190633.0,30.96
INDIACEM,EQ,17-Nov-2011,69.6,68.2,70.55,67.0,67.2,67.65,69.11,414668,28656283.35,5938.0,151795.0,36.61
INDIACEM,EQ,16-Nov-2011,70.6,70.75,71.0,69.0,70.0,69.6,70.02,1082188,75778118.85,9903.0,523071.0,48.33
INDIACEM,EQ,15-Nov-2011,75.35,75.25,76.7,70.0,70.5,70.6,73.39,990814,72714075.9,10706.0,376029.0,37.95
INDIACEM,EQ,14-Nov-2011,77.2,79.0,79.8,75.0,75.25,75.35,77.8,1338568,104142998.5,11605.0,228019.0,17.03
INDIACEM,EQ,11-Nov-2011,77.8,77.5,78.3,75.6,77.7,77.2,77.0,579046,44586356.6,8372.0,226583.0,39.13
INDIACEM,EQ,09-Nov-2011,80.0,80.8,80.8,77.15,77.7,77.8,79.38,474607,37674357.85,6249.0,148987.0,31.39
INDIACEM,EQ,08-Nov-2011,80.2,81.0,81.75,79.65,80.0,80.0,80.46,595348,47900741.15,7631.0,226260.0,38.0
INDIACEM,EQ,04-Nov-2011,80.15,81.0,81.9,79.6,80.0,80.2,80.54,1085676,87440956.4,9874.0,474931.0,43.75
INDIACEM,EQ,03-Nov-2011,78.9,78.85,80.8,78.8,80.65,80.15,79.71,1111621,88611332.1,14823.0,506571.0,45.57
INDIACEM,EQ,02-Nov-2011,78.8,78.1,79.85,77.3,79.3,78.9,78.92,568480,44863190.6,7960.0,107121.0,18.84
INDIACEM,EQ,01-Nov-2011,80.5,80.5,81.6,78.15,78.95,78.8,79.73,707759,56431458.2,10386.0,173790.0,24.55
INDIACEM,EQ,31-Oct-2011,82.4,82.5,83.95,80.0,80.65,80.5,81.67,1289095,105286171.75,13888.0,468441.0,36.34
INDIACEM,EQ,28-Oct-2011,79.45,84.75,84.75,80.0,82.1,82.4,81.85,2034117,166495171.95,15813.0,1113215.0,54.73
INDIACEM,EQ,26-Oct-2011,77.85,78.8,81.0,77.75,79.55,79.45,79.6,317946,25309310.7,3344.0,132480.0,41.67
INDIACEM,EQ,25-Oct-2011,73.85,73.9,79.5,73.5,79.0,77.85,76.21,1424082,108533162.6,9534.0,706007.0,49.58
INDIACEM,EQ,24-Oct-2011,73.5,74.25,75.3,72.6,74.05,73.85,74.52,402673,30007789.7,4838.0,170415.0,42.32
