"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
INDUSINDBK,EQ,30-Dec-2011,231.95,232.2,234.1,224.0,224.75,225.85,227.93,415559,94716785.4,5249.0,205354.0,49.42
INDUSINDBK,EQ,29-Dec-2011,232.6,230.0,233.95,227.8,230.50,231.95,231.22,379040,87640614.7,4932.0,160954.0,42.46
INDUSINDBK,EQ,28-Dec-2011,239.2,236.05,238.85,231.0,231.15,232.6,234.89,217291,51039225.55,3746.0,66617.0,30.66
INDUSINDBK,EQ,27-Dec-2011,244.2,244.4,244.8,237.25,240.00,239.2,240.07,208885,50146582.75,3729.0,52017.0,24.9
INDUSINDBK,EQ,26-Dec-2011,239.6,240.9,245.0,238.25,244.40,244.2,242.91,194462,47236761.95,8944.0,57936.0,29.79
INDUSINDBK,EQ,23-Dec-2011,244.95,246.2,248.45,236.0,240.80,239.6,243.43,308412,75075463.75,7122.0,63262.0,20.51
INDUSINDBK,EQ,22-Dec-2011,240.35,243.0,247.8,236.7,246.00,244.95,243.1,416177,101173373.9,8075.0,51512.0,12.38
INDUSINDBK,EQ,21-Dec-2011,231.95,234.9,244.9,227.2,243.30,240.35,232.93,937903,218462435.9,13749.0,328622.0,35.04
INDUSINDBK,EQ,20-Dec-2011,246.0,246.0,247.7,222.15,224.80,231.95,234.44,744209,174468774.75,9224.0,299175.0,40.2
INDUSINDBK,EQ,19-Dec-2011,251.85,248.1,249.7,242.0,245.00,246.0,245.92,674820,165950393.9,8073.0,351213.0,52.05
INDUSINDBK,EQ,16-Dec-2011,255.4,257.5,261.4,249.0,250.15,251.85,255.36,671698,171522979.55,8920.0,262651.0,39.1
INDUSINDBK,EQ,15-Dec-2011,253.05,252.0,257.4,248.7,254.35,255.4,252.94,331606,83877793.15,6373.0,82034.0,24.74
INDUSINDBK,EQ,14-Dec-2011,259.15,260.0,260.0,251.05,253.00,253.05,255.3,407711,104086680.8,8781.0,86890.0,21.31
INDUSINDBK,EQ,13-Dec-2011,255.6,253.0,260.25,249.6,259.05,259.15,257.61,1226057,315839095.0,7581.0,939780.0,76.65
INDUSINDBK,EQ,12-Dec-2011,260.4,262.3,265.5,254.3,255.00,255.6,258.0,511871,132064902.4,8928.0,182705.0,35.69
INDUSINDBK,EQ,09-Dec-2011,258.35,254.35,262.95,251.7,261.25,260.4,259.5,932789,242056515.65,7270.0,626583.0,67.17
INDUSINDBK,EQ,08-Dec-2011,263.45,265.0,265.0,253.55,258.00,258.35,259.07,401959,104134944.25,6925.0,118072.0,29.37
INDUSINDBK,EQ,07-Dec-2011,273.6,275.65,276.9,262.55,262.65,263.45,266.86,1741793,464812968.25,10460.0,1211574.0,69.56
INDUSINDBK,EQ,05-Dec-2011,274.8,277.45,277.45,268.05,275.60,273.6,273.04,349611,95456787.9,5946.0,144150.0,41.23
INDUSINDBK,EQ,02-Dec-2011,260.75,260.0,276.0,258.3,275.75,274.8,270.21,546860,147766868.6,7754.0,211269.0,38.63
