"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
INTELLECT,EQ,30-Dec-2015,282.1,281.2,286.0,278.85,280.1,280.1,282.72,579897,163946002.35,7473,199757.0,34.45
INTELLECT,EQ,29-Dec-2015,279.9,281.2,289.35,279.5,281.4,282.1,284.59,1397604,397738624.45,19747,400572.0,28.66
INTELLECT,EQ,28-Dec-2015,277.1,278.4,283.5,274.0,279.5,279.9,279.6,848376,237209553.35,11343,245616.0,28.95
INTELLECT,EQ,24-Dec-2015,281.15,282.4,282.65,275.1,277.0,277.1,278.67,538483,150061422.75,8435,189308.0,35.16
INTELLECT,EQ,23-Dec-2015,278.8,281.1,285.95,278.1,281.5,281.15,282.39,1157513,326871688.9,16367,288634.0,24.94
INTELLECT,EQ,22-Dec-2015,281.1,282.1,288.7,277.05,277.8,278.8,283.24,1323127,374763294.05,16080,405256.0,30.63
INTELLECT,EQ,21-Dec-2015,272.45,272.5,282.5,268.1,281.5,281.1,277.43,1663766,461577685.05,20653,403805.0,24.27
INTELLECT,EQ,18-Dec-2015,275.6,272.9,278.25,270.35,272.4,272.45,274.39,647747,177733974.55,9893,223693.0,34.53
INTELLECT,EQ,17-Dec-2015,268.45,272.0,277.0,269.1,275.15,275.6,274.16,1250853,342929634.2,18903,415109.0,33.19
INTELLECT,EQ,16-Dec-2015,271.0,273.0,275.8,267.05,268.8,268.45,272.05,959226,260954783.6,13777,321967.0,33.57
INTELLECT,EQ,15-Dec-2015,262.4,263.0,273.9,262.05,269.5,271.0,269.63,1223497,329888245.85,16333,307512.0,25.13
INTELLECT,EQ,14-Dec-2015,259.95,254.9,267.5,252.0,262.8,262.4,260.88,924924,241289991.05,13898,190626.0,20.61
INTELLECT,EQ,11-Dec-2015,266.3,267.3,267.8,255.0,259.1,259.95,261.65,748648,195881591.75,10905,236016.0,31.53
INTELLECT,EQ,10-Dec-2015,252.3,254.4,267.5,254.4,266.7,266.3,262.59,1524121,400223029.75,20943,340775.0,22.36
INTELLECT,EQ,09-Dec-2015,267.1,268.6,268.6,249.45,254.1,252.3,258.12,946084,244201683.45,13768,344856.0,36.45
INTELLECT,EQ,08-Dec-2015,276.0,276.0,276.9,265.15,267.7,267.1,271.08,668566,181234459.3,8979,266053.0,39.79
INTELLECT,EQ,07-Dec-2015,276.85,279.35,280.9,274.8,275.35,276.0,277.7,637288,176975168.15,10061,216215.0,33.93
INTELLECT,EQ,04-Dec-2015,284.25,282.0,283.9,275.0,277.15,276.85,279.54,1035118,289357148.15,15561,368549.0,35.60
INTELLECT,EQ,03-Dec-2015,290.85,288.0,294.5,280.1,284.8,284.25,289.38,1764795,510690738.75,22966,409292.0,23.19
INTELLECT,EQ,02-Dec-2015,281.7,283.0,293.9,276.2,288.0,290.85,286.23,2824478,808453860.45,31335,566529.0,20.06
INTELLECT,EQ,01-Dec-2015,270.55,272.0,289.7,269.55,282.0,281.7,282.93,2840995,803796391.4,35525,603424.0,21.24
INTELLECT,EQ,30-Nov-2015,268.55,269.8,275.0,266.55,269.7,270.55,271.62,1160410,315192796.75,24051,393938.0,33.95
INTELLECT,EQ,27-Nov-2015,283.15,276.9,282.45,265.5,268.9,268.55,272.78,2514721,685974951.6,30358,678090.0,26.96
INTELLECT,EQ,26-Nov-2015,285.0,286.3,292.6,282.35,283.5,283.15,286.71,1418619,406730417.45,21201,438587.0,30.92
INTELLECT,EQ,24-Nov-2015,287.5,287.7,293.2,279.8,284.55,285.0,287.28,2036623,585084216.4,31453,475838.0,23.36
INTELLECT,EQ,23-Nov-2015,275.1,276.7,302.45,273.6,287.5,287.5,291.23,5167301,1504872365.4,68289,902032.0,17.46
INTELLECT,EQ,20-Nov-2015,244.9,245.0,284.4,244.6,274.5,275.1,272.91,7274497,1985280243.0,84265,1311570.0,18.03
INTELLECT,EQ,19-Nov-2015,237.5,239.0,246.4,239.0,245.05,244.9,243.96,832012,202981591.85,10665,248849.0,29.91
INTELLECT,EQ,18-Nov-2015,250.1,249.1,249.9,235.1,236.85,237.5,241.57,901036,217659839.4,12584,385151.0,42.75
INTELLECT,EQ,17-Nov-2015,254.55,255.85,256.5,246.15,249.45,250.1,250.32,780277,195318491.95,11208,279781.0,35.86
INTELLECT,EQ,16-Nov-2015,256.8,256.9,259.15,252.5,254.2,254.55,255.38,861748,220071409.15,13170,379430.0,44.03
INTELLECT,EQ,13-Nov-2015,259.15,257.8,259.1,252.4,257.0,256.8,256.13,843074,215933558.75,12103,260884.0,30.94
INTELLECT,EQ,11-Nov-2015,253.0,255.4,260.5,254.5,259.75,259.15,258.29,450933,116472683.75,5507,143654.0,31.86
INTELLECT,EQ,10-Nov-2015,260.3,259.9,263.9,251.0,254.75,253.0,257.53,971461,250176334.55,12986,315714.0,32.50
INTELLECT,EQ,09-Nov-2015,251.65,242.0,263.0,237.1,260.0,260.3,257.08,1849129,475381961.1,26326,618906.0,33.47
INTELLECT,EQ,06-Nov-2015,246.4,248.9,260.35,246.6,251.25,251.65,254.36,1545446,393103849.25,22205,357579.0,23.14
INTELLECT,EQ,05-Nov-2015,263.5,263.5,265.0,244.25,246.0,246.4,255.13,1443292,368226866.1,20507,512768.0,35.53
INTELLECT,EQ,04-Nov-2015,271.2,274.0,277.6,261.1,264.5,263.5,270.11,1808968,488618133.2,24887,472151.0,26.10
INTELLECT,EQ,03-Nov-2015,264.3,268.4,278.9,265.15,272.4,271.2,273.09,3439087,939169897.95,43909,564989.0,16.43
INTELLECT,EQ,02-Nov-2015,249.2,248.85,268.3,245.0,267.25,264.3,257.33,3405822,876415046.0,37682,651220.0,19.12
INTELLECT,EQ,30-Oct-2015,243.45,243.95,258.5,241.2,247.8,249.2,251.55,3400124,855310607.8,40358,551105.0,16.21
INTELLECT,EQ,29-Oct-2015,249.05,244.0,254.5,241.0,242.3,243.45,248.08,3052449,757246383.55,36000,685476.0,22.46
INTELLECT,EQ,28-Oct-2015,216.25,215.8,253.65,214.65,244.65,249.05,238.87,7809356,1865388905.1,73896,1268909.0,16.25
INTELLECT,EQ,27-Oct-2015,215.35,213.9,218.45,210.0,217.35,216.25,214.07,730599,156396289.75,9592,224215.0,30.69
INTELLECT,EQ,26-Oct-2015,219.5,221.2,221.4,212.8,214.85,215.35,215.8,871702,188114942.35,12154,314077.0,36.03
INTELLECT,EQ,23-Oct-2015,210.55,212.8,223.6,211.0,219.3,219.5,219.33,2828027,620267062.2,28935,833725.0,29.48
INTELLECT,EQ,21-Oct-2015,218.95,219.4,220.7,208.0,210.7,210.55,214.4,2794367,599102623.0,31027,772717.0,27.65
INTELLECT,EQ,20-Oct-2015,220.45,221.45,226.2,215.15,218.7,218.95,221.25,1482036,327903824.95,15070,537446.0,36.26
INTELLECT,EQ,19-Oct-2015,214.85,215.7,222.95,212.5,221.5,220.45,218.94,1900318,416053371.15,19997,491783.0,25.88
INTELLECT,EQ,16-Oct-2015,204.5,205.0,217.9,203.65,215.4,214.85,213.04,3098788,660170209.35,34462,658600.0,21.25
INTELLECT,EQ,15-Oct-2015,207.3,208.3,209.9,201.15,204.75,204.5,206.32,1049868,216611926.25,12897,364222.0,34.69
INTELLECT,EQ,14-Oct-2015,202.15,201.65,213.3,198.35,207.0,207.3,208.06,3591346,747217023.9,40485,691585.0,19.26
INTELLECT,EQ,13-Oct-2015,194.85,195.0,208.5,194.0,201.95,202.15,202.63,3755789,761041282.0,41227,850568.0,22.65
INTELLECT,EQ,12-Oct-2015,190.3,192.0,198.2,187.85,195.7,194.85,194.77,1696154,330359647.35,24905,483813.0,28.52
INTELLECT,EQ,09-Oct-2015,189.75,191.2,193.4,187.15,190.0,190.3,190.26,1000220,190300146.55,12414,327033.0,32.70
INTELLECT,EQ,08-Oct-2015,194.25,194.45,195.4,187.3,188.6,189.75,190.77,1265657,241451298.95,16433,413908.0,32.70
INTELLECT,EQ,07-Oct-2015,184.35,185.3,195.8,183.5,194.4,194.25,191.15,2210286,422498707.9,21311,529452.0,23.95
