"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ITCHOTELS,EQ,26-Dec-2025,195.35,195.35,199.29,193.6,198.25,198.49,197.86,2634549,521265722.84,31191,1535616.0,58.29
ITCHOTELS,EQ,24-Dec-2025,194.68,194.75,196.2,193.58,195.6,195.35,195.33,1282377,250489966.78,25353,703417.0,54.85
ITCHOTELS,EQ,23-Dec-2025,196.24,196.9,196.9,194.11,194.6,194.68,194.93,1596298,311169664.66,27161,944243.0,59.15
ITCHOTELS,EQ,22-Dec-2025,193.83,195.1,197.0,194.47,196.14,196.24,196.03,1615170,316621280.44,27597,832856.0,51.56
ITCHOTELS,EQ,19-Dec-2025,189.69,190.95,195.0,190.4,194.13,193.83,193.16,2656567,513141497.34,38133,1428639.0,53.78
ITCHOTELS,EQ,18-Dec-2025,191.97,191.87,191.87,188.2,190.2,189.69,189.76,1652069,313489258.03,37007,961197.0,58.18
ITCHOTELS,EQ,17-Dec-2025,190.54,190.99,192.3,190.3,191.71,191.97,191.49,1788646,342509928.47,29145,1130857.0,63.22
ITCHOTELS,EQ,16-Dec-2025,190.76,190.9,192.43,189.7,190.6,190.54,190.94,1680061,320789579.65,31676,976045.0,58.10
ITCHOTELS,EQ,15-Dec-2025,193.63,194.43,194.47,190.56,190.75,190.76,191.68,2207222,423091346.36,39001,1425186.0,64.57
ITCHOTELS,EQ,12-Dec-2025,191.36,192.85,194.45,192.05,193.95,193.63,193.32,4364097,843670249.04,47617,3072752.0,70.41
ITCHOTELS,EQ,11-Dec-2025,191.65,192.0,192.85,190.35,191.36,191.36,191.57,2829478,542036352.26,46632,1560748.0,55.16
ITCHOTELS,EQ,10-Dec-2025,199.02,200.0,200.69,190.4,190.5,191.65,193.38,9936249,1921482905.44,89257,6789783.0,68.33
ITCHOTELS,EQ,09-Dec-2025,205.45,204.8,205.39,194.0,199.6,199.02,197.93,9405038,1861576844.85,93661,4945411.0,52.58
ITCHOTELS,EQ,08-Dec-2025,205.91,206.49,207.5,205.0,205.8,205.45,205.93,2805913,577833069.07,35911,1688174.0,60.16
ITCHOTELS,EQ,05-Dec-2025,207.72,211.5,211.99,205.2,205.65,205.91,207.03,10737299,2222961037.83,115630,4867133.0,45.33
ITCHOTELS,EQ,04-Dec-2025,207.67,207.67,208.58,206.1,207.8,207.72,207.38,1225163,254076310.2,19488,766183.0,62.54
ITCHOTELS,EQ,03-Dec-2025,207.34,207.0,208.68,206.75,207.7,207.67,207.72,858769,178383175.89,14707,497924.0,57.98
ITCHOTELS,EQ,02-Dec-2025,208.88,208.88,210.09,206.55,207.4,207.34,208.01,1163429,241999147.26,25512,568882.0,48.90
ITCHOTELS,EQ,01-Dec-2025,208.7,208.6,210.26,207.7,208.99,208.88,208.76,1033124,215679003.13,20490,590905.0,57.20
ITCHOTELS,EQ,28-Nov-2025,211.61,211.9,211.9,208.2,208.8,208.7,209.46,1555261,325771798.34,29970,709675.0,45.63
ITCHOTELS,EQ,27-Nov-2025,209.35,208.5,212.31,205.71,211.3,211.61,209.52,3273019,685774801.33,41349,1219581.0,37.26
ITCHOTELS,EQ,26-Nov-2025,207.48,207.35,210.1,206.85,209.24,209.35,208.99,1475704,308406547.14,22041,812101.0,55.03
ITCHOTELS,EQ,25-Nov-2025,208.78,209.5,209.5,206.62,207.45,207.48,207.29,1787943,370623753.35,26466,1164500.0,65.13
