"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
JBCHEPHARM,EQ,30-Dec-2011,64.35,64.0,66.5,63.05,63.5,63.65,64.88,60008,3893288.5,691.0,25001.0,41.66
JBCHEPHARM,EQ,29-Dec-2011,64.3,63.0,64.9,62.5,64.6,64.35,64.05,87907,5630819.65,194.0,85165.0,96.88
JBCHEPHARM,EQ,28-Dec-2011,64.45,65.35,66.0,64.1,64.4,64.3,64.64,15767,1019196.05,262.0,8678.0,55.04
JBCHEPHARM,EQ,27-Dec-2011,64.45,65.0,66.25,62.6,64.4,64.45,64.43,67629,4357459.5,784.0,34027.0,50.31
JBCHEPHARM,EQ,26-Dec-2011,66.45,65.2,67.75,63.3,64.45,64.45,64.27,58375,3751963.6,795.0,33080.0,56.67
JBCHEPHARM,EQ,23-Dec-2011,65.75,65.85,67.0,65.6,67.0,66.45,66.46,17112,1137338.9,290.0,13361.0,78.08
JBCHEPHARM,EQ,22-Dec-2011,63.8,63.8,66.8,62.0,65.7,65.75,64.97,23151,1504016.3,476.0,12595.0,54.4
JBCHEPHARM,EQ,21-Dec-2011,66.25,66.15,67.0,60.35,63.9,63.8,63.86,125775,8031625.25,1698.0,96041.0,76.36
JBCHEPHARM,EQ,20-Dec-2011,67.95,67.9,67.9,65.5,65.9,66.25,66.92,121681,8143042.45,566.0,109832.0,90.26
JBCHEPHARM,EQ,19-Dec-2011,68.1,68.1,68.7,65.1,68.45,67.95,66.7,30511,2035061.85,573.0,18877.0,61.87
JBCHEPHARM,EQ,16-Dec-2011,68.25,68.35,69.0,67.1,68.45,68.1,68.15,34125,2325500.6,405.0,22898.0,67.1
JBCHEPHARM,EQ,15-Dec-2011,67.9,67.5,68.4,66.55,68.25,68.25,67.81,26250,1780078.15,278.0,20079.0,76.49
JBCHEPHARM,EQ,14-Dec-2011,68.1,68.0,68.85,67.35,68.15,67.9,67.98,26700,1815186.75,233.0,22336.0,83.66
JBCHEPHARM,EQ,13-Dec-2011,67.85,67.0,68.4,66.25,68.0,68.1,67.8,24957,1691978.05,359.0,16859.0,67.55
JBCHEPHARM,EQ,12-Dec-2011,69.65,69.0,71.0,67.2,68.3,67.85,68.25,30773,2100162.95,589.0,18115.0,58.87
JBCHEPHARM,EQ,09-Dec-2011,71.2,70.25,70.75,69.5,70.25,69.65,69.98,12355,864615.45,225.0,8826.0,71.44
JBCHEPHARM,EQ,08-Dec-2011,71.7,72.0,72.5,70.5,71.7,71.2,71.81,30122,2163115.15,447.0,20924.0,69.46
JBCHEPHARM,EQ,07-Dec-2011,72.0,70.3,72.5,70.3,72.1,71.7,71.74,13613,976634.4,338.0,7763.0,57.03
JBCHEPHARM,EQ,05-Dec-2011,72.55,71.25,72.6,71.0,72.2,72.0,71.87,9982,717405.75,221.0,7067.0,70.8
JBCHEPHARM,EQ,02-Dec-2011,71.95,71.15,72.9,70.65,72.85,72.55,72.33,36835,2664164.05,447.0,23220.0,63.04
JBCHEPHARM,EQ,01-Dec-2011,70.1,71.45,72.5,70.5,71.65,71.95,71.69,60421,4331399.5,725.0,38265.0,63.33
JBCHEPHARM,EQ,30-Nov-2011,69.7,69.0,71.45,68.5,71.0,70.1,69.49,43428,3017829.95,567.0,32593.0,75.05
JBCHEPHARM,EQ,29-Nov-2011,68.8,69.4,70.9,68.45,69.75,69.7,69.82,15678,1094601.6,321.0,8497.0,54.2
JBCHEPHARM,EQ,28-Nov-2011,68.4,68.5,71.75,68.5,68.8,68.8,70.24,98743,6935689.05,1097.0,38649.0,39.14
JBCHEPHARM,EQ,25-Nov-2011,70.0,68.3,70.9,68.2,68.5,68.4,68.78,21021,1445765.5,385.0,13608.0,64.74
JBCHEPHARM,EQ,24-Nov-2011,68.9,68.2,70.35,67.65,70.0,70.0,68.85,35551,2447587.0,461.0,28192.0,79.3
JBCHEPHARM,EQ,23-Nov-2011,68.05,68.0,69.75,66.9,69.75,68.9,67.89,70494,4786142.5,764.0,52981.0,75.16
JBCHEPHARM,EQ,22-Nov-2011,69.2,69.0,70.75,67.55,67.85,68.05,69.47,78737,5469737.3,1452.0,61913.0,78.63
JBCHEPHARM,EQ,21-Nov-2011,71.7,71.45,72.0,69.0,69.35,69.2,70.15,34524,2421774.0,553.0,27527.0,79.73
JBCHEPHARM,EQ,18-Nov-2011,69.65,69.0,72.0,68.05,72.0,71.7,70.19,119548,8391332.45,978.0,85392.0,71.43
JBCHEPHARM,EQ,17-Nov-2011,68.7,68.0,70.8,67.25,70.05,69.65,69.45,46823,3251786.95,853.0,28537.0,60.95
JBCHEPHARM,EQ,16-Nov-2011,69.45,70.5,70.5,68.05,69.0,68.7,68.78,49939,3434733.75,682.0,36314.0,72.72
JBCHEPHARM,EQ,15-Nov-2011,72.0,71.4,73.0,69.0,69.0,69.45,70.86,30127,2134878.7,598.0,16077.0,53.36
JBCHEPHARM,EQ,14-Nov-2011,73.6,73.25,74.6,70.3,72.15,72.0,73.1,34210,2500625.0,600.0,18696.0,54.65
JBCHEPHARM,EQ,11-Nov-2011,75.1,75.1,75.1,71.3,73.6,73.6,72.65,64041,4652665.05,1017.0,35842.0,55.97
JBCHEPHARM,EQ,09-Nov-2011,76.6,76.8,76.8,73.0,74.65,75.1,75.56,39327,2971569.0,522.0,22916.0,58.27
JBCHEPHARM,EQ,08-Nov-2011,77.0,76.1,78.0,76.0,76.6,76.6,76.6,22061,1689891.4,455.0,11380.0,51.58
JBCHEPHARM,EQ,04-Nov-2011,75.55,76.25,78.55,75.1,77.0,77.0,77.23,99184,7659772.85,1444.0,43865.0,44.23
JBCHEPHARM,EQ,03-Nov-2011,74.9,74.25,77.4,74.25,75.75,75.55,76.09,41000,3119767.25,795.0,11851.0,28.9
JBCHEPHARM,EQ,02-Nov-2011,74.3,74.4,75.6,72.55,75.15,74.9,74.56,51782,3860975.6,978.0,20652.0,39.88
JBCHEPHARM,EQ,01-Nov-2011,74.6,74.6,75.25,73.5,74.4,74.3,74.31,30169,2241820.5,627.0,16068.0,53.26
JBCHEPHARM,EQ,31-Oct-2011,76.65,76.0,77.45,74.3,74.85,74.6,75.55,74630,5638149.0,721.0,61350.0,82.21
JBCHEPHARM,EQ,28-Oct-2011,76.0,77.1,78.0,76.05,76.5,76.65,76.69,72378,5550976.15,740.0,52598.0,72.67
JBCHEPHARM,EQ,26-Oct-2011,73.85,74.85,76.4,74.85,76.25,76.0,75.8,27183,2060336.05,450.0,15110.0,55.59
JBCHEPHARM,EQ,25-Oct-2011,74.4,74.65,75.0,72.0,74.15,73.85,73.09,128809,9415210.5,1430.0,86946.0,67.5
