"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
JPPOWER,EQ,30-Dec-2011,36.55,36.9,37.4,34.8,35.0,35.05,35.97,893468,32135590.3,3306.0,424701.0,47.53
JPPOWER,EQ,29-Dec-2011,35.9,35.05,37.7,35.05,36.55,36.55,36.66,1838739,67400021.15,5694.0,767448.0,41.74
JPPOWER,EQ,28-Dec-2011,36.0,35.6,36.3,34.75,35.8,35.9,35.75,1244358,44488242.4,3101.0,877932.0,70.55
JPPOWER,EQ,27-Dec-2011,35.9,35.9,36.4,34.9,36.4,36.0,35.61,886312,31560929.8,2559.0,477063.0,53.83
JPPOWER,EQ,26-Dec-2011,35.3,35.5,36.45,34.9,36.25,35.9,35.6,517216,18411060.6,1499.0,251584.0,48.64
JPPOWER,EQ,23-Dec-2011,34.6,34.25,35.4,34.25,35.15,35.3,35.1,350835,12313812.95,1437.0,185155.0,52.78
JPPOWER,EQ,22-Dec-2011,34.15,34.5,35.05,33.85,34.55,34.6,34.28,317137,10870353.15,1945.0,162190.0,51.14
JPPOWER,EQ,21-Dec-2011,33.75,34.15,35.25,33.7,34.7,34.15,34.15,301058,10281945.25,2287.0,190149.0,63.16
JPPOWER,EQ,20-Dec-2011,35.5,35.45,35.85,33.5,33.75,33.75,34.02,562820,19145265.65,3931.0,272011.0,48.33
JPPOWER,EQ,19-Dec-2011,36.95,36.25,36.5,35.2,35.45,35.5,35.53,319942,11366833.0,1432.0,196277.0,61.35
JPPOWER,EQ,16-Dec-2011,37.4,38.4,39.0,36.2,36.35,36.95,37.83,810729,30666828.15,4436.0,481323.0,59.37
JPPOWER,EQ,15-Dec-2011,38.0,37.5,37.95,36.1,37.15,37.4,37.03,563471,20865812.9,2294.0,178236.0,31.63
JPPOWER,EQ,14-Dec-2011,37.45,37.0,38.3,36.95,37.95,38.0,37.83,700459,26500615.85,2527.0,404944.0,57.81
JPPOWER,EQ,13-Dec-2011,37.25,37.25,37.65,36.8,37.6,37.45,37.23,387040,14409770.9,1745.0,162048.0,41.87
JPPOWER,EQ,12-Dec-2011,38.05,38.5,38.5,37.0,37.55,37.25,37.43,345320,12925307.9,1438.0,188481.0,54.58
JPPOWER,EQ,09-Dec-2011,38.45,38.25,38.5,37.5,38.1,38.05,37.93,935525,35481178.7,1762.0,536928.0,57.39
JPPOWER,EQ,08-Dec-2011,39.1,39.05,39.45,38.2,38.5,38.45,38.74,1437916,55700323.25,2476.0,850709.0,59.16
JPPOWER,EQ,07-Dec-2011,37.25,37.6,39.35,37.05,39.0,39.1,38.45,813087,31266437.4,2788.0,538774.0,66.26
