"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
JSWCEMENT,EQ,26-Dec-2025,118.65,119.0,120.4,118.23,118.6,118.72,119.36,1683234,200908250.39,20175,994421,59.08
JSWCEMENT,EQ,24-Dec-2025,118.67,119.47,119.69,117.51,118.71,118.65,118.62,1651015,195837990.37,43609,979035,59.3
JSWCEMENT,EQ,23-Dec-2025,118.39,119.25,119.3,117.75,118.8,118.67,118.47,1437014,170240710.37,24032,949186,66.05
JSWCEMENT,EQ,22-Dec-2025,115.87,117.35,118.99,116.35,118.35,118.39,118.21,2120526,250662462.88,37718,1369471,64.58
JSWCEMENT,EQ,19-Dec-2025,117.09,117.94,118.48,115.23,115.99,115.87,116.26,1970583,229097034.91,22450,1233475,62.59
JSWCEMENT,EQ,18-Dec-2025,118.44,118.44,118.73,116.6,116.65,117.09,117.34,906387,106351337.25,17858,457397,50.46
JSWCEMENT,EQ,17-Dec-2025,121.66,121.99,121.99,118.11,118.35,118.44,119.35,1224768,146180749.96,20306,705403,57.59
JSWCEMENT,EQ,16-Dec-2025,120.06,120.29,122.69,120.06,121.26,121.66,121.51,1548562,188163851.02,23147,770776,49.77
JSWCEMENT,EQ,15-Dec-2025,121.24,121.5,123.9,119.37,120.38,120.06,121.25,2701468,327555035.16,30896,1230434,45.55
JSWCEMENT,EQ,12-Dec-2025,116.3,116.5,121.64,116.5,121.16,121.24,119.95,3381906,405655807.87,33506,1583263,46.82
JSWCEMENT,EQ,11-Dec-2025,115.25,115.95,116.56,113.55,116.35,116.3,115.41,1590723,183587663.26,22239,613442,38.56
JSWCEMENT,EQ,10-Dec-2025,112.29,112.36,116.1,112.25,115.05,115.25,114.99,9159031,1053234758.4,45216,6592276,71.98
JSWCEMENT,EQ,09-Dec-2025,110.97,111.0,112.9,109.2,112.36,112.29,111.18,2640037,293513255.82,32954,1047748,39.69
JSWCEMENT,EQ,08-Dec-2025,111.36,112.0,112.0,109.29,111.2,110.97,110.79,2089314,231482009.58,23419,1145670,54.83
JSWCEMENT,EQ,05-Dec-2025,111.48,112.05,113.16,110.52,111.2,111.36,111.88,3419249,382547192.41,31499,1501225,43.91
JSWCEMENT,EQ,04-Dec-2025,108.02,108.0,114.9,106.65,111.6,111.48,108.89,6618271,720670251.3,86639,3384011,51.13
JSWCEMENT,EQ,03-Dec-2025,110.93,111.39,111.51,107.39,107.99,108.02,109.05,5183702,565287398.63,111898,2794507,53.91
JSWCEMENT,EQ,02-Dec-2025,113.62,113.93,113.93,110.33,111.19,110.93,111.39,4758051,530002015.7,49422,3134772,65.88
