"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
JSWINFRA,EQ,28-Dec-2023,212.2,214.0,215.1,210.2,211.0,210.85,211.78,4210099,891625877.4,40941,2967146,70.48
JSWINFRA,EQ,27-Dec-2023,220.9,222.0,223.0,211.25,212.8,212.2,215.82,4343792,937487616.3,56603,2978799,68.58
JSWINFRA,EQ,26-Dec-2023,220.5,221.3,222.9,219.1,221.2,220.9,220.81,2093766,462332399.85,20156,1073083,51.25
JSWINFRA,EQ,22-Dec-2023,214.3,216.9,221.65,214.0,220.8,220.5,218.56,4041864,883372671.85,34672,1498822,37.08
JSWINFRA,EQ,21-Dec-2023,210.85,208.0,218.0,205.65,216.2,214.3,213.57,5087234,1086502012.25,43768,2483059,48.81
JSWINFRA,EQ,20-Dec-2023,224.8,225.5,229.6,210.0,211.0,210.85,218.58,6646370,1452785753.65,66492,3784585,56.94
JSWINFRA,EQ,19-Dec-2023,232.0,232.9,233.5,223.55,225.35,224.8,227.76,4194862,955419952.5,43260,2616734,62.38
JSWINFRA,EQ,18-Dec-2023,231.6,220.0,235.85,220.0,232.1,232.0,229.34,7612490,1745849230.55,58052,3566436,46.85
JSWINFRA,EQ,15-Dec-2023,236.2,237.7,238.8,230.8,231.7,231.6,234.48,3399180,797035786.8,25996,1868191,54.96
JSWINFRA,EQ,14-Dec-2023,238.85,241.4,242.4,235.25,237.0,236.2,238.49,3414212,814247245.8,29762,1739121,50.94
JSWINFRA,EQ,13-Dec-2023,237.95,239.0,242.0,236.0,238.95,238.85,238.28,3906056,930748983.4,28048,1590242,40.71
JSWINFRA,EQ,12-Dec-2023,231.15,232.0,241.25,229.45,238.45,237.95,236.84,6968428,1650431939.25,44156,2915306,41.84
JSWINFRA,EQ,11-Dec-2023,228.4,230.0,235.5,229.65,230.0,231.15,232.02,4621566,1072299895.25,35090,2011640,43.53
JSWINFRA,EQ,08-Dec-2023,236.2,237.85,240.0,224.8,229.0,228.4,230.02,7482839,1721166368.55,55830,4103341,54.84
JSWINFRA,EQ,07-Dec-2023,238.95,241.0,247.5,235.0,236.1,236.2,240.06,9396753,2255758023.1,60511,5173317,55.05
JSWINFRA,EQ,06-Dec-2023,227.05,229.5,244.9,229.0,239.0,238.95,237.68,10704712,2544249610.95,70091,4086358,38.17
JSWINFRA,EQ,05-Dec-2023,217.6,222.8,234.8,222.0,227.0,227.05,227.92,11620466,2648586649.9,75606,4071840,35.04
JSWINFRA,EQ,04-Dec-2023,219.85,227.6,227.6,216.55,218.0,217.6,221.01,5283493,1167717696.55,38925,2966662,56.15
JSWINFRA,EQ,01-Dec-2023,210.5,211.85,224.5,211.1,219.55,219.85,219.1,10488871,2298095291.85,66028,5312454,50.65
JSWINFRA,EQ,30-Nov-2023,210.75,215.0,215.4,207.8,210.65,210.5,211.1,3401542,718075394.45,30177,1477592,43.44
JSWINFRA,EQ,29-Nov-2023,208.4,208.9,217.15,207.55,211.0,210.75,212.75,6690057,1423319211.65,42122,2748835,41.09
JSWINFRA,EQ,28-Nov-2023,206.0,206.75,209.4,202.6,207.85,208.4,206.98,3513501,727226393.8,26477,1813077,51.6
JSWINFRA,EQ,24-Nov-2023,205.9,205.8,207.9,202.55,205.35,206.0,205.06,3374870,692053489.75,25704,1400067,41.49
JSWINFRA,EQ,23-Nov-2023,208.2,209.4,210.3,204.4,205.0,205.9,207.47,2434510,505093340.0,23421,1266522,52.02
JSWINFRA,EQ,22-Nov-2023,207.25,207.5,211.95,205.2,208.05,208.2,208.13,3523114,733267839.6,26227,1531606,43.47
JSWINFRA,EQ,21-Nov-2023,206.55,207.95,209.8,204.05,206.9,207.25,206.9,3695871,764689513.45,24696,1478639,40.01
JSWINFRA,EQ,20-Nov-2023,209.3,211.0,212.45,205.5,206.7,206.55,209.16,3768056,788134264.65,31868,2002988,53.16
JSWINFRA,EQ,17-Nov-2023,202.8,213.45,220.0,207.75,209.95,209.3,213.35,16087741,3432246104.1,96880,6290669,39.1
JSWINFRA,EQ,16-Nov-2023,197.85,198.45,206.65,196.5,203.3,202.8,203.11,6737642,1368491617.0,43871,2778308,41.24
JSWINFRA,EQ,15-Nov-2023,200.4,202.0,202.25,197.15,197.85,197.85,199.71,2728869,544992952.7,21573,1634571,59.9
JSWINFRA,EQ,13-Nov-2023,203.1,202.95,202.95,199.25,201.05,200.4,200.64,3623579,727020923.2,25998,1620652,44.73
JSWINFRA,EQ,12-Nov-2023,197.0,200.0,203.8,199.5,203.0,203.1,201.82,2376223,479557469.85,22018,1382547,58.18
JSWINFRA,EQ,10-Nov-2023,199.4,199.35,206.6,194.85,196.85,197.0,199.21,7928580,1579418718.05,53044,2934908,37.02
JSWINFRA,EQ,09-Nov-2023,202.35,202.5,206.5,198.2,200.15,199.4,202.63,5998279,1215435429.65,39869,2725679,45.44
JSWINFRA,EQ,08-Nov-2023,205.9,208.4,215.45,201.5,202.0,202.35,209.06,18757436,3921367814.65,102491,5659212,30.17
JSWINFRA,EQ,07-Nov-2023,188.3,194.4,207.1,187.35,206.1,205.9,199.25,23030252,4588851399.4,102866,5642254,24.5
JSWINFRA,EQ,06-Nov-2023,171.45,179.0,188.55,177.2,188.55,188.3,186.09,20256529,3769491423.45,67192,6243974,30.82
JSWINFRA,EQ,03-Nov-2023,171.75,172.05,174.7,170.2,171.3,171.45,172.37,2521359,434612551.35,23002,953775,37.83
JSWINFRA,EQ,02-Nov-2023,168.15,170.5,173.0,169.55,171.4,171.75,171.0,1766150,302017948.75,15464,825833,46.76
JSWINFRA,EQ,01-Nov-2023,169.55,170.85,173.5,167.65,168.1,168.15,170.69,2823188,481877854.2,18778,904230,32.03
JSWINFRA,EQ,31-Oct-2023,169.75,171.45,172.9,168.0,169.8,169.55,170.87,2413657,412433290.4,18483,1058372,43.85
JSWINFRA,EQ,30-Oct-2023,176.2,177.4,177.4,168.5,170.2,169.75,170.69,5625385,960188111.45,66430,3240920,57.61
JSWINFRA,EQ,27-Oct-2023,172.2,174.0,179.95,172.75,175.9,176.2,176.86,4251314,751901678.85,36442,1628358,38.3
JSWINFRA,EQ,26-Oct-2023,165.65,166.0,173.45,162.05,172.6,172.2,168.14,5038029,847114260.65,46355,1885382,37.42
JSWINFRA,EQ,25-Oct-2023,167.35,170.0,170.8,162.35,166.0,165.65,166.83,3701887,617588088.55,29662,1438511,38.86
JSWINFRA,EQ,23-Oct-2023,176.1,177.2,178.45,166.5,167.25,167.35,170.13,5466657,930036747.85,41466,2429120,44.44
JSWINFRA,EQ,20-Oct-2023,178.9,179.45,181.5,175.35,176.35,176.1,178.29,3401682,606499408.5,24237,1574973,46.3
JSWINFRA,EQ,19-Oct-2023,175.1,175.0,181.55,174.3,178.0,178.9,178.71,6152869,1099587612.15,36131,2030303,33.0
JSWINFRA,EQ,18-Oct-2023,177.0,178.9,186.35,173.5,175.35,175.1,180.1,16767224,3019714165.5,72884,6254136,37.3
JSWINFRA,EQ,17-Oct-2023,167.85,169.7,177.75,168.3,177.5,177.0,174.22,11425814,1990614600.15,54494,5940096,51.99
JSWINFRA,EQ,16-Oct-2023,170.25,170.9,171.0,165.75,168.0,167.85,167.96,3230784,542654601.95,26935,1832054,56.71
JSWINFRA,EQ,13-Oct-2023,172.15,170.55,174.65,169.35,170.95,170.25,172.0,3828930,658593666.9,28893,1797520,46.95
JSWINFRA,EQ,12-Oct-2023,172.7,173.65,174.8,171.2,172.15,172.15,172.91,3980057,688178097.15,33308,1989334,49.98
JSWINFRA,EQ,11-Oct-2023,169.75,171.75,175.8,170.2,172.9,172.7,173.27,6367753,1103372030.8,50656,2828392,44.42
JSWINFRA,EQ,10-Oct-2023,162.85,164.0,174.8,163.05,169.8,169.75,169.42,11096550,1879981308.9,66943,4841602,43.63
JSWINFRA,EQ,09-Oct-2023,171.6,168.0,169.05,161.2,161.95,162.85,165.32,8685101,1435851640.95,77946,4807157,55.35
JSWINFRA,EQ,06-Oct-2023,163.8,165.15,173.35,164.0,170.95,171.6,169.22,14529445,2458664588.0,87146,5323003,36.64
JSWINFRA,EQ,05-Oct-2023,164.95,166.5,167.85,159.3,164.15,163.8,163.93,14856340,2435452867.15,94819,6879767,46.31
JSWINFRA,EQ,04-Oct-2023,157.3,165.1,168.7,160.4,163.9,164.95,164.32,55015128,9040229144.0,278152,21094581,38.34
JSWINFRA,EQ,03-Oct-2023,119.0,143.0,157.3,142.2,157.3,157.3,150.72,122117170,18405044850.2,259747,71551691,58.59
JSWINFRA,EQ,27-Dec-2024,309.55,313.4,326.95,312.1,322.25,323.0,319.73,4820128,1541155316.75,48842,1550360,32.16
JSWINFRA,EQ,26-Dec-2024,312.3,313.75,315.95,307.0,310.1,309.55,310.7,794057,246715990.2,19325,402662,50.71
JSWINFRA,EQ,24-Dec-2024,313.15,313.35,315.6,310.0,313.4,312.3,313.07,802840,251341694.9,16246,418533,52.13
JSWINFRA,EQ,23-Dec-2024,308.7,315.0,319.0,310.2,312.35,313.15,314.03,3008618,944786080.0,41381,1307801,43.47
JSWINFRA,EQ,20-Dec-2024,313.6,314.7,318.7,304.95,307.05,308.7,311.53,1716995,534890166.0,23235,1080563,62.93
JSWINFRA,EQ,19-Dec-2024,318.25,312.0,318.1,311.1,313.7,313.6,314.36,932557,293162475.9,18204,324364,34.78
