"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
JYOTICNC,EQ,27-Dec-2024,"1,344.90","1,357.05","1,386.00","1,335.80","1,379.00","1,368.60","1,364.26",274181,374055323.15,25203,99930.0,36.45
JYOTICNC,EQ,26-Dec-2024,"1,349.25","1,350.00","1,378.20","1,327.90","1,343.95","1,344.90","1,345.40",273404,367836678.05,23347,128410.0,46.97
JYOTICNC,EQ,24-Dec-2024,"1,355.00","1,367.30","1,383.85","1,344.05","1,350.00","1,349.25","1,361.11",260831,355020535.0,19912,123974.0,47.53
JYOTICNC,EQ,23-Dec-2024,"1,331.85","1,348.00","1,373.50","1,332.60","1,350.15","1,355.00","1,353.12",329294,445574778.45,26886,121763.0,36.98
JYOTICNC,EQ,20-Dec-2024,"1,371.50","1,384.75","1,411.85","1,319.05","1,341.15","1,331.85","1,364.18",585556,798805548.2,37205,186579.0,31.86
JYOTICNC,EQ,19-Dec-2024,"1,412.65","1,373.60","1,405.05","1,361.05","1,370.00","1,371.50","1,383.30",385199,532846470.65,29480,110078.0,28.58
JYOTICNC,EQ,18-Dec-2024,"1,435.90","1,460.00","1,504.30","1,380.50","1,400.00","1,412.65","1,440.12",2291922,3300649229.15,99932,414572.0,18.09
JYOTICNC,EQ,17-Dec-2024,"1,295.40","1,305.90","1,462.80","1,299.05","1,455.00","1,435.90","1,395.41",3110499,4340434922.3,105953,886362.0,28.50
JYOTICNC,EQ,16-Dec-2024,"1,258.15","1,258.15","1,332.00","1,257.95","1,305.00","1,295.40","1,301.79",540343,703410607.95,46100,210432.0,38.94
JYOTICNC,EQ,13-Dec-2024,"1,264.20","1,267.80","1,279.45","1,243.00","1,254.80","1,258.15","1,260.17",263182,331653730.3,24295,129538.0,49.22
JYOTICNC,EQ,12-Dec-2024,"1,313.90","1,322.65","1,325.25","1,260.00","1,266.60","1,264.20","1,277.37",302536,386450986.65,32229,146289.0,48.35
JYOTICNC,EQ,11-Dec-2024,"1,304.20","1,304.20","1,342.00","1,304.15","1,317.00","1,313.90","1,323.47",343131,454122024.65,27310,187882.0,54.76
JYOTICNC,EQ,10-Dec-2024,"1,335.45","1,332.60","1,344.40","1,300.00","1,301.20","1,304.20","1,316.93",177310,233505172.95,19716,98164.0,55.36
JYOTICNC,EQ,09-Dec-2024,"1,340.25","1,340.00","1,352.65","1,315.55","1,333.90","1,335.45","1,338.90",395269,529226297.1,36850,200199.0,50.65
JYOTICNC,EQ,06-Dec-2024,"1,363.45","1,370.00","1,383.30","1,336.25","1,340.00","1,340.25","1,355.84",284782,386119128.45,27017,131402.0,46.14
JYOTICNC,EQ,05-Dec-2024,"1,329.30","1,345.00","1,399.00","1,330.75","1,358.10","1,363.45","1,371.46",870098,1193304595.9,41554,310084.0,35.64
JYOTICNC,EQ,04-Dec-2024,"1,322.55","1,330.00","1,340.00","1,301.00","1,330.00","1,329.30","1,322.94",336245,444830493.5,23697,119799.0,35.63
JYOTICNC,EQ,03-Dec-2024,"1,274.80","1,274.85","1,330.00","1,251.80","1,329.90","1,322.55","1,291.31",1098481,1418479200.8,40419,660506.0,60.13
JYOTICNC,EQ,02-Dec-2024,"1,242.15","1,230.00","1,288.95","1,221.00","1,270.00","1,274.80","1,267.03",389469,493468874.0,24475,173323.0,44.50
JYOTICNC,EQ,29-Nov-2024,"1,248.05","1,249.95","1,268.00","1,231.00","1,243.95","1,242.15","1,244.31",192674,239745240.25,12204,102458.0,53.18
JYOTICNC,EQ,28-Nov-2024,"1,257.05","1,253.00","1,254.60","1,216.05","1,235.10","1,248.05","1,241.31",309911,384694756.65,19850,165282.0,53.33
JYOTICNC,EQ,27-Nov-2024,"1,239.30","1,239.30","1,279.60","1,219.85","1,248.00","1,257.05","1,245.11",287505,357974176.55,17692,99548.0,34.62
JYOTICNC,EQ,26-Nov-2024,"1,221.00","1,218.75","1,251.00","1,195.40","1,235.00","1,239.30","1,220.74",299914,366116822.25,22044,113913.0,37.98
JYOTICNC,EQ,25-Nov-2024,"1,231.15","1,255.00","1,275.00","1,205.05","1,212.00","1,221.00","1,242.01",224876,279298059.2,18072,89189.0,39.66
JYOTICNC,EQ,22-Nov-2024,"1,213.10","1,232.30","1,270.00","1,182.05","1,230.00","1,231.15","1,239.81",535403,663797507.4,28342,174886.0,32.66
JYOTICNC,EQ,21-Nov-2024,"1,167.90","1,171.00","1,230.00","1,154.15","1,215.00","1,213.10","1,204.16",706309,850511605.85,38482,265221.0,37.55
JYOTICNC,EQ,19-Nov-2024,"1,098.50","1,098.50","1,205.00","1,075.00","1,168.00","1,167.90","1,170.60",766151,896855525.45,35840,153870.0,20.08
JYOTICNC,EQ,18-Nov-2024,"1,114.70","1,106.90","1,118.35","1,084.05","1,098.00","1,098.50","1,101.74",220326,242741997.2,12528,146544.0,66.51
JYOTICNC,EQ,14-Nov-2024,"1,050.10","1,045.50","1,155.00","1,045.50","1,100.00","1,114.70","1,104.97",630158,696303177.6,27801,267662.0,42.48
JYOTICNC,EQ,13-Nov-2024,"1,084.25","1,080.00","1,097.90","1,040.75","1,057.00","1,050.10","1,066.02",109791,117039841.3,12322,47940.0,43.66
JYOTICNC,EQ,12-Nov-2024,"1,116.45","1,122.50","1,122.50","1,075.15","1,089.00","1,084.25","1,096.36",100438,110116460.05,12487,56547.0,56.30
JYOTICNC,EQ,11-Nov-2024,"1,130.50","1,160.00","1,160.00","1,105.75","1,111.35","1,116.45","1,124.88",111998,125983822.6,10126,61017.0,54.48
JYOTICNC,EQ,08-Nov-2024,"1,150.90","1,169.00","1,169.00","1,119.15","1,133.00","1,130.50","1,138.14",93620,106553103.0,7550,45165.0,48.24
JYOTICNC,EQ,07-Nov-2024,"1,115.40","1,123.90","1,175.00","1,099.35","1,148.00","1,150.90","1,151.25",244633,281633342.0,16489,112377.0,45.94
JYOTICNC,EQ,06-Nov-2024,"1,070.95","1,055.15","1,127.00","1,055.15","1,118.00","1,115.40","1,109.36",265375,294395691.4,23594,123380.0,46.49
JYOTICNC,EQ,05-Nov-2024,"1,053.40","1,053.40","1,075.75","1,033.10","1,071.70","1,070.95","1,063.94",75411,80232660.0,11125,39503.0,52.38
