"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
KARURVYSYA,EQ,30-Dec-2011,346.35,346.15,349.8,343.05,349.40,346.6,345.39,41888,14467715.45,2017.0,23735.0,56.66
KARURVYSYA,EQ,29-Dec-2011,349.0,349.0,349.95,345.0,345.10,346.35,348.06,16663,5799692.1,778.0,8034.0,48.21
KARURVYSYA,EQ,28-Dec-2011,349.0,347.0,350.0,345.65,349.55,349.0,347.94,27230,9474446.05,1657.0,8282.0,30.41
KARURVYSYA,EQ,27-Dec-2011,348.15,349.0,350.4,345.25,348.50,349.0,349.36,21556,7530763.95,1239.0,10544.0,48.91
KARURVYSYA,EQ,26-Dec-2011,345.3,348.0,349.4,345.0,348.80,348.15,347.77,34018,11830591.3,1671.0,18779.0,55.2
KARURVYSYA,EQ,23-Dec-2011,350.35,356.75,356.75,344.1,344.10,345.3,348.21,44989,15665609.75,2515.0,26926.0,59.85
KARURVYSYA,EQ,22-Dec-2011,347.85,349.0,352.8,345.1,350.90,350.35,349.32,72612,25364692.65,2302.0,50863.0,70.05
KARURVYSYA,EQ,21-Dec-2011,351.25,359.9,359.9,346.0,349.00,347.85,349.64,63577,22229234.6,4812.0,38854.0,61.11
KARURVYSYA,EQ,20-Dec-2011,355.55,355.55,355.55,350.1,350.75,351.25,352.2,54781,19294098.8,3551.0,36490.0,66.61
KARURVYSYA,EQ,19-Dec-2011,363.9,362.0,362.0,353.1,354.00,355.55,357.35,183806,65682235.9,2821.0,161269.0,87.74
KARURVYSYA,EQ,16-Dec-2011,366.95,368.0,372.9,362.0,365.00,363.9,368.82,31619,11661791.35,1432.0,16685.0,52.77
KARURVYSYA,EQ,15-Dec-2011,367.1,368.0,368.0,363.8,367.90,366.95,365.97,15253,5582190.25,699.0,7706.0,50.52
KARURVYSYA,EQ,14-Dec-2011,367.9,369.7,371.5,366.7,367.90,367.1,368.21,27196,10013847.05,916.0,18010.0,66.22
KARURVYSYA,EQ,13-Dec-2011,370.15,372.0,372.0,366.0,366.95,367.9,368.76,46354,17093443.65,1495.0,26898.0,58.03
KARURVYSYA,EQ,12-Dec-2011,378.95,379.0,380.85,367.3,368.05,370.15,373.19,33255,12410330.15,1065.0,20621.0,62.01
KARURVYSYA,EQ,09-Dec-2011,380.2,382.5,384.9,375.6,379.00,378.95,378.84,53953,20439696.95,1353.0,42827.0,79.38
KARURVYSYA,EQ,08-Dec-2011,385.7,384.5,387.7,379.5,380.65,380.2,382.88,39336,15061038.85,1102.0,25902.0,65.85
KARURVYSYA,EQ,07-Dec-2011,390.75,389.0,391.45,384.6,386.85,385.7,388.51,61004,23700847.05,1713.0,42221.0,69.21
KARURVYSYA,EQ,05-Dec-2011,390.3,390.0,392.9,387.05,390.95,390.75,390.9,58777,22976007.45,2137.0,39556.0,67.3
KARURVYSYA,EQ,02-Dec-2011,391.25,386.0,393.95,385.6,386.25,390.3,389.24,87776,34166181.4,2423.0,61075.0,69.58
KARURVYSYA,EQ,01-Dec-2011,394.65,400.0,400.0,388.1,391.00,391.25,392.61,61411,24110558.4,1956.0,30634.0,49.88
KARURVYSYA,EQ,30-Nov-2011,386.65,383.5,396.85,382.05,395.00,394.65,390.03,118678,46287741.4,3462.0,88964.0,74.96
KARURVYSYA,EQ,29-Nov-2011,385.55,386.0,390.4,382.05,386.00,386.65,386.06,66159,25541046.35,1233.0,47818.0,72.28
KARURVYSYA,EQ,28-Nov-2011,374.05,394.0,394.0,372.0,384.50,385.55,383.26,94022,36034787.65,2128.0,71890.0,76.46
KARURVYSYA,EQ,25-Nov-2011,365.6,365.0,375.85,360.15,374.00,374.05,370.2,84597,31317413.15,1689.0,64050.0,75.71
KARURVYSYA,EQ,24-Nov-2011,357.45,360.0,367.9,349.0,366.80,365.6,361.26,93344,33721717.35,2796.0,71557.0,76.66
KARURVYSYA,EQ,23-Nov-2011,361.0,355.5,361.0,355.0,356.60,357.45,357.83,53053,18983805.2,1467.0,38383.0,72.35
KARURVYSYA,EQ,22-Nov-2011,366.8,366.8,371.0,359.0,361.10,361.0,361.16,109872,39681807.3,2770.0,82968.0,75.51
KARURVYSYA,EQ,21-Nov-2011,372.2,373.0,373.0,365.35,366.00,366.8,368.38,25858,9525616.95,1049.0,16582.0,64.13
KARURVYSYA,EQ,18-Nov-2011,374.6,374.0,375.0,370.0,372.55,372.2,371.84,29669,11032160.05,2162.0,19900.0,67.07
KARURVYSYA,EQ,17-Nov-2011,377.25,375.0,377.0,373.5,376.50,374.6,375.07,20984,7870540.7,777.0,12695.0,60.5
KARURVYSYA,EQ,16-Nov-2011,377.05,379.1,379.1,373.0,379.00,377.25,375.38,24861,9332438.9,2413.0,14870.0,59.81
KARURVYSYA,EQ,15-Nov-2011,378.45,378.0,382.05,375.65,376.00,377.05,379.02,24463,9271980.65,883.0,16312.0,66.68
KARURVYSYA,EQ,14-Nov-2011,381.2,389.0,389.0,377.0,378.90,378.45,381.69,54185,20681671.05,1447.0,25966.0,47.92
