"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
KFINTECH,EQ,28-Dec-2023,503.15,505.95,510.8,490.55,492.3,493.25,500.07,699377,349734331.65,28905,398194,56.94
KFINTECH,EQ,27-Dec-2023,502.6,506.5,507.6,498.8,501.0,503.15,503.11,301110,151490268.75,15703,174521,57.96
KFINTECH,EQ,26-Dec-2023,491.85,491.85,505.0,488.7,500.1,502.6,500.48,1041747,521377279.55,33050,690200,66.25
KFINTECH,EQ,22-Dec-2023,485.35,492.35,494.0,484.05,492.0,491.85,489.25,499598,244428494.9,23877,230920,46.22
KFINTECH,EQ,21-Dec-2023,468.0,465.0,493.7,456.25,487.0,485.35,485.2,1548623,751386088.3,48622,964189,62.26
KFINTECH,EQ,20-Dec-2023,488.2,492.95,495.8,458.8,471.25,468.0,485.23,1955712,948974649.4,72519,1168836,59.77
KFINTECH,EQ,19-Dec-2023,512.9,511.45,511.6,486.0,487.5,488.2,494.6,2352453,1163522936.05,68454,1495184,63.56
KFINTECH,EQ,18-Dec-2023,514.75,510.8,522.0,505.9,511.5,512.9,515.65,1547509,797974945.9,35589,748248,48.35
KFINTECH,EQ,15-Dec-2023,531.8,518.0,524.0,482.85,509.0,514.75,500.54,33831775,16934014980.3,160754,20074013,59.33
KFINTECH,EQ,14-Dec-2023,503.75,519.0,547.0,513.35,533.5,531.8,533.78,1302785,695395092.6,65877,338233,25.96
KFINTECH,EQ,13-Dec-2023,511.45,514.05,514.05,493.35,505.5,503.75,501.32,204498,102519214.9,17366,120745,59.04
KFINTECH,EQ,12-Dec-2023,517.8,521.8,527.4,506.55,515.0,511.45,514.89,229504,118169278.8,15613,165356,72.05
KFINTECH,EQ,11-Dec-2023,519.55,522.3,526.45,516.05,517.1,517.8,518.79,101910,52869771.1,9219,55374,54.34
KFINTECH,EQ,08-Dec-2023,539.05,544.4,544.95,515.05,520.5,519.55,524.47,201345,105599021.9,19273,112190,55.72
KFINTECH,EQ,07-Dec-2023,531.5,532.0,552.25,529.05,536.05,539.05,539.24,206786,111507774.0,17998,77120,37.29
KFINTECH,EQ,06-Dec-2023,530.15,528.4,535.85,525.0,527.0,531.5,530.23,106705,56578452.2,9069,50370,47.2
KFINTECH,EQ,05-Dec-2023,536.8,542.0,542.0,525.05,530.5,530.15,531.2,200668,106594036.2,21108,117768,58.69
KFINTECH,EQ,04-Dec-2023,535.15,546.8,548.0,533.5,533.5,536.8,538.34,126312,67998338.6,9624,65463,51.83
KFINTECH,EQ,01-Dec-2023,529.1,534.0,544.4,530.8,534.8,535.15,538.93,177059,95422913.65,10796,62943,35.55
KFINTECH,EQ,30-Nov-2023,525.55,525.55,534.0,523.7,532.5,529.1,526.71,392150,206550368.7,15263,289609,73.85
KFINTECH,EQ,29-Nov-2023,525.1,529.5,531.55,521.8,527.1,525.55,525.92,245925,129336312.2,8506,184627,75.07
KFINTECH,EQ,28-Nov-2023,525.2,529.0,532.75,522.95,525.8,525.1,525.82,207932,109334807.85,9081,140068,67.36
KFINTECH,EQ,24-Nov-2023,513.0,517.0,535.45,512.85,529.8,525.2,527.9,603348,318505188.55,21223,362328,60.05
KFINTECH,EQ,23-Nov-2023,520.55,520.55,524.15,510.0,511.5,513.0,515.4,326986,168528313.2,13225,212564,65.01
KFINTECH,EQ,22-Nov-2023,524.7,526.0,526.0,518.0,520.0,520.55,521.17,94828,49421569.35,5894,53131,56.03
KFINTECH,EQ,21-Nov-2023,533.6,538.4,538.65,524.25,525.4,524.7,527.01,163987,86422770.6,9648,90834,55.39
KFINTECH,EQ,20-Nov-2023,531.7,536.1,537.9,522.05,534.1,533.6,531.28,224013,119013500.35,14280,82729,36.93
KFINTECH,EQ,17-Nov-2023,526.3,528.0,563.7,526.2,531.45,531.7,544.25,643063,349986012.45,36186,209724,32.61
KFINTECH,EQ,16-Nov-2023,524.35,526.8,538.5,521.0,528.95,526.3,529.65,393750,208550665.25,12773,274352,69.68
KFINTECH,EQ,15-Nov-2023,514.85,524.75,534.0,517.7,525.25,524.35,524.89,320976,168477243.35,17689,168430,52.47
KFINTECH,EQ,13-Nov-2023,527.95,529.8,529.8,512.15,518.0,514.85,516.34,209207,108021002.7,12631,109473,52.33
KFINTECH,EQ,12-Nov-2023,511.05,521.0,530.35,514.3,528.0,527.95,526.66,189555,99831694.85,6175,96414,50.86
KFINTECH,EQ,10-Nov-2023,509.3,510.6,534.4,506.1,514.25,511.05,521.33,1006237,524581204.6,35496,350292,34.81
KFINTECH,EQ,09-Nov-2023,476.5,479.9,522.45,475.3,510.0,509.3,510.68,2398157,1224702214.6,69309,613992,25.6
KFINTECH,EQ,08-Nov-2023,483.85,488.0,489.45,472.85,473.5,476.5,482.22,146211,70505823.85,8042,67255,46.0
KFINTECH,EQ,07-Nov-2023,477.5,476.05,487.55,471.95,482.8,483.85,481.55,327261,157592551.1,15771,144002,44.0
KFINTECH,EQ,06-Nov-2023,469.7,472.0,479.95,467.45,478.0,477.5,474.5,256636,121773575.05,11764,154131,60.06
KFINTECH,EQ,03-Nov-2023,465.05,468.8,474.5,462.25,471.0,469.7,470.18,227305,106873825.9,10432,134967,59.38
KFINTECH,EQ,02-Nov-2023,452.75,450.0,469.0,450.0,465.7,465.05,460.49,237236,109244644.3,10731,119790,50.49
KFINTECH,EQ,01-Nov-2023,451.8,452.75,464.65,447.4,453.0,452.75,454.69,458918,208664362.2,20211,221191,48.2
KFINTECH,EQ,31-Oct-2023,451.75,455.0,459.0,451.0,452.0,451.8,452.5,136058,61566543.45,7971,94614,69.54
KFINTECH,EQ,30-Oct-2023,451.75,455.0,455.2,446.3,451.75,451.75,451.06,92172,41575508.1,5222,53257,57.78
KFINTECH,EQ,27-Oct-2023,437.95,439.35,455.5,439.35,450.6,451.75,451.83,196006,88561573.5,14936,86183,43.97
KFINTECH,EQ,26-Oct-2023,446.7,446.05,446.7,425.55,438.4,437.95,432.32,262605,113528951.4,23389,143619,54.69
KFINTECH,EQ,25-Oct-2023,453.05,454.0,466.0,440.25,447.5,446.7,448.65,243863,109408490.7,17081,112839,46.27
KFINTECH,EQ,23-Oct-2023,461.35,485.0,485.0,447.6,452.7,453.05,464.11,772400,358481480.6,35399,240002,31.07
KFINTECH,EQ,20-Oct-2023,453.35,453.0,467.15,447.3,462.55,461.35,456.01,411887,187822584.2,14574,231459,56.19
KFINTECH,EQ,19-Oct-2023,450.15,457.0,482.9,446.1,453.15,453.35,461.12,1183152,545575133.55,49252,238487,20.16
KFINTECH,EQ,18-Oct-2023,455.05,454.0,458.1,444.45,453.9,450.15,449.28,126576,56867724.45,9440,60264,47.61
KFINTECH,EQ,17-Oct-2023,457.55,465.0,465.0,452.7,455.3,455.05,457.41,116652,53358004.9,7377,54112,46.39
KFINTECH,EQ,16-Oct-2023,468.5,467.95,469.85,455.3,459.0,457.55,461.2,111387,51371392.85,7716,58132,52.19
KFINTECH,EQ,13-Oct-2023,468.5,469.9,479.5,465.3,469.85,468.5,472.43,153342,72442899.4,8675,64115,41.81
KFINTECH,EQ,12-Oct-2023,469.0,475.8,480.0,464.55,468.05,468.5,471.5,251336,118505256.1,8837,87130,34.67
KFINTECH,EQ,11-Oct-2023,466.65,466.65,483.8,463.8,470.0,469.0,473.31,413195,195568693.8,16758,171987,41.62
KFINTECH,EQ,10-Oct-2023,456.45,463.25,469.85,452.7,467.9,466.65,463.31,80519,37305508.45,6817,37160,46.15
KFINTECH,EQ,09-Oct-2023,464.0,455.0,463.0,449.0,455.5,456.45,456.54,112122,51187971.95,9604,53315,47.55
KFINTECH,EQ,06-Oct-2023,468.4,466.05,471.15,462.0,466.8,464.0,465.08,70086,32595906.0,6327,32717,46.68
KFINTECH,EQ,05-Oct-2023,473.9,478.1,479.5,466.0,466.0,468.4,470.18,116340,54700509.5,6458,53037,45.59
KFINTECH,EQ,04-Oct-2023,485.45,485.45,487.95,470.2,474.2,473.9,477.17,128420,61278686.95,9081,51453,40.07
KFINTECH,EQ,03-Oct-2023,469.45,471.65,493.25,465.3,483.9,485.45,484.39,364413,176517370.15,20965,147878,40.58
KFINTECH,EQ,29-Sep-2023,469.45,475.0,478.2,464.8,468.3,469.45,471.52,146038,68859766.35,9354,71443,48.92
KFINTECH,EQ,28-Sep-2023,464.8,465.8,474.25,458.25,465.3,469.45,467.24,168243,78609225.2,9520,92767,55.14
KFINTECH,EQ,27-Sep-2023,460.15,462.4,467.9,458.3,467.0,464.8,462.98,106368,49245810.45,6412,44189,41.54
KFINTECH,EQ,26-Sep-2023,457.05,457.1,464.0,456.05,461.4,460.15,460.22,101262,46602586.7,7867,47577,46.98
KFINTECH,EQ,25-Sep-2023,451.45,455.0,461.4,451.8,457.25,457.05,457.85,112943,51711360.35,7854,39985,35.4
KFINTECH,EQ,22-Sep-2023,448.2,446.15,459.3,446.15,451.5,451.45,453.59,139183,63132503.2,7431,44197,31.75
KFINTECH,EQ,21-Sep-2023,451.6,453.3,469.35,445.0,449.75,448.2,457.51,313224,143304286.95,14550,62806,20.05
KFINTECH,EQ,20-Sep-2023,453.35,450.1,461.45,444.4,449.25,451.6,452.2,131206,59331731.3,7728,46458,35.41
KFINTECH,EQ,18-Sep-2023,464.95,463.9,470.5,446.6,452.0,453.35,460.27,133227,61319888.45,8643,56666,42.53
KFINTECH,EQ,15-Sep-2023,456.9,461.1,472.2,456.05,463.9,464.95,465.6,233982,108941792.6,13439,94307,40.31
KFINTECH,EQ,14-Sep-2023,466.9,468.95,476.0,455.15,457.4,456.9,462.35,141837,65577938.3,8516,64818,45.7
KFINTECH,EQ,13-Sep-2023,455.45,457.75,482.0,443.15,465.25,466.9,456.87,221507,101199196.7,12326,91146,41.15
KFINTECH,EQ,12-Sep-2023,476.85,483.1,484.7,425.55,460.75,455.45,462.46,478653,221359064.4,27941,209600,43.79
KFINTECH,EQ,11-Sep-2023,461.3,463.65,482.9,462.45,480.0,476.85,475.41,571923,271896571.55,26206,259972,45.46
KFINTECH,EQ,08-Sep-2023,450.15,453.0,463.9,449.05,463.0,461.3,459.44,312398,143528657.95,14481,147922,47.35
KFINTECH,EQ,07-Sep-2023,449.2,451.35,454.2,446.0,448.8,450.15,451.07,115805,52236513.3,6771,52973,45.74
KFINTECH,EQ,06-Sep-2023,456.1,456.1,460.85,446.6,448.0,449.2,452.35,354932,160554328.2,17811,127182,35.83
KFINTECH,EQ,05-Sep-2023,443.75,440.7,460.85,440.7,453.0,456.1,451.51,355047,160307091.9,15521,172874,48.69
KFINTECH,EQ,04-Sep-2023,443.65,443.65,447.15,437.05,443.1,443.75,443.24,217024,96192657.55,10864,89168,41.09
KFINTECH,EQ,01-Sep-2023,448.15,448.15,453.2,440.25,444.0,443.65,448.1,425304,190577829.4,17219,169555,39.87
KFINTECH,EQ,31-Aug-2023,434.0,433.0,450.0,426.5,446.0,448.15,441.71,835196,368910375.75,22969,288143,34.5
KFINTECH,EQ,30-Aug-2023,419.45,423.6,438.8,420.5,428.0,434.0,431.79,1250509,539951707.85,26803,550756,44.04
KFINTECH,EQ,29-Aug-2023,423.35,424.0,428.65,412.35,418.0,419.45,421.15,345408,145467669.8,11218,153502,44.44
KFINTECH,EQ,28-Aug-2023,427.85,430.8,442.0,418.2,421.0,423.35,428.52,1358423,582112796.95,31431,314046,23.12
KFINTECH,EQ,25-Aug-2023,384.45,408.0,439.7,404.0,429.25,427.85,426.87,9914630,4232272331.45,154359,874268,8.82
