"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
KIMS,EQ,28-Dec-2021,"1,333.30","1,339.50","1,365.00","1,333.85","1,352.50","1,351.45","1,350.67",49601,66994629.05,4574,25333.0,51.07
KIMS,EQ,27-Dec-2021,"1,350.25","1,341.00","1,367.30","1,317.70","1,340.00","1,333.30","1,341.66",51604,69234993.75,4581,16798.0,32.55
KIMS,EQ,24-Dec-2021,"1,323.60","1,345.00","1,355.00","1,310.05","1,346.10","1,350.25","1,337.58",79373,106167391.2,5579,42851.0,53.99
KIMS,EQ,23-Dec-2021,"1,335.35","1,337.00","1,359.95","1,316.10","1,319.80","1,323.60","1,344.39",46149,62042300.35,4842,22235.0,48.18
KIMS,EQ,22-Dec-2021,"1,303.00","1,314.90","1,356.00","1,308.00","1,333.00","1,335.35","1,333.41",78268,104363140.25,5173,43629.0,55.74
KIMS,EQ,21-Dec-2021,"1,275.65","1,278.20","1,339.95","1,278.20","1,307.30","1,303.00","1,318.16",123206,162404809.0,12787,78461.0,63.68
KIMS,EQ,20-Dec-2021,"1,326.90","1,302.00","1,314.45","1,254.95","1,279.50","1,275.65","1,272.25",94507,120236704.0,8971,49512.0,52.39
KIMS,EQ,17-Dec-2021,"1,313.90","1,304.00","1,343.90","1,300.00","1,323.00","1,326.90","1,324.18",78460,103895261.85,7341,32851.0,41.87
KIMS,EQ,16-Dec-2021,"1,321.40","1,334.00","1,343.50","1,275.00","1,315.00","1,313.90","1,304.71",96201,125514572.45,9330,39711.0,41.28
KIMS,EQ,15-Dec-2021,"1,351.85","1,354.70","1,361.25","1,315.00","1,324.75","1,321.40","1,335.97",46914,62675545.45,4199,19283.0,41.1
KIMS,EQ,14-Dec-2021,"1,337.35","1,337.35","1,368.90","1,316.00","1,356.00","1,351.85","1,345.56",117786,158488394.85,7854,44215.0,37.54
KIMS,EQ,13-Dec-2021,"1,372.10","1,382.00","1,397.70","1,335.00","1,340.00","1,337.35","1,355.21",106613,144482917.4,8234,41320.0,38.76
KIMS,EQ,10-Dec-2021,"1,394.15","1,394.00","1,437.85","1,317.50","1,369.00","1,372.10","1,404.13",285380,400709286.8,21691,89680.0,31.42
KIMS,EQ,09-Dec-2021,"1,319.30","1,334.40","1,418.00","1,324.90","1,390.00","1,394.15","1,388.89",449903,624866703.8,29247,145200.0,32.27
KIMS,EQ,08-Dec-2021,"1,334.90","1,353.60","1,355.00","1,315.05","1,320.50","1,319.30","1,335.10",78902,105342446.75,7856,39355.0,49.88
KIMS,EQ,07-Dec-2021,"1,326.55","1,344.00","1,357.80","1,307.00","1,332.15","1,334.90","1,335.72",153356,204840235.35,14983,48044.0,31.33
KIMS,EQ,06-Dec-2021,"1,339.45","1,345.00","1,426.00","1,307.25","1,330.05","1,326.55","1,365.88",550316,751667786.4,40237,169192.0,30.74
KIMS,EQ,03-Dec-2021,"1,279.75","1,289.90","1,355.10","1,283.00","1,337.00","1,339.45","1,332.18",1812927,2415145239.0,35194,1123117.0,61.95
KIMS,EQ,02-Dec-2021,"1,230.20","1,229.00","1,290.00","1,229.00","1,282.00","1,279.75","1,275.47",366885,467951594.55,20168,243862.0,66.47
KIMS,EQ,01-Dec-2021,"1,240.85","1,239.70","1,248.90","1,210.30","1,230.00","1,230.20","1,229.48",54571,67093968.8,6850,20849.0,38.21
KIMS,EQ,30-Nov-2021,"1,229.05","1,274.00","1,282.60","1,200.90","1,200.90","1,240.85","1,245.91",393282,489992354.65,25269,308475.0,78.44
KIMS,EQ,29-Nov-2021,"1,232.80","1,231.20","1,274.90","1,172.05","1,230.00","1,229.05","1,233.99",112087,138314793.75,14927,41148.0,36.71
KIMS,EQ,26-Nov-2021,"1,272.05","1,249.00","1,290.00","1,201.20","1,231.20","1,232.80","1,250.06",187965,234968149.7,20341,82907.0,44.11
KIMS,EQ,25-Nov-2021,"1,188.55","1,207.50","1,317.20","1,191.75","1,274.00","1,272.05","1,278.04",493279,630431009.6,35150,206225.0,41.81
KIMS,EQ,24-Nov-2021,"1,189.90","1,199.90","1,213.35","1,176.15","1,180.00","1,188.55","1,194.42",91275,109020341.05,14965,65800.0,72.09
KIMS,EQ,23-Nov-2021,"1,185.10","1,185.00","1,199.00","1,175.45","1,192.00","1,189.90","1,187.41",78456,93159678.95,9653,53410.0,68.08
KIMS,EQ,22-Nov-2021,"1,257.75","1,279.45","1,279.45","1,125.00","1,183.95","1,185.10","1,172.29",220566,258567860.4,23846,121923.0,55.28
KIMS,EQ,18-Nov-2021,"1,230.25","1,240.00","1,269.85","1,230.00","1,262.00","1,257.75","1,258.99",380220,478695040.1,17985,249248.0,65.55
KIMS,EQ,17-Nov-2021,"1,191.70","1,175.00","1,235.00","1,175.00","1,230.80","1,230.25","1,216.94",371316,451868987.25,26437,196177.0,52.83
KIMS,EQ,16-Nov-2021,"1,199.60","1,202.00","1,217.95","1,184.00","1,194.00","1,191.70","1,200.54",66117,79376289.2,10614,37860.0,57.26
KIMS,EQ,15-Nov-2021,"1,201.05","1,200.00","1,218.40","1,180.00","1,195.10","1,199.60","1,198.48",107090,128345264.55,8068,68500.0,63.96
KIMS,EQ,12-Nov-2021,"1,217.90","1,215.00","1,217.75","1,181.60","1,193.10","1,201.05","1,205.51",159370,192121559.05,18687,95948.0,60.2
KIMS,EQ,11-Nov-2021,"1,174.75","1,160.00","1,226.45","1,000.00","1,220.35","1,217.90","1,202.82",421429,506905166.45,28915,234605.0,55.67
KIMS,EQ,10-Nov-2021,"1,175.15","1,175.15","1,193.00","1,163.55","1,180.00","1,174.75","1,178.91",54833,64643180.05,6142,35016.0,63.86
KIMS,EQ,09-Nov-2021,"1,174.40","1,175.00","1,185.00","1,150.00","1,175.00","1,175.15","1,174.30",35552,41748770.05,3720,22565.0,63.47
KIMS,EQ,08-Nov-2021,"1,160.25","1,170.00","1,186.00","1,161.30","1,175.00","1,174.40","1,174.18",71325,83748552.95,9346,44017.0,61.71
KIMS,EQ,04-Nov-2021,"1,154.00","1,160.10","1,174.00","1,155.00","1,165.05","1,160.25","1,162.14",27502,31961079.75,2492,17573.0,63.9
KIMS,EQ,03-Nov-2021,"1,122.15","1,125.00","1,159.00","1,106.10","1,153.80","1,154.00","1,140.03",120639,137531882.2,15575,56039.0,46.45
KIMS,EQ,02-Nov-2021,"1,121.00","1,139.70","1,139.70","1,109.85","1,116.05","1,122.15","1,123.07",47792,53673906.75,5451,29399.0,61.51
KIMS,EQ,01-Nov-2021,"1,115.55","1,132.30","1,142.20","1,099.30","1,125.35","1,121.00","1,116.21",83568,93279769.9,10045,45592.0,54.56
