"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
KALPATPOWR,EQ,30-Dec-2011,92.9,93.9,97.95,90.7,96.25,93.6,93.33,64398,6010429.5,763.0,62385.0,96.87
KALPATPOWR,EQ,29-Dec-2011,92.3,91.5,93.0,90.15,92.7,92.9,92.31,8326,768589.2,97.0,7778.0,93.42
KALPATPOWR,EQ,28-Dec-2011,92.9,92.0,92.6,90.9,92.5,92.3,92.14,3947,363687.4,120.0,3062.0,77.58
KALPATPOWR,EQ,27-Dec-2011,91.75,94.5,94.5,91.5,92.95,92.9,92.53,10744,994186.8,83.0,10177.0,94.72
KALPATPOWR,EQ,26-Dec-2011,90.95,90.6,92.0,90.6,91.0,91.75,91.54,8120,743271.1,171.0,5754.0,70.86
KALPATPOWR,EQ,23-Dec-2011,90.25,90.25,92.5,90.0,90.55,90.95,91.31,4965,453362.15,369.0,2179.0,43.89
KALPATPOWR,EQ,22-Dec-2011,90.7,90.5,91.75,89.0,90.05,90.25,90.08,13986,1259817.05,551.0,9662.0,69.08
KALPATPOWR,EQ,21-Dec-2011,90.2,91.0,93.95,89.0,90.5,90.7,90.6,7893,715135.2,371.0,5255.0,66.58
KALPATPOWR,EQ,20-Dec-2011,91.05,90.3,94.75,90.0,90.0,90.2,90.52,7892,714386.85,335.0,4238.0,53.7
KALPATPOWR,EQ,19-Dec-2011,93.9,93.0,95.7,89.3,94.8,91.05,90.55,58228,5272421.5,1314.0,48368.0,83.07
KALPATPOWR,EQ,16-Dec-2011,94.85,94.8,98.25,93.6,94.7,93.9,95.12,33711,3206712.2,900.0,28988.0,85.99
KALPATPOWR,EQ,15-Dec-2011,96.45,96.05,98.0,91.5,98.0,94.85,94.2,257976,24302455.1,1197.0,246497.0,95.55
KALPATPOWR,EQ,14-Dec-2011,97.8,98.0,98.0,96.05,96.2,96.45,96.93,13735,1331310.7,585.0,11211.0,81.62
KALPATPOWR,EQ,13-Dec-2011,99.0,97.0,99.0,97.0,97.9,97.8,98.03,170274,16691500.6,290.0,168620.0,99.03
KALPATPOWR,EQ,12-Dec-2011,99.05,101.8,101.85,98.5,98.5,99.0,99.13,5866,581489.3,185.0,4716.0,80.4
KALPATPOWR,EQ,09-Dec-2011,98.7,98.0,100.5,98.0,99.0,99.05,99.09,4671,462840.55,359.0,2351.0,50.33
KALPATPOWR,EQ,08-Dec-2011,99.8,99.2,101.45,98.5,98.55,98.7,99.02,3455,342109.2,169.0,1998.0,57.83
KALPATPOWR,EQ,07-Dec-2011,100.45,101.0,102.35,99.55,99.75,99.8,100.12,11846,1186048.15,154.0,9911.0,83.67
KALPATPOWR,EQ,05-Dec-2011,100.45,99.5,101.0,98.05,100.35,100.45,100.48,26709,2683697.85,824.0,20991.0,78.59
KALPATPOWR,EQ,02-Dec-2011,100.25,99.85,101.0,99.65,100.0,100.45,100.08,47354,4739263.85,2520.0,40787.0,86.13
KALPATPOWR,EQ,01-Dec-2011,102.0,105.45,105.45,99.6,99.85,100.25,102.05,41100,4194422.7,812.0,29062.0,70.71
KALPATPOWR,EQ,30-Nov-2011,102.3,101.5,104.4,99.65,101.05,102.0,101.92,30307,3088742.55,610.0,22811.0,75.27
KALPATPOWR,EQ,29-Nov-2011,100.65,102.0,103.5,99.35,103.0,102.3,101.31,8720,883429.4,269.0,6155.0,70.58
KALPATPOWR,EQ,28-Nov-2011,99.45,101.0,101.95,99.0,101.5,100.65,100.46,16853,1693035.75,424.0,11366.0,67.44
KALPATPOWR,EQ,25-Nov-2011,98.05,97.0,104.75,97.0,99.0,99.45,101.28,29964,3034875.65,849.0,21033.0,70.19
KALPATPOWR,EQ,24-Nov-2011,98.9,98.5,99.95,97.05,98.25,98.05,98.03,76960,7544180.8,396.0,72509.0,94.22
KALPATPOWR,EQ,23-Nov-2011,100.0,100.1,100.85,97.5,98.65,98.9,98.53,22796,2245998.85,582.0,17608.0,77.24
KALPATPOWR,EQ,22-Nov-2011,99.9,101.65,101.65,99.05,99.75,100.0,99.99,84453,8444128.35,794.0,83289.0,98.62
KALPATPOWR,EQ,21-Nov-2011,101.75,100.0,102.0,99.0,100.0,99.9,100.0,51059,5105711.25,570.0,49614.0,97.17
KALPATPOWR,EQ,18-Nov-2011,102.7,101.0,102.85,99.1,100.7,101.75,100.86,34898,3519787.65,836.0,26682.0,76.46
KALPATPOWR,EQ,17-Nov-2011,101.25,102.9,106.45,97.05,104.0,102.7,101.19,210238,21274072.4,2586.0,58180.0,27.67
KALPATPOWR,EQ,16-Nov-2011,101.3,100.6,104.0,98.0,103.95,101.25,99.83,46893,4681106.25,530.0,40119.0,85.55
KALPATPOWR,EQ,15-Nov-2011,103.55,103.0,104.75,100.55,101.5,101.3,102.09,11696,1194001.35,480.0,8692.0,74.32
KALPATPOWR,EQ,14-Nov-2011,104.4,105.1,105.85,103.1,103.5,103.55,104.06,15424,1604983.25,436.0,11660.0,75.6
KALPATPOWR,EQ,11-Nov-2011,103.5,102.6,105.95,102.6,104.8,104.4,104.79,45455,4763129.3,606.0,37369.0,82.21
KALPATPOWR,EQ,09-Nov-2011,106.55,106.55,107.4,103.1,103.1,103.5,104.96,13904,1459351.7,388.0,9291.0,66.82
KALPATPOWR,EQ,08-Nov-2011,108.9,109.8,109.9,103.0,107.05,106.55,105.7,47292,4998911.45,1461.0,26322.0,55.66
KALPATPOWR,EQ,04-Nov-2011,107.65,109.65,109.65,107.05,108.55,108.9,108.65,25145,2731912.25,681.0,20704.0,82.34
KALPATPOWR,EQ,03-Nov-2011,108.5,109.7,109.7,107.05,107.8,107.65,108.35,9332,1011130.55,318.0,5150.0,55.19
KALPATPOWR,EQ,02-Nov-2011,109.4,108.0,109.45,107.25,108.45,108.5,108.04,6010,649338.6,239.0,3183.0,52.96
KALPATPOWR,EQ,01-Nov-2011,109.7,120.0,120.0,106.25,109.5,109.4,109.28,32738,3577577.6,1076.0,20991.0,64.12
KALPATPOWR,EQ,31-Oct-2011,108.5,109.0,112.5,109.0,110.0,109.7,109.55,350107,38355074.75,652.0,335967.0,95.96
KALPATPOWR,EQ,28-Oct-2011,104.8,105.0,110.0,105.0,108.65,108.5,108.03,362309,39139571.75,2402.0,347036.0,95.78
KALPATPOWR,EQ,26-Oct-2011,102.5,103.5,105.9,103.5,104.25,104.8,104.79,8814,923601.9,273.0,5964.0,67.67
KALPATPOWR,EQ,25-Oct-2011,99.2,101.0,106.1,98.55,102.95,102.5,101.1,35633,3602350.7,714.0,29370.0,82.42
KALPATPOWR,EQ,24-Oct-2011,98.95,98.95,100.45,98.8,99.0,99.2,99.61,43497,4332598.7,504.0,30831.0,70.88
KALPATPOWR,EQ,24-Oct-2011,98.95,98.95,100.45,98.8,99.0,99.2,99.61,43497,4332598.7,504.0,30831.0,70.88
KALPATPOWR,EQ,21-Oct-2011,99.25,98.5,100.0,98.5,99.35,98.95,99.2,5264,522212.8,212.0,3047.0,57.88
KALPATPOWR,EQ,20-Oct-2011,99.8,98.55,100.0,98.0,99.3,99.25,99.5,11182,1112652.5,349.0,8093.0,72.38
KALPATPOWR,EQ,19-Oct-2011,99.2,99.0,100.9,99.0,99.9,99.8,99.97,13574,1356983.35,333.0,6637.0,48.89
KALPATPOWR,EQ,18-Oct-2011,99.3,98.9,99.95,98.0,98.5,99.2,98.83,14720,1454828.2,340.0,10353.0,70.33
KALPATPOWR,EQ,17-Oct-2011,100.5,100.5,101.9,98.9,99.3,99.3,100.12,21622,2164879.85,503.0,12954.0,59.91
KALPATPOWR,EQ,14-Oct-2011,101.75,102.05,102.05,99.1,100.0,100.5,100.33,24800,2488129.3,669.0,10934.0,44.09
