"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
LAURUSLABS,EQ,29-Dec-2016,486.25,488.8,498.9,476.7,481.0,480.25,488.83,374148,182896633.5,10513,111958.0,29.92
LAURUSLABS,EQ,28-Dec-2016,481.25,483.0,490.0,474.3,488.4,486.25,485.05,863731,418951943.5,22775,350240.0,40.55
LAURUSLABS,EQ,27-Dec-2016,455.2,457.5,491.4,453.3,481.1,481.25,479.75,1592573,764035103.65,46313,552667.0,34.7
LAURUSLABS,EQ,26-Dec-2016,475.65,475.0,477.0,452.2,455.0,455.2,459.0,447513,205409477.2,18688,219243.0,48.99
LAURUSLABS,EQ,23-Dec-2016,474.55,474.95,478.0,471.1,476.0,475.65,474.16,418933,198639372.95,9460,249619.0,59.58
LAURUSLABS,EQ,22-Dec-2016,473.4,472.0,477.9,470.0,474.0,474.55,473.2,1126022,532834742.6,40873,757284.0,67.25
LAURUSLABS,EQ,21-Dec-2016,473.7,474.0,480.0,470.0,474.1,473.4,474.03,924077,438039117.45,29793,342215.0,37.03
LAURUSLABS,EQ,20-Dec-2016,480.4,482.8,489.45,465.7,474.55,473.7,476.44,2555044,1217328243.55,60268,975045.0,38.16
LAURUSLABS,EQ,19-Dec-2016,428.0,489.9,498.0,475.0,480.0,480.4,481.92,17548335,8456851479.65,329184,7808546.0,44.5
LAURUSLABS,EQ,29-Dec-2017,539.3,540.05,545.4,537.5,543.0,542.9,542.04,57660,31253749.05,1628,37260.0,64.62
LAURUSLABS,EQ,28-Dec-2017,543.6,543.6,546.0,538.0,542.4,539.3,541.7,56814,30776248.35,1496,36854.0,64.87
LAURUSLABS,EQ,27-Dec-2017,545.2,540.65,551.35,539.0,542.05,543.6,546.45,265559,145115368.7,2975,81483.0,30.68
LAURUSLABS,EQ,26-Dec-2017,551.5,555.1,558.0,544.55,546.25,545.2,547.46,95573,52322560.1,3742,69413.0,72.63
LAURUSLABS,EQ,22-Dec-2017,563.45,567.0,579.9,550.0,550.0,551.5,563.07,196706,110758382.5,4345,114436.0,58.18
LAURUSLABS,EQ,21-Dec-2017,536.35,539.65,572.45,539.65,564.9,563.45,561.05,469509,263415982.8,12750,220463.0,46.96
LAURUSLABS,EQ,20-Dec-2017,530.4,534.8,540.4,530.6,539.9,536.35,536.61,368919,197966945.65,11951,253383.0,68.68
LAURUSLABS,EQ,19-Dec-2017,533.45,536.0,539.8,528.6,530.0,530.4,535.58,135225,72424174.1,7457,91499.0,67.66
LAURUSLABS,EQ,18-Dec-2017,523.85,530.0,539.8,505.0,535.0,533.45,531.47,192617,102369696.75,4581,99638.0,51.73
LAURUSLABS,EQ,15-Dec-2017,525.9,530.0,534.0,523.0,523.3,523.85,526.13,52124,27424203.4,1855,34125.0,65.47
LAURUSLABS,EQ,14-Dec-2017,518.3,520.6,530.9,515.6,524.0,525.9,523.38,167575,87706149.55,4345,99325.0,59.27
LAURUSLABS,EQ,13-Dec-2017,503.9,511.0,522.8,506.5,518.7,518.3,514.89,117039,60261943.5,2559,74257.0,63.45
LAURUSLABS,EQ,12-Dec-2017,512.9,523.0,523.0,501.9,503.9,503.9,504.92,100549,50769397.9,3666,59618.0,59.29
LAURUSLABS,EQ,11-Dec-2017,503.35,503.0,523.35,503.0,515.0,512.9,514.12,108729,55899595.9,4497,42831.0,39.39
LAURUSLABS,EQ,08-Dec-2017,517.95,520.0,522.8,499.0,500.0,503.35,508.44,183029,93059758.1,7890,141178.0,77.13
LAURUSLABS,EQ,07-Dec-2017,519.8,520.15,523.4,515.1,518.5,517.95,518.08,63287,32787674.5,3022,36792.0,58.14
