"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
L&TFH,EQ,30-Dec-2011,43.15,43.1,43.5,42.75,42.75,42.85,43.04,196784,8470059.95,1375,135198.0,68.7
L&TFH,EQ,29-Dec-2011,43.6,43.5,43.6,43.0,43.1,43.15,43.24,100478,4345119.6,1219,57143.0,56.87
L&TFH,EQ,28-Dec-2011,43.65,43.65,44.0,43.2,43.4,43.6,43.45,128220,5571497.45,1189,69684.0,54.35
L&TFH,EQ,27-Dec-2011,43.6,43.95,44.3,43.5,43.55,43.65,43.86,167046,7327102.7,1522,79488.0,47.58
L&TFH,EQ,26-Dec-2011,43.4,43.4,44.1,43.4,43.45,43.6,43.72,150344,6572851.75,1571,75622.0,50.3
L&TFH,EQ,23-Dec-2011,43.05,43.2,43.7,43.05,43.55,43.4,43.4,205281,8909036.45,2062,84732.0,41.28
L&TFH,EQ,22-Dec-2011,42.75,42.7,43.3,42.5,43.0,43.05,43.02,197154,8481201.5,1757,104301.0,52.9
L&TFH,EQ,21-Dec-2011,42.5,43.0,43.5,42.15,42.8,42.75,42.71,354177,15125440.5,2483,204701.0,57.8
L&TFH,EQ,20-Dec-2011,42.95,43.05,43.85,42.1,42.3,42.5,42.73,299070,12777948.85,2508,158052.0,52.85
L&TFH,EQ,19-Dec-2011,44.05,44.0,44.0,42.2,43.0,42.95,42.8,404738,17322727.75,3813,224746.0,55.53
L&TFH,EQ,16-Dec-2011,44.6,44.7,45.35,43.9,44.05,44.05,44.55,311380,13870998.4,2442,160748.0,51.62
L&TFH,EQ,15-Dec-2011,45.15,45.0,45.15,44.1,44.7,44.6,44.37,222807,9886836.45,2140,113428.0,50.91
L&TFH,EQ,14-Dec-2011,45.1,42.45,45.35,42.45,45.0,45.15,45.05,220079,9914512.55,1576,112915.0,51.31
L&TFH,EQ,13-Dec-2011,44.75,44.7,45.55,44.35,45.05,45.1,45.12,264654,11940621.15,2156,152198.0,57.51
L&TFH,EQ,12-Dec-2011,45.55,46.0,46.0,44.6,44.7,44.75,45.13,231374,10443010.95,2199,160568.0,69.4
L&TFH,EQ,09-Dec-2011,45.75,45.4,46.0,45.0,45.5,45.55,45.38,220128,9988854.6,2251,108447.0,49.27
L&TFH,EQ,08-Dec-2011,46.25,46.1,46.35,45.15,45.9,45.75,45.9,248212,11392535.2,2086,146974.0,59.21
L&TFH,EQ,07-Dec-2011,46.1,46.5,46.9,45.7,46.2,46.25,46.49,249015,11576912.85,2172,110904.0,44.54
L&TFH,EQ,05-Dec-2011,46.35,46.4,46.7,46.05,46.05,46.1,46.24,223676,10343519.85,1965,113214.0,50.62
L&TFH,EQ,02-Dec-2011,46.2,46.35,46.5,45.7,46.45,46.35,46.2,320868,14825450.55,2416,154962.0,48.29
L&TFH,EQ,01-Dec-2011,45.35,46.15,46.9,46.0,46.15,46.2,46.35,426595,19770702.6,8364,215446.0,50.5
L&TFH,EQ,30-Nov-2011,45.9,45.85,45.85,45.1,45.5,45.35,45.39,192211,8724175.1,1771,93381.0,48.58
L&TFH,EQ,29-Nov-2011,46.25,46.05,46.55,45.7,45.85,45.9,46.07,274261,12635199.0,2252,131496.0,47.95
L&TFH,EQ,28-Nov-2011,45.45,45.55,46.45,45.55,46.25,46.25,46.1,300681,13861935.7,2526,152018.0,50.56
L&TFH,EQ,25-Nov-2011,45.15,45.0,45.95,44.6,45.55,45.45,45.53,390898,17797631.05,3375,171963.0,43.99
L&TFH,EQ,24-Nov-2011,44.15,44.0,45.55,44.0,45.15,45.15,44.73,485611,21722355.6,4513,214756.0,44.22
L&TFH,EQ,23-Nov-2011,45.35,45.35,45.35,44.0,44.2,44.15,44.31,1034599,45842670.3,8885,581389.0,56.19
L&TFH,EQ,22-Nov-2011,44.8,45.25,45.85,44.8,45.4,45.35,45.27,532353,24099430.45,4358,277894.0,52.2
L&TFH,EQ,21-Nov-2011,46.05,46.4,46.6,44.65,44.75,44.8,45.26,1240873,56166664.45,8852,871204.0,70.21
L&TFH,EQ,18-Nov-2011,47.45,47.4,47.4,45.7,46.05,46.05,46.13,1271943,58676904.0,11466,876826.0,68.94
L&TFH,EQ,17-Nov-2011,48.2,48.0,48.5,47.35,47.45,47.45,47.68,377344,17991141.25,3073,173713.0,46.04
L&TFH,EQ,16-Nov-2011,46.95,47.1,48.45,47.0,48.45,48.2,47.74,557451,26614510.75,4033,280059.0,50.24
