"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
DAAWAT,EQ,30-Dec-2011,39.45,38.8,40.4,38.25,38.6,38.65,39.25,11210,439938.55,252.0,7756.0,69.19
DAAWAT,EQ,29-Dec-2011,40.65,40.5,40.5,38.8,38.8,39.45,39.66,14621,579938.95,239.0,10025.0,68.57
DAAWAT,EQ,28-Dec-2011,42.9,44.9,46.6,40.3,40.5,40.65,42.5,101500,4313567.15,1680.0,30526.0,30.07
DAAWAT,EQ,27-Dec-2011,41.8,42.15,43.5,41.5,42.95,42.9,42.42,61087,2591081.95,531.0,40887.0,66.93
DAAWAT,EQ,26-Dec-2011,41.0,41.45,42.15,40.6,41.9,41.8,41.81,8824,368929.35,158.0,6066.0,68.74
DAAWAT,EQ,23-Dec-2011,39.1,39.2,42.1,39.2,42.0,41.0,40.84,42010,1715853.65,611.0,16813.0,40.02
DAAWAT,EQ,22-Dec-2011,40.0,39.6,40.0,38.65,38.85,39.1,39.24,13940,546964.1,255.0,9114.0,65.38
DAAWAT,EQ,21-Dec-2011,39.15,40.95,40.95,39.4,40.1,40.0,39.86,3287,131026.95,128.0,2481.0,75.48
DAAWAT,EQ,20-Dec-2011,39.75,39.4,40.9,38.5,38.5,39.15,39.84,13252,527910.15,152.0,10190.0,76.89
DAAWAT,EQ,19-Dec-2011,41.4,40.5,42.0,39.0,40.0,39.75,39.7,15711,623690.0,309.0,9501.0,60.47
DAAWAT,EQ,16-Dec-2011,42.5,42.6,42.6,40.75,40.85,41.4,41.69,3920,163437.2,89.0,3356.0,85.61
DAAWAT,EQ,15-Dec-2011,40.75,40.75,43.2,40.1,42.7,42.5,41.77,23468,980151.15,366.0,9532.0,40.62
DAAWAT,EQ,14-Dec-2011,41.55,41.7,42.5,40.5,41.05,40.75,41.43,5250,217496.4,132.0,3769.0,71.79
DAAWAT,EQ,13-Dec-2011,42.0,46.8,46.8,41.25,41.55,41.55,42.1,8019,337597.5,130.0,5789.0,72.19
DAAWAT,EQ,12-Dec-2011,43.15,44.45,44.45,42.0,42.0,42.0,42.63,7270,309933.55,189.0,5122.0,70.45
DAAWAT,EQ,09-Dec-2011,45.1,44.5,45.3,42.2,43.15,43.15,43.78,17381,760885.1,319.0,13004.0,74.82
DAAWAT,EQ,08-Dec-2011,45.8,46.75,47.2,44.85,44.85,45.1,45.87,47424,2175540.1,529.0,33622.0,70.9
DAAWAT,EQ,07-Dec-2011,44.4,44.2,47.5,44.05,47.15,45.8,45.67,33705,1539175.05,300.0,26335.0,78.13
DAAWAT,EQ,05-Dec-2011,45.1,46.8,46.85,44.05,44.65,44.4,44.62,17047,760590.45,144.0,13470.0,79.02
DAAWAT,EQ,02-Dec-2011,44.5,43.9,45.5,43.7,45.0,45.1,45.02,41348,1861422.2,293.0,28794.0,69.64
DAAWAT,EQ,01-Dec-2011,41.4,42.0,45.3,41.8,45.0,44.5,43.77,90667,3968053.3,685.0,65490.0,72.23
DAAWAT,EQ,30-Nov-2011,41.7,41.1,42.5,40.4,41.25,41.4,41.46,17167,711711.5,297.0,8585.0,50.01
DAAWAT,EQ,29-Nov-2011,41.7,41.25,42.7,41.25,41.5,41.7,42.18,11505,485264.25,185.0,6067.0,52.73
DAAWAT,EQ,28-Nov-2011,40.55,41.05,42.15,41.05,41.5,41.7,41.75,20570,858790.75,296.0,10743.0,52.23
DAAWAT,EQ,25-Nov-2011,40.5,40.35,43.65,40.3,40.5,40.55,42.08,55719,2344774.4,735.0,17196.0,30.86
DAAWAT,EQ,24-Nov-2011,40.15,39.5,41.0,39.5,40.95,40.5,40.47,23991,970929.3,314.0,8291.0,34.56
DAAWAT,EQ,23-Nov-2011,39.3,39.2,43.85,39.2,39.95,40.15,41.64,146388,6096183.35,1734.0,42124.0,28.78
DAAWAT,EQ,22-Nov-2011,39.35,39.4,40.0,39.2,39.3,39.3,39.46,5871,231646.5,114.0,2893.0,49.28
DAAWAT,EQ,21-Nov-2011,39.85,39.0,40.0,39.0,39.3,39.35,39.39,9219,363181.8,142.0,5400.0,58.57
DAAWAT,EQ,18-Nov-2011,40.85,40.1,40.85,39.3,40.0,39.85,40.05,13617,545346.25,241.0,8700.0,63.89
DAAWAT,EQ,17-Nov-2011,41.4,41.25,42.0,40.1,41.5,40.85,41.2,19313,795655.85,250.0,11840.0,61.31
DAAWAT,EQ,16-Nov-2011,41.95,41.1,41.85,41.0,41.55,41.4,41.35,19262,796401.45,314.0,10780.0,55.97
DAAWAT,EQ,15-Nov-2011,45.05,44.5,44.8,41.7,41.7,41.95,42.52,52269,2222475.85,783.0,36019.0,68.91
DAAWAT,EQ,14-Nov-2011,45.75,45.65,47.4,44.75,45.15,45.05,46.08,16258,749145.45,282.0,9758.0,60.02
DAAWAT,EQ,11-Nov-2011,48.25,47.5,48.0,45.1,45.65,45.75,46.72,65507,3060302.25,560.0,50685.0,77.37
DAAWAT,EQ,09-Nov-2011,50.3,50.7,50.7,48.15,48.2,48.25,49.17,10156,499330.0,335.0,7307.0,71.95
DAAWAT,EQ,08-Nov-2011,50.9,50.3,51.75,49.35,50.05,50.3,50.92,37300,1899369.7,644.0,10097.0,27.07
DAAWAT,EQ,04-Nov-2011,52.0,53.0,53.7,50.25,50.25,50.9,51.52,116003,5976033.85,894.0,65729.0,56.66
DAAWAT,EQ,03-Nov-2011,49.8,50.0,52.8,49.0,51.55,52.0,51.26,168838,8654111.3,1705.0,98644.0,58.43
